,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,3,1,2010-10-30,20-148,DET,@,CHI,L (-10),0,7:11,1,1,1.0,0,0,,0,0,,1,2,3,0,0,0,1,3,2,0.8,11
1,4,2,2010-11-02,20-151,DET,,BOS,L (-23),0,18:16,0,6,0.0,0,0,,0,0,,3,7,10,2,0,0,1,2,0,-0.4,-7
2,5,3,2010-11-03,20-152,DET,@,ATL,L (-9),0,26:56,3,9,0.333,0,0,,1,4,0.25,6,2,8,3,0,0,0,3,7,6.4,1
3,6,4,2010-11-05,20-154,DET,,CHA,W (+7),0,19:49,3,5,0.6,0,0,,3,3,1.0,4,2,6,1,0,1,1,2,9,9.7,-2
4,7,5,2010-11-07,20-156,DET,,GSW,W (+5),0,17:59,3,8,0.375,0,0,,1,7,0.143,2,1,3,1,1,0,1,2,7,1.8,4
5,8,6,2010-11-09,20-158,DET,@,POR,L (-22),0,24:00,1,4,0.25,0,0,,0,0,,1,1,2,2,0,0,3,3,2,-2.2,-8
6,9,7,2010-11-12,20-161,DET,@,LAC,W (+6),0,6:09,0,0,,0,0,,0,2,0.0,0,1,1,0,0,0,0,0,0,-0.5,-1
7,10,8,2010-11-14,20-163,DET,@,SAC,W (+6),0,15:35,3,5,0.6,0,0,,0,0,,2,6,8,0,2,0,1,1,6,7.5,4
8,11,9,2010-11-15,20-164,DET,@,GSW,L (-4),0,17:38,0,1,0.0,0,0,,0,2,0.0,0,0,0,0,2,1,0,1,0,0.8,13
9,12,10,2010-11-17,20-166,DET,,LAL,L (-13),0,12:00,2,3,0.667,0,0,,0,0,,0,4,4,2,1,0,0,0,4,6.3,8
10,13,11,2010-11-21,20-170,DET,,WAS,W (+5),0,12:15,0,3,0.0,0,0,,0,0,,2,1,3,1,0,0,0,2,0,-0.5,-11
11,14,12,2010-11-23,20-172,DET,@,DAL,L (-4),0,18:47,2,6,0.333,0,0,,0,0,,4,4,8,0,0,0,2,2,4,1.8,3
12,15,13,2010-11-24,20-173,DET,@,MEM,L (-21),0,21:05,2,6,0.333,0,0,,2,2,1.0,2,6,8,2,1,1,1,1,6,7.5,-3
13,16,14,2010-11-26,20-175,DET,,MIL,W (+14),0,13:57,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,0,2,2,0.5,-11
14,17,15,2010-11-28,20-177,DET,,NYK,L (-9),0,17:53,1,2,0.5,0,0,,4,4,1.0,2,4,6,1,2,1,1,4,6,8.4,-2
15,18,16,2010-11-30,20-179,DET,@,ORL,L (-11),0,24:00,2,4,0.5,0,0,,0,0,,3,1,4,0,2,2,2,2,4,5.0,-11
16,19,17,2010-12-01,20-180,DET,@,MIA,L (-25),0,30:51,7,8,0.875,0,0,,1,4,0.25,4,4,8,0,1,0,4,2,15,11.2,-10
17,20,18,2010-12-03,20-182,DET,,ORL,L (-13),0,26:53,3,6,0.5,0,0,,0,0,,0,2,2,4,1,0,0,2,6,6.6,-13
18,21,19,2010-12-05,20-184,DET,,CLE,W (+10),0,23:44,4,7,0.571,0,0,,0,2,0.0,2,5,7,1,1,1,2,4,8,5.6,-8
19,22,20,2010-12-07,20-186,DET,@,HOU,L (-14),0,24:40,1,1,1.0,0,0,,5,6,0.833,0,3,3,0,2,2,1,1,7,9.2,-7
20,23,21,2010-12-08,20-187,DET,@,NOH,L (-19),0,22:01,1,5,0.2,0,0,,1,2,0.5,4,2,6,0,2,1,0,2,3,4.8,-3
21,24,22,2010-12-10,20-189,DET,@,MIN,L (-10),1,34:51,3,9,0.333,0,0,,2,2,1.0,8,7,15,0,1,1,3,4,8,7.7,-4
22,25,23,2010-12-11,20-190,DET,,TOR,L (-4),0,24:10,4,6,0.667,0,0,,2,4,0.5,2,2,4,0,0,0,0,4,10,7.0,5
23,26,24,2010-12-14,20-193,DET,,ATL,W (+23),1,20:32,2,3,0.667,0,0,,1,2,0.5,1,6,7,0,0,1,1,3,5,4.3,-6
24,27,25,2010-12-17,20-196,DET,,LAC,L (-21),1,18:33,2,3,0.667,0,0,,2,4,0.5,3,3,6,0,1,0,2,2,6,5.1,-23
25,28,26,2010-12-19,20-198,DET,,NOH,W (+3),0,16:04,2,3,0.667,0,0,,0,0,,1,0,1,0,0,0,0,2,4,2.6,-11
26,29,27,2010-12-22,20-201,DET,@,TOR,W (+22),0,25:01,2,3,0.667,0,0,,3,3,1.0,1,2,3,3,1,0,0,3,7,8.9,13
27,30,28,2010-12-26,20-205,DET,,CHI,L (-3),0,21:45,1,6,0.167,0,0,,2,2,1.0,2,5,7,0,0,0,0,1,4,2.7,-2
28,31,29,2010-12-27,20-206,DET,@,CHA,L (-5),0,13:36,1,4,0.25,0,0,,1,2,0.5,3,3,6,0,0,0,1,0,3,2.2,-6
29,32,30,2010-12-29,20-208,DET,,BOS,W (+12),0,9:02,2,3,0.667,0,0,,0,1,0.0,0,0,0,0,1,0,0,0,4,3.3,2
30,33,31,2010-12-31,20-210,DET,@,PHO,L (-17),0,13:21,0,1,0.0,0,0,,2,6,0.333,3,1,4,2,0,1,1,2,2,2.4,-4
31,34,32,2011-01-03,20-213,DET,@,UTA,L (-5),0,26:09,1,4,0.25,0,0,,0,0,,2,2,4,1,1,1,2,0,2,2.0,-11
32,35,33,2011-01-04,20-214,DET,@,LAL,L (-25),0,29:43,6,9,0.667,0,0,,2,3,0.667,4,7,11,1,2,0,0,2,14,16.5,-8
33,36,34,2011-01-08,20-218,DET,,PHI,W (+3),0,30:45,6,12,0.5,0,0,,4,6,0.667,5,8,13,0,3,0,2,4,16,14.5,-2
34,37,35,2011-01-10,20-220,DET,@,CHI,L (-13),0,43:00,2,7,0.286,0,0,,6,9,0.667,4,7,11,2,2,0,3,3,10,8.8,-7
35,38,36,2011-01-12,20-222,DET,,MEM,L (-8),1,30:17,5,7,0.714,0,0,,4,6,0.667,2,9,11,0,2,1,0,6,14,14.7,0
36,39,37,2011-01-14,20-224,DET,@,TOR,W (+6),1,37:47,6,9,0.667,0,0,,0,0,,3,4,7,0,3,1,0,2,12,14.3,-1
37,40,38,2011-01-15,20-225,DET,,SAC,W (+4),1,37:48,5,7,0.714,0,0,,1,2,0.5,3,4,7,2,2,0,3,3,11,10.2,8
38,41,39,2011-01-17,20-227,DET,,DAL,W (+14),1,40:39,7,12,0.583,0,0,,2,2,1.0,4,5,9,1,4,0,0,3,16,18.2,16
39,42,40,2011-01-19,20-229,DET,@,BOS,L (-4),1,34:56,5,5,1.0,0,0,,3,5,0.6,2,7,9,1,1,0,1,4,13,13.3,-7
40,43,41,2011-01-21,20-231,DET,@,NJN,L (-15),1,38:28,2,6,0.333,0,0,,1,4,0.25,6,4,10,1,0,0,1,3,5,4.3,-13
41,44,42,2011-01-22,20-232,DET,,PHO,W (+1),1,23:07,3,4,0.75,0,0,,0,0,,3,3,6,1,1,0,1,1,6,7.7,1
42,45,43,2011-01-24,20-234,DET,@,ORL,W (+7),1,31:27,3,6,0.5,0,0,,1,4,0.25,2,2,4,1,1,0,0,5,7,4.5,3
43,46,44,2011-01-26,20-236,DET,,DEN,L (-9),1,27:16,4,6,0.667,0,0,,6,8,0.75,2,5,7,0,1,2,0,3,14,14.7,-1
44,47,45,2011-01-28,20-238,DET,@,MIA,L (-1),1,20:14,4,6,0.667,0,0,,1,2,0.5,4,4,8,0,0,1,0,2,9,9.9,-4
45,48,46,2011-01-30,20-240,DET,@,NYK,L (-18),1,39:21,6,8,0.75,0,0,,3,4,0.75,8,9,17,2,2,0,1,4,15,20.5,-4
46,49,47,2011-02-02,20-243,DET,,CHA,L (-10),1,34:57,4,6,0.667,0,0,,2,3,0.667,1,7,8,2,1,2,2,3,10,10.4,3
47,50,48,2011-02-04,20-245,DET,,NJN,W (+10),1,42:07,10,14,0.714,0,0,,0,5,0.0,5,6,11,2,0,2,1,2,20,18.5,15
48,51,49,2011-02-05,20-246,DET,@,MIL,W (+11),1,33:18,3,6,0.5,0,0,,1,2,0.5,0,7,7,1,1,0,2,3,7,4.2,7
49,52,50,2011-02-08,20-249,DET,,SAS,L (-11),1,36:23,5,9,0.556,0,0,,4,4,1.0,3,10,13,2,0,0,0,2,14,15.4,-13
50,53,51,2011-02-09,20-250,DET,@,CLE,W (+9),1,29:10,4,10,0.4,0,0,,1,2,0.5,5,3,8,1,1,0,2,3,9,6.1,1
51,54,52,2011-02-11,20-252,DET,,MIA,L (-14),1,27:18,3,5,0.6,0,0,,2,2,1.0,1,3,4,2,1,0,1,1,8,8.3,-17
52,55,53,2011-02-13,20-254,DET,,POR,L (-5),1,33:32,4,6,0.667,0,0,,1,1,1.0,0,4,4,1,0,0,1,3,9,6.1,-1
53,56,54,2011-02-14,20-255,DET,,ATL,L (-15),1,33:03,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,-11
54,57,55,2011-02-16,20-257,DET,,IND,W (+6),1,33:17,6,10,0.6,0,0,,1,2,0.5,2,2,4,0,1,2,1,2,13,10.6,-1
55,58,56,2011-02-22,20-263,DET,,HOU,L (-8),1,27:28,6,13,0.462,0,0,,0,0,,7,5,12,1,1,1,0,2,12,13.3,-1
56,59,57,2011-02-23,20-264,DET,@,IND,L (-1),1,32:06,11,17,0.647,0,0,,5,7,0.714,6,6,12,1,1,0,1,4,27,23.8,8
57,60,58,2011-02-25,20-266,DET,@,PHI,L (-16),1,42:45,7,9,0.778,0,0,,2,2,1.0,3,8,11,4,3,1,0,1,16,23.1,-12
58,61,59,2011-02-26,20-267,DET,,UTA,W (+4),1,37:01,6,12,0.5,0,0,,0,1,0.0,5,11,16,2,2,1,1,3,12,14.3,-6
59,62,60,2011-03-01,20-270,DET,@,MIL,L (-2),1,36:33,6,10,0.6,0,0,,1,3,0.333,6,3,9,1,0,1,3,2,13,10.3,9
60,63,61,2011-03-02,20-271,DET,,MIN,L (-11),1,36:57,8,14,0.571,0,0,,2,4,0.5,7,4,11,2,4,1,1,5,18,19.8,1
61,64,62,2011-03-06,20-275,DET,,WAS,W (+11),1,21:13,5,8,0.625,0,0,,2,3,0.667,2,5,7,0,0,3,0,4,12,11.4,9
62,65,63,2011-03-09,20-278,DET,@,SAS,L (-7),1,32:17,7,13,0.538,0,0,,2,3,0.667,9,1,10,2,2,0,1,3,16,17.1,-1
63,66,64,2011-03-11,20-280,DET,@,OKC,L (-10),1,37:50,5,9,0.556,0,0,,4,4,1.0,5,5,10,5,1,0,1,1,14,17.8,-6
64,67,65,2011-03-12,20-281,DET,@,DEN,L (-30),1,27:15,4,7,0.571,0,0,,0,0,,3,3,6,1,3,0,2,1,8,9.0,-14
65,68,66,2011-03-16,20-285,DET,,TOR,W (+14),1,34:41,9,14,0.643,0,0,,3,5,0.6,3,7,10,5,1,1,0,1,21,23.0,13
66,69,67,2011-03-18,20-287,DET,,NYK,W (+4),1,27:27,4,7,0.571,0,0,,0,0,,3,2,5,2,1,1,1,3,8,8.3,-11
67,70,68,2011-03-20,20-289,DET,@,ATL,L (-8),1,37:00,6,7,0.857,0,0,,5,8,0.625,1,9,10,2,3,0,2,0,17,19.1,-8
68,71,69,2011-03-23,20-292,DET,,MIA,L (-6),1,34:54,5,10,0.5,0,0,,4,6,0.667,5,7,12,2,2,0,2,4,14,13.6,9
69,72,70,2011-03-25,20-294,DET,@,CLE,L (-6),1,25:33,5,9,0.556,0,0,,1,4,0.25,7,1,8,0,1,1,0,1,11,12.0,-3
70,73,71,2011-03-26,20-295,DET,,IND,W (+12),1,36:40,3,9,0.333,0,0,,3,3,1.0,5,8,13,2,3,1,5,3,9,8.7,20
