model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,84,21,10.650639755177856,3.2635317916603563,0.6391052699472474,50.5638376141688,7.11082538206141,-0.1944853432530768,7.380952380952381,7.3376859917025055,3.6319199265846,14.896751150828484,8.29575522921872,0.9490909110909492,0.3025485352560135,-4.487727607094154,-18.47079365590738,0.0,1.5676047912909787,3.1974423109204515e-14,-1.5865648636619565,7.105427357601002e-15,2.664535259100376e-15,-1.0658141036401504e-14,0.8039772365959035,-2.664535259100376e-15,-2.21070956553291,1.7763568394002505e-15,-0.8995434330405487,3.108624468950439e-15,2.2830371656403163,0.0,-2.367866034472769,1.7763568394002505e-15,5.008016910856227,-1.1102230246251563e-15,-7.166116083836132,0.0,3.319758236744025,1.054711873393899e-15,-1.7763568394002505e-15,8.881784197001252e-16,-3.4870500945062526,0.0,5.584608868694384,1.3704315460216776e-16,3.4090618372366635,1.5892768738976293,0.578122648735692,0.0,-2.257843865219531,0.0,3.470677173474617,0.0,-3.227769805226577,0.0,0.8134527210543715,0.0,-7.09498044472569,0.0,0.0,0.0,2.231754391333292,0.0,1.5922996547677764,0.0,0.0,0.0,0.0651808776567286,0.0,3.205947536599461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.471356714622762,0.0,0.6004495092728641,-1.5892768738976075,-1.738594562897295,0.0,1.604282948332286,0.0,0.0,0.0,3.854130023890944,0.0,1.3470372565536828,0.0,0.0,0.0,-6.831004320987801
"Random Forest (100 estimators, 20 depth)",84,21,3.5841533659779747,1.893186035755064,0.8785517028821256,25.934283879683097,5.092571440803074,0.3873463043207497,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",84,21,4.739072934091466,2.176941187559156,0.8394174916659093,28.96634131306137,5.382038769189736,0.3157190636886615,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",84,21,10.239887350788008,3.199982398512218,0.65302353039998,26.90075000242453,5.186593294487677,0.3645151729660799,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),84,21,12.16646334515274,3.4880457773877827,0.5877419004326951,40.742318592984574,6.382970984814562,0.0375314709928114,7.380952380952381,5.66623057094249,-0.1795524416592284,2.316777872153063,-0.2192862063754752,1.576899665450043,1.0795994204592194,-0.1188389708504136,-2.3900373574947977,0.0,1.1769122914143832,0.0,-1.6905312227217344,0.0,0.0,0.0,0.8799728517750447,0.0,-1.593194672895871,0.0,-0.7539421597479995,0.0,2.13638900638526,0.0,-0.973542520394481,0.0,3.958935747017928,0.0,-3.5636934491085497,0.0,2.0784818039688737,0.0,0.0,0.0,-2.834933046570085,0.0,3.921366366432297,0.0,1.7969487733321263,2.452169374240857,-0.0812426025326764,0.0,-1.4474439256816425,0.0,2.4767794569060486,0.0,-2.8074640841209213,0.0,0.9305009517111804,0.0,-4.272118074859215,0.0,0.0,0.0,1.7000444640481662,0.0,0.8672367615537682,0.0,0.0,0.0,-0.2160459654453324,0.0,2.042909214075608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.772847532633862,0.0,0.4987447734080921,-2.452169374240855,-1.8108047475541325,0.0,0.8897660784570244,0.0,0.0,0.0,2.825739793818578,0.0,0.8734890263940347,0.0,0.0,0.0,-5.23641335643192
Ridge (lambda=0.1),84,21,10.838050474084849,3.2921194501543907,0.6327548964144227,49.28979194702848,7.020668910227036,-0.164388164165393,7.380952380952381,5.252470821693801,1.9562138793208843,7.098051939107712,2.962968632493343,1.3292205598520894,0.6971418959019644,0.6252121614365933,-9.722584517745986,0.0,1.4740383436136444,0.0,-1.8647723954964728,0.0,0.0,0.0,1.0565601465209475,0.0,-1.9529821917540888,0.0,-0.7690482154363547,0.0,2.3865283159515016,0.0,-1.6889238100329005,0.0,4.683317618792177,0.0,-6.580613325660019,0.0,3.24287298723989,0.0,0.0,0.0,-3.287513685069285,0.0,5.272863211504017,0.0,3.16935716747376,3.245945682172092,0.4325826919400546,0.0,-1.947610446601189,0.0,3.3819714504943192,0.0,-3.3177740819568378,0.0,1.0880194596095252,0.0,-7.044460682398896,0.0,0.0,0.0,2.219245308652745,0.0,1.3200172638930583,0.0,0.0,0.0,-0.1961736845366104,0.0,3.068554666298416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.267166446109578,0.0,0.6175623171997309,-3.245945682172106,-2.1513550684421467,0.0,1.4966743932808857,0.0,0.0,0.0,3.656236179685436,0.0,1.182895067896455,0.0,0.0,0.0,-6.6809025565521
Lasso (lambda=0.1),84,21,17.118119080025124,4.137404872625488,0.4199560677664309,32.61454539948269,5.710914585202854,0.2295363980516463,7.380952380952381,2.425442931094677,0.0,0.1069124622491035,-0.0,1.3418922060597864,0.9189846593241272,-0.0,-0.0,0.0,0.0,0.0,-0.0050221747663226,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.7941142398588676,0.0,-0.0,0.0,2.982377842861697,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.7039402910141537,0.0,2.27957783984462,0.0,0.0,5.618229199786456,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.7705164365371523,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0187104934365887,-0.0,0.0,0.0,0.0,0.0,0.0,1.1888428980738872,0.0,0.0,0.0,0.0,0.0,-4.337712341449668
Lasso (lambda=1.0),84,21,28.66540404040404,5.354008221921595,0.0286786999827555,41.896989374262105,6.472788377064563,0.010254322152904,7.380952380952381,7.833333333333334,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.4090909090909085,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",84,21,9.461599893889522,3.075971374036098,0.6793956402560354,27.67898825133849,5.261082422024815,0.3461306075187338,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),84,21,10.903206823457584,3.3020004275374624,0.6305470869627262,49.184141838787774,7.013140654427785,-0.1618923586300305,7.380952380952381,8.610612603721906,0.0,11.378635635351078,0.0,1.2159458862554982,0.5242053946933987,0.0,-11.97318327382126,0.0,0.4693997531631972,0.0,-2.423704278375538,0.0,0.0,0.0,0.0,0.0,-2.7608483604543297,0.0,-1.4721583387024866,0.0,1.652698208319319,0.0,-2.461790852541678,0.0,4.130075769440711,0.0,-7.450806783951364,0.0,2.0562395001491898,0.0,0.0,0.0,-3.951871196547072,0.0,4.199288195641748,0.0,1.9445696986021084,1.0739180854550046,-0.0,0.0,-2.36002131481891,0.0,2.2321041056351825,0.0,-3.990016704205418,0.0,0.0,0.0,-7.627932340491425,0.0,0.0,0.0,1.0217127162328787,0.0,0.2272385222113152,0.0,0.0,0.0,-0.6535601199860136,0.0,1.82119193579412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9360150324618046,0.0,-0.0054593419713985,-0.0101619833779029,-2.587298991780977,0.0,0.2618857791633962,0.0,0.0,0.0,2.827659975352181,0.0,0.2876124286478496,0.0,0.0,0.0,-7.087831204912136
"Random Forest (100 estimators, 5 depth)",84,21,9.82592950469547,3.134633870916262,0.6670504065832774,26.968833831862703,5.193152590851024,0.3629068073788594,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=2.0),84,21,13.375076611907222,3.6571951837312735,0.5467882893191954,37.68931206140412,6.139162162820275,0.1096535987208476,7.380952380952381,5.911818437666296,-0.2538829642902418,1.6623664113308008,-0.6783128180996272,1.5162097347945225,1.1454949832210897,-0.4809412933668842,-1.4195502139459562,0.0,0.9224759534046548,0.0,-1.414170776409308,0.0,0.0,0.0,0.6384176338897812,0.0,-1.3289041615614257,0.0,-0.6405046879726584,0.0,1.8317709614667232,0.0,-0.7507500545743857,0.0,3.3754847279335287,0.0,-2.3755299680994764,0.0,1.547828498510287,0.0,0.0,0.0,-2.4337828993656023,0.0,3.08662701473219,0.0,1.2093462839767413,2.113890255495723,-0.1530329871492317,0.0,-1.1876341089487052,0.0,1.8693925153249853,0.0,-2.237912852966215,0.0,0.6675808157034575,0.0,-2.8597393998950444,0.0,0.0,0.0,1.361137155754475,0.0,0.6497375341448582,0.0,0.0,0.0,-0.1697195381706433,0.0,1.4945220583195231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4017459384023263,0.0,0.3697372934907008,-2.113890255495724,-1.3607984652057534,0.0,0.5958676674536317,0.0,0.0,0.0,2.30262592637677,0.0,0.6806569268689245,0.0,0.0,0.0,-4.288983128630456
Lasso (lambda=0.05),84,21,13.53770020518966,3.679361385511032,0.541277822422656,38.62822495426633,6.215160895283913,0.0874733659293202,7.380952380952381,2.001229102030133,-0.0,0.1404670053492518,-0.0,1.6381220197685669,1.0902684184763205,-0.0,-0.0,0.0,0.0,0.0,-1.36916744691456,0.0,0.0,0.0,0.0,0.0,-1.0040017135273185,0.0,-0.0,0.0,1.353520569899172,0.0,-0.2984816416512424,0.0,3.6571029039481577,0.0,-3.103175608436879,0.0,0.8070224793957043,0.0,0.0,0.0,-2.880565070115479,0.0,3.548010186717784,0.0,0.0,6.1368914554577465,-0.0,0.0,-0.5657772214388785,0.0,1.3017536289412208,0.0,-2.5827557284376987,0.0,0.0,0.0,-4.7039277778166895,0.0,0.0,0.0,0.5298405197282045,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6113015464355042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2536815554969736,0.0,0.0,-0.0548349355751977,-0.9140043311310944,0.0,0.0,0.0,0.0,0.0,2.107687729670194,0.0,0.0,0.0,0.0,0.0,-5.76936409959
"Random Forest (500 estimators, 5 depth)",84,21,9.843139812527776,3.137377856192616,0.6664672388541983,27.48128647186621,5.24225967230413,0.3508009784608422,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (rbf kernel),84,21,5.616230125393242,2.369858672029461,0.809695201264078,36.382506904492615,6.031791351206755,0.1405246654766849,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (poly kernel),84,21,4.334323623650706,2.081903845918612,0.85313233851908,37.73765329011583,6.1430980205524826,0.1085116187625304,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (linear kernel),84,21,12.78126022181798,3.5750888411084247,0.5669096351470806,45.79042363230686,6.766862170334701,-0.08172149249235727,7.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
