model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,797,200,31.14364764582277,5.580649392841552,0.4118147790091331,32.23488031903068,5.677576976055074,0.3762974682433777,10.63,11.834469801717647,-6.134077510607018,13.220124232375705,-7.538864680849486,1.0116749490299668,5.164700447795863,-3.194473875783224,-5.392345811654887,8.881784197001252e-14,0.2135049101811486,-3.064215547965432e-14,-0.2104845599602475,3.1974423109204515e-14,-3.552713678800501e-15,3.866254467059144,-1.78623616062481,-2.05391259555654e-15,1.9080099087873423,-3.552713678800501e-15,-0.0968398955505369,-4.884981308350689e-15,1.240965662289454,8.881784197001252e-16,-0.7352080763136022,-4.440892098500626e-16,-0.0873890713450906,7.63278329429795e-17,0.5166132061850668,0.2667549726895918,-0.9013269567003936,-1.5543122344752197e-15,1.46067663039924,8.881784197001252e-16,0.3479398494090682,-4.440892098500626e-16,-0.6852796274253421,0.0,1.0960688652444897,-8.326672684688674e-17,3.9805198645818938,0.0,-1.699168528617265,-8.326672684688674e-17,1.7276223462056672,-4.399125114377799,-0.229263985161446,2.775557561562892e-17,-0.3274273391350504,3.4742003281585845,1.4240764058037203,0.0,-3.6880637165957055,0.0,-1.710153261812069,0.0,-1.303848349828308,0.0,0.0,0.0,-0.5224141892030114,0.0,0.5667521463869559,0.0,-3.881740950740556,0.0,1.501849933480954,0.0,-0.3971899871998895,0.0,-0.5764104352646928,0.6102176585885533,1.7566834727606806,0.0,0.3393402409973877,0.0,-0.7818022154983053,0.0,-1.5481401895709594,0.0,5.11988361656875,0.0,-0.809380159350441,-3.818302312118148,0.3614587775525022,0.0,0.0,0.0,-1.5841981809361376
"Random Forest (100 estimators, 20 depth)",797,200,4.666812470075092,2.160280646137231,0.9118616369138692,35.24490148757476,5.936741655788532,0.318057518075062,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",797,200,10.2633025159766,3.203638949066608,0.8061651953198389,33.92645651332197,5.824642178994515,0.3435676940175419,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",797,200,23.44050076284272,4.841539090293779,0.5572979672091014,31.19814013692845,5.585529530575276,0.3963570270179525,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),797,200,31.23211993623168,5.588570473406565,0.4101438734595479,31.806292730684174,5.6397067947442245,0.3845900743050595,10.63,11.304403949754914,-2.3443090563972024,9.212698672345876,-4.86434493389363,1.0050449108322912,5.111576153300947,-5.101012005423863,-5.383210815833521,0.0,0.2297573350098399,0.0,-0.1113207049437222,0.0,0.0,2.770166138179399,-1.6578419991212965,0.0,1.862635641198156,0.0,-0.1034208441152119,0.0,1.2515667559407655,0.0,-0.6403976568584213,0.0,-0.0289967155034571,0.0,0.5487833443884328,0.2720918846768442,-0.8853141488209744,0.0,0.3784302229111715,0.0,0.3797907917488533,0.0,-0.595758786919547,0.0,1.0936508204456137,0.0,3.81885951889008,0.0,-1.5705959683707258,0.0,1.6145624197699608,-3.9420059688744096,-0.1495940586651797,0.0,-0.267190287067108,3.633307515719051,1.4232760260606672,0.0,-2.4821933793897992,0.0,-1.6074078524181408,0.0,-1.291298763192417,0.0,0.0,0.0,-0.4658525095123836,0.0,0.5039681821568348,0.0,-2.800997468006251,0.0,1.4644133344121315,0.0,-0.3823032924462044,0.0,-0.405351726503153,0.5793621211669426,1.6522795850542067,0.0,0.3698267956357403,0.0,-0.7067654919061538,0.0,-1.4571472303077306,0.0,2.8776410825576133,0.0,-0.8232292257673037,-3.312921690867505,0.4346688469589075,0.0,0.0,0.0,-1.4711325933026094
Ridge (lambda=0.1),797,200,31.14608687389712,5.58086793195262,0.4117687112549549,32.135354575917525,5.668805392313051,0.3782231604544323,10.63,11.74791515465229,-5.42902713694016,12.550548222027778,-6.259413912567925,1.0082012013208748,5.163049055498202,-4.395774245832544,-5.411359154760395,0.0,0.2208564157618793,0.0,-0.192474297558705,0.0,0.0,3.696937973482003,-1.7641762632605111,0.0,1.9064097199861016,0.0,-0.0972039498150871,0.0,1.247813541297379,0.0,-0.7172266011257634,0.0,-0.0791969066558687,0.0,0.532098220248025,0.2656386692558098,-0.8950528025069565,0.0,1.2692441919876485,0.0,0.3582526586763396,0.0,-0.6644565478216352,0.0,1.1023732976436125,0.0,3.9637647374049374,0.0,-1.6743282209230177,0.0,1.717201672563182,-4.325845038276537,-0.2074444339045548,0.0,-0.3182308742365341,3.5047933096483788,1.427892354404213,0.0,-3.516781280831549,0.0,-1.6994962665455364,0.0,-1.3064268169744162,0.0,0.0,0.0,-0.5069941601143542,0.0,0.5587944957179406,0.0,-3.742063312518264,0.0,1.502411728504507,0.0,-0.3973896527166073,0.0,-0.5527097087745618,0.6013620157825103,1.7438329548334572,0.0,0.3470312759299367,0.0,-0.7702417211705289,0.0,-1.5312254827960343,0.0,4.742337851465985,0.0,-0.8170931735748443,-3.7428869298903535,0.374646372113917,0.0,0.0,0.0,-1.5647490147015723
Lasso (lambda=0.1),797,200,34.73237552806444,5.893417983485003,0.3440373392404321,33.76878854557583,5.811091854856179,0.346618361793781,10.63,7.449551969874816,0.0,0.1535386568646835,-0.0,0.6947820414176801,4.865091185805677,-3.681881305350141,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0555337253249988,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,4.395212789201634,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),797,200,42.40860505530042,6.512188960349693,0.1990625176588147,41.02103759684044,6.404766787076672,0.206296882407587,10.63,9.087493528205194,0.0,0.0,-0.0,0.0,2.0490729359749382,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.8176319884194088,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",797,200,23.303069507568804,4.827325295395868,0.559893521659679,31.32390854277509,5.596776620767984,0.3939235738031369,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),797,200,31.496856388833297,5.612206018031884,0.4051440073344022,31.44443852489977,5.607534085932939,0.3915914771966122,10.63,11.117935819846537,-0.0,7.852038826457154,-1.874300996038077,0.962424872161424,4.89370876683094,-7.002976142775011,-6.420805953687578,0.0,0.0203494067238585,0.0,0.0,0.0,0.0,1.5871579859007925,-1.2980791781049608,0.0,1.6841659985708892,0.0,-0.0,0.0,1.1099733722032348,0.0,-0.2862365267089009,0.0,0.0,0.0,0.314709991884479,-0.0,-0.5675391901728998,0.0,0.0,0.0,0.2108802212987443,0.0,-0.2400188347801118,0.0,0.9104129821610764,0.0,3.735779284914172,0.0,-1.1976426191440208,0.0,1.3968978508670962,-3.770000021730717,-0.0,0.0,-0.0,3.4602995680466884,1.0111478494803685,0.0,-0.0,0.0,-0.8810774412067068,0.0,-1.0331728578031265,0.0,0.0,0.0,-0.0,0.0,0.2584676481671596,0.0,-0.8682443578555521,0.0,1.2105061347792216,0.0,-0.0,0.0,-0.0,0.0,1.4490216887887768,0.0,0.0972148794227456,0.0,-0.4163040993179283,0.0,-1.1272993070663566,0.0,0.0,0.0,-0.5255826363934256,-3.137185091232325,0.1906030966034846,0.0,0.0,0.0,-1.089529524788592
