,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2007-10-30,20-359,SAS,,POR,W (+9),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
1,3,2,2007-11-02,20-362,SAS,,SAC,W (+16),0,5:55,2,2,1.0,0,0,,1,1,1.0,0,2,2,0,0,2,0,3,5,5.2,-8
2,5,3,2007-11-07,21-002,SAS,,MIA,W (+10),0,0:29,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,2.0,-1
3,6,4,2007-11-09,21-004,SAS,@,NOH,W (+12),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1
4,7,5,2007-11-11,21-006,SAS,,MIL,W (+25),0,10:26,4,7,0.571,0,0,,4,4,1.0,0,1,1,1,0,2,2,0,12,9.1,-5
5,8,6,2007-11-13,21-008,SAS,,LAL,W (+15),0,3:53,0,3,0.0,0,0,,2,2,1.0,0,2,2,0,0,0,0,1,2,0.1,-3
6,35,1,2010-01-10,23-066,SAS,,NJN,W (+12),0,20:43,6,6,1.0,0,0,,3,4,0.75,2,7,9,1,0,1,1,5,15,14.7,1
7,38,2,2010-01-15,23-071,SAS,@,CHA,L (-16),0,5:28,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.7,-1
8,39,3,2010-01-16,23-072,SAS,@,MEM,L (-6),0,13:59,0,3,0.0,0,0,,1,2,0.5,0,5,5,0,0,0,0,4,1,-1.6,-5
9,44,4,2010-01-27,23-083,SAS,,ATL,W (+15),0,1:54,0,0,,0,0,,0,2,0.0,0,0,0,0,0,0,0,1,0,-1.2,-1
10,46,5,2010-01-31,23-087,SAS,,DEN,L (-14),0,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
11,51,6,2010-02-11,23-098,SAS,@,DEN,W (+19),0,3:07,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,0,0,3,1,4,1.3,-2
12,53,7,2010-02-19,23-106,SAS,@,PHI,L (-12),0,2:07,0,0,,0,0,,2,2,1.0,0,2,2,0,0,0,1,0,2,1.6,2
13,56,8,2010-02-26,23-113,SAS,@,HOU,L (-5),0,10:08,3,3,1.0,0,0,,2,3,0.667,4,1,5,0,0,1,1,3,8,8.3,8
14,58,9,2010-03-01,23-116,SAS,@,NOH,W (+14),0,1:12,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
15,59,10,2010-03-05,23-120,SAS,,NOH,W (+11),0,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
16,61,11,2010-03-08,23-123,SAS,@,CLE,L (-2),0,4:59,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,3,1,1,-3.2,2
17,63,12,2010-03-12,23-127,SAS,@,MIN,W (+18),0,3:40,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,4,2.6,-3
18,64,13,2010-03-13,23-128,SAS,,LAC,W (+30),0,8:09,3,5,0.6,0,0,,1,1,1.0,0,3,3,0,0,1,1,2,7,4.5,3
19,65,14,2010-03-16,23-131,SAS,@,MIA,W (+12),0,2:03,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
20,66,15,2010-03-17,23-132,SAS,@,ORL,L (-26),0,12:00,4,7,0.571,0,0,,2,2,1.0,1,1,2,0,0,1,0,0,10,8.4,-4
21,67,16,2010-03-19,23-134,SAS,,GSW,W (+31),0,13:08,6,9,0.667,0,0,,0,1,0.0,4,2,6,0,0,1,1,2,12,10.0,5
22,70,17,2010-03-24,23-139,SAS,,LAL,L (-9),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
23,72,18,2010-03-28,23-143,SAS,@,BOS,W (+21),0,3:27,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,1,2,0.6,-1
24,74,19,2010-03-31,23-146,SAS,,HOU,W (+17),0,3:43,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,0
25,75,20,2010-04-02,23-148,SAS,,ORL,W (+12),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
26,76,21,2010-04-04,23-150,SAS,@,LAL,W (+19),0,1:51,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,2.3,2
27,77,22,2010-04-06,23-152,SAS,@,SAC,W (+9),0,0:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
28,79,23,2010-04-09,23-155,SAS,,MEM,L (-8),0,8:29,2,3,0.667,0,0,,0,0,,1,0,1,0,2,1,1,1,4,4.7,-5
29,80,24,2010-04-10,23-156,SAS,@,DEN,W (+19),0,4:42,0,0,,0,0,,5,6,0.833,0,1,1,0,0,0,1,1,5,3.5,-1
30,81,25,2010-04-12,23-158,SAS,,MIN,W (+22),0,19:40,4,7,0.571,0,0,,6,12,0.5,1,6,7,0,1,1,1,6,14,9.1,1
31,82,26,2010-04-14,23-160,SAS,@,DAL,L (-7),0,14:45,3,4,0.75,0,0,,2,4,0.5,0,4,4,0,0,0,0,1,8,6.4,-9
32,1,1,2010-10-27,23-356,DAL,,CHA,W (+15),0,2:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
33,3,2,2010-10-31,23-360,DAL,@,LAC,W (+16),0,1:10,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
34,5,3,2010-11-06,24-001,DAL,,DEN,L (-11),0,0:47,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,2
35,7,4,2010-11-10,24-005,DAL,@,MEM,W (+15),0,3:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8
