model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,368,93,22.801087255063266,4.775048403426217,0.1656467813782981,19.843081238449265,4.454557356062358,0.0912215534479868,6.580645161290323,62741941928537.81,-7.462279766632466,5.520803675273694,-9.761189831160475,0.1549362645261871,0.7412333414589125,2.020271388576594,1.6495504685600668,10491458124989.896,12079890959424.225,2842213384876.4683,12079890959426.158,-1269723856338.3914,402738320686.9532,-1580587753621.833,12079890959422.764,-5374629489734.49,12079890959424.254,1352424043331.105,12079890959424.322,-81353703570.476,12079890959424.498,18904025202.10317,12079890959423.771,11325206258.981916,12079890959427.21,-2074480567.137748,12079890959423.52,25527968.21518037,12079890959423.393,-74821832887952.7,12079890959425.592,-85625.37102665007,12079890959427.732,-1027.78906583786,12079890959426.36,-14.35540771484375,12079890959424.305,0.513671875,12079890959423.607,0.0,12079890959422.455,0.0,12079890959425.004,-74821832887947.92,12079890959426.562,0.0,12079890959427.111,0.0,12079890959428.566,0.0,0.0,0.0,12079890959428.469,0.0,12079890959424.182,0.0,0.0,0.0,12079890959424.805,-74821832887953.94,12079890959424.838,0.0,0.0,0.0,0.0,0.0,12079890959424.0,0.0,0.0,0.0,12079890959425.402,0.0,12079890959426.562,0.0,12079890959425.234,-74821832887951.84,12079890959424.738,0.0,12079890959425.86,0.0,12079890959423.637,0.0,12079890959424.832,0.0,0.0,-74821832887951.69,12079890959425.492
"Random Forest (100 estimators, 20 depth)",368,93,4.33589141048053,2.0822803390707336,0.8413380505297934,19.166018310734607,4.377901130762846,0.122229852424974,6.580645161290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",368,93,9.151661271299426,3.025171279663257,0.6651160555622783,20.38914755984639,4.515434371114964,0.0662126701344376,6.580645161290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",368,93,17.163512122810847,4.1428869309710645,0.3719408455252589,21.085439861378788,4.591888485294344,0.0343236994383628,6.580645161290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),368,93,22.91315367660841,4.786768604874107,0.1615459690587083,19.77810179389035,4.447257783611194,0.0941974984624958,6.580645161290323,9.675338851117983,-4.837254998210597,3.534464053490472,-3.4874425619777973,0.1193776045192919,0.6585649118539092,-2.024666054285525,1.264222787531135,0.0,-0.8650344967966493,0.0,1.0432456260441807,0.0,0.0,0.0,-2.2703328890853465,0.0,-0.8329361792283825,0.0,-0.8291434344261874,0.0,-0.6247796538829903,0.0,-1.3367058926730049,0.0,1.941799003020766,0.0,-0.6029755459047552,0.0,-1.7274723244604884,-1.4200543074684666,0.3525360273423806,0.0,2.174390087421666,0.0,1.157608659697357,0.0,-0.8412438434462529,0.0,-1.3924284254984385,0.0,-2.441708064197757,0.0,-0.1740854719134017,3.266761334401097,1.2245885561183474,0.0,1.7113689178440088,0.0,3.1099761189675985,0.0,0.0,0.0,2.9061037431508128,0.0,-0.8940139710912359,0.0,0.0,0.0,0.1018897837952541,-1.272230549331734,-0.371629810575955,0.0,0.0,0.0,0.0,0.0,-1.0514268589924622,0.0,0.0,0.0,0.2318795566111541,0.0,1.3820938773585136,0.0,0.1118162797541093,-0.0421455450992667,-0.3503498441272441,0.0,0.5378707436208889,0.0,-1.3739837222289435,0.0,-0.2995660938872101,0.0,0.0,-0.5323309325017952,0.2926495416694284
Ridge (lambda=0.1),368,93,22.806854596940248,4.775652269265451,0.1654357387993139,19.78500553479937,4.448033895419344,0.0938813191925874,6.580645161290323,10.883101831411764,-7.044287617980408,5.114851594616976,-7.025958974536223,0.1137834299862501,0.7163903896705451,-0.2783982260725732,1.8238704956316545,0.0,-0.905232341458768,0.0,1.0710644492554218,0.0,0.0,0.0,-2.396206104150435,0.0,-0.8767710032079309,0.0,-0.830434190444813,0.0,-0.6494073502359278,0.0,-1.370365349105238,0.0,2.072313579211709,0.0,-1.4471194060510448,0.0,-1.7685883629340595,-1.2106382141149437,0.4410569000619409,0.0,2.549499668693286,0.0,1.218168822521009,0.0,-0.8047788283616281,0.0,-1.4853666234953011,0.0,-2.644130421305769,0.0,-0.1537869387940033,3.625990787660714,1.4195413130403522,0.0,1.9256264032522563,0.0,3.37740420042765,0.0,0.0,0.0,3.267757278106583,0.0,-0.9668145091608052,0.0,0.0,0.0,-0.2100716292915087,-2.1161553675247298,-0.3351011700964488,0.0,0.0,0.0,0.0,0.0,-1.126706045645583,0.0,0.0,0.0,0.2666976965499589,0.0,1.4106676585736533,0.0,0.0854153537678157,-0.164984614714978,-0.3937037654605151,0.0,0.6849369554088481,0.0,-1.4810142438197902,0.0,-0.2855738522082028,0.0,0.0,-0.1342125913105973,0.3410218563543831
Lasso (lambda=0.1),368,93,26.125075061420524,5.111269417808117,0.0440131112875175,21.92114558005529,4.6820023045760335,-0.0039501621493156,6.580645161290323,6.735261321318978,-0.0312506681054713,-0.0,-0.4135869699956454,-0.0,1.117236143995974,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.7066914851947994,0.0,0.0,0.0,0.0,0.6955408566310263,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.2777438590308431,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Lasso (lambda=1.0),368,93,27.32785916824196,5.227605490876484,0.0,22.44025677378702,4.737114815347737,-0.0277245477176806,6.580645161290323,7.358695652173913,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
"Random Forest (50 estimators, 5 depth)",368,93,16.842276739720155,4.1039343001222806,0.3836957137391585,20.1511745300024,4.489005962348724,0.0771114190627972,6.580645161290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),368,93,23.0005474523531,4.795888598826405,0.1583479953277015,20.0428933553922,4.476929009420655,0.082070507647407,6.580645161290323,9.528831786177882,-4.337694041087582,3.844835077362656,-5.959047746232943,0.0666213673053085,0.6222385456263432,-0.0,0.2426111567081222,0.0,-0.2429199200703389,0.0,1.0820281195705663,0.0,0.0,0.0,-1.882188865867089,0.0,-0.3813577369631218,0.0,-0.4012403159429757,0.0,-0.0903309786628888,0.0,-0.8538391172777313,0.0,2.045461308449533,0.0,-0.0,0.0,-1.352964282544567,-0.3216194386303279,0.3174583511464665,0.0,2.173279034881225,0.0,1.252879589172708,0.0,-0.4439485680088755,0.0,-0.948343536836745,0.0,-2.106841866148102,0.0,0.0,3.695279618843343,1.1559104460149714,0.0,1.84086140936108,0.0,3.3363774572720533,0.0,0.0,0.0,3.041643260153319,0.0,-0.2386929993677605,0.0,0.0,0.0,0.0,-0.8881870856037543,-0.0,0.0,0.0,0.0,0.0,0.0,-0.5132717705475207,0.0,0.0,0.0,0.0688883170384083,0.0,1.3638428080573564,0.0,0.0866348741531506,0.3350041317091856,-0.0,0.0,0.3536690735813587,0.0,-0.9901216783684093,0.0,-0.0,0.0,0.0,0.0,0.1753289187656217
