Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,20-350,MEM,,NYK,W (+3),0,12:32,1,2,.500,1,2,.500,2,2,1.000,1,1,2,1,1,1,0,2,5,6.6,-2
2,2,2022-10-21,20-352,MEM,@,HOU,W (+7),0,15:10,4,7,.571,3,4,.750,1,1,1.000,2,3,5,0,0,1,1,3,12,9.5,-4
3,3,2022-10-22,20-353,MEM,@,DAL,L (-41),0,22:26,2,6,.333,2,5,.400,0,0,,0,2,2,0,0,0,1,5,6,0.2,-10
4,4,2022-10-24,20-355,MEM,,BRK,W (+10),0,11:03,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-1.2,-4
5,5,2022-10-27,20-358,MEM,@,SAC,W (+15),0,29:50,5,6,.833,3,4,.750,0,0,,2,7,9,1,1,0,0,5,13,14.0,+24
6,,2022-10-29,20-360,MEM,@,UTA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2022-10-31,20-362,MEM,@,UTA,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2022-11-02,20-364,MEM,@,POR,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6,2022-11-04,21-001,MEM,,CHO,W (+31),0,19:10,1,4,.250,0,2,.000,2,2,1.000,1,8,9,0,0,0,1,0,4,3.7,-9
10,7,2022-11-06,21-003,MEM,,WAS,W (+6),0,16:10,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,0,2,6,4.9,+6
11,8,2022-11-07,21-004,MEM,,BOS,L (-3),0,24:36,2,4,.500,2,4,.500,0,0,,0,3,3,1,1,0,1,2,6,4.8,+7
12,9,2022-11-09,21-006,MEM,@,SAS,W (+2),0,16:44,3,4,.750,0,1,.000,0,0,,0,0,0,0,1,0,1,3,6,3.2,-12
