model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,829,208,69.09695812128709,8.312458007189395,0.4544875304089818,65.30907074763225,8.081402771031293,0.4427116480096199,25.1875,-5491136189463.724,-20.12050202812942,21.626850048599863,23.05329229743283,0.6547601522825692,-1.7451691715672637,-5.1044807346746985,3.270887692712594,923886957754.0544,52278101483.95866,12172440307.799215,52278101484.42098,-97036066914.5191,-10062105409.234377,5438858087980.506,52278101481.99119,-21721455624.38957,52278101483.27203,-1172674200.6019187,52278101481.86403,18689324225.42817,52278101485.322174,7236498935.091807,52278101483.191055,-867060947.5064306,52278101483.06802,74761149.8227414,52278101484.1554,124245961.95396456,52278101485.16251,5438858087988.178,52278101483.93556,401622.3059270865,52278101483.00067,6105.157035851153,52278101488.17236,5438858087986.646,52278101488.17325,-19.438050746917725,52278101487.15381,0.0391845703125,52278101484.60193,0.0,52278101483.78702,0.0,52278101484.957184,0.0,52278101486.30664,0.0,52278101485.247314,0.0,0.0,5438858087988.275,52278101484.09372,0.0,52278101485.32178,0.0,0.0,0.0,52278101483.26318,0.0,52278101487.20514,0.0,0.0,0.0,0.0,0.0,52278101481.524414,0.0,0.0,0.0,52278101485.556885,0.0,52278101487.106445,0.0,52278101484.38513,0.0,52278101486.48096,0.0,52278101482.42639,0.0,52278101479.675415,0.0,52278101484.57996,0.0,0.0,5438858088000.445,52278101485.28467
"Random Forest (100 estimators, 20 depth)",829,208,12.937265071029266,3.5968409849518324,0.8978617928988604,65.51299497220728,8.094009820367608,0.4409715437064445,25.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",829,208,31.2515112136862,5.590305109176618,0.7532729439304036,64.53946889036,8.033646052096147,0.4492787319662316,25.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",829,208,55.92184665275279,7.478091110220093,0.5585035072298615,60.26007218198613,7.7627361272934,0.4857952205921119,25.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),829,208,69.37010702133367,8.32887189368006,0.4523310515265262,66.62383043042065,8.162342214733505,0.4314926818155387,25.1875,9.701049011068688,-5.228535401222861,6.307398800005019,10.43907757933372,0.6469276135381445,-1.2716537145422775,6.8667213459480765,1.2347376873833746,0.0,-0.5275485964189134,0.0,-0.151280083947848,0.0,0.0,-7.799290468301429,-2.380314529473764,0.0,-1.2132643713528368,0.0,-2.568360733470069,0.0,0.780392263099378,0.0,-1.2380934354443078,0.0,-1.4220016829925062,0.0,-0.2238173676368818,0.0,0.8338612799521097,-0.2524716967407029,-0.668909095436831,0.0,-1.4313820719476578,0.0,3.6514092969184726,-3.658068193402314,3.5883914507397314,0.0,2.6643986763887573,0.0,0.2422974663068985,0.0,-0.7456981961536906,0.0,0.6204325847011112,0.0,1.8508420663684784,0.0,0.6065933391014702,0.0,0.0,-0.1007462309165811,-0.3836354489259236,0.0,0.7422175622614362,0.0,0.0,0.0,-1.3574149978352972,0.0,2.573558511977339,0.0,0.0,0.0,0.0,0.0,-2.958470690236263,0.0,0.0,0.0,1.0790219018794116,0.0,2.2827200240416525,0.0,-0.3133807639844659,0.0,1.7857560377786494,0.0,-1.6981765194304772,0.0,-4.762381067826869,0.0,0.0661937894003739,0.0,0.0,11.810576589365596,0.6760434015976258
Ridge (lambda=0.1),829,208,69.12639841124668,8.314228672056517,0.454255102734624,65.76952783210407,8.109841418431317,0.438782525043544,25.1875,9.554586623537451,-15.618495031276282,16.95117654463212,17.247213252848276,0.6543637780881255,-1.6816519282732678,0.8253488890710289,2.488753222385904,0.0,-0.5479918684368545,0.0,-0.0987751952431841,0.0,0.0,-8.230421171030567,-2.477966897293973,0.0,-1.2382517337567558,0.0,-2.641173697565944,0.0,0.8124809141304161,0.0,-1.298766805269576,0.0,-1.4430601928825744,0.0,-0.2936565641762459,0.0,0.7260403990691466,-0.5381882567998312,-0.6167994226391433,0.0,-1.4906699682320534,0.0,3.7014498432009777,-2.6521269888915167,3.680909422574739,0.0,2.6709856682362445,0.0,0.1426314402636204,0.0,-0.7433289199724986,0.0,0.526436396929695,0.0,1.833943828952691,0.0,0.6813938827935326,0.0,0.0,-0.3446713721839185,-0.4099811274340888,0.0,0.7920435897587509,0.0,0.0,0.0,-1.3099942402609943,0.0,2.680845115088485,0.0,0.0,0.0,0.0,0.0,-3.011058284393255,0.0,0.0,0.0,1.0716173926823165,0.0,2.5866428576596103,0.0,-0.1975937078129882,0.0,1.9261787037625944,0.0,-1.9761943799178163,0.0,-4.864718731001273,0.0,0.071866327231363,0.0,0.0,11.765407788925396,0.7545159539394004
Lasso (lambda=0.1),829,208,74.26027370718138,8.617440090141699,0.4137237527677885,64.59430146269993,8.037058010410274,0.4488108405458682,25.1875,11.488106827730691,0.0,0.3474850556402784,10.620554150985305,0.2153850276232704,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2.101528676846,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.533493861957708,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.7110851505425572,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,12.489676420785786,0.0
Lasso (lambda=1.0),829,208,85.89937087843316,9.268191348824924,0.3218344306567572,77.98863264208813,8.831117292964018,0.3345157715221639,25.1875,21.14733248079946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.930276448629819,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6.620488293131292,-0.0
"Random Forest (50 estimators, 5 depth)",829,208,55.59413582310545,7.456147518866928,0.5610907462177029,57.8657517572242,7.606954170837643,0.506226178625623,25.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),829,208,69.60781172147628,8.343129611930783,0.4504544004910265,65.75906765916518,8.109196486654222,0.4388717826684332,25.1875,9.792814631396858,-0.0,1.904586472556464,16.82420809383428,0.5941861855798362,-1.34656293398363,0.0,0.0,0.0,-0.24376924248695,0.0,-0.0,0.0,0.0,-7.857577480382652,-2.17185868828354,0.0,-0.9547037167862686,0.0,-2.256072366697754,0.0,0.5761797574122326,0.0,-0.9255566512867852,0.0,-1.1961084045144996,0.0,-0.0,0.0,0.6161105223510444,0.0,-0.1746489580146261,0.0,-1.1976127983821705,0.0,3.486537154885584,-4.1229878463342855,3.417615587813585,0.0,2.608000884082632,0.0,0.0514502779911308,0.0,-0.324169458714251,0.0,0.4457456503130687,0.0,1.5567099728530445,0.0,0.3480591321576586,0.0,0.0,0.0,-0.053322951882825,0.0,0.624012807548625,0.0,0.0,0.0,-0.6477171144066273,0.0,2.410539744293738,0.0,0.0,0.0,0.0,0.0,-2.7013208406082563,0.0,0.0,0.0,0.9212070633122416,0.0,1.4839686056621293,0.0,-0.0,0.0,1.515210392923692,0.0,-1.2075420929722145,0.0,-4.580085184828917,0.0,0.0,0.0,0.0,11.856506261373552,0.0662372305612786
