Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2014-11-01,19-077,BOS,@,HOU,L (-14),0,5:47,3,3,1.000,0,0,,0,1,.000,0,1,1,0,0,1,0,0,6,5.7,+9
7,2,2014-11-12,19-088,BOS,,OKC,L (-15),0,3:31,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,-5
11,3,2014-11-21,19-097,BOS,@,MEM,L (-17),0,2:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
14,4,2014-11-30,19-106,BOS,,SAS,L (-22),0,4:19,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,-3
17,5,2014-12-05,19-111,BOS,,LAL,W (+17),0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
32,6,2015-01-05,19-142,BOS,,CHO,L (-9),0,17:31,5,7,.714,3,4,.750,0,0,,1,0,1,0,0,0,0,1,13,10.4,+9
34,7,2015-01-09,19-146,BOS,@,IND,L (-4),0,7:15,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
35,8,2015-01-10,19-147,BOS,@,TOR,L (-13),0,5:47,0,0,,0,0,,0,0,,0,1,1,2,0,1,0,0,0,2.4,+4
36,9,2015-01-12,19-149,BOS,,NOP,W (+8),0,9:31,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,0.6,+5
37,10,2015-01-14,19-151,BOS,,ATL,L (-14),0,8:46,2,7,.286,1,6,.167,0,0,,0,0,0,0,0,0,0,0,5,0.9,-4
42,11,2015-01-25,19-162,BOS,@,GSW,L (-3),0,14:50,1,5,.200,1,4,.250,0,0,,0,2,2,0,0,0,1,1,3,-0.9,+4
44,12,2015-01-28,19-165,BOS,@,MIN,L (-12),0,7:47,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.2,+4
46,13,2015-02-01,19-169,BOS,,MIA,L (-8),0,9:07,1,2,.500,0,1,.000,1,2,.500,0,3,3,0,0,0,0,0,3,2.5,-5
47,14,2015-02-03,19-171,BOS,@,NYK,W (+11),0,17:01,2,7,.286,0,3,.000,1,2,.500,0,3,3,2,1,0,1,0,5,2.8,+2
48,15,2015-02-04,19-172,BOS,,DEN,W (+4),0,20:06,3,9,.333,2,6,.333,0,0,,1,1,2,3,0,0,0,3,8,4.8,+14
49,16,2015-02-06,19-174,BOS,,PHI,W (+11),0,11:36,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,2,0,-1.6,-1
51,17,2015-02-11,19-179,BOS,,ATL,W (+1),0,17:29,2,5,.400,1,3,.333,0,0,,0,2,2,0,1,0,0,0,5,3.9,-1
