model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,247,62,46.830290539544606,6.843266072537631,0.1500329044052406,59.52708487356863,7.715379762109486,0.0760821502675073,17.080645161290324,4633899456892.022,-26.112639110757687,11.23614258846073,10.834450384053302,-1.002922792514056,0.362740791207095,-5.760004881989768,28.905259065440664,-5097994378795.086,-4633899456879.979,-165531221738.69595,-4633899456876.059,-188195734560.63257,-41126966729.58382,-49941691095.11946,-4633899456878.325,194733182.56431293,-4633899456878.196,14359899455.550018,-4633899456878.13,-4786690391.337002,-391079311.685457,-121562596.11340964,-4633899456878.222,83187.3844514401,-4633899456878.014,3387596.8958082707,-796113.2385367464,581763.2508552305,-4633899456877.46,1786.625518862158,-4633899456874.674,70.28412503004074,-4633899456881.883,-0.04119873046875,-4633899456883.561,0.0,-4633899456881.302,0.0,-4633899456879.471,0.0,-4633899456875.844,0.0,-4633899456874.433,0.0,-4633899456878.18,0.0,-4633899456878.02,0.0,-4633899456878.27,0.0,0.0,0.0,-4633899456877.502,0.0,-4633899456879.438,0.0,0.0,0.0,0.0,0.0,-4633899456877.855,0.0,0.0,0.0,0.0,0.0,-4633899456880.487,0.0,0.0,0.0,-4633899456879.356,0.0,0.0,0.0,-4633899456880.32,0.0,-4633899456879.186,0.0,-4633899456878.447,0.0,-4633899456876.168,0.0,-4633899456879.037,0.0,0.0,0.0,-4633899456879.648
"Random Forest (100 estimators, 20 depth)",247,62,8.888527722217828,2.981363399892376,0.8386737300767458,52.04408574723964,7.214158699892846,0.192225523944081,17.080645161290324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",247,62,17.757175423448306,4.213926366638162,0.6777082813976971,52.22844106385015,7.226924730744755,0.1893641513760927,17.080645161290324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",247,62,32.41727314900368,5.693616877609845,0.4116283459250864,52.87608177149507,7.271594169884281,0.1793121420885992,17.080645161290324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),247,62,48.14163754324068,6.938417510011968,0.1262320312693533,56.82593882182234,7.538298138295032,0.1180065458135583,17.080645161290324,13.727683838998868,-5.511144100910621,3.329430852063361,4.123245848521136,-1.1785172777122002,0.8519900319209548,0.8698169487336354,6.677535400952402,0.0,-1.5864117591505704,0.0,2.414232123556079,0.0,0.0,0.0,0.4413635079060912,0.0,0.5488517428788762,0.0,0.4129544804854904,0.0,0.0,0.0,0.6171379365468627,0.0,0.2608011175731287,0.0,0.0,0.0,0.7860703091371056,0.0,2.799484638392308,0.0,-3.170791445400659,0.0,-3.8878996445186575,0.0,-2.110642950573652,0.0,0.2368724868489753,0.0,1.882422591803854,0.0,3.4847492704325296,0.0,0.1209016560468222,0.0,0.256564624533444,0.0,0.2815868086709652,0.0,0.0,0.0,1.1245760464050232,0.0,-1.1004676073282753,0.0,0.0,0.0,0.0,0.0,0.6853700573848597,0.0,0.0,0.0,0.0,0.0,-1.7502093254673736,0.0,0.0,0.0,-0.7507134980537742,0.0,0.0,0.0,-1.5794596926590916,0.0,-0.848458726772244,0.0,0.0327401829587896,0.0,1.686339417510717,0.0,-0.6320472959906042,0.0,0.0,0.0,-0.655917053157223
Ridge (lambda=0.1),247,62,46.969155697666906,6.853404679257377,0.1475125097254584,57.35160095705664,7.573083979268726,0.1098477617793158,17.080645161290324,13.532898138500814,-19.3654439469652,8.627021075612388,8.385505574576937,-1.071944079442971,0.5707247940540122,-3.2684069146738035,21.539591329535035,0.0,-1.5225849853446034,0.0,2.571193040438036,0.0,0.0,0.0,0.2897276034765608,0.0,0.4177886676488653,0.0,0.4238940318943048,0.0,0.0,0.0,0.4215233556180301,0.0,0.4247877520066239,0.0,0.0,0.0,0.994912192797509,0.0,3.683235927995213,0.0,-3.3419830568869955,0.0,-4.940111758220353,0.0,-2.6376292304319384,0.0,-0.5285147654432444,0.0,2.475142901335446,0.0,4.007231251288614,0.0,0.2776427177243883,0.0,0.4466991676506704,0.0,0.2768078797544641,0.0,0.0,0.0,1.0937805167858377,0.0,-1.000112156357164,0.0,0.0,0.0,0.0,0.0,0.715092336172378,0.0,0.0,0.0,0.0,0.0,-1.9150937352897488,0.0,0.0,0.0,-0.8228382259252738,0.0,0.0,0.0,-1.7673638858484562,0.0,-0.777684853212686,0.0,0.0708328972995505,0.0,2.202057323909268,0.0,-0.562764902531277,0.0,0.0,0.0,-0.9756680083047004
Lasso (lambda=0.1),247,62,51.37066093065606,7.167332902178889,0.0676254414193197,56.63811907766019,7.525830125485174,0.1209216896431639,17.080645161290324,15.059928159307091,0.0,0.9279116058844274,3.9640101761809015,-0.7347192412144454,0.0,0.0,0.3908153424230833,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5259598255851528,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.5686299766927189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),247,62,55.0965923060532,7.422707882306375,0.0,64.43697175297773,8.027264275765296,-0.0001240361716285,17.080645161290324,17.170040485829958,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",247,62,32.76617889242694,5.724174952989028,0.4052957266319522,52.19137732175476,7.224359993920205,0.189939416450345,17.080645161290324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),247,62,47.20455233557976,6.8705569159697495,0.1432400742070282,55.94441175277033,7.479599705383325,0.1316886973223945,17.080645161290324,14.188088549938518,-17.301638452027362,7.52747652754734,5.381837486781544,-1.044512637509732,0.2684854563697197,-0.0,19.06083101167836,0.0,-1.5779570645797507,0.0,1.8544388511452965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817273804977722,0.0,0.0,0.0,0.0,0.0,0.4376658521391213,0.0,2.664103874579829,0.0,-3.418339299529884,0.0,-4.5351300080168695,0.0,-2.356336243348536,0.0,-0.4312017686338867,0.0,1.8112138040245576,0.0,3.5195237783023545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7464396031132035,0.0,-1.0265239149173415,0.0,0.0,0.0,0.0,0.0,0.0567766654396074,0.0,0.0,0.0,0.0,0.0,-1.9379579064545185,0.0,0.0,0.0,-0.7894512975356969,0.0,0.0,0.0,-1.6774936155307052,0.0,-0.5066388030818342,0.0,-0.0,0.0,1.4668359141216707,0.0,-0.6817391409677523,0.0,0.0,0.0,-0.8245378936093919
