Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2001-04-17,22-353,MIL,@,MIA,L (-2),0,9:55,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,2,0,2,0.4,-3
1,1,2001-12-19,23-234,SAS,,POR,W (+18),0,1:35,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,4
6,2,2002-01-23,23-269,SAS,@,UTA,W (+6),0,10:34,0,0,,0,0,,0,0,,0,3,3,2,1,0,3,4,0,-1.3,1
7,3,2002-04-03,23-339,SAS,,SEA,W (+2),0,6:14,0,0,,0,0,,0,0,,2,0,2,0,0,0,1,2,0,-0.4,-2
8,4,2002-04-04,23-340,SAS,@,HOU,W (+24),0,13:58,2,4,0.5,0,0,,0,0,,0,1,1,3,0,0,1,3,4,2.2,10
9,5,2002-04-06,23-342,SAS,,DAL,W (+2),0,5:12,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,0.2,-6
10,6,2002-04-08,23-344,SAS,,POR,W (+12),0,12:46,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,2,1,0,0,1,4,4.6,9
11,7,2002-04-10,23-346,SAS,,DEN,W (+8),0,17:09,3,5,0.6,0,0,,0,0,,2,1,3,1,2,1,1,1,6,7.4,-11
12,8,2002-04-12,23-348,SAS,@,DET,W (+10),0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
13,9,2002-04-13,23-349,SAS,@,MEM,W (+21),0,15:59,1,3,0.333,0,0,,4,4,1.0,0,1,1,1,0,0,1,2,6,3.5,-3
14,10,2002-04-16,23-352,SAS,,PHO,W (+24),0,8:11,3,4,0.75,0,1,0.0,0,0,,0,1,1,1,2,0,1,1,6,6.0,2
1,1,2003-11-01,25-186,SAS,,NYK,W (+12),1,31:28,1,5,0.2,0,0,,0,1,0.0,0,3,3,2,0,0,1,1,2,-0.6,-4
2,2,2003-11-03,25-188,SAS,@,MEM,L (-8),1,37:24,1,6,0.167,0,0,,2,2,1.0,1,7,8,8,2,1,3,3,4,7.1,5
3,3,2003-11-04,25-189,SAS,,MIA,W (+7),1,34:39,2,7,0.286,0,0,,2,2,1.0,0,2,2,3,1,1,0,1,6,5.9,-1
4,4,2003-11-06,25-191,SAS,,LAL,L (-3),1,45:31,6,12,0.5,0,0,,2,2,1.0,0,2,2,5,1,0,1,5,14,10.1,-10
5,5,2003-11-08,25-193,SAS,,DAL,L (-3),1,36:14,3,8,0.375,0,0,,1,2,0.5,1,4,5,1,2,1,1,3,7,5.3,2
6,6,2003-11-10,25-195,SAS,,UTA,W (+9),0,18:41,1,3,0.333,0,0,,0,0,,0,2,2,4,1,0,1,2,2,2.9,6
7,7,2003-11-12,25-197,SAS,@,NJN,W (+14),0,12:56,2,2,1.0,0,0,,1,1,1.0,0,2,2,1,0,0,0,2,5,4.9,14
8,8,2003-11-14,25-199,SAS,@,PHI,L (-4),0,7:13,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-15
9,9,2003-11-15,25-200,SAS,@,WAS,W (+24),0,25:16,6,7,0.857,0,0,,0,0,,1,1,2,5,0,0,1,2,12,12.2,21
10,10,2003-11-18,25-203,SAS,,GSW,W (+13),0,2:55,0,0,,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,0,-0.8,-6
12,11,2003-11-21,25-206,SAS,,ATL,W (+39),0,9:17,1,2,0.5,0,0,,0,0,,0,2,2,2,1,0,0,0,2,4.0,2
13,12,2003-11-26,25-211,SAS,,CHI,W (+11),0,18:53,5,5,1.0,0,0,,1,1,1.0,0,0,0,7,0,0,0,2,11,13.6,-3
14,13,2003-11-28,25-213,SAS,@,LAL,L (-16),0,18:45,2,4,0.5,0,0,,4,8,0.5,1,3,4,2,0,0,0,1,8,7.0,10
15,14,2003-11-29,25-214,SAS,@,GSW,L (-2),0,9:05,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,2,0.9,2
16,15,2003-12-01,25-216,SAS,@,LAC,L (-8),0,9:59,0,1,0.0,0,0,,0,0,,1,1,2,1,0,0,1,2,0,-0.8,-5
17,16,2003-12-03,25-218,SAS,,LAL,L (-4),0,9:52,0,0,,0,0,,2,2,1.0,0,3,3,2,2,0,0,3,2,5.1,12
18,17,2003-12-05,25-220,SAS,@,ORL,W (+11),0,8:25,1,2,0.5,0,0,,0,0,,0,1,1,1,1,0,0,2,2,2.2,17
19,18,2003-12-06,25-221,SAS,@,MIA,W (+16),0,12:21,0,4,0.0,0,0,,2,2,1.0,1,0,1,1,1,0,2,1,2,-0.8,9
20,19,2003-12-08,25-223,SAS,@,CHI,W (+14),0,7:37,0,0,,0,0,,2,2,1.0,0,0,0,1,1,0,1,1,2,2.3,4
21,20,2003-12-10,25-225,SAS,,POR,W (+25),0,16:14,4,7,0.571,0,0,,0,0,,1,1,2,1,1,0,0,3,8,6.2,13
22,21,2003-12-11,25-226,SAS,@,HOU,W (+4),0,3:01,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
23,22,2003-12-13,25-228,SAS,,HOU,W (+13),0,17:59,1,4,0.25,0,0,,0,0,,0,1,1,2,0,0,0,0,2,1.3,-4
24,23,2003-12-15,25-230,SAS,,MEM,W (+11),0,10:32,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,2,2,1.5,0
25,24,2003-12-17,25-232,SAS,,TOR,W (+3),0,10:27,2,2,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,6,4.7,10
26,25,2003-12-19,25-234,SAS,@,SEA,W (+14),0,14:22,2,4,0.5,0,0,,0,0,,0,3,3,1,1,0,1,1,4,3.2,2
27,26,2003-12-20,25-235,SAS,@,POR,W (+10),0,10:01,1,4,0.25,0,1,0.0,0,0,,0,0,0,2,2,0,0,0,2,3.0,7
28,27,2003-12-23,25-238,SAS,,LAC,W (+21),0,15:32,1,3,0.333,0,0,,0,0,,0,4,4,1,0,0,2,2,2,-0.6,-1
29,28,2003-12-26,25-241,SAS,,ORL,W (+15),0,10:40,1,3,0.333,0,0,,0,0,,1,0,1,1,0,0,0,2,2,0.9,3
30,29,2003-12-28,25-243,SAS,,MIL,W (+15),0,12:10,1,3,0.333,0,0,,0,0,,0,1,1,1,1,0,0,0,2,2.3,14
31,30,2004-01-03,25-249,SAS,,PHI,L (-6),0,7:37,0,0,,0,0,,2,2,1.0,0,0,0,2,2,0,3,3,2,1.2,7
32,31,2004-01-05,25-251,SAS,@,DEN,W (+24),0,12:17,0,1,0.0,0,0,,0,0,,0,3,3,1,1,0,0,0,0,1.9,12
33,32,2004-01-06,25-252,SAS,,WAS,W (+22),0,21:36,2,5,0.4,0,0,,0,0,,1,5,6,5,2,0,1,3,4,6.8,15
34,33,2004-01-09,25-255,SAS,@,NOH,W (+10),0,9:29,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,2,0,2,0.4,-8
37,34,2004-02-28,25-305,SAS,,DEN,W (+25),0,3:44,0,0,,0,0,,2,2,1.0,0,1,1,2,0,0,0,0,2,3.7,3
38,35,2004-03-01,25-307,SAS,,MEM,L (-1),0,4:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
39,36,2004-03-03,25-309,SAS,,SEA,W (+4),0,9:09,1,4,0.25,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-5
40,37,2004-03-05,25-311,SAS,,DAL,W (+13),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1
41,38,2004-03-06,25-312,SAS,@,PHO,W (+21),0,4:43,2,3,0.667,0,0,,1,1,1.0,0,1,1,0,0,0,0,1,5,3.6,-7
43,39,2004-03-10,25-316,SAS,,LAC,W (+18),0,3:01,0,2,0.0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.0,-1
44,40,2004-03-12,25-318,SAS,,GSW,W (+25),0,2:28,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-1.4,2
45,41,2004-03-14,25-320,SAS,@,SAC,L (-14),0,3:33,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,2.0,3
47,42,2004-03-18,25-324,SAS,,MIN,W (+20),0,2:29,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,3,2.3,1
48,43,2004-03-20,25-326,SAS,,BOS,W (+16),0,3:11,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4
50,44,2004-03-25,25-331,SAS,,DET,W (+9),0,4:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,5
51,45,2004-03-27,25-333,SAS,,PHO,W (+29),0,15:58,5,8,0.625,1,1,1.0,1,1,1.0,0,0,0,1,0,0,0,0,12,9.1,-6
52,46,2004-03-29,25-335,SAS,,CLE,W (+8),0,19:28,4,6,0.667,0,0,,0,0,,0,2,2,2,0,0,3,1,8,4.0,-5
53,47,2004-03-31,25-337,SAS,,SAC,W (+18),0,5:06,1,3,0.333,1,1,1.0,0,0,,0,0,0,1,1,0,0,0,3,3.0,1
54,48,2004-04-02,25-339,SAS,@,UTA,W (+13),0,3:30,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
56,49,2004-04-07,25-344,SAS,,SEA,W (+21),0,8:11,1,3,0.333,0,0,,0,0,,0,2,2,2,0,0,1,1,2,0.9,-4
57,50,2004-04-09,25-346,SAS,,POR,W (+10),0,5:01,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-10
58,51,2004-04-11,25-348,SAS,@,LAC,W (+9),0,8:00,1,2,0.5,0,0,,1,2,0.5,0,2,2,1,0,0,0,0,3,2.9,5
59,52,2004-04-12,25-349,SAS,@,POR,W (+12),0,12:52,2,2,1.0,0,0,,2,2,1.0,0,0,0,3,2,1,1,0,6,9.2,11
60,53,2004-04-14,25-351,SAS,,DEN,W (+26),0,14:52,4,5,0.8,0,0,,0,0,,0,5,5,0,2,1,2,3,8,7.1,18
1,1,2004-11-04,26-189,CHA,,WAS,L (-7),0,25:56,1,4,0.25,0,0,,0,0,,0,3,3,6,2,0,0,2,2,5.9,-3
2,2,2004-11-06,26-191,CHA,,ORL,W (+11),1,32:27,4,8,0.5,1,1,1.0,5,6,0.833,0,2,2,11,1,0,2,1,14,16.5,10
3,3,2004-11-10,26-195,CHA,@,MIL,L (-2),1,33:12,6,8,0.75,0,0,,7,8,0.875,0,4,4,12,3,0,2,3,19,24.8,-10
