model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,414,104,11.706852884684208,3.42152785823588,0.2894359715678688,1.1250206902255748e+23,335413280927.5111,-6.691720075604826e+21,5.730769230769231,2202132967066.6973,3422141965.3016467,-3422141965.558489,-8.973894715309143,0.2094767689704895,3.293875217437744,5.04194974899292,-0.8585314750671387,451243404909.92206,397896681930.187,513677431178.7603,397896681930.11566,-4553424286837.945,397896681929.5501,-1514984988344.723,397896681932.09576,-2193530703781.994,397896681930.19885,334845788492.077,397896681930.3828,1366138263201.726,892113313145.7004,-181330083277.64105,397896681930.7517,-317246026940.9948,348551647892.4716,584356205612.3961,397896681931.31854,1152106352202.6746,1154917863158.75,705921366463.195,79419479142.70834,-499170695027.9721,397896681929.95135,0.0,0.0,0.0,397896681930.0877,0.0,397896681929.5039,0.0,397896681929.7262,0.0,397896681930.06085,0.0,397896681929.7827,0.0,397896681930.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397896681929.84033,0.0,397896681929.7764,0.0,0.0,0.0,397896681929.1704,0.0,0.0,0.0,397896681928.1189,0.0,0.0,0.0,0.0,-2600029648991.225,397896681929.553,0.0,0.0,0.0,0.0,-2600029648989.5435,397896681929.0957,0.0,0.0,0.0,397896681930.6517,-2600029648990.2603,397896681930.3049,0.0,397896681929.8136,0.0,397896681930.1467
"Random Forest (100 estimators, 20 depth)",414,104,2.000585966736863,1.4144207177275308,0.8785715992374767,12.541385830191452,3.541381909677556,0.2540275564267997,5.730769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",414,104,4.039554268848453,2.009864241397526,0.7548135282285477,12.389834563173425,3.519919681352605,0.2630419564711628,5.730769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",414,104,8.358379991225679,2.8910862995119464,0.492676279762437,11.900122550583404,3.4496554249060014,0.2921704492569836,5.730769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),414,104,11.739495434918084,3.4262947092913776,0.2874546857158165,12.75001082718863,3.570715730380764,0.2416183617087977,5.730769230769231,6.151889418140786,0.0257989952771942,0.0257989952771958,-3.0861398402634626,0.2062878573394115,3.264923613977895,-0.9900957747056156,-0.4348887735943506,0.0,0.1845334907369088,0.0,0.12857204042153,0.0,-0.4556569679934917,0.0,1.7771213056067947,0.0,0.1280100865613579,0.0,0.3770897505160447,0.0,0.0,0.0,0.6906404680533614,0.0,0.0,0.0,1.227860459517247,0.0,0.0,0.0,0.0,0.0,-0.1011432960012041,0.0,0.0,0.0,0.0833815280175584,0.0,-0.576425673737528,0.0,-0.2598232719056568,0.0,0.081056589130705,0.0,-0.1226075297357985,0.0,0.2579436469283454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2791084901056234,0.0,-0.1952758988828949,0.0,0.0,0.0,-0.7587033312457871,0.0,0.0,0.0,-1.8297047793083647,0.0,0.0,0.0,0.0,-0.8156912292832784,-0.3678721861876557,0.0,0.0,0.0,0.0,0.7504861440686015,-0.765671918775592,0.0,0.0,0.0,0.5917810092948306,0.065205085214292,0.3003443295684223,0.0,-0.2087514795114668,0.0,0.0924101190381546
Ridge (lambda=0.1),414,104,11.71230801452102,3.4223249428599,0.2891048647306473,12.867447953402364,3.587122517199875,0.234633100175979,5.730769230769231,6.307524618705205,-0.0803498448434004,-0.0803498448434459,-6.449393853195697,0.2062997536983566,3.2897491810411803,2.391112728299976,-0.6416310320168624,0.0,0.1722256252088765,0.0,0.1107385604788818,0.0,-0.4763135330288656,0.0,2.042726119569268,0.0,0.1586699120766894,0.0,0.3738351073641757,0.0,0.0,0.0,0.7238856139073435,0.0,0.0,0.0,1.2902988563540518,0.0,0.0,0.0,0.0,0.0,-0.0820253178568597,0.0,0.0,0.0,0.0753027804984142,0.0,-0.5496268539181292,0.0,-0.2835069546082517,0.0,0.0551611800463802,0.0,-0.1831665472217252,0.0,0.2739158687822817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2291831836947551,0.0,-0.2301306334330443,0.0,0.0,0.0,-0.8336167586111372,0.0,0.0,0.0,-1.898179084565372,0.0,0.0,0.0,0.0,-0.8654339072711273,-0.433805245263129,0.0,0.0,0.0,0.0,0.7816458153211274,-0.887565311755941,0.0,0.0,0.0,0.6179912112308541,0.0837880919445749,0.2916582081412557,0.0,-0.2135249651801157,0.0,0.1142353454808926
Lasso (lambda=0.1),414,104,12.568516261034084,3.545210326769638,0.2371360916699491,12.800552400203571,3.577785963442136,0.2386121053640462,5.730769230769231,4.567327950097374,0.0,0.0,-1.3752226258017946,0.0,3.267529098913132,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0851761360981033,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.5488435319994078,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Lasso (lambda=1.0),414,104,16.475436999696612,4.058994579904808,0.0,17.133072847943676,4.139211621546267,-0.0190899467848593,5.730769230769231,5.164251207729468,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",414,104,8.549654155318647,2.9239791646519384,0.4810666232722029,12.458764036473456,3.5296974426249985,0.2589419719616317,5.730769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),414,104,11.786290841399952,3.433116782371371,0.2846143721943767,12.687410892107218,3.561939203875779,0.2453418598271466,5.730769230769231,6.0413470907255205,-0.0,-0.0,-3.8777567393203984,0.1941232596832002,3.3067587504625933,-0.0,-0.3907643991973549,0.0,0.0,0.0,0.0,0.0,-0.1900219166275761,0.0,1.454735429771064,0.0,0.0,0.0,0.1570739393261548,0.0,0.0,0.0,0.5670015230543385,0.0,0.0,0.0,1.071320553452299,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.392920931119035,0.0,-0.0291989997992235,0.0,0.0,0.0,-0.0,0.0,0.0335904162140776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0581388030517965,0.0,-0.0,0.0,0.0,0.0,-0.4601980555012156,0.0,0.0,0.0,-1.7085311802390215,0.0,0.0,0.0,0.0,-0.7933165272309362,-0.0,0.0,0.0,0.0,0.0,0.7181725020854788,-0.2370135003203946,0.0,0.0,0.0,0.4551122399939625,-0.0,0.0407857381113158,0.0,-0.0,0.0,0.0
