Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1979-10-12,22-095,POR,,UTA,W (+16),0,10:00,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,1.0,3,2,-1.2,
2,2,1979-10-14,22-097,POR,,DEN,W (+16),0,14:00,2,9,0.222,0,0,,0,0,,0,1,1,0,0,0,2.0,1,4,-3.6,
3,3,1979-10-16,22-099,POR,,SDC,W (+7),0,12:00,2,4,0.5,0,0,,0,0,,1,0,1,3,0,0,2.0,0,4,2.8,
4,4,1979-10-18,22-101,POR,@,UTA,W (+15),0,20:00,6,12,0.5,0,0,,3,6,0.5,1,4,5,2,1,0,3.0,2,15,8.3,
5,5,1979-10-19,22-102,POR,@,LAL,W (+17),0,17:00,4,9,0.444,0,0,,2,2,1.0,0,3,3,4,2,0,0.0,3,10,9.8,
6,6,1979-10-21,22-104,POR,,GSW,W (+17),0,26:00,5,8,0.625,0,0,,4,6,0.667,0,2,2,4,1,0,1.0,1,14,12.6,
7,7,1979-10-23,22-106,POR,,KCK,W (+2),0,18:00,5,10,0.5,0,0,,0,0,,0,1,1,0,0,0,2.0,1,10,2.9,
8,8,1979-10-24,22-107,POR,@,DEN,W (+1),0,14:00,1,6,0.167,0,0,,0,0,,1,1,2,0,0,1,0.0,2,2,-0.9,
9,9,1979-10-26,22-109,POR,,CHI,W (+2),0,18:00,5,9,0.556,0,0,,0,0,,0,1,1,0,1,0,0.0,1,10,6.6,
10,10,1979-10-28,22-111,POR,,PHO,L (-1),0,10:00,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,2.0,2,0,-3.2,
11,11,1979-10-31,22-114,POR,@,GSW,L (-5),0,13:00,2,3,0.667,0,0,,0,0,,0,1,1,0,1,0,1.0,3,4,1.8,
12,12,1979-11-02,22-116,POR,@,SDC,W (+21),0,12:00,2,5,0.4,0,0,,2,3,0.667,0,0,0,3,1,0,2.0,0,6,4.0,
13,13,1979-11-04,22-118,POR,,SAS,W (+3),0,10:00,0,2,0.0,0,0,,1,2,0.5,0,1,1,1,1,0,1.0,1,1,-0.2,
14,14,1979-11-07,22-121,POR,@,IND,L (-7),0,12:00,2,5,0.4,0,0,,0,0,,0,2,2,0,1,0,3.0,1,4,-0.5,
15,15,1979-11-08,22-122,POR,@,MIL,L (-9),0,13:00,1,2,0.5,0,0,,0,0,,0,1,1,0,1,0,1.0,1,2,0.9,
16,16,1979-11-10,22-124,POR,@,CHI,W (+4),0,14:00,2,6,0.333,0,0,,2,4,0.5,1,1,2,0,1,0,3.0,1,6,0.4,
17,17,1979-11-11,22-125,POR,@,KCK,W (+3),0,21:00,3,8,0.375,0,1,0.0,1,1,1.0,0,0,0,2,0,0,1.0,0,7,3.0,
18,18,1979-11-13,22-127,POR,,MIL,L (-9),0,20:00,4,9,0.444,0,2,0.0,0,0,,0,1,1,3,0,0,2.0,2,8,2.9,
19,19,1979-11-16,22-130,POR,@,PHO,L (-1),0,14:00,2,4,0.5,0,0,,0,0,,1,0,1,1,1,0,0.0,0,4,4.4,
20,20,1979-11-17,22-131,POR,,CLE,W (+7),0,19:00,3,5,0.6,0,1,0.0,0,0,,0,1,1,2,0,0,0.0,3,6,4.2,
21,21,1979-11-18,22-132,POR,,SEA,W (+5),0,16:00,4,6,0.667,0,0,,0,0,,1,2,3,0,1,0,1.0,1,8,6.3,
22,22,1979-11-20,22-134,POR,,LAL,W (+15),0,21:00,4,12,0.333,0,0,,0,0,,1,2,3,3,2,0,0.0,3,8,5.4,
23,23,1979-11-23,22-137,POR,@,SEA,L (-4),0,18:00,3,6,0.5,1,2,0.5,0,0,,0,2,2,2,0,1,1.0,1,7,5.3,
24,24,1979-11-25,22-139,POR,,PHO,L (-1),0,17:00,1,6,0.167,0,0,,0,0,,0,0,0,0,0,0,0.0,3,2,-3.0,
25,25,1979-11-28,22-142,POR,@,ATL,L (-7),0,18:00,1,5,0.2,0,0,,2,2,1.0,2,2,4,1,1,0,1.0,1,4,3.2,
26,26,1979-11-30,22-144,POR,@,SAS,L (-7),0,23:00,3,8,0.375,0,0,,4,4,1.0,0,1,1,4,2,0,1.0,1,10,9.3,
27,27,1979-12-01,22-145,POR,@,HOU,L (-8),0,25:00,5,15,0.333,0,1,0.0,0,0,,2,1,3,1,1,0,3.0,0,10,1.9,
28,28,1979-12-06,22-150,POR,@,UTA,L (-5),0,24:00,2,5,0.4,0,0,,0,0,,0,4,4,2,1,0,1.0,0,4,3.9,
29,29,1979-12-07,22-151,POR,,CHI,L (-2),0,14:00,2,8,0.25,0,2,0.0,1,3,0.333,1,1,2,1,0,0,1.0,2,5,-0.7,
30,30,1979-12-09,22-153,POR,,SDC,L (-2),0,15:00,2,7,0.286,0,1,0.0,0,0,,0,2,2,0,0,0,3.0,3,4,-3.7,
31,31,1979-12-11,22-155,POR,@,CHI,L (-11),0,5:00,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0.0,1,2,0.6,
32,32,1979-12-12,22-156,POR,@,KCK,L (-39),0,26:00,2,9,0.222,0,1,0.0,0,0,,1,2,3,4,0,0,1.0,4,4,0.0,
33,33,1979-12-16,22-160,POR,,HOU,W (+22),0,7:00,0,3,0.0,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0.0,0,2,1.3,
34,34,1979-12-19,22-163,POR,@,DEN,L (-8),0,2:00,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0.0,0,2,1.3,
35,35,1979-12-26,22-170,POR,@,PHO,L (-20),0,6:00,2,4,0.5,0,0,,0,0,,0,1,1,1,0,0,1.0,1,4,1.6,
36,36,1979-12-28,22-172,POR,@,SEA,L (-29),0,24:00,3,10,0.3,0,0,,2,2,1.0,0,5,5,5,0,0,1.0,0,8,6.2,
37,37,1980-01-01,22-176,POR,,WSB,W (+10),0,18:00,3,5,0.6,0,0,,0,0,,1,1,2,1,0,0,0.0,0,6,5.4,
38,38,1980-01-02,22-177,POR,@,GSW,L (-19),0,18:00,1,7,0.143,0,2,0.0,1,3,0.333,0,0,0,3,0,0,0.0,0,3,-0.2,
39,39,1980-01-04,22-179,POR,,UTA,W (+18),0,21:00,1,6,0.167,0,0,,1,1,1.0,0,0,0,7,1,0,0.0,0,3,5.1,
40,40,1980-01-06,22-181,POR,,DET,W (+17),0,19:00,2,6,0.333,0,0,,0,0,,0,1,1,4,0,0,0.0,2,4,2.9,
41,41,1980-01-08,22-183,POR,,IND,L (-4),0,18:00,2,4,0.5,0,0,,3,5,0.6,0,0,0,1,1,0,1.0,2,7,4.1,
42,42,1980-01-11,22-186,POR,@,NJN,W (+21),0,17:00,2,6,0.333,0,0,,6,6,1.0,0,1,1,1,1,0,1.0,3,10,6.4,
43,43,1980-01-13,22-188,POR,@,WSB,L (-32),0,28:00,6,12,0.5,0,1,0.0,2,2,1.0,1,2,3,1,1,0,2.0,2,14,8.2,
44,44,1980-01-29,22-204,POR,,MIL,L (-7),0,26:00,6,10,0.6,0,0,,1,1,1.0,0,2,2,3,1,0,1.0,1,13,10.7,
45,45,1980-01-31,22-206,POR,,KCK,W (+1),0,9:00,2,6,0.333,0,0,,0,0,,0,0,0,1,0,0,0.0,1,4,0.9,
46,46,1980-02-05,22-211,POR,@,KCK,W (+6),0,15:00,2,4,0.5,0,0,,0,0,,0,0,0,1,0,0,3.0,1,4,-0.7,
47,47,1980-02-08,22-214,POR,@,SDC,L (-14),0,32:00,8,10,0.8,0,0,,5,7,0.714,0,2,2,4,1,0,3.0,2,21,17.0,
48,48,1980-02-12,22-218,POR,,ATL,L (-6),1,38:00,2,6,0.333,0,0,,2,2,1.0,0,2,2,5,0,0,1.0,4,6,4.1,
49,49,1980-02-13,22-219,POR,@,LAL,L (-26),0,28:00,4,8,0.5,0,0,,0,0,,0,1,1,2,1,0,1.0,2,8,4.9,
50,50,1980-02-15,22-221,POR,,BOS,L (-15),0,22:00,1,6,0.167,0,0,,0,0,,0,1,1,3,1,0,2.0,1,2,-0.8,
51,51,1980-02-17,22-223,POR,,GSW,W (+5),0,14:00,3,5,0.6,0,0,,0,0,,0,1,1,3,0,0,3.0,1,6,2.7,
52,52,1980-02-19,22-225,POR,@,NYK,L (-10),0,11:00,1,3,0.333,0,0,,0,0,,0,0,0,2,0,0,4.0,0,2,-2.3,
53,53,1980-02-23,22-229,POR,@,DET,W (+23),0,29:00,7,11,0.636,0,1,0.0,4,6,0.667,1,3,4,7,1,0,1.0,1,18,18.4,
54,54,1980-02-24,22-230,POR,@,CLE,W (+15),0,19:00,3,6,0.5,0,0,,1,5,0.2,0,3,3,5,2,1,2.0,1,7,7.1,
55,55,1980-02-26,22-232,POR,,PHI,L (-2),0,16:00,1,8,0.125,0,1,0.0,0,0,,1,1,2,0,0,0,1.0,1,2,-3.6,
56,56,1980-02-29,22-235,POR,,UTA,L (-4),0,13:00,0,4,0.0,0,0,,0,0,,0,0,0,1,1,0,1.0,1,0,-2.5,
57,57,1980-03-02,22-237,POR,,CHI,W (+3),0,23:00,4,7,0.571,0,0,,0,0,,0,1,1,4,1,0,1.0,1,8,7.4,
58,58,1980-03-04,22-239,POR,,SEA,L (-1),0,18:00,3,5,0.6,0,0,,0,0,,0,1,1,2,2,0,2.0,1,6,5.0,
59,59,1980-03-06,22-241,POR,@,UTA,L (-7),0,16:00,4,9,0.444,0,0,,1,1,1.0,2,2,4,1,0,0,1.0,3,9,4.8,
60,60,1980-03-07,22-242,POR,,DEN,W (+9),0,16:00,2,7,0.286,0,0,,4,5,0.8,0,0,0,3,2,0,0.0,0,8,7.6,
61,61,1980-03-09,22-244,POR,,LAL,W (+21),0,20:00,2,4,0.5,0,1,0.0,1,2,0.5,1,1,2,6,0,1,2.0,0,5,6.5,
62,62,1980-03-12,22-247,POR,@,LAL,L (-8),0,14:00,2,5,0.4,0,0,,0,0,,0,0,0,0,0,0,2.0,2,4,-1.5,
63,63,1980-03-14,22-249,POR,@,MIL,L (-10),0,30:00,3,7,0.429,0,1,0.0,0,0,,1,0,1,6,3,0,1.0,4,6,7.6,
64,64,1980-03-15,22-250,POR,@,CHI,L (-2),1,28:00,3,8,0.375,0,0,,0,0,,2,2,4,2,2,0,2.0,2,6,4.2,
65,65,1980-03-18,22-253,POR,,MIL,W (+1),1,8:00,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,1.0,0,3,1.3,
66,66,1980-03-19,22-254,POR,@,GSW,W (+2),0,5:00,1,2,0.5,0,0,,0,0,,0,0,0,2,0,0,0.0,0,2,2.4,
67,67,1980-03-21,22-256,POR,,PHO,L (-11),0,20:00,3,7,0.429,0,0,,0,0,,0,2,2,1,2,0,3.0,1,6,2.2,
68,68,1980-03-23,22-258,POR,,SDC,W (+7),0,20:00,5,9,0.556,0,0,,0,0,,0,2,2,2,2,0,1.0,2,10,7.9,
69,69,1980-03-25,22-260,POR,,KCK,W (+4),0,21:00,5,7,0.714,0,0,,1,1,1.0,0,0,0,2,2,0,2.0,2,11,8.7,
70,70,1980-03-27,22-262,POR,@,SDC,W (+3),0,12:00,1,4,0.25,0,0,,2,2,1.0,1,1,2,0,0,1,0.0,1,4,2.9,
71,71,1980-03-28,22-263,POR,@,PHO,L (-14),0,29:00,5,12,0.417,0,2,0.0,0,0,,1,3,4,5,2,0,3.0,2,10,6.9,
72,72,1980-03-30,22-265,POR,@,SEA,L (-31),0,11:00,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,3.0,1,2,-3.5,
1,1,1980-10-10,23-093,POR,@,UTA,L (-10),1,39:00,6,12,0.5,0,0,,0,0,,1,4,5,2,0,0,1.0,1,12,7.9,
2,2,1980-10-12,23-095,POR,,SEA,W (+11),1,36:00,4,10,0.4,0,0,,2,2,1.0,0,3,3,5,2,0,0.0,2,10,10.2,
