model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,537,135,25.002387758961824,5.000238770195062,0.239815829136378,19.40082781756366,4.40463708125467,0.250857902930002,7.703703703703703,-58439386108028.055,-4.089925150041562,7.266298193893055,16.765807247588288,-0.3202292145367744,5.105457296325289,-17.248412863123733,-1.483999185435739,39262354141399.26,12294708880049.129,20887524581588.664,12294708880048.932,16449146722366.775,-4020332207315.21,46144677227985.43,12294708880049.24,1804528125672.892,12294708880046.488,-705927602196.2725,12294708880049.086,46144677227988.055,12294708880046.072,434407812961.794,12294708880046.32,375736315698.0033,12294708880049.424,-7773701721.754988,12294708880047.502,-197093559.38661376,12294708880047.717,-91833358.8488052,12294708880047.92,1238015.212407558,12294708880048.355,159208.41447293386,12294708880047.969,3580.7722140550613,12294708880049.203,-27.938282012939453,12294708880048.914,-1.6636962890625,12294708880047.332,0.03125,12294708880047.932,0.0,12294708880049.217,0.0,12294708880047.8,0.0,12294708880050.389,0.0,0.0,0.0,12294708880048.377,0.0,12294708880047.66,0.0,0.0,0.0,12294708880047.89,46144677227980.375,12294708880046.746,0.0,0.0,0.0,12294708880048.031,0.0,12294708880049.89,0.0,0.0,0.0,12294708880049.96,0.0,12294708880051.078,0.0,12294708880047.992,0.0,12294708880047.666,0.0,12294708880045.703,46144677227985.28,12294708880054.0,0.0,12294708880045.21,0.0,0.0,0.0,12294708880046.377
"Random Forest (100 estimators, 20 depth)",537,135,4.095085929528223,2.0236318661081176,0.8754911118103962,19.50586375946848,4.416544323276795,0.2468020530185325,7.703703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",537,135,9.095775891509676,3.015920405367104,0.7234478194199594,18.628564403175748,4.316082066316134,0.2806780239673758,7.703703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",537,135,17.889024637074904,4.229541894469767,0.4560938142230315,17.323795480072253,4.162186382188122,0.3310602724176515,7.703703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),537,135,25.15099146484991,5.015076416651088,0.2352976132748827,19.309929357429223,4.394306470585458,0.2543678491903308,7.703703703703703,5.066664670319517,-2.490918144300792,4.598258155824689,1.5681681414503783,-0.3512021245220645,5.015868082794651,-1.901734878602577,-1.945612721617763,0.0,0.8594316981774824,0.0,0.7373125676916817,0.0,0.0,0.5867708727459996,0.967568929358568,0.0,-1.6409446837297503,0.0,0.8441773300365213,2.9819870304949374,-1.9311838644717825,0.0,-1.787567303437026,0.0,0.9385973572046536,0.0,-0.7813687539136049,0.0,-0.4392503257057795,0.0,-0.140022598092274,0.0,0.1464469095144563,0.0,-0.3846393284880257,0.0,0.921260957365001,0.0,0.7072738489533932,0.0,-0.7852336936242165,0.0,-0.4292467214122697,0.0,0.8481705755480112,0.0,-0.5527928081533621,0.0,1.9679826125480768,0.0,0.0,0.0,0.1999617434202872,0.0,-0.4130753208308287,0.0,0.0,0.0,-0.4581287918505645,-4.1444488700684525,-1.2550095510184915,0.0,0.0,0.0,-0.2401564949846132,0.0,1.4441886835957238,0.0,0.0,0.0,1.4385329579926895,0.0,2.684076289216116,0.0,-0.3314796206920383,0.0,-0.5648073983969297,0.0,-2.3994963291765576,0.5756909668280233,4.449252015737203,0.0,-3.0011353434936874,0.0,0.0,0.0,-1.618695544887942
Ridge (lambda=0.1),537,135,25.029639379596013,5.002963059987152,0.2389872582480209,19.43050266967799,4.408004386304304,0.2497120404362868,7.703703703703703,5.288541786899165,-3.707160470686272,6.739368388321574,8.684730716250867,-0.3503346101891026,5.10236256669439,-9.1073098358284,-2.365755126132909,0.0,0.8655098809040772,0.0,0.688094534325452,0.0,0.0,1.15562258193229,0.9814014395394371,0.0,-1.8067713545692743,0.0,0.8318082318513819,3.055948891856106,-2.142797830234495,0.0,-1.958008758546251,0.0,1.030320124366985,0.0,-0.7554297683907616,0.0,-0.5192849071927466,0.0,-0.2849267302673205,0.0,0.0808396140423056,0.0,-0.36206244246261,0.0,0.9249364229614478,0.0,0.6725910394577179,0.0,-0.8855537491564764,0.0,-0.398064638675342,0.0,0.908054017255663,0.0,-0.5288033021024897,0.0,2.1036434750358404,0.0,0.0,0.0,0.1136471948186304,0.0,-0.5557811083569443,0.0,0.0,0.0,-0.4587391521239833,-4.533931149380225,-1.4326211108891989,0.0,0.0,0.0,-0.2339228690841479,0.0,1.6204278986878706,0.0,0.0,0.0,1.5972788944277383,0.0,2.78693062823872,0.0,-0.3019025392942004,0.0,-0.5940062657576846,0.0,-2.5531503457119973,0.3223596755949091,5.498504856601565,0.0,-3.126254692520907,0.0,0.0,0.0,-1.805906687177196
Lasso (lambda=0.1),537,135,27.8022728803793,5.2727860643477,0.1546868258564723,19.13913764274375,4.37483001301122,0.2609627875354785,7.703703703703703,6.171057136434513,0.0,0.0,-0.0,-0.0,4.04443855714643,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3.706710711520811,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),537,135,32.88990841595317,5.734972398883292,0.0,27.616623068976825,5.255152050034026,-0.0663861931270448,7.703703703703703,9.014897579143389,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",537,135,17.92653902280148,4.233974376729444,0.4549532094742393,16.879772752160292,4.108500061112363,0.3482057324290832,7.703703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),537,135,25.30975082926698,5.030879727171678,0.2304706200704849,18.88328911987248,4.345490665031106,0.2708421030347134,7.703703703703703,5.335311572897572,-1.9365519812573209,3.603464429008451,-0.0,-0.3053590855320192,4.958980055601299,-0.0652035695532517,-1.541264910307817,0.0,0.7729873139224781,0.0,0.8128472894084595,0.0,0.0,-0.0,0.8698703391871803,0.0,-1.169267732163414,0.0,0.9103224129519824,2.0855414858200665,-1.354732062833594,0.0,-1.262000833591593,0.0,0.8275546533307649,0.0,-0.2041342827876869,0.0,-0.0,0.0,0.0,0.0,0.0362429182633245,0.0,-0.0,0.0,0.9237400772020252,0.0,0.4915829386156875,0.0,-0.3509478491084565,0.0,-0.0182085238255686,0.0,0.8138349712045462,0.0,-0.1123316552323427,0.0,1.992870336151073,0.0,0.0,0.0,0.0335053879623347,0.0,-0.0,0.0,0.0,0.0,-0.0,-4.775944814496589,-0.7805376692388866,0.0,0.0,0.0,-0.0,0.0,1.171519654299592,0.0,0.0,0.0,1.384688144999838,0.0,2.778978986030476,0.0,-0.0,0.0,-0.1405739199466743,0.0,-1.9410113271592444,0.0,4.43920821766146,0.0,-2.6373400522989354,0.0,0.0,0.0,-1.1065261783974245
