,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2014-10-29,27-027,UTA,,HOU,L (-11),0,4:10,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
1,2,2,2014-10-30,27-028,UTA,@,DAL,L (-18),0,11:06,1,2,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,1,1,2,1.3,-10
2,3,3,2014-11-01,27-030,UTA,,PHO,W (+27),0,14:40,0,3,0.0,0,2,0.0,0,0,,0,2,2,3,1,0,0,0,0,1.6,5
3,4,4,2014-11-03,27-032,UTA,@,LAC,L (-6),0,10:17,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1.0,1
4,5,5,2014-11-05,27-034,UTA,,CLE,W (+2),0,13:08,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,2,0,-0.8,5
5,6,6,2014-11-07,27-036,UTA,,DAL,L (-23),0,16:01,1,3,0.333,0,2,0.0,0,0,,2,1,3,0,0,0,1,1,2,0.6,-13
6,7,7,2014-11-09,27-038,UTA,@,DET,W (+1),0,23:30,3,3,1.0,3,3,1.0,1,2,0.5,1,2,3,0,1,0,1,1,10,9.6,5
7,8,8,2014-11-10,27-039,UTA,@,IND,L (-11),0,14:55,1,3,0.333,1,3,0.333,0,0,,0,1,1,1,0,0,0,0,3,2.3,-15
8,9,9,2014-11-12,27-041,UTA,@,ATL,L (-3),0,17:19,0,2,0.0,0,2,0.0,0,0,,0,0,0,4,1,0,0,0,0,2.4,3
9,10,10,2014-11-14,27-043,UTA,@,NYK,W (+2),0,20:34,2,4,0.5,2,4,0.5,0,0,,0,2,2,1,2,0,3,0,6,4.3,-4
10,11,11,2014-11-15,27-044,UTA,@,TOR,L (-18),0,23:56,1,4,0.25,1,3,0.333,0,0,,0,3,3,4,2,0,0,1,3,5.9,-4
11,12,12,2014-11-18,27-047,UTA,,OKC,W (+17),0,25:20,2,3,0.667,1,2,0.5,0,0,,0,4,4,1,3,0,2,1,5,6.2,14
12,13,13,2014-11-21,27-050,UTA,@,GSW,L (-13),0,24:21,1,5,0.2,0,4,0.0,1,2,0.5,0,2,2,5,1,0,0,0,3,4.6,-5
13,14,14,2014-11-22,27-051,UTA,,NOP,L (-12),0,20:33,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,0,0,2,2,3,-0.1,-10
14,15,15,2014-11-24,27-053,UTA,,CHI,L (-2),0,26:44,5,9,0.556,1,3,0.333,0,0,,1,0,1,2,0,0,0,3,11,7.6,3
15,16,16,2014-11-26,27-055,UTA,@,OKC,L (-15),0,24:39,0,2,0.0,0,2,0.0,0,0,,0,3,3,0,0,0,1,1,0,-1.9,-14
16,17,17,2014-11-29,27-058,UTA,,LAC,L (-16),0,17:47,0,1,0.0,0,1,0.0,0,0,,0,3,3,3,1,0,2,3,0,0.1,-13
17,18,18,2014-12-01,27-060,UTA,,DEN,L (-2),0,10:54,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,8
18,19,19,2014-12-03,27-062,UTA,,TOR,L (-19),0,24:51,5,10,0.5,1,5,0.2,1,1,1.0,0,0,0,1,2,0,1,2,12,7.9,-13
19,20,20,2014-12-05,27-064,UTA,,ORL,L (-5),0,20:38,1,4,0.25,1,3,0.333,0,0,,0,1,1,4,1,0,2,2,3,1.9,-4
20,21,21,2014-12-08,27-067,UTA,@,SAC,L (-9),0,7:06,1,2,0.5,0,0,,0,0,,0,1,1,1,0,1,1,0,2,1.7,-9
21,22,22,2014-12-09,27-068,UTA,,SAS,W (+4),0,15:28,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,2,0,0,2,0,1.8,5
22,23,23,2014-12-12,27-071,UTA,,MIA,L (-5),0,11:22,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4,-7
23,24,24,2014-12-14,27-073,UTA,@,WAS,L (-9),0,10:08,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
24,25,25,2014-12-16,27-075,UTA,@,NOP,L (-8),0,12:20,0,2,0.0,0,2,0.0,0,0,,0,0,0,3,0,0,0,0,0,0.7,0
25,26,26,2014-12-17,27-076,UTA,@,MIA,W (+18),0,14:21,0,2,0.0,0,2,0.0,0,0,,0,2,2,3,0,1,1,0,0,1.0,-1
26,27,27,2014-12-19,27-078,UTA,@,ORL,W (+7),0,3:00,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,-2
27,28,28,2014-12-20,27-079,UTA,@,CHO,L (-18),0,16:22,5,8,0.625,3,6,0.5,0,1,0.0,0,4,4,1,0,1,0,0,13,11.6,-2
28,29,29,2014-12-22,27-081,UTA,@,MEM,W (+6),0,4:44,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-3
29,30,30,2014-12-27,27-086,UTA,,PHI,W (+17),0,18:46,0,1,0.0,0,1,0.0,2,2,1.0,1,3,4,2,1,0,1,2,2,3.5,3
30,31,31,2014-12-29,27-088,UTA,@,LAC,L (-4),0,14:43,1,4,0.25,0,3,0.0,0,0,,1,2,3,2,1,0,0,2,2,2.5,-9
31,32,32,2014-12-30,27-089,UTA,,MIN,W (+6),0,24:44,2,3,0.667,0,1,0.0,0,1,0.0,0,1,1,3,0,0,2,1,4,2.3,2
32,33,33,2015-01-02,27-092,UTA,,ATL,L (-6),0,20:35,3,4,0.75,2,2,1.0,0,0,,0,3,3,1,1,2,4,1,8,6.0,15
33,34,34,2015-01-03,27-093,UTA,@,MIN,W (+12),1,30:08,3,7,0.429,1,2,0.5,0,0,,1,2,3,4,2,0,2,2,7,6.6,17
34,35,35,2015-01-05,27-095,UTA,,IND,L (-4),1,37:24,4,10,0.4,0,4,0.0,0,0,,1,8,9,7,2,0,2,2,8,9.8,-4
35,36,36,2015-01-07,27-097,UTA,@,CHI,W (+20),1,26:43,3,8,0.375,1,3,0.333,0,0,,1,3,4,3,1,0,2,3,7,4.1,1
