,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,5,1,2012-11-11,21-250,ATL,@,LAC,L (-13),0,3:48,2,4,0.5,0,0,,2,2,1.0,1,1,2,0,0,0,0,0,6,5.0,7.0
1,8,2,2012-11-16,21-255,ATL,@,SAC,W (+16),0,1:25,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0.0
2,9,3,2012-11-19,21-258,ATL,,ORL,W (+9),0,5:05,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-10.0
3,12,4,2012-11-24,21-263,ATL,,LAC,W (+11),0,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8.0
4,16,5,2012-12-07,21-276,ATL,,WAS,W (+9),0,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2.0
5,18,6,2012-12-10,21-279,ATL,@,MIA,L (-9),0,2:41,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,2,2.0,5.0
6,20,7,2012-12-13,21-282,ATL,,CHA,W (+23),0,4:24,2,3,0.667,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,5,4.7,1.0
7,21,8,2012-12-15,21-284,ATL,,GSW,L (-22),0,16:58,3,8,0.375,1,6,0.167,1,1,1.0,0,2,2,1,0,0,1,1,8,3.5,-4.0
8,23,9,2012-12-19,21-288,ATL,,OKC,L (-8),0,5:56,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-7.0
9,24,10,2012-12-21,21-290,ATL,@,PHI,L (-19),0,4:45,3,3,1.0,2,2,1.0,0,0,,0,2,2,0,0,0,0,0,8,7.7,-2.0
10,25,11,2012-12-22,21-291,ATL,,CHI,W (+17),0,6:19,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,1,0,0,-1.7,-6.0
11,27,12,2012-12-28,21-297,ATL,@,CLE,W (+8),0,8:03,2,3,0.667,1,2,0.5,0,0,,0,2,2,0,0,0,0,0,5,4.3,4.0
12,28,13,2012-12-29,21-298,ATL,,IND,W (+9),0,16:54,4,6,0.667,2,2,1.0,0,0,,0,2,2,1,0,0,3,2,10,4.9,-3.0
