Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1986-10-31,23-033,SAS,@,DEN,L (-30),0,20:00,8,17,0.471,0,1,0.0,0,0,,0,1,1,1,0,0,1,0,16,7.3,
2,2,1986-11-01,23-034,SAS,,DAL,W (+3),0,10:00,3,5,0.6,0,0,,0,0,,0,0,0,1,0,0,1,1,6,3.0,
3,3,1986-11-04,23-037,SAS,@,CHI,L (-7),0,13:00,1,4,0.25,0,0,,1,2,0.5,0,1,1,4,2,0,1,0,3,4.3,
4,4,1986-11-05,23-038,SAS,@,NJN,W (+9),0,35:00,10,15,0.667,0,1,0.0,5,8,0.625,3,3,6,3,1,0,5,3,25,17.2,
5,5,1986-11-07,23-040,SAS,@,PHI,L (-17),0,17:00,4,9,0.444,0,0,,0,0,,0,2,2,3,1,0,5,2,8,1.2,
6,6,1986-11-08,23-041,SAS,@,IND,L (-33),0,28:00,4,11,0.364,0,0,,3,3,1.0,0,0,0,3,2,0,2,2,11,6.2,
7,7,1986-11-11,23-044,SAS,@,HOU,L (-21),0,22:00,4,11,0.364,1,2,0.5,5,7,0.714,2,2,4,2,3,0,2,2,14,10.7,
8,8,1986-11-13,23-046,SAS,,CLE,W (+13),0,31:00,7,13,0.538,0,0,,4,6,0.667,2,0,2,4,0,0,2,1,18,12.7,
9,9,1986-11-15,23-048,SAS,,PHO,L (-7),0,17:00,3,9,0.333,0,0,,1,2,0.5,0,0,0,2,1,0,0,0,7,3.9,
10,10,1986-11-19,23-052,SAS,,LAL,L (-9),0,16:00,1,6,0.167,0,1,0.0,0,0,,0,3,3,1,1,0,1,1,2,-0.6,
11,11,1986-11-21,23-054,SAS,@,POR,L (-13),0,26:00,8,23,0.348,0,2,0.0,2,3,0.667,3,1,4,4,1,0,0,4,18,9.3,
12,12,1986-11-22,23-055,SAS,@,LAC,W (+7),0,16:00,2,4,0.5,0,0,,0,0,,1,0,1,2,0,0,4,2,4,-0.7,
13,13,1986-11-25,23-058,SAS,,NJN,W (+18),1,28:00,8,12,0.667,0,0,,0,0,,2,4,6,5,0,0,4,1,16,12.5,
14,14,1986-11-28,23-061,SAS,@,BOS,L (-15),0,25:00,6,15,0.4,0,2,0.0,1,2,0.5,1,0,1,3,2,0,5,2,13,3.5,
15,15,1986-11-29,23-062,SAS,@,WSB,L (-13),0,11:00,2,8,0.25,0,0,,2,4,0.5,2,0,2,1,1,0,1,1,6,2.1,
16,16,1986-12-02,23-065,SAS,@,CLE,L (-10),0,13:00,0,5,0.0,0,0,,0,0,,0,1,1,3,1,0,2,2,0,-2.9,
17,17,1986-12-04,23-067,SAS,,SEA,L (-7),0,26:00,3,14,0.214,0,1,0.0,2,3,0.667,2,1,3,6,0,0,1,0,8,3.9,
18,18,1986-12-06,23-069,SAS,,CHI,W (+9),0,32:00,12,19,0.632,0,0,,4,5,0.8,0,2,2,7,0,0,0,0,28,24.6,
19,19,1986-12-09,23-072,SAS,,POR,L (-16),1,31:00,3,15,0.2,0,1,0.0,4,5,0.8,2,1,3,6,1,0,3,2,10,3.4,
20,20,1986-12-11,23-074,SAS,@,SEA,L (-6),0,20:00,6,13,0.462,0,1,0.0,7,9,0.778,2,2,4,2,0,0,2,3,19,11.7,
21,21,1986-12-13,23-076,SAS,,GSW,L (-15),0,24:00,5,11,0.455,0,1,0.0,3,4,0.75,2,2,4,6,1,0,4,2,13,9.3,
22,22,1986-12-16,23-079,SAS,@,DAL,L (-3),0,32:00,9,19,0.474,0,1,0.0,0,0,,0,6,6,6,1,0,3,1,18,11.9,
23,23,1986-12-17,23-080,SAS,,PHO,W (+13),0,24:00,2,12,0.167,0,0,,0,0,,0,1,1,5,0,0,0,0,4,0.2,
24,24,1986-12-19,23-082,SAS,@,DET,L (-30),0,18:00,2,6,0.333,0,0,,3,4,0.75,0,0,0,1,1,0,1,1,7,3.5,
25,25,1986-12-20,23-083,SAS,@,ATL,L (-15),0,20:00,5,12,0.417,0,1,0.0,0,0,,1,1,2,4,1,0,5,1,10,3.0,
26,26,1986-12-22,23-085,SAS,@,NYK,L (-4),1,35:00,13,20,0.65,0,0,,0,0,,0,0,0,5,1,0,2,3,26,18.5,
27,27,1986-12-23,23-086,SAS,@,MIL,L (-2),1,33:00,7,17,0.412,0,0,,3,3,1.0,1,2,3,4,1,0,4,2,17,8.2,
28,28,1986-12-27,23-090,SAS,,DEN,L (-2),1,41:00,8,25,0.32,0,0,,0,0,,3,1,4,4,0,0,3,3,16,2.7,
29,29,1986-12-29,23-092,SAS,@,UTA,L (-8),1,34:00,9,13,0.692,0,1,0.0,1,3,0.333,0,2,2,6,2,0,1,3,19,17.3,
30,30,1986-12-30,23-093,SAS,,UTA,W (+6),1,27:00,1,8,0.125,0,0,,2,3,0.667,0,3,3,6,1,0,1,2,4,2.7,
31,31,1987-01-03,23-097,SAS,,DAL,L (-17),1,30:00,2,14,0.143,0,0,,6,6,1.0,0,1,1,4,0,0,3,2,10,0.3,
32,32,1987-01-06,23-100,SAS,,IND,L (-2),1,35:00,6,16,0.375,0,0,,12,12,1.0,1,3,4,8,4,0,1,1,24,25.0,
33,33,1987-01-07,23-101,SAS,@,DAL,L (-5),1,8:00,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,2,2,2,-1.5,
34,34,1987-01-09,23-103,SAS,@,PHO,W (+15),0,15:00,3,6,0.5,0,0,,1,1,1.0,0,1,1,4,0,0,1,1,7,5.7,
35,35,1987-01-11,23-105,SAS,@,LAL,L (-2),0,9:00,1,3,0.333,0,0,,1,2,0.5,0,0,0,1,0,0,0,0,3,1.6,
36,36,1987-01-13,23-107,SAS,@,GSW,L (-2),0,22:00,4,9,0.444,0,0,,2,2,1.0,0,4,4,5,1,0,3,2,10,7.2,
37,37,1987-01-14,23-108,SAS,@,SEA,L (-26),0,22:00,4,12,0.333,0,1,0.0,0,0,,2,1,3,3,1,1,2,0,8,4.7,
38,38,1987-01-17,23-111,SAS,,UTA,W (+11),0,16:00,2,6,0.333,0,1,0.0,1,2,0.5,1,1,2,1,0,0,1,0,5,1.9,
39,39,1987-01-19,23-113,SAS,,LAC,W (+7),0,9:00,0,4,0.0,0,0,,2,2,1.0,0,0,0,3,0,0,1,0,2,0.3,
40,40,1987-01-21,23-115,SAS,,HOU,L (-20),0,13:00,3,8,0.375,0,0,,1,2,0.5,3,0,3,3,2,0,0,1,7,8.0,
41,41,1987-01-24,23-118,SAS,,NYK,W (+7),0,31:00,4,8,0.5,0,1,0.0,4,4,1.0,0,3,3,4,2,0,0,2,12,12.9,
42,42,1987-01-27,23-121,SAS,,DET,W (+11),0,17:00,4,7,0.571,0,0,,2,2,1.0,0,2,2,2,2,0,1,2,10,8.9,
43,43,1987-01-29,23-123,SAS,@,SAC,W (+6),0,10:00,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,2,3,0,-2.9,
44,44,1987-01-30,23-124,SAS,@,LAC,W (+4),0,17:00,3,7,0.429,0,0,,4,4,1.0,1,0,1,4,0,0,3,1,10,6.4,
45,45,1987-02-01,23-126,SAS,,MIL,W (+4),0,16:00,2,3,0.667,0,0,,1,2,0.5,1,0,1,1,1,0,1,0,5,4.7,
46,46,1987-02-03,23-128,SAS,,GSW,W (+8),0,29:00,6,12,0.5,0,0,,2,2,1.0,0,1,1,4,2,0,1,0,14,12.1,
47,47,1987-02-05,23-130,SAS,,SEA,W (+6),0,17:00,2,3,0.667,0,0,,2,2,1.0,1,1,2,4,1,0,0,0,6,9.5,
48,48,1987-02-10,23-135,SAS,@,HOU,L (-23),0,22:00,8,15,0.533,0,0,,0,0,,0,4,4,6,1,0,0,1,16,14.7,
49,49,1987-02-11,23-136,SAS,,WSB,L (-25),0,27:00,6,11,0.545,0,1,0.0,0,2,0.0,1,3,4,4,2,0,2,3,12,9.1,
50,50,1987-02-13,23-138,SAS,,LAC,L (-14),0,19:00,1,6,0.167,0,0,,2,2,1.0,0,1,1,3,0,0,1,1,4,1.2,
51,51,1987-02-14,23-139,SAS,@,UTA,L (-13),0,21:00,2,8,0.25,0,0,,4,4,1.0,1,0,1,2,1,1,0,2,8,6.2,
52,52,1987-02-17,23-142,SAS,,DEN,W (+5),0,30:00,7,10,0.7,0,0,,7,9,0.778,1,4,5,4,1,0,2,2,21,18.9,
53,53,1987-02-20,23-145,SAS,@,DAL,L (-15),0,12:00,2,7,0.286,0,1,0.0,4,4,1.0,2,0,2,3,0,0,0,1,8,7.0,
54,54,1987-02-21,23-146,SAS,,BOS,L (-8),0,21:00,3,5,0.6,0,1,0.0,0,0,,0,3,3,4,0,0,0,1,6,7.0,
55,55,1987-02-24,23-149,SAS,,SAC,L (-6),0,22:00,4,5,0.8,1,1,1.0,0,1,0.0,0,3,3,7,0,0,1,2,9,10.7,
56,56,1987-02-26,23-151,SAS,,PHI,W (+2),0,13:00,3,7,0.429,0,1,0.0,0,0,,1,1,2,1,1,0,0,0,6,5.0,
