Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,1999-12-10,18-314,IND,,CLE,W (+48),0,13:19,4,7,.571,1,2,.500,1,1,1.000,0,0,0,0,0,2,1,1,10,6.7,+20
3,2,1999-12-11,18-315,IND,,LAC,W (+18),0,4:12,0,3,.000,0,0,,1,2,.500,0,2,2,0,0,1,1,1,1,-1.6,0
5,3,1999-12-15,18-319,IND,,CHI,W (+11),0,2:48,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,-10
6,4,1999-12-17,18-321,IND,,UTA,W (+15),0,0:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,+2
10,5,1999-12-27,18-331,IND,@,CHI,W (+12),0,4:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-8
11,6,1999-12-29,18-333,IND,@,ATL,W (+27),0,4:56,2,3,.667,0,0,,0,1,.000,0,1,1,0,0,0,0,0,4,2.6,+5
12,7,1999-12-30,18-334,IND,,CHH,W (+10),0,4:06,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-12
17,8,2000-01-12,18-347,IND,,WAS,W (+15),0,2:55,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,-7
21,9,2000-01-19,18-354,IND,,MIL,W (+22),0,2:19,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+5
30,10,2000-02-07,19-008,IND,,PHI,W (+25),0,3:27,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-0.7,-1
34,11,2000-02-19,19-020,IND,@,NYK,L (-14),0,4:09,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,+4
38,12,2000-02-26,19-027,IND,,GSW,W (+16),0,4:45,0,2,.000,0,0,,2,4,.500,0,1,1,0,0,0,0,2,2,-0.7,-2
39,13,2000-02-29,19-030,IND,,DET,W (+10),0,6:11,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,0,0,2,1.3,+2
40,14,2000-03-02,19-032,IND,@,PHO,L (-31),0,18:14,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,-1.9,-3
41,15,2000-03-03,19-033,IND,@,LAL,L (-15),0,3:47,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,4,1.9,0
42,16,2000-03-05,19-035,IND,@,GSW,W (+19),0,2:55,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.8,-1
45,17,2000-03-10,19-040,IND,@,CLE,W (+3),1,8:17,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,-3
47,18,2000-03-14,19-044,IND,@,DAL,L (-21),0,12:00,1,6,.167,0,2,.000,3,3,1.000,1,2,3,0,1,0,0,1,5,3.1,+4
50,19,2000-03-18,19-048,IND,,CHH,W (+14),0,3:02,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,-2
53,20,2000-03-26,19-056,IND,,PHI,L (-10),0,3:51,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,0,1,0,0,6,6.4,+7
55,21,2000-03-31,19-061,IND,,MIN,W (+24),0,2:21,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-4
56,22,2000-04-02,19-063,IND,@,TOR,W (+21),0,2:17,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1
63,23,2000-04-16,19-077,IND,@,DET,W (+11),0,0:52,0,1,.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,1,-0.1,-4
65,24,2000-04-19,19-080,IND,,ATL,W (+19),0,14:47,4,11,.364,0,2,.000,3,6,.500,0,1,1,1,0,1,0,1,11,5.0,+7
1,1,2000-10-31,19-275,IND,@,SAS,L (-13),0,8:46,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,1,2,2,3,0.6,-5
2,2,2000-11-02,19-277,IND,@,DAL,L (-6),0,3:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-7
3,3,2000-11-04,19-279,IND,,CHI,W (+13),0,14:23,1,8,.125,0,1,.000,0,0,,0,1,1,1,0,0,2,2,2,-5.0,+11
4,4,2000-11-08,19-283,IND,,MIL,W (+11),0,5:18,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-1.4,-8
5,5,2000-11-10,19-285,IND,@,WAS,W (+12),0,16:32,2,6,.333,0,0,,0,2,.000,0,1,1,1,0,2,0,1,4,1.8,+2
6,6,2000-11-11,19-286,IND,,DET,W (+10),0,20:11,3,6,.500,1,2,.500,1,2,.500,0,4,4,2,0,2,1,5,8,5.6,+13
7,7,2000-11-15,19-290,IND,@,DET,W (+4),0,13:05,1,3,.333,0,1,.000,0,0,,1,1,2,0,1,0,2,2,2,-0.5,-16
8,8,2000-11-17,19-292,IND,,GSW,L (-2),0,16:07,3,7,.429,0,0,,1,1,1.000,1,1,2,1,0,1,3,2,7,1.9,+6
9,9,2000-11-18,19-293,IND,@,NJN,L (-5),0,6:07,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,2,1,0,-1.4,-7
10,10,2000-11-21,19-296,IND,,HOU,L (-12),0,11:28,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,0,1,1,2,5,4.0,-7
11,11,2000-11-23,19-298,IND,,TOR,L (-20),0,10:31,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,5,4.0,-4
12,12,2000-11-24,19-299,IND,,WAS,W (+12),1,23:07,3,10,.300,0,4,.000,3,4,.750,0,5,5,2,1,0,0,1,9,6.3,-4
13,13,2000-11-28,19-303,IND,@,LAL,L (-17),1,25:21,3,10,.300,0,2,.000,0,2,.000,1,2,3,1,0,1,1,1,6,0.7,-10
14,14,2000-11-30,19-305,IND,@,GSW,L (-4),0,8:26,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,1,0,2,1.2,+2
15,15,2000-12-01,19-306,IND,@,VAN,W (+10),0,4:22,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-1
16,16,2000-12-03,19-308,IND,@,MIL,L (-12),0,9:26,0,2,.000,0,2,.000,1,2,.500,0,1,1,1,0,0,2,1,1,-2.2,+2
17,17,2000-12-05,19-310,IND,,NJN,W (+24),0,15:54,1,7,.143,1,2,.500,2,4,.500,0,3,3,1,0,1,1,1,5,0.6,+5
20,18,2000-12-09,19-314,IND,,CHH,W (+3),0,3:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,0
23,19,2000-12-15,19-320,IND,,CLE,L (-8),0,10:18,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,1,0,1,2,1.6,-6
25,20,2000-12-19,19-324,IND,@,CHI,W (+5),0,3:50,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-1
28,21,2000-12-23,19-328,IND,@,ATL,L (-4),1,13:04,1,3,.333,0,1,.000,0,0,,1,2,3,1,0,0,1,1,2,0.9,-9
29,22,2000-12-25,19-330,IND,,ORL,W (+10),1,24:16,5,9,.556,2,2,1.000,8,9,.889,1,4,5,2,1,4,2,4,20,18.8,+6
30,23,2000-12-27,19-332,IND,@,MIA,L (-12),1,16:16,1,4,.250,0,1,.000,4,4,1.000,0,3,3,0,0,1,1,2,6,3.4,0
31,24,2000-12-30,19-335,IND,,SAS,L (-12),1,16:12,1,9,.111,0,3,.000,1,2,.500,0,1,1,0,0,1,1,3,3,-4.5,+4
33,25,2001-01-03,19-339,IND,@,POR,L (-16),0,10:30,3,8,.375,0,1,.000,2,2,1.000,1,4,5,1,0,0,0,2,8,5.4,0
34,26,2001-01-05,19-341,IND,@,SAC,W (+2),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
35,27,2001-01-08,19-344,IND,@,LAC,W (+3),0,3:30,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,1,0,0,1,1.3,-3
36,28,2001-01-09,19-345,IND,@,UTA,L (-4),0,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
37,29,2001-01-11,19-347,IND,@,PHO,L (-8),0,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-3
39,30,2001-01-15,19-351,IND,,LAC,W (+15),0,14:40,1,4,.250,0,0,,0,0,,1,2,3,1,0,0,1,3,2,-0.6,-3
41,31,2001-01-21,19-357,IND,@,NYK,W (+13),0,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
43,32,2001-01-28,19-364,IND,,PHI,L (-5),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
45,33,2001-01-31,20-001,IND,,BOS,L (-6),0,3:38,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-7
46,34,2001-02-02,20-003,IND,,DEN,W (+9),0,8:37,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2
47,35,2001-02-03,20-004,IND,@,MIL,L (-19),0,24:00,4,7,.571,1,1,1.000,4,5,.800,0,2,2,1,0,1,1,3,13,9.1,-3
48,36,2001-02-06,20-007,IND,@,MIA,L (-13),0,6:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,+1
49,37,2001-02-13,20-014,IND,,CHH,L (-11),0,3:55,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,0
50,38,2001-02-15,20-016,IND,,DET,W (+9),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
54,39,2001-02-26,20-027,IND,@,CHH,L (-10),1,8:21,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,2,0,-2.8,+1
57,40,2001-03-04,20-033,IND,,NJN,L (-24),0,3:57,2,4,.500,0,1,.000,1,2,.500,0,0,0,0,0,0,0,1,5,2.2,-3
58,41,2001-03-06,20-035,IND,@,NYK,L (-14),0,1:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+2
59,42,2001-03-07,20-036,IND,,NYK,L (-4),0,13:12,2,4,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,2,6,3.2,-3
60,43,2001-03-09,20-038,IND,,CLE,W (+15),0,4:18,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,1,0,0.9,+3
61,44,2001-03-11,20-040,IND,@,DET,L (-17),0,1:57,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+1
62,45,2001-03-13,20-042,IND,@,HOU,L (-9),0,4:57,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-6
63,46,2001-03-14,20-043,IND,@,DEN,L (-12),0,15:54,1,4,.250,0,0,,3,4,.750,0,1,1,3,1,0,0,1,5,5.2,+3
64,47,2001-03-16,20-045,IND,,ATL,W (+6),0,8:07,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,1,0,0,2,1.3,-3
66,48,2001-03-20,20-049,IND,@,TOR,L (-21),0,4:59,1,3,.333,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,4,2.6,-4
68,49,2001-03-23,20-052,IND,,VAN,W (+20),0,17:22,3,7,.429,0,0,,2,3,.667,1,3,4,0,0,3,1,1,8,6.2,-10
70,50,2001-03-27,20-056,IND,@,WAS,W (+8),0,6:29,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-2.4,-5
71,51,2001-03-29,20-058,IND,@,ATL,L (-11),0,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
73,52,2001-04-01,20-061,IND,@,PHI,L (-11),0,4:57,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,4,2.0,+10
74,53,2001-04-03,20-063,IND,,PHO,W (+4),0,1:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
76,54,2001-04-08,20-068,IND,@,NJN,W (+25),0,10:29,1,2,.500,0,0,,0,0,,1,3,4,0,0,2,0,2,2,3.2,-4
77,55,2001-04-09,20-069,IND,,WAS,W (+22),0,16:46,2,2,1.000,0,0,,1,1,1.000,0,0,0,0,0,1,2,2,5,2.3,+10
79,56,2001-04-13,20-073,IND,,BOS,W (+5),0,5:51,1,3,.333,0,0,,2,2,1.000,0,1,1,0,0,0,1,3,4,0.4,-10
80,57,2001-04-15,20-075,IND,@,CHI,W (+7),0,10:36,2,7,.286,0,0,,0,0,,0,1,1,0,0,1,1,3,4,-1.3,-8
81,58,2001-04-17,20-077,IND,,PHI,L (-6),0,25:03,5,8,.625,3,4,.750,2,2,1.000,1,1,2,2,0,0,1,1,15,12.4,-8
82,59,2001-04-18,20-078,IND,@,CLE,W (+4),0,25:33,2,5,.400,0,1,.000,3,5,.600,0,3,3,1,1,2,1,2,7,5.7,-6
1,1,2001-10-30,20-273,IND,@,NJN,L (-6),0,4:22,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-5
2,2,2001-10-31,20-274,IND,@,CHI,W (+25),0,15:09,2,4,.500,1,1,1.000,0,0,,1,1,2,0,0,0,2,2,5,1.2,+10
3,3,2001-11-02,20-276,IND,,ORL,W (+10),0,7:55,1,3,.333,0,0,,0,0,,1,0,1,0,0,1,1,2,2,-0.1,-2
4,4,2001-11-04,20-278,IND,@,TOR,L (-13),0,9:30,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-2.5,-3
6,5,2001-11-07,20-281,IND,,SAC,W (+12),0,9:38,3,6,.500,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,7,4.6,-1
7,6,2001-11-09,20-283,IND,,NYK,W (+8),0,2:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
