model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,128,33,7.408631922731843,2.721880218292466,0.3744658488817735,17.98342214138605,4.240686517698054,-0.1915275439261019,4.424242424242424,6.4653930217095095,-10.092729947281098,12.43188522530077,-1.6500003995961945,0.3346739555769531,4.998319784235577,-4.6723308743457705,1.6979009627630417,-3.725804814123124,-1.2194661485457097,2.664535259100376e-15,0.7613053589072241,-1.7763568394002505e-15,-2.664535259100376e-15,-8.881784197001252e-16,0.4117092150414536,1.3322676295501878e-15,-1.269742008545208,-6.800116025829084e-16,3.322457257171638,4.05394737520235,1.0817165581133676,-6.661338147750939e-16,0.5518565955191209,-0.2405101089424888,-2.4941079483796584,-8.881784197001252e-16,4.440892098500626e-16,0.0,0.8713838369027433,-6.7307270867900135e-16,0.4876033565755948,-6.661338147750939e-16,-1.4992927168777652,-0.7337958306731398,-1.4777661102027828,-1.1102230246251563e-16,-0.0115058216223747,0.0,-1.4513846052683046,-2.220446049250313e-16,-1.6948199394894443,0.0,-1.6425533991636887,0.0,-0.9319569998334584,0.0,1.950535672317423,0.0,1.9864359551303268,0.0,0.0,0.0,1.4654288035196823,0.0,0.3545732727037922,0.0,0.0,0.0,0.0,0.0,-0.751177027886861,0.0,0.0,0.0,0.0,0.0,0.2942303144445155,0.0,0.0,0.0,1.443902015245638,0.0,0.0,0.0,2.0264584108879697,0.0,-1.6772976938416204,0.0,0.366941371866508,0.6461633785363701,0.6960015925933377,0.0,-0.9699470567104,0.0,0.0,0.0,-0.9815221105730968
"Random Forest (100 estimators, 20 depth)",128,33,1.817475337022162,1.3481377292480772,0.8465448271719166,19.551711469592668,4.421731727456186,-0.2954376849833544,4.424242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",128,33,2.575782959426734,1.604924596180996,0.7825185238254257,19.27205903422956,4.389995334192231,-0.2769087544582616,4.424242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",128,33,4.747480297412171,2.1788713356717904,0.5991552706674104,20.44615317791588,4.52174227238969,-0.354700706421903,4.424242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),128,33,7.721128737191408,2.7786919111681683,0.3480807575992206,17.430308303124832,4.17496207205824,-0.1548798820943624,4.424242424242424,3.716802609018567,0.2018692574569081,1.9862251107701785,-0.5506874901590306,0.3402743338352008,4.589679941849286,-1.415840621677683,-0.8005694990685511,-0.9736198032776248,-0.633117060587965,0.0,0.8957431208641374,0.0,0.0,0.0,0.5029527215851981,0.0,-0.8208601448333382,0.0,1.768074218930359,1.2811617437435427,1.191126275489328,0.0,0.6054338894068606,0.0148169786186114,-1.8377969344659977,0.0,0.0,0.0,0.4639373289504955,0.0,0.0148325507331742,0.0,-1.0470916304466211,-0.0293664259174084,-1.1689392699613923,0.0,0.2588063685300655,0.0,-0.8197960244767819,0.0,-1.3744189211422126,0.0,-1.4102721487696566,0.0,-1.0985606323814678,0.0,1.3450748800388717,0.0,1.2126730613610943,0.0,0.0,0.0,1.1451888640497592,0.0,0.642500394028565,0.0,0.0,0.0,0.0,0.0,-0.982294372516718,0.0,0.0,0.0,0.0,0.0,0.0937990259671028,0.0,0.0,0.0,0.8836021602433439,0.0,0.0,0.0,1.64333547791118,0.0,-0.949923705006071,0.0,0.4481679459118791,-0.2929924931671049,0.5813123713286508,0.0,-0.9195503797064456,0.0,0.0,0.0,-0.6339394310354115
Ridge (lambda=0.1),128,33,7.466950628099861,2.7325721633837707,0.3695418167207526,18.012159877711003,4.24407350050762,-0.1934316200308641,4.424242424242424,5.044978687260485,-3.5882098986312023,6.561329394651201,-0.4386653537592153,0.3516471580282724,5.007101806778569,-3.338188437834756,-0.4163296211614161,-2.3936838361864545,-1.117775782522331,0.0,0.995546448624179,0.0,0.0,0.0,0.5094724463553318,0.0,-1.130093059346545,0.0,3.1559486711260982,2.761377539388981,1.2421401920830273,0.0,0.6015681031853762,-0.2529010473646287,-2.385856043978382,0.0,0.0,0.0,0.7249887820552621,0.0,0.2476443690675658,0.0,-1.3275900616800618,-0.2315313016386981,-1.436860920666523,0.0,0.1930765519074614,0.0,-1.2865784207898563,0.0,-1.8002871903507038,0.0,-1.7181179212302464,0.0,-1.1302096050259227,0.0,1.7238648388440805,0.0,1.752672048281421,0.0,0.0,0.0,1.404058200736614,0.0,0.4832069111598635,0.0,0.0,0.0,0.0,0.0,-1.0097739070455445,0.0,0.0,0.0,0.0,0.0,0.2190514808710363,0.0,0.0,0.0,1.1779127776077296,0.0,0.0,0.0,2.0902447052064845,0.0,-1.4329606438314273,0.0,0.4412359700620086,0.1167386458015934,0.6664528814503393,0.0,-0.9952133386722646,0.0,0.0,0.0,-0.8577684834843086
Lasso (lambda=0.1),128,33,9.5494343401661,3.090215905105354,0.1937111512711796,17.22937378319045,4.150828084032203,-0.1415665642427841,4.424242424242424,3.0312011297961368,0.0,0.1385470355927982,-0.0,0.0,3.999070576425228,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),128,33,11.84368896484375,3.4414661068858066,0.0,15.961472020004734,3.995181099775672,-0.057559201130759,4.424242424242424,3.4921875,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",128,33,4.717459131160007,2.1719712546808734,0.6016900523845998,20.03490388115721,4.476036626431603,-0.3274525630676685,4.424242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),128,33,7.7022389101791555,2.7752907793921624,0.3496756852495772,17.875435701612286,4.227935158160811,-0.1843726867276576,4.424242424242424,3.951586291455969,-0.0,2.516301796977944,-0.0,0.279525491556739,4.954810878548853,-2.09273515859171,-0.859068433680544,-1.0734455219649446,-0.078443987925436,0.0,0.6005313717321058,0.0,0.0,0.0,0.2195259861311995,0.0,-1.0153589690567089,0.0,2.0600878231028794,1.166144326362766,0.802695875680557,0.0,0.2219585560057485,0.0,-2.2250607954469657,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2581515880226,-0.0,-1.3530122183196285,0.0,0.0,0.0,-1.0083532442157117,0.0,-1.7340178856425243,0.0,-1.7067482262768183,0.0,-1.253709783477062,0.0,1.0953061432328384,0.0,0.9622352554598774,0.0,0.0,0.0,0.9368066316050304,0.0,0.2273792610537139,0.0,0.0,0.0,0.0,0.0,-1.0350824370839573,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.5955026983934425,0.0,0.0,0.0,1.5743328100194218,0.0,-1.2438377431686365,0.0,0.0,-0.0,0.0607047157347707,0.0,-1.0662729020810389,0.0,0.0,0.0,-0.7027678948168631
