model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,405,102,33.72311921296296,5.80716102867511,0.385029630003232,49.01355698529412,7.000968289122164,0.196767382091372,13.803921568627452,-142462939276688.03,1.7309587546591771,15.4345754033067,22.090252570423925,1.1506121156115814,4.702064971630779,-5.652412442586358,-15.785858902223232,38065352142265.64,-12809215819323.137,-22161527936546.49,-12809215819325.912,14472111284534.889,2760053718614.7607,-4220937309999.629,-12809215819324.738,155272155096020.38,-12809215819327.656,6030011863118.836,-12809215819326.994,-458967352023.69525,-12809215819326.21,155272155096011.16,-12809215819328.21,155272155096004.88,-12809215819325.434,-114650748.8029842,-12809215819326.178,5536247.012462541,-12809215819326.91,18751.40661840886,-110480.55608531833,-6754.452146887779,-12809215819326.91,155272155096013.53,-12809215819325.426,-2.041015625,-12809215819328.229,0.0,-12809215819324.406,0.0,-12809215819327.549,0.0,-12809215819326.057,0.0,-12809215819326.451,0.0,-12809215819324.225,0.0,-12809215819323.969,0.0,0.0,0.0,-12809215819331.68,0.0,-12809215819323.72,0.0,0.0,0.0,-12809215819327.484,0.0,-12809215819322.633,0.0,0.0,0.0,-12809215819327.914,0.0,0.0,0.0,-12809215819324.422,0.0,-12809215819321.008,0.0,-12809215819325.72,0.0,-12809215819326.377,0.0,-12809215819326.404,0.0,0.0,0.0,-12809215819325.484,0.0,-12809215819323.812,0.0,0.0,0.0,-12809215819324.629
"Random Forest (100 estimators, 20 depth)",405,102,5.973364864856462,2.444046821330652,0.8910705033579923,41.87776656943437,6.471303313045555,0.3137084891874769,13.803921568627452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",405,102,12.804391477798228,3.578322439048531,0.7665007997938045,40.52893501707386,6.366233974421131,0.3358130979030892,13.803921568627452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",405,102,25.96862589971041,5.095942101291027,0.526439550950144,41.1371792755912,6.413827194085541,0.3258452102787864,13.803921568627452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),405,102,34.22885994432227,5.850543559732058,0.3758070084917878,48.54740700683025,6.967596932001036,0.2044066331592332,13.803921568627452,-1.197609739992144,0.3157258475045019,8.80552712531989,9.234920560416228,1.115102744677583,4.859422825272048,4.729677596505239,-8.987221349988594,0.0,2.3692594009481582,0.0,0.0097193769491593,0.0,0.0,0.0,1.0754995603984896,7.79856445492129,-1.7193060716771371,0.0,-1.0266070267246223,0.0,-0.335432173080822,-2.1831988067020323,-2.132342439692273,-5.727065028894256,0.2765660803426107,0.0,-0.4501829358255887,0.0,-1.053751789622041,0.0,0.0,0.0,-0.8602472032759682,0.1116993806746643,0.4104497086336608,0.0,-2.409381067067101,0.0,1.257873164068748,0.0,-1.5875805624271415,0.0,-0.3333396720926248,0.0,-0.792001333420235,0.0,1.59985227886012,0.0,1.5514090510087275,0.0,0.0,0.0,-5.372406654203218,0.0,1.7666211988654867,0.0,0.0,0.0,-1.6473721395117171,0.0,2.910647979543159,0.0,0.0,0.0,-2.0431391629904305,0.0,0.0,0.0,1.4835043512118855,0.0,4.454162297403507,0.0,0.4276858807037427,0.0,-0.722746152126415,0.0,-0.6131425137381953,0.0,0.0,0.0,0.3898472433349135,0.0,1.8197994139965137,0.0,0.0,0.0,1.296081911206208
Ridge (lambda=0.1),405,102,33.750036779014685,5.809478184743849,0.384538764806282,49.115393215943016,7.008237525651012,0.1950984931721979,13.803921568627452,-1.1615751144904056,1.1580181949187554,14.599479281373306,16.425598442469322,1.1006746983743734,4.687285209372453,-0.5441897822782662,-14.952627731831091,0.0,2.700969737119848,0.0,-0.0546305806585024,0.0,0.0,0.0,1.1150070058355657,7.911567374140486,-1.897830501522721,0.0,-1.1997923257480312,0.0,-0.3930168062156606,-1.5561973576173458,-2.351707624326106,-7.339202406306459,0.3541652858913646,0.0,-0.4298995441399972,0.0,-1.0839971990477455,0.0,0.0,0.0,-1.0081781997349548,0.9838323897791958,0.3916191145277717,0.0,-2.4253860538055703,0.0,1.3884396042321998,0.0,-1.7680302844518296,0.0,-0.2886369349437534,0.0,-0.6948398848357575,0.0,1.6190614464483477,0.0,1.7871598305474312,0.0,0.0,0.0,-5.806191666570943,0.0,1.998782447801697,0.0,0.0,0.0,-1.6824905184560106,0.0,3.1076340443923662,0.0,0.0,0.0,-2.1416629648261134,0.0,0.0,0.0,1.562169160102139,0.0,4.79024914251449,0.0,0.1654391092256665,0.0,-0.662860489526976,0.0,-0.6254670024456315,0.0,0.0,0.0,0.3475085146550628,0.0,1.950480185687656,0.0,0.0,0.0,1.2359339522683002
Lasso (lambda=0.1),405,102,39.544798551254,6.288465516424019,0.2788662506888064,44.44446583061219,6.666668270629055,0.2716455030720524,13.803921568627452,-0.5246133633706975,0.0,0.0,8.174362204164678,0.9410191910041552,5.073008449583926,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.217116697229367,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1177293460170595,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.9114665105593167,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),405,102,53.64367861156853,7.324184501469671,0.0217609268165461,59.87310276591111,7.737771175597732,0.0188014901386469,13.803921568627452,14.012820512820516,0.0,0.0,0.0,0.0,0.5712773465067031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",405,102,25.47413031478484,5.0471903386720856,0.5354571074490859,39.86159178407397,6.313603708190273,0.3467494976474893,13.803921568627452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),405,102,33.950869964107845,5.826737506024091,0.3808763972368877,47.48332367890231,6.890814442350215,0.2218447970007379,13.803921568627452,-2.559509866133361,0.0,12.985309224682698,15.108264618962082,1.1147887751721446,4.764232924300615,0.0,-12.339056989544307,0.0,2.581029872620343,0.0,0.0,0.0,0.0,0.0,1.0555387632718585,9.160241337567644,-0.4251184973608887,0.0,-0.6124910392079727,0.0,-0.0,-0.5298300580779691,-1.9000085256955683,-5.488666063284253,0.2814405775075042,0.0,-0.0,0.0,-0.6025228907255589,0.0,0.0,0.0,-0.6350469610556945,1.8018988010841333,0.0323137302378824,0.0,-1.9363146367693909,0.0,1.2404202824523545,0.0,-1.1181207967020386,0.0,-0.0,0.0,-0.3989755829309946,0.0,1.2456742160101484,0.0,1.6045924210914524,0.0,0.0,0.0,-5.129566058921948,0.0,1.8747850898188343,0.0,0.0,0.0,-1.2664629170622592,0.0,2.8685167626920944,0.0,0.0,0.0,-1.754374403039493,0.0,0.0,0.0,1.1614594265840583,0.0,4.684820284950356,0.0,0.0,0.0,-0.1351241482037269,0.0,-0.1407750310200354,0.0,0.0,0.0,0.1484578352393532,0.0,1.830277876704771,0.0,0.0,0.0,1.2082542594227503
