Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2002-10-31,24-022,WAS,,BOS,W (+45),0,6:30,3,5,.600,0,1,.000,0,0,,0,4,4,1,0,0,0,0,6,5.6,+17
5,2,2002-11-06,24-028,WAS,,CLE,W (+7),0,3:39,2,3,.667,0,0,,2,2,1.000,0,0,0,0,0,0,2,0,6,2.7,-9
7,3,2002-11-09,24-031,WAS,@,CLE,W (+14),0,9:15,3,3,1.000,0,0,,0,0,,0,1,1,0,1,0,0,1,6,6.0,+1
10,4,2002-11-16,24-038,WAS,,MIA,W (+30),0,10:53,2,7,.286,0,0,,0,1,.000,0,0,0,0,0,0,0,1,4,-0.9,+2
11,5,2002-11-17,24-039,WAS,@,PHI,L (-16),0,3:21,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,2.0,+1
13,6,2002-11-23,24-045,WAS,@,MEM,L (-11),0,2:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
14,7,2002-11-26,24-048,WAS,,IND,L (-4),0,24:06,6,13,.462,1,4,.250,2,3,.667,2,3,5,4,6,0,1,4,15,16.4,+12
15,8,2002-11-29,24-051,WAS,@,IND,L (-16),0,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,2,0,-3.8,-5
16,9,2002-11-30,24-052,WAS,,PHI,L (-1),0,29:02,6,13,.462,1,3,.333,5,5,1.000,0,2,2,1,0,0,1,2,18,10.8,+1
20,10,2003-01-14,24-097,WAS,,TOR,L (-9),0,24:04,2,10,.200,0,2,.000,0,0,,0,0,0,1,2,0,1,0,4,-0.5,-2
21,11,2003-01-16,24-099,WAS,,ORL,W (+15),0,4:53,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,2,0,-3.2,-5
22,12,2003-01-18,24-101,WAS,,PHI,L (-8),0,29:18,7,13,.538,3,6,.500,2,2,1.000,1,5,6,3,0,0,3,4,19,12.4,+7
23,13,2003-01-20,24-103,WAS,,DEN,W (+15),0,17:31,1,7,.143,0,3,.000,2,2,1.000,0,3,3,1,1,0,1,1,4,0.7,-3
24,14,2003-01-22,24-105,WAS,@,NOH,L (-9),0,8:03,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-0.8,+7
