Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
11,1,2012-01-11,23-035,DEN,,NJN,W (+8),0,6:04,0,0,,0,0,,0,0,,0,1,1,3,0,0,0,1,0,2.0,+6
12,2,2012-01-13,23-037,DEN,,MIA,W (+13),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
18,3,2012-01-25,23-049,DEN,@,SAC,W (+29),0,20:19,3,6,.500,0,2,.000,0,0,,2,3,5,2,2,1,4,3,6,4.2,+9
20,4,2012-01-29,23-053,DEN,,LAC,L (-4),0,11:36,2,2,1.000,1,1,1.000,1,2,.500,1,0,1,0,0,1,0,1,6,6.0,-4
24,5,2012-02-04,23-059,DEN,@,POR,L (-20),0,3:17,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+5
25,6,2012-02-06,23-061,DEN,,HOU,L (-9),1,20:49,1,5,.200,0,3,.000,0,0,,2,2,4,1,0,1,0,1,2,1.9,-4
26,7,2012-02-08,23-063,DEN,,DAL,L (-10),1,7:14,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,0,0,2.0,-8
27,8,2012-02-09,23-064,DEN,,GSW,L (-8),0,9:42,1,2,.500,0,0,,0,0,,0,3,3,4,1,0,1,1,2,4.3,+2
29,9,2012-02-14,23-069,DEN,,PHO,W (+17),0,5:45,0,0,,0,0,,0,0,,0,0,0,0,0,1,2,2,0,-2.1,-3
30,10,2012-02-15,23-070,DEN,@,DAL,L (-18),0,7:03,1,2,.500,0,0,,0,0,,0,0,0,4,0,0,1,0,2,2.8,+10
33,11,2012-02-20,23-075,DEN,,MIN,W (+2),0,17:47,1,2,.500,0,0,,3,4,.750,0,3,3,2,0,2,2,1,5,4.9,-3
34,12,2012-02-22,23-077,DEN,@,LAC,L (-8),0,13:23,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,5,0,-1.7,+1
35,13,2012-02-23,23-078,DEN,,SAS,L (-15),0,21:03,2,6,.333,1,3,.333,4,4,1.000,0,1,1,7,2,0,0,1,9,12.4,+2
37,14,2012-03-02,23-086,DEN,@,HOU,W (+12),0,0:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,-4
38,15,2012-03-04,23-088,DEN,@,SAS,W (+5),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
44,16,2012-03-15,23-099,DEN,,OKC,L (-13),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
48,17,2012-03-23,23-107,DEN,@,UTA,L (-19),0,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
49,18,2012-03-25,23-109,DEN,@,MIN,L (-17),0,3:42,2,2,1.000,0,0,,0,1,.000,0,0,0,1,0,0,0,0,4,3.7,+1
56,19,2012-04-07,23-122,DEN,@,GSW,L (-15),0,3:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+3
57,20,2012-04-09,23-124,DEN,,GSW,W (+39),0,12:00,0,1,.000,0,0,,0,0,,0,1,1,4,1,0,0,1,0,3.0,+7
64,21,2012-04-22,23-137,DEN,,ORL,W (+27),0,2:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+8
66,22,2012-04-26,23-141,DEN,@,MIN,W (+29),0,8:27,0,0,,0,0,,0,0,,0,1,1,3,1,0,0,0,0,3.4,+2
35,1,2013-01-05,24-029,DEN,,UTA,W (+19),0,5:27,1,1,1.000,0,0,,0,0,,2,0,2,1,0,0,1,3,2,1.6,-4
41,2,2013-01-16,24-040,DEN,@,OKC,L (-20),0,5:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
71,3,2013-03-23,24-106,DEN,,SAC,W (+6),0,14:16,1,1,1.000,0,0,,3,4,.750,0,1,1,1,0,0,0,0,5,5.3,+10
72,4,2013-03-25,24-108,DEN,@,NOH,L (-24),0,2:26,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-0.4,+2
2,1,2013-11-01,24-329,TOR,@,ATL,L (-7),0,3:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
5,2,2013-11-06,24-334,TOR,@,CHA,L (-2),0,8:37,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,0.3,+2
