model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,160,40,15.575228844573024,3.946546445257299,0.355996326459664,30.07939866540546,5.484468859005898,-0.3024556267664946,6.425,2.118421263568276,24.560241404955125,-15.627691551384777,9.704325680936224,0.1940595082587033,5.91307816837631,-16.153980214230366,-1.7647081728012874,3.3922455793221813,-0.0477645046835832,4.8072656966269285e-14,-1.1192036073440954,7.016609515630989e-14,2.1760371282653068e-14,-2.398081733190338e-14,-1.3175694683205572,1.0658141036401504e-14,1.500203775860733,-1.7763568394002505e-15,1.5109082738705224,-2.3592239273284576e-16,2.490376871437101,0.5451336278674818,0.0555939028712708,-0.199701176242016,0.5468819585664195,4.440892098500626e-16,0.441488946993867,-2.775557561562892e-17,2.2151948527709147,0.0,0.0,-6.938893903907227e-17,-0.2086136342756646,-1.3322676295501878e-15,-0.1972950138865994,0.0,-5.122986454173828,-2.220446049250313e-16,-1.3233078528107634,-3.737678030947202,0.2078409093529681,0.0,1.776830941928227,0.0,0.9121109675721047,0.0,2.1507761321332843,0.0,0.3585601320661321,0.0,0.0,0.0,0.0,0.0,0.90084765539692,0.0,0.0,0.0,-2.768923438358558,0.0,-2.27622343673941,0.0,0.0,0.0,0.1146750949009707,0.0,0.0,0.0,-2.7397270821358086,0.0,-1.0672912259815974,0.0,1.9952468356741089,0.0,-2.161504297699083,0.0,1.2765765358580063,0.0,0.0,0.0,-0.0972435877781439,0.0,2.910778915448488,0.0,0.0,0.0,-0.9172390985148554
"Random Forest (100 estimators, 20 depth)",160,40,3.620984527083333,1.9028884694283408,0.8502797383881193,24.446704354012347,4.94436086405638,-0.0585566552033709,6.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",160,40,4.3221851711700525,2.078986573109613,0.8212865341670436,23.547093025120905,4.8525347010733375,-0.0196029563528308,6.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",160,40,10.262401192602084,3.203498274168738,0.575670821062556,23.049562611085936,4.800996001986039,0.0019404027566912,6.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),160,40,16.3640087448386,4.045245202066075,0.3233819001513913,24.905437308139145,4.990534771759349,-0.0784200615145092,6.425,2.8477130325618623,2.198227316806709,0.3442013174473775,2.0982757758795705,0.1877465401187807,4.613333653182337,-2.975886651325548,-0.8683840323339482,1.3028373738496364,-0.6550320501321286,0.0,-0.9327179408953096,0.0,0.0,0.0,-0.8836651833912402,0.0,0.6000036174733177,0.0,1.846571814526756,0.0,2.289931662190857,0.1452914469756119,-0.0759557607316202,-0.7813714426582816,0.3079275817606942,0.0,0.0414732085245801,0.0,1.4646991126685305,0.0,0.0,0.0,-0.2599203369759413,0.0,0.1154618321810704,0.0,-3.611925959800897,0.0,-0.9021780054159764,-0.6667573781670223,0.1804804445983769,0.0,1.4681850558396703,0.0,0.826641030775771,0.0,1.5185258832739017,0.0,-0.096016026543759,0.0,0.0,0.0,0.0,0.0,0.0902914970986787,0.0,0.0,0.0,-1.6710135541689648,0.0,-1.140953702854686,0.0,0.0,0.0,0.5187611520127109,0.0,0.0,0.0,-2.209604780031886,0.0,-1.2890305260241224,0.0,1.236828920301669,0.0,-1.5301977465541423,0.0,1.0294086885297882,0.0,0.0,0.0,-0.32333583617092,0.0,2.466733325424061,0.0,0.0,0.0,-0.4203774174886227
Ridge (lambda=0.1),160,40,15.750212228416537,3.9686537047740176,0.3487611234890827,28.42158402600589,5.33118973832351,-0.2306712793052809,6.425,2.35382747603757,10.564284200651864,-3.9321590706370606,7.487721144486926,0.1969873331425095,5.531141539938667,-10.66907170796784,-2.0817855144389275,2.066305769643013,-0.5736010363144748,0.0,-1.0735707770851943,0.0,0.0,0.0,-1.1420972864704122,0.0,1.0502307210462298,0.0,1.8026727955760165,0.0,2.963517930415369,0.2336185209246686,0.0901521863129325,-0.5616859128374434,0.4618894903795124,0.0,0.2237921869600524,0.0,1.9033344305952968,0.0,0.0,0.0,-0.2936911530931771,0.0,-0.0787081361948726,0.0,-4.618689983849135,0.0,-1.2353922676487463,-1.7382383777314157,0.170544399193468,0.0,1.8040445421663704,0.0,0.925737156825898,0.0,2.1045228383854737,0.0,0.2258385324749429,0.0,0.0,0.0,0.0,0.0,0.5817999581579252,0.0,0.0,0.0,-2.64387984153456,0.0,-1.8348092413175967,0.0,0.0,0.0,0.3578378518775328,0.0,0.0,0.0,-2.834224546346447,0.0,-1.3014574685428415,0.0,1.6941855747511063,0.0,-1.922349202357274,0.0,1.3684472108996288,0.0,0.0,0.0,-0.2647332294671092,0.0,2.8346444288656327,0.0,0.0,0.0,-0.7459880646585288
Lasso (lambda=0.1),160,40,18.72222640133752,4.326918811502883,0.2258744510507536,22.15668938554884,4.707089268916496,0.0406023377749414,6.425,3.604153283063903,-0.0,-0.0,0.0,0.0,3.865239488152193,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.6398694024443158,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.8963439855851917,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.9632269728600004,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),160,40,23.295898805782524,4.8265825182817,0.0367625054462465,23.769544392740272,4.8754019724265065,-0.0292352312084771,6.425,5.104651162790698,0.0,-0.0,0.0,0.0,0.4223758642363289,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",160,40,9.928937164256729,3.1510216064407945,0.5894588726790686,22.015693812713685,4.692088427631526,0.0467075288803577,6.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),160,40,16.122016162555163,4.015223052652886,0.3333877956355111,26.03291435231652,5.102246010564026,-0.1272404796543105,6.425,1.8827223162524864,2.635070822327364,-0.0,6.572612938972668,0.1809331546637431,5.091157896141618,-7.1369591945292905,-0.0,1.1599276224668034,-0.600195214123881,0.0,-0.7047884316964546,0.0,0.0,0.0,-0.8804216631690357,0.0,0.4977241248387565,0.0,1.687475267445101,0.0,2.523000973751152,0.2548411520053587,-0.0,-0.0,0.0,0.0,0.0,0.0,1.4698136570696303,0.0,0.0,0.0,-0.0959720220421212,0.0,-0.0,0.0,-4.185459703733699,0.0,-1.0061924007920415,-0.922353347699853,0.0,0.0,1.4158230864026624,0.0,0.7635179366214297,0.0,1.512153245256131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392214542026441,0.0,0.0,0.0,-1.7840061753782486,0.0,-1.1723874622440051,0.0,0.0,0.0,0.2039779864855495,0.0,0.0,0.0,-2.368557350605444,0.0,-1.2619959511038548,0.0,1.0664605986853652,0.0,-1.6195036998801895,0.0,1.0265335559178907,0.0,0.0,0.0,-0.1412533815392422,0.0,2.6223639944203763,0.0,0.0,0.0,-0.4382570306956955
