Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2015-10-30,7260,WAS,A,MIL,W (+5),0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
5,2,2015-11-06,7267,WAS,A,BOS,L (-20),0,14:26,3,9,.333,0,4,.000,1,3,.333,0,2,2,2,0,0,1,3,7,0.9,+3
6,3,2015-11-07,7268,WAS,A,ATL,L (-15),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,4,2015-11-10,7271,WAS,H,OKC,L (-24),0,25:50,4,8,.500,2,4,.500,1,2,.500,0,3,3,0,0,0,1,4,11,4.9,-11
8,5,2015-11-14,7275,WAS,H,ORL,W (+9),0,9:46,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,3,4,1.8,-9
9,6,2015-11-17,7278,WAS,H,MIL,W (+29),0,8:04,2,3,.667,1,1,1.000,2,4,.500,0,3,3,0,0,0,1,1,7,4.4,+4
11,7,2015-11-24,7285,WAS,H,IND,L (-17),0,1:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
13,8,2015-11-27,7288,WAS,A,BOS,L (-33),0,13:00,0,7,.000,0,3,.000,4,4,1.000,0,6,6,0,0,0,0,1,4,0.5,-13
14,9,2015-11-28,7289,WAS,H,TOR,L (-2),0,1:19,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
15,10,2015-12-01,7292,WAS,A,CLE,W (+12),0,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
16,11,2015-12-02,7293,WAS,H,LAL,L (-4),0,5:22,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,+9
17,12,2015-12-04,7295,WAS,H,PHO,W (+3),0,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3
18,13,2015-12-06,7297,WAS,H,DAL,L (-12),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
21,14,2015-12-11,7302,WAS,A,NOP,L (-2),0,7:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,-7
22,15,2015-12-12,7303,WAS,A,DAL,W (+3),0,8:58,1,2,.500,0,1,.000,1,2,.500,0,3,3,0,1,0,2,3,3,0.3,0
23,16,2015-12-14,7305,WAS,A,MEM,L (-17),0,17:19,3,7,.429,2,3,.667,0,0,,0,4,4,1,2,0,1,2,8,6.4,0
24,17,2015-12-16,7307,WAS,A,SAS,L (-19),0,24:43,6,15,.400,2,7,.286,4,4,1.000,2,1,3,0,0,0,0,3,18,10.4,-7
25,18,2015-12-19,7310,WAS,H,CHO,W (+8),1,22:16,3,5,.600,2,2,1.000,0,0,,1,4,5,0,0,1,0,4,8,6.7,-6
26,19,2015-12-21,7312,WAS,H,SAC,W (+14),1,32:30,2,4,.500,2,2,1.000,2,2,1.000,0,6,6,2,1,0,1,4,8,7.6,-4
27,20,2015-12-23,7314,WAS,H,MEM,W (+9),1,20:04,3,6,.500,2,2,1.000,2,2,1.000,4,3,7,0,0,0,0,4,10,9.1,+15
28,21,2015-12-26,7317,WAS,A,BRK,W (+15),1,31:37,5,7,.714,2,4,.500,0,0,,0,6,6,1,1,1,1,2,12,11.5,-3
29,22,2015-12-28,7319,WAS,H,LAC,L (-17),1,25:15,2,6,.333,1,2,.500,0,0,,1,4,5,1,0,0,0,2,5,3.4,-16
30,23,2015-12-30,7321,WAS,A,TOR,L (-3),0,13:50,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,2,3,2,-2.2,-1
31,24,2016-01-01,7323,WAS,H,ORL,W (+12),0,20:50,3,5,.600,1,1,1.000,0,0,,1,4,5,0,1,0,0,1,7,7.2,+13
32,25,2016-01-03,7325,WAS,H,MIA,L (-22),0,25:45,3,6,.500,0,2,.000,0,0,,1,7,8,1,1,0,2,1,6,5.1,-7
33,26,2016-01-06,7328,WAS,H,CLE,L (-6),0,10:24,2,4,.500,0,1,.000,0,1,.000,0,1,1,1,0,0,1,0,4,1.6,-5
34,27,2016-01-08,7330,WAS,H,TOR,L (-9),0,10:10,1,2,.500,1,2,.500,1,2,.500,1,0,1,0,0,0,1,2,4,1.5,+1
35,28,2016-01-09,7331,WAS,A,ORL,W (+6),0,15:25,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,3,0,-0.9,-1
36,29,2016-01-11,7333,WAS,A,CHI,W (+14),0,13:15,1,6,.167,0,1,.000,0,0,,1,2,3,0,0,2,0,0,2,0.9,+8
37,30,2016-01-13,7335,WAS,H,MIL,W (+5),0,9:25,1,3,.333,1,2,.500,2,2,1.000,0,1,1,0,2,0,1,2,5,3.8,+9
38,31,2016-01-15,7337,WAS,A,IND,W (+14),1,17:59,2,6,.333,1,2,.500,2,4,.500,2,2,4,0,2,0,0,3,7,5.6,-2
39,32,2016-01-16,7338,WAS,H,BOS,L (-2),1,24:39,4,11,.364,1,4,.250,1,1,1.000,4,2,6,0,2,0,2,3,10,6.1,0
40,33,2016-01-18,7340,WAS,H,POR,L (-10),1,11:36,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.2,-13
41,34,2016-01-20,7342,WAS,H,MIA,W (+19),1,19:25,0,2,.000,0,2,.000,0,0,,0,2,2,0,1,1,1,2,0,-0.9,+3
42,35,2016-01-25,7347,WAS,H,BOS,L (-25),0,8:26,2,3,.667,0,1,.000,0,0,,0,2,2,0,0,0,1,0,4,2.3,-3
43,36,2016-01-26,7348,WAS,A,TOR,L (-17),0,5:21,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,0.5,+1
44,37,2016-01-28,7350,WAS,H,DEN,L (-4),0,7:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,2,0,-0.8,-2
45,38,2016-01-30,7352,WAS,A,HOU,W (+1),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
46,39,2016-02-01,7354,WAS,A,OKC,L (-16),0,1:45,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-4
48,40,2016-02-05,7358,WAS,H,PHI,W (+12),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
49,41,2016-02-06,7359,WAS,A,CHO,L (-4),0,4:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0
50,42,2016-02-09,7362,WAS,A,NYK,W (+3),0,6:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3
51,43,2016-02-11,7364,WAS,A,MIL,L (-7),0,7:58,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,2,2,0.2,-4
52,44,2016-02-18,7371,WAS,H,UTA,W (+14),0,1:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
53,45,2016-02-19,7372,WAS,H,DET,W (+12),0,2:27,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,2,2.2,-4
54,46,2016-02-20,7373,WAS,A,MIA,L (-20),0,4:43,1,3,.333,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,3,3,0.7,+1
55,47,2016-02-23,7376,WAS,H,NOP,W (+20),0,8:55,4,5,.800,0,0,,0,0,,0,2,2,0,0,0,2,1,8,4.3,-4
58,48,2016-02-28,7381,WAS,H,CLE,W (+14),0,5:42,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,3,0,-4.0,-13
61,49,2016-03-04,7386,WAS,A,CLE,L (-25),0,7:31,2,4,.500,0,1,.000,1,2,.500,2,2,4,0,1,0,1,2,5,3.8,+1
63,50,2016-03-08,7390,WAS,A,POR,L (-7),0,9:58,0,2,.000,0,0,,0,2,.000,0,3,3,0,1,0,0,2,0,-1.1,+6
64,51,2016-03-11,7393,WAS,A,UTA,L (-21),0,2:17,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,-2
65,52,2016-03-12,7394,WAS,A,DEN,L (-16),0,1:19,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,1,0,2,1.0,+2
66,53,2016-03-14,7396,WAS,H,DET,W (+43),0,9:37,2,4,.500,0,0,,0,1,.000,0,3,3,0,2,0,1,0,4,3.5,+10
67,54,2016-03-16,7398,WAS,H,CHI,W (+21),0,1:37,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-0.4,0
70,55,2016-03-21,7403,WAS,A,ATL,W (+15),0,0:39,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.7,0
71,56,2016-03-23,7405,WAS,H,ATL,L (-21),0,2:19,1,3,.333,1,2,.500,0,0,,1,1,2,1,0,0,1,0,3,2.0,0
73,57,2016-03-27,7409,WAS,A,LAL,W (+13),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
74,58,2016-03-29,7411,WAS,A,GSW,L (-8),0,4:48,2,3,.667,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,6,4.6,+11
75,59,2016-03-30,7412,WAS,A,SAC,L (-9),0,3:56,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,1,2,4,0.9,+3
78,60,2016-04-06,7419,WAS,H,BRK,W (+18),0,18:34,3,6,.500,1,4,.250,0,0,,1,3,4,1,1,0,1,4,7,4.7,+5
80,61,2016-04-10,7423,WAS,H,CHO,W (+15),0,17:20,2,6,.333,0,2,.000,0,0,,0,3,3,0,0,0,0,3,4,0.3,+2
81,62,2016-04-11,7424,WAS,A,BRK,W (+9),0,28:38,6,10,.600,1,3,.333,1,2,.500,0,6,6,0,1,0,1,4,14,9.2,+8
82,63,2016-04-13,7426,WAS,H,ATL,W (+11),0,25:34,3,8,.375,0,1,.000,0,2,.000,0,3,3,0,0,1,2,3,6,-0.8,-3
