model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,600,150,61.082467041015626,7.815527304092516,0.2417891693420283,78.65981648763021,8.869036953786482,0.1855947834083942,19.12,50607946226023.33,-4.977106718116431,12.192323674658349,14.60423610884613,0.9215649111823624,4.799612438509498,-1.8898747523814543,-12.692797141617108,-32047262323536.18,7788709345913.342,3423926725883.578,7788709345916.886,-1967808694835.8071,-19828974801.81741,-2349693781275.654,7788709345914.741,-58396655571939.25,7788709345915.273,-58396655571930.125,7788709345915.481,-4673377021.994083,7788709345913.903,6570895923.571599,7788709345914.224,163940443917.5899,7788709345915.085,21255626506.36449,7788709345914.866,103251274.40852544,7788709345914.704,681634177.8678846,7788709345912.396,-2088861.237805341,7788709345911.871,1743086.7417775062,7788709345916.106,38577.18831250072,7788709345917.358,23.618412017822266,7788709345912.051,-0.3408203125,7788709345912.633,0.0,7788709345916.904,0.0,7788709345914.104,0.0,7788709345913.2,0.0,7788709345915.789,0.0,0.0,0.0,7788709345912.796,0.0,7788709345914.533,0.0,0.0,0.0,7788709345912.281,-58396655571942.28,7788709345916.111,0.0,0.0,0.0,0.0,0.0,7788709345914.773,0.0,0.0,0.0,7788709345915.848,-58396655571926.44,0.0,0.0,7788709345913.93,0.0,7788709345914.017,-58396655571926.75,7788709345915.352,0.0,7788709345916.354,0.0,7788709345912.838,0.0,0.0,0.0,7788709345915.422
"Random Forest (100 estimators, 20 depth)",600,150,11.091315137549126,3.3303626135226065,0.8623245642995458,80.17982346154078,8.95431870448784,0.1698573756176825,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",600,150,27.162237757423465,5.21174037701644,0.6628377364202326,79.76701116878328,8.931237941561253,0.1741314319237725,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",600,150,49.749676459912784,7.0533450546469645,0.3824620166649931,80.87116589811555,8.992839701568997,0.1626995546114996,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),600,150,61.27167144902753,7.827622336893083,0.2394405930923735,78.7879665146614,8.876258587640482,0.1842679807894613,19.12,5.7122568508394735,-2.624307502237588,8.057059049974448,6.956184609049112,0.9617567226437224,5.348082383839634,3.843588078626901,-10.663205383570808,0.0,-1.1313956438940465,0.0,2.27729492696566,0.0,0.0,0.0,0.1322922689330925,-4.86935210381296,0.7024650454417235,2.429367049711757,0.840817455094466,0.0,-0.6708501733880546,0.0,-0.2961795483675081,0.0,0.3523299552790263,0.0,0.0992953266850003,0.0,0.154178865802648,0.0,-1.97012185560686,0.0,-2.2626258832990818,0.0,1.5156420915192192,0.0,2.711123710818676,0.0,-2.5739812857605,0.0,-1.7512584836771494,0.0,2.328966627936407,0.0,-0.5727592294415084,0.0,-1.365741031985405,0.0,1.2230973679012809,0.0,0.0,0.0,-1.632421259050352,0.0,-0.0436570344085515,0.0,0.0,0.0,-1.4610914697685795,-8.708000920641204,1.546468259098764,0.0,0.0,0.0,0.0,0.0,0.1125079550548238,0.0,0.0,0.0,1.208628567272978,5.248621387062117,0.0,0.0,-0.6228377389833509,0.0,-0.4511329980061165,5.89936458767952,0.8032502610837878,0.0,1.5993696228179368,0.0,-1.4963191361612416,0.0,0.0,0.0,0.694644464093998
Ridge (lambda=0.1),600,150,61.08996290823308,7.816006839060025,0.2416961238580331,78.62191841773888,8.866900158326972,0.1859871614636252,19.12,5.0185564813247385,-4.4236844167729705,11.389033116444656,11.592871822042358,0.949413090899577,4.901617914418401,0.8692246343675393,-12.689646035768115,0.0,-1.1897446107167142,0.0,2.3425657048066646,0.0,0.0,0.0,0.1798854881814163,-6.059940334771464,0.7216135609473938,2.790247523583361,0.928457729521998,0.0,-0.6245072178460707,0.0,-0.3202900493368223,0.0,0.514338755365725,0.0,0.3027335247785767,0.0,0.1705097111559575,0.0,-2.120245825766036,0.0,-2.6169553502893805,0.0,1.557227426130638,0.0,2.8083163953226,0.0,-2.502820858752528,0.0,-1.8821662620166992,0.0,2.3714021143109645,0.0,-0.5032123171007955,0.0,-1.3444204860457496,0.0,1.2619116617892097,0.0,0.0,0.0,-1.7444461522880346,0.0,-0.0169062345908159,0.0,0.0,0.0,-2.072161839445616,-9.25479517656752,1.5576364814114343,0.0,0.0,0.0,0.0,0.0,0.2093834976548721,0.0,0.0,0.0,1.3013614671594318,6.334707281236142,0.0,0.0,-0.6001456375001585,0.0,-0.4936655136255303,6.189780706518059,0.8679669076058808,0.0,1.7828935439701934,0.0,-1.6849069308949594,0.0,0.0,0.0,0.8383913161150515
Lasso (lambda=0.1),600,150,66.6163155852716,8.161881865432235,0.1730980357855152,78.47619813775464,8.858679254705784,0.1874958778766748,19.12,10.727591755470389,-0.0,0.0,1.8035138891520155,0.5725328057956424,6.256491926963733,0.0,-0.4318302910848133,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4106828109096033,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.6834795358375098,0.0,-0.0,0.0,-0.0,0.0,0.2172705823435268,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-5.273984683323277,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,3.86244858313668,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),600,150,76.82197033741194,8.764814335592737,0.0464162178780478,92.77430240431114,9.63194177745646,0.0394603087384545,19.12,18.555172413793105,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,1.5641824249165734,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",600,150,49.75321772858299,7.053596084876351,0.3824180592351431,75.90155988875048,8.712150130062641,0.2141524213883802,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),600,150,61.331153271121295,7.831420897328996,0.2387022509146013,78.55587093607525,8.863174991845487,0.1866709847422882,19.12,9.199926476014433,-0.0,7.190065561652599,10.386620167470353,0.8808551595242251,4.843819541261677,0.0,-13.274796784353674,0.0,-0.9039648390822952,0.0,2.020483742782756,0.0,0.0,0.0,0.0,-7.475469301833423,0.3574176024599589,-0.0,0.54582714014003,0.0,-0.3945044285362727,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9033333026624568,0.0,-2.066020497394102,0.0,1.2767881210141978,0.0,2.589475342537489,0.0,-2.28113932690656,0.0,-1.6567539354828826,0.0,2.084701860849248,0.0,-0.3301061017346938,0.0,-1.295620387541625,0.0,1.013817847831436,0.0,0.0,0.0,-1.3648423835490544,0.0,-0.0,0.0,0.0,0.0,-0.0,-11.593720864813884,1.324585010287284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8821471090480162,2.579063702414863,0.0,0.0,-0.5222792846327481,0.0,-0.3514812442215084,3.1319026550564244,0.0,0.0,1.30863175038684,0.0,-1.2543825333863348,0.0,0.0,0.0,0.2954828983320067
