model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,147,37,16.412272499289752,4.051206301743933,0.3951352020569296,23.091157637624537,4.805325965803417,-0.0071941249572418,6.216216216216216,1.3494988817071911,0.6829614539413478,0.6829614539413449,15.371930070512148,1.4868218353429647,5.8176701911009765,-8.604647315662083,0.7833492679630465,-2.185751579730777e-15,-1.0848898069276285,1.5404344466674049e-15,0.2530689438082626,-2.664535259100376e-15,-1.5667141588569322,-1.473065298554621,1.103900892726335,-8.881784197001252e-16,5.704786893867869,-8.881784197001252e-16,-3.4003115520154594,0.0,-4.440892098500626e-16,-8.881784197001252e-16,2.74623043493679,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-2.5618632925932534,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.9432957658341398,0.0,0.0,0.0,-3.46297783640202,0.0,3.3802617173577825,0.0,-1.2798110270203056,1.473065298554613,0.0,0.0,-3.964984726188055,0.0,-2.1230615192337727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2425733526014948,0.0,0.0,0.0,0.0,0.0,1.2899095438991095,0.0,0.0,0.0,0.8748036291626975,0.0,0.0,0.0,0.0,0.0,2.293304404777188,0.0,0.0,0.0,0.0,0.0,-2.035392675044006,0.0,0.0,0.0,-0.7640625167901152,0.0,3.411568479164619,0.0,1.5341075632523733,0.0,-2.5337425103171127
"Random Forest (100 estimators, 20 depth)",147,37,3.958215521552393,1.9895264566103144,0.8541222593176829,22.36274270984208,4.728926168787379,0.0245780038942901,6.216216216216216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",147,37,6.156121179411365,2.4811531954741053,0.7731197191943497,21.19985793771528,4.604330346284384,0.0753009138873315,6.216216216216216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",147,37,12.949028962472372,3.5984759221748828,0.522771036900358,21.31176631469657,4.616466864897501,0.0704196748607786,6.216216216216216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),147,37,16.9350886295141,4.115226437210242,0.3758671163617151,20.20687737242756,4.495206043378608,0.1186129126727417,6.216216216216216,2.667519373922552,0.871175872555673,0.8711758725556739,5.429927579623667,1.4939756525880776,4.591006850276219,0.2574919215335942,-1.079837568422104,0.0,-1.0391842419030883,0.0,0.6123052192235934,0.0,-1.6880619730793187,-0.6333853064600559,1.2860389182366765,0.0,4.566662492713195,0.0,-2.077683268336983,0.0,0.0,0.0,2.207457126006952,0.0,0.0,0.0,-2.3570915366796856,0.0,0.0,0.0,0.0,0.0,0.4551995406594675,0.0,0.0,0.0,-2.9456028759531714,0.0,3.030092809331433,0.0,-1.193011937063061,0.6333853064600588,0.0,0.0,-2.632098469269589,0.0,-1.7192282624390152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86802437988343,0.0,0.0,0.0,0.0,0.0,1.3094841794041323,0.0,0.0,0.0,0.8269277076467277,0.0,0.0,0.0,0.0,0.0,1.5035565323254887,0.0,0.0,0.0,0.0,0.0,-1.730410379386542,0.0,0.0,0.0,-0.6914456488701007,0.0,3.01511935250299,0.0,0.5237182048745592,0.0,-2.13076786982839
Ridge (lambda=0.1),147,37,16.455287269935756,4.0565117120422265,0.393549917596384,22.32980705797242,4.725442525094599,0.0260145968787278,6.216216216216216,1.6781503184129711,0.7671202668311303,0.7671202668311268,12.068130943411887,1.5254277507439733,5.4719131060333535,-5.31332785380598,-0.0333649076013866,0.0,-1.1307695099594683,0.0,0.3492584957483494,0.0,-1.6768877991324271,-1.2823997139823664,1.218815084404376,0.0,5.573902386208952,0.0,-3.0922011477773554,0.0,0.0,0.0,2.6734803645897816,0.0,0.0,0.0,-2.588780705239865,0.0,0.0,0.0,0.0,0.0,0.7732778809271698,0.0,0.0,0.0,-3.4683912165706348,0.0,3.392604259029336,0.0,-1.286187005459735,1.282399713982444,0.0,0.0,-3.668110712526268,0.0,-2.0481129504585045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368219734121636,0.0,0.0,0.0,0.0,0.0,1.3107252259394966,0.0,0.0,0.0,0.939124517378872,0.0,0.0,0.0,0.0,0.0,2.174655836136928,0.0,0.0,0.0,0.0,0.0,-1.982593851094713,0.0,0.0,0.0,-0.7689200627541718,0.0,3.384328194545656,0.0,1.250063973157116,0.0,-2.466103230508769
Lasso (lambda=0.1),147,37,20.530048275106168,4.531009630877667,0.2433769606115812,17.559189664725338,4.190368678854563,0.2341002150318935,6.216216216216216,3.863077297896171,0.0,0.0,3.149245618249221,0.8979859518876394,4.321081289054473,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.53723615252296,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3435225738586541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.3071861336192705,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.1053314769950768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6600966276931128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.1994959235915128,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),147,37,27.133786848072564,5.209010160104563,0.0,22.92688606974321,4.788202801651494,-2.889917410509036e-05,6.216216216216216,6.190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",147,37,12.1917827514917,3.4916733454737283,0.5506789074537992,21.68796751516214,4.657034197336555,0.0540104655497046,6.216216216216216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),147,37,16.602620700150453,4.074631357577082,0.3881200293526367,21.07157316626154,4.590378324959887,0.0808964613326945,6.216216216216216,2.84121504415733,1.0433099819433451,1.8045479908532838e-16,9.854073131311992,1.4973413238196338,5.329546007428093,-3.352004407130095,-0.0,0.0,-1.3749505940478786,0.0,0.0,0.0,-1.979031994747836,-1.5938666198722424,0.4963834235748298,0.0,4.932087106117029,0.0,-3.143305709149098,0.0,0.0,0.0,2.01474493884371,0.0,0.0,0.0,-2.8968453129740306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.605618073326512,0.0,2.7820222468298925,0.0,-1.5747133166995273,0.6539305933649858,0.0,0.0,-3.590765654117173,0.0,-2.3138425374611336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4679610307298222,0.0,0.0,0.0,0.0,0.0,0.8352252549844773,0.0,0.0,0.0,0.1410490455331504,0.0,0.0,0.0,0.0,0.0,1.095908940338022,0.0,0.0,0.0,0.0,0.0,-2.2460261815210445,0.0,0.0,0.0,-1.054637872744637,0.0,2.780028461070471,0.0,0.0,0.0,-2.599105206236627
