model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,1139,285,38.85005524361314,6.232981248456724,0.3395110827241958,41.13509372647891,6.4136646097593,0.2786901764042581,12.378947368421052,6.696784644443196,-4.993680297764601,6.455019948542327,14.206216288416137,1.0431642443187674,7.070703795452376,-15.207120218253484,-1.5314105908743696,-0.0089962755678283,-0.7825113140802692,-1.7612578062653485e-12,-0.2452549217940878,1.894040480010517e-13,0.4691097499611254,-2.1316282072803012e-14,1.2880654550321604,-2.208715184660774,1.312089251094351,7.105427357601002e-15,1.419436776277875,-3.4638958368304884e-14,-0.0785415244189433,-5.329070518200751e-15,-0.1806296432764966,-3.552713678800501e-15,0.6776722087486471,4.440892098500626e-16,0.2206960706005702,0.4763970172578136,-3.1704360472717843,-4.440892098500626e-16,1.1102230246251563e-16,0.6681370439486409,2.2776746849485665,1.1102230246251563e-16,-0.3369616703123836,-2.775557561562892e-17,-0.2965901266875483,2.220446049250313e-16,-0.2592359735648946,0.0,-0.1076285231195371,1.6653345369377348e-16,-1.3517407790835394,0.0,0.9047659885778234,1.7378902300058985,-0.0449605114591423,0.0,1.0524579033748396,0.0,1.7899313115425148,0.0,0.0,0.0,0.5148673800463324,0.0,0.0,0.0,-5.34145702276886,0.0,-0.6038869540634133,0.0,1.1439998982118769,0.0,0.1150760888147555,0.0,0.0,0.0,0.0,0.0,-0.6835665445937317,0.0,0.0,0.5403407163163128,0.7203915714614083,0.0,-1.9957506149211592,0.0,0.0,0.0,-0.2819524568242831,-2.223707827007399,1.4018700349735893,0.0,0.6500055065947372,1.0186542796983653,-0.1970052520270123
"Random Forest (100 estimators, 20 depth)",1139,285,6.2475918441361165,2.499518322424566,0.8937848312740047,39.99151415315674,6.323884419655117,0.2987430097777658,12.378947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",1139,285,17.320123621387243,4.161745261472312,0.7055409670323749,38.317847642096055,6.190141164957069,0.3280909943448749,12.378947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",1139,285,30.473166696405062,5.520250600869952,0.4819263769108143,37.92184499134939,6.1580715318474,0.3350349581547751,12.378947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),1139,285,38.89429357607361,6.23652896859091,0.3387589878268866,41.07317064781944,6.408835358145772,0.2797760065531175,12.378947368421052,7.022947152519902,-1.997290268661756,3.5735711656552724,0.5611578470300516,1.0426322783072932,7.086247980112434,-1.4735170024767894,-2.398066447179777,0.0489604591748123,-0.7737654734594989,0.0,-0.311882232086633,0.0,0.460512265847441,0.0,1.198881346445008,-1.5836022345019525,1.1849429248790857,0.0,1.3409867380001186,0.0,-0.1351003653697075,0.0,-0.2468159459622433,0.0,0.5864197406113502,0.0,0.1874062884546201,0.483257494229167,-2.898943026315869,0.0,0.0,0.5725843384757439,2.178854243553724,0.0,-0.3546179045765957,0.0,-0.2947526401222987,0.0,-0.3414995063975801,0.0,-0.1382559352924287,0.0,-1.3663267607048135,0.0,0.865708594203392,1.625176221604255,-0.0958088028815513,0.0,0.9850406094746286,0.0,1.5508686498552386,0.0,0.0,0.0,0.4540779843642667,0.0,0.0,0.0,-3.7312056398176776,0.0,-0.6367640237118034,0.0,1.0741820848835597,0.0,-0.0107411066938773,0.0,0.0,0.0,0.0,0.0,-0.7470689353059786,0.0,0.0,0.4923223138648432,0.7000977777609467,0.0,-1.9981191368695268,0.0,0.0,0.0,-0.266420296848045,-2.5906250106984627,1.3259286450911971,0.0,0.4564805112559155,0.9519264178505402,-0.2023006722629357
Ridge (lambda=0.1),1139,285,38.85986441388431,6.233768075079816,0.3393443172405652,41.117539310212,6.412295946867393,0.2789979956348403,12.378947368421052,6.796380361555603,-4.38935182455558,5.876071507885093,5.705350239522998,1.044196174614634,7.077649817951211,-6.5430050734246885,-1.9960787603230328,0.0158563699367552,-0.7724908508948346,0.0,-0.268710628502028,0.0,0.4930445282096975,0.0,1.2696963660202454,-2.035249739986294,1.2753527691484792,0.0,1.4106180140786515,0.0,-0.0708699892465738,0.0,-0.1941130639005689,0.0,0.6568956913500976,0.0,0.2232897680719385,0.4852448149115862,-3.131179285657295,0.0,0.0,0.616371360837135,2.2715264781144184,0.0,-0.3511303068498497,0.0,-0.2787895023103789,0.0,-0.2861873558835821,0.0,-0.1070190533295585,0.0,-1.3496693374412947,0.0,0.904626202082247,1.705518259296852,-0.0617255201020233,0.0,1.04743556437231,0.0,1.7246934713208113,0.0,0.0,0.0,0.5020325999246779,0.0,0.0,0.0,-5.176929663946369,0.0,-0.6127888450077494,0.0,1.1340233314992143,0.0,0.0684341328511032,0.0,0.0,0.0,0.0,0.0,-0.6948009624951043,0.0,0.0,0.5235299716207618,0.7272966504552376,0.0,-1.988142194411807,0.0,0.0,0.0,-0.2601435353352677,-2.307175317955599,1.4043782080327023,0.0,0.6794184181889578,0.995904281326799,-0.1880720983927833
Lasso (lambda=0.1),1139,285,40.40763850741244,6.356700284535401,0.3130306446135488,41.901690114376166,6.473151482421539,0.2652477977627975,12.378947368421052,6.928299253046823,-0.0,-0.0,-0.0,0.6566681915208192,7.078543248450207,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.1188828508216324,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.3092833395636983,0.0,0.0,0.0,-0.0,-2.6366883397985,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),1139,285,46.3709409539707,6.809621204881421,0.2116486735554013,46.30597055231597,6.804849046989651,0.1880181026785832,12.378947368421052,9.437939110070255,0.0,0.0,-0.0,0.0,4.178633923637608,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
"Random Forest (50 estimators, 5 depth)",1139,285,30.521204394206062,5.524599930692363,0.4811096890886208,37.5253924751982,6.125797293022207,0.3419868104196704,12.378947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),1139,285,39.09282122482901,6.252425227448067,0.3353838237259984,41.15567324956217,6.415268758950179,0.2783293114877083,12.378947368421052,7.544484247380735,-0.0,1.3592331366444963,-0.0,1.012285825428194,7.176469983512619,-1.0259227966350284,-2.226537133674156,-0.0,-0.4955070790565735,0.0,-0.1143514827989403,0.0,0.1923135969553577,0.0,0.90507936949141,-0.2853432106973416,0.9052090200803516,0.0,1.155844752606325,0.0,-0.0,0.0,-0.0,0.0,0.1866851680055849,0.0,0.0,0.0,-1.998599503250258,0.0,0.0,0.0,1.8883697313103405,0.0,-0.0,0.0,-0.0701598521002007,0.0,-0.1198182964165108,0.0,-0.0,0.0,-1.1822805902888722,0.0,0.5503479788682023,1.078754073004631,-0.0,0.0,0.6285038907807858,0.0,0.6356365021854385,0.0,0.0,0.0,0.1354285001707194,0.0,0.0,0.0,-0.0,0.0,-0.4453555753232717,0.0,0.7864709606344225,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.5044669101341971,0.0,0.0,0.0,0.2105223433569591,0.0,-1.8541576391695564,0.0,0.0,0.0,-0.0343803457750134,-3.238300646822081,0.9980496544854112,0.0,0.0,0.455922454554168,-0.0
