Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
46,1,2016-01-27,19-355,GSW,,DAL,W (+20),0,5:59,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,-1
52,2,2016-02-10,20-004,GSW,@,PHO,W (+8),0,2:12,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2.0,-7
53,3,2016-02-19,20-013,GSW,@,POR,L (-32),0,8:49,1,2,0.5,0,1,0.0,0,0,,4,4,8,0,0,0,0,0,2,5.0,-5
54,4,2016-02-20,20-014,GSW,@,LAC,W (+3),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-10
57,5,2016-02-25,20-019,GSW,@,ORL,W (+16),0,2:02,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,1
1,1,2016-10-25,20-262,GSW,,SAS,L (-29),0,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
2,2,2016-10-28,20-265,GSW,@,NOP,W (+8),0,7:01,1,1,1.0,0,0,,2,2,1.0,1,2,3,2,0,0,0,2,4,5.6,13
3,3,2016-10-30,20-267,GSW,@,PHO,W (+6),0,2:40,1,2,0.5,0,0,,0,1,0.0,0,0,0,0,0,0,1,2,2,-1.2,-4
4,4,2016-11-01,20-269,GSW,@,POR,W (+23),0,7:42,1,3,0.333,0,0,,0,0,,2,2,4,1,0,0,1,2,2,1.2,-10
5,5,2016-11-03,20-271,GSW,,OKC,W (+26),0,10:37,2,2,1.0,0,0,,0,0,,2,4,6,1,1,1,0,0,4,8.4,0
6,6,2016-11-04,20-272,GSW,@,LAL,L (-20),0,12:55,5,5,1.0,0,0,,1,2,0.5,2,3,5,0,0,0,1,1,11,10.0,-2
7,7,2016-11-07,20-275,GSW,,NOP,W (+10),0,8:33,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,4,2,-0.6,3
8,8,2016-11-09,20-277,GSW,,DAL,W (+21),0,11:29,1,1,1.0,0,0,,3,5,0.6,0,0,0,1,0,1,0,1,5,4.9,4
9,9,2016-11-10,20-278,GSW,@,DEN,W (+24),0,5:51,1,1,1.0,0,0,,0,0,,1,1,2,1,0,1,0,0,2,4.1,-2
10,10,2016-11-13,20-281,GSW,,PHO,W (+13),0,7:28,1,1,1.0,0,0,,0,1,0.0,1,1,2,1,0,0,0,3,2,1.8,6
13,11,2016-11-19,20-287,GSW,@,MIL,W (+3),0,4:25,0,3,0.0,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-16
14,12,2016-11-21,20-289,GSW,@,IND,W (+37),0,9:57,0,1,0.0,0,0,,1,2,0.5,1,6,7,1,0,2,0,1,1,4.1,7
15,13,2016-11-23,20-291,GSW,,LAL,W (+43),0,7:16,2,2,1.0,1,1,1.0,0,0,,1,4,5,0,0,0,0,1,5,5.9,16
16,14,2016-11-25,20-293,GSW,@,LAL,W (+24),0,12:55,3,3,1.0,0,0,,0,0,,0,1,1,0,1,2,0,1,6,7.4,7
17,15,2016-11-26,20-294,GSW,,MIN,W (+13),1,18:07,2,3,0.667,0,0,,2,2,1.0,1,2,3,2,2,0,0,1,6,9.0,8
19,16,2016-12-01,20-299,GSW,,HOU,L (-5),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-1
20,17,2016-12-03,20-301,GSW,,PHO,W (+29),0,6:56,2,3,0.667,0,1,0.0,0,0,,0,2,2,0,0,0,0,1,4,2.9,5
21,18,2016-12-05,20-303,GSW,,IND,W (+36),0,14:29,1,4,0.25,0,1,0.0,0,0,,2,3,5,0,0,1,0,2,2,1.8,7
22,19,2016-12-07,20-305,GSW,@,LAC,W (+17),0,4:45,1,1,1.0,0,0,,0,0,,2,0,2,0,0,1,0,4,2,2.2,-4
23,20,2016-12-08,20-306,GSW,@,UTA,W (+7),0,3:21,2,2,1.0,0,0,,0,0,,0,0,0,0,0,1,0,0,4,4.1,2
25,21,2016-12-11,20-309,GSW,@,MIN,W (+8),1,17:59,2,2,1.0,0,0,,0,0,,1,2,3,0,1,0,2,4,4,2.1,3
26,22,2016-12-13,20-311,GSW,@,NOP,W (+4),0,3:46,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,-2
27,23,2016-12-15,20-313,GSW,,NYK,W (+13),0,15:17,2,2,1.0,0,0,,1,2,0.5,2,2,4,0,1,1,0,2,5,6.9,-2
28,24,2016-12-17,20-315,GSW,,POR,W (+45),0,12:00,2,6,0.333,0,0,,0,0,,2,3,5,1,0,0,0,1,4,3.2,9
29,25,2016-12-20,20-318,GSW,,UTA,W (+30),0,8:44,0,2,0.0,0,1,0.0,0,0,,0,4,4,1,0,1,1,1,0,-0.2,-4
30,26,2016-12-22,20-320,GSW,@,BRK,W (+16),1,17:39,2,5,0.4,0,0,,0,0,,2,4,6,5,1,1,0,2,4,8.3,14
32,27,2016-12-25,20-323,GSW,@,CLE,L (-1),0,5:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,1
34,28,2016-12-30,20-328,GSW,,DAL,W (+9),0,4:29,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-7
36,29,2017-01-04,20-333,GSW,,POR,W (+8),0,4:08,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3
40,30,2017-01-12,20-341,GSW,,DET,W (+20),0,3:38,1,1,1.0,0,0,,0,0,,0,2,2,0,1,0,0,0,2,3.3,-4
41,31,2017-01-16,20-345,GSW,,CLE,W (+35),0,9:06,0,2,0.0,0,0,,3,4,0.75,4,1,5,0,0,0,1,1,3,2.9,-10
42,32,2017-01-18,20-347,GSW,,OKC,W (+21),0,3:39,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2
43,33,2017-01-20,20-349,GSW,@,HOU,W (+17),0,11:29,1,1,1.0,0,0,,1,1,1.0,2,1,3,2,0,0,0,2,3,5.0,-5
44,34,2017-01-22,20-351,GSW,@,ORL,W (+20),0,6:25,0,1,0.0,0,0,,0,0,,0,3,3,0,0,0,0,2,0,-0.6,-13
47,35,2017-01-28,20-357,GSW,,LAC,W (+46),0,12:00,2,4,0.5,0,1,0.0,0,0,,1,3,4,2,1,0,1,1,4,4.6,3
49,36,2017-02-01,20-361,GSW,,CHO,W (+15),0,9:10,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,0,0,0,1,2,2,-0.9,-9
50,37,2017-02-02,20-362,GSW,@,LAC,W (+13),0,13:02,1,1,1.0,0,0,,2,2,1.0,2,1,3,1,0,0,0,3,4,4.9,2
51,38,2017-02-04,20-364,GSW,@,SAC,L (-3),0,12:03,1,1,1.0,0,0,,2,2,1.0,0,2,2,1,1,1,1,5,4,3.7,-4
52,39,2017-02-08,21-002,GSW,,CHI,W (+31),0,13:59,5,6,0.833,0,0,,0,1,0.0,0,4,4,0,0,0,1,1,10,7.2,12
53,40,2017-02-10,21-004,GSW,@,MEM,W (+15),0,11:52,0,1,0.0,0,0,,0,0,,0,2,2,0,0,1,0,2,0,-0.2,4
54,41,2017-02-11,21-005,GSW,@,OKC,W (+16),0,10:57,1,2,0.5,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,4,2.6,5
55,42,2017-02-13,21-007,GSW,@,DEN,L (-22),0,16:17,1,3,0.333,1,1,1.0,0,0,,2,4,6,1,0,0,0,0,3,4.6,5
56,43,2017-02-15,21-009,GSW,,SAC,W (+23),0,16:12,2,4,0.5,0,1,0.0,1,2,0.5,0,2,2,1,4,0,0,1,5,7.5,-11
58,44,2017-02-25,21-019,GSW,,BRK,W (+17),0,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
59,45,2017-02-27,21-021,GSW,@,PHI,W (+11),0,1:21,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-2
64,46,2017-03-08,21-030,GSW,,BOS,L (-13),0,1:36,0,1,0.0,0,0,,0,2,0.0,1,0,1,0,0,0,0,0,0,-0.8,0
65,47,2017-03-10,21-032,GSW,@,MIN,L (-1),0,2:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-4
66,48,2017-03-11,21-033,GSW,@,SAS,L (-22),1,17:14,1,8,0.125,0,1,0.0,0,0,,4,0,4,2,0,0,1,1,2,-0.4,-13
68,49,2017-03-16,21-038,GSW,,ORL,W (+30),0,6:44,1,3,0.333,0,0,,0,0,,0,2,2,1,1,0,0,0,2,2.6,-6
70,50,2017-03-20,21-042,GSW,@,OKC,W (+16),0,5:18,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,-7
71,51,2017-03-21,21-043,GSW,@,DAL,W (+25),0,4:08,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,2
72,52,2017-03-24,21-046,GSW,,SAC,W (+14),0,1:51,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,0.0,-4
78,53,2017-04-04,21-057,GSW,,MIN,W (+14),0,4:17,1,2,0.5,0,0,,0,0,,2,1,3,0,0,0,1,0,2,1.7,-2
1,1,2017-10-17,21-253,GSW,,HOU,L (-1),0,7:46,0,0,,0,0,,1,2,0.5,0,2,2,0,1,0,0,2,1,1.4,-7
6,2,2017-10-27,21-263,GSW,,WAS,W (+3),0,11:35,4,4,1.0,0,0,,1,1,1.0,1,4,5,0,0,1,0,3,9,9.2,4
10,3,2017-11-04,21-271,GSW,@,DEN,W (+19),0,14:07,0,1,0.0,0,0,,2,4,0.5,1,2,3,1,0,0,2,1,2,0.1,2
11,4,2017-11-06,21-273,GSW,,MIA,W (+17),0,17:21,2,3,0.667,0,0,,1,2,0.5,2,1,3,0,0,3,1,4,5,4.5,0
12,5,2017-11-08,21-275,GSW,,MIN,W (+24),0,11:00,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,2,3,0,-2.9,-1
13,6,2017-11-11,21-278,GSW,,PHI,W (+21),0,15:07,2,2,1.0,0,0,,0,0,,0,2,2,0,0,3,0,3,4,4.9,14
14,7,2017-11-13,21-280,GSW,,ORL,W (+10),0,14:43,4,8,0.5,0,0,,0,0,,2,3,5,0,0,1,0,3,8,5.8,-14
15,8,2017-11-16,21-283,GSW,@,BOS,L (-4),0,4:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-6
16,9,2017-11-18,21-285,GSW,@,PHI,W (+8),0,9:38,1,3,0.333,0,0,,0,0,,3,2,5,2,1,1,0,2,2,5.3,19
17,10,2017-11-19,21-286,GSW,@,BRK,W (+7),0,11:48,2,3,0.667,0,0,,0,4,0.0,1,2,3,0,0,3,0,3,4,3.3,6
18,11,2017-11-22,21-289,GSW,@,OKC,L (-17),0,12:07,1,2,0.5,0,0,,1,2,0.5,1,1,2,0,3,0,1,2,3,3.8,-3
19,12,2017-11-24,21-291,GSW,,CHI,W (+49),0,18:56,3,5,0.6,0,0,,1,1,1.0,2,3,5,2,0,1,0,2,7,8.3,22
20,13,2017-11-25,21-292,GSW,,NOP,W (+15),0,9:24,1,1,1.0,0,0,,1,2,0.5,1,4,5,1,1,1,1,2,3,4.8,9
21,14,2017-11-27,21-294,GSW,,SAC,L (-4),0,4:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-2
22,15,2017-11-29,21-296,GSW,@,LAL,W (+4),0,12:54,1,6,0.167,0,0,,0,0,,2,2,4,0,0,1,0,0,2,0.9,-3
23,16,2017-12-01,21-298,GSW,@,ORL,W (+21),0,2:26,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,1
24,17,2017-12-03,21-300,GSW,@,MIA,W (+28),0,6:33,2,3,0.667,0,0,,0,0,,1,2,3,0,0,1,0,1,4,4.3,-1
25,18,2017-12-04,21-301,GSW,@,NOP,W (+10),0,3:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-8
26,19,2017-12-06,21-303,GSW,@,CHO,W (+14),0,11:06,1,1,1.0,0,0,,0,0,,0,2,2,0,1,0,2,3,2,0.1,2
27,20,2017-12-08,21-305,GSW,@,DET,W (+4),0,3:58,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-3
28,21,2017-12-11,21-308,GSW,,POR,W (+7),0,3:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
29,22,2017-12-14,21-311,GSW,,DAL,W (+15),0,7:41,0,1,0.0,0,0,,0,0,,1,0,1,1,0,0,1,2,0,-1.1,-6
30,23,2017-12-18,21-315,GSW,@,LAL,W (+2),0,20:51,4,6,0.667,0,0,,0,0,,3,4,7,0,1,0,1,2,8,7.9,13
31,24,2017-12-20,21-317,GSW,,MEM,W (+13),0,13:26,0,1,0.0,0,0,,4,4,1.0,1,2,3,0,0,1,0,1,4,4.9,-3
32,25,2017-12-22,21-319,GSW,,LAL,W (+7),0,8:27,0,0,,0,0,,0,2,0.0,1,0,1,0,0,1,0,0,0,0.6,-5
33,26,2017-12-23,21-320,GSW,,DEN,L (-15),0,6:10,0,0,,0,0,,2,2,1.0,0,0,0,1,0,0,0,0,2,2.7,-1
34,27,2017-12-25,21-322,GSW,,CLE,W (+7),0,2:50,1,1,1.0,0,0,,0,0,,1,0,1,1,0,0,0,0,2,3.1,-1
35,28,2017-12-27,21-324,GSW,,UTA,W (+25),0,6:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-3
36,29,2017-12-29,21-326,GSW,,CHO,L (-11),0,1:26,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,2
39,30,2018-01-04,21-332,GSW,@,HOU,W (+10),0,14:46,3,4,0.75,0,0,,1,2,0.5,3,5,8,0,0,1,0,0,7,9.3,2
40,31,2018-01-06,21-334,GSW,@,LAC,W (+16),0,14:40,1,1,1.0,0,0,,2,2,1.0,0,1,1,2,0,4,1,2,4,6.4,-4
42,32,2018-01-10,21-338,GSW,,LAC,L (-19),0,4:01,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,-4
43,33,2018-01-12,21-340,GSW,@,MIL,W (+14),0,23:11,3,3,1.0,0,0,,3,4,0.75,6,2,8,3,0,1,1,1,9,13.9,16
44,34,2018-01-13,21-341,GSW,@,TOR,W (+2),0,21:14,2,3,0.667,0,0,,1,2,0.5,1,3,4,0,1,0,0,1,5,5.5,-2
45,35,2018-01-15,21-343,GSW,@,CLE,W (+10),0,12:29,1,1,1.0,0,0,,3,4,0.75,2,1,3,0,0,0,1,1,5,4.6,3
46,36,2018-01-17,21-345,GSW,@,CHI,W (+7),0,29:59,1,2,0.5,0,0,,0,0,,0,4,4,1,0,0,1,1,2,1.5,33
47,37,2018-01-20,21-348,GSW,@,HOU,L (-8),0,12:56,1,1,1.0,0,0,,0,0,,1,2,3,1,0,1,0,2,2,3.6,3
48,38,2018-01-23,21-351,GSW,,NYK,W (+11),0,15:14,4,5,0.8,0,0,,0,0,,1,3,4,2,1,0,0,2,8,9.3,2
49,39,2018-01-25,21-353,GSW,,MIN,W (+13),0,13:38,1,3,0.333,0,0,,0,0,,1,2,3,1,0,0,1,1,2,0.9,8
50,40,2018-01-27,21-355,GSW,,BOS,W (+4),0,8:56,1,3,0.333,0,0,,0,0,,2,2,4,1,0,0,0,0,2,3.0,1
52,41,2018-02-02,21-361,GSW,@,SAC,W (+15),0,9:41,2,4,0.5,0,0,,0,0,,1,2,3,0,0,0,0,0,4,3.3,6
53,42,2018-02-03,21-362,GSW,@,DEN,L (-7),0,8:14,1,4,0.25,0,0,,0,4,0.0,5,1,6,1,0,1,0,2,2,2.4,0
54,43,2018-02-06,22-000,GSW,,OKC,L (-20),0,14:11,3,5,0.6,0,0,,0,3,0.0,2,3,5,0,0,0,1,3,6,2.6,-8
55,44,2018-02-08,22-002,GSW,,DAL,W (+18),0,15:37,3,3,1.0,0,0,,0,2,0.0,1,1,2,1,0,0,0,1,6,5.6,7
56,45,2018-02-10,22-004,GSW,,SAS,W (+17),0,7:54,0,1,0.0,0,0,,0,0,,1,0,1,1,1,0,0,0,0,1.7,-2
57,46,2018-02-12,22-006,GSW,,PHO,W (+46),0,13:46,1,1,1.0,0,0,,0,0,,0,1,1,0,3,2,1,3,2,4.2,22
58,47,2018-02-14,22-008,GSW,@,POR,L (-6),0,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
60,48,2018-02-24,22-018,GSW,,OKC,W (+32),0,5:29,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.9,4
