model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,244,62,17.588153776575307,4.193823288668146,0.5102840270006737,30.41833889868952,5.515282304532517,0.2850183763815429,8.064516129032258,76184149732305.36,-6.3235565586714735,-3.6180847313111353,5.149848963165241,-0.0513292252221511,2.9471451559112394,-25.750795451589525,12.913605152304136,46670688919037.84,-7846492414284.981,21598119320541.188,-7846492414283.922,186495465028.4264,-2519956007331.041,-7867783520198.979,-7846492414280.741,-3839248140221.4,-7846492414282.764,-1077578907552.836,-7846492414286.312,-275333478827.45886,-7846492414284.438,-68337657318001.52,-7846492414285.22,-68337657318018.43,-7846492414286.004,-1382593998.2257185,35097982.68519658,26663531.50186953,-7846492414286.579,634759.0194668779,-7846492414280.126,16867.585008233786,-7846492414282.577,-8.324287414550781,-7846492414281.836,-0.3447265625,-7846492414283.793,-68337657318012.57,-7846492414281.434,0.0,-7846492414281.808,0.0,-7846492414284.457,0.0,-7846492414282.977,-68337657318014.84,-7846492414282.401,0.0,-7846492414284.211,0.0,0.0,0.0,-7846492414283.81,0.0,-7846492414281.212,0.0,0.0,0.0,0.0,0.0,-7846492414282.004,0.0,0.0,0.0,0.0,0.0,-7846492414283.352,0.0,0.0,0.0,-7846492414282.414,0.0,0.0,0.0,-7846492414284.148,0.0,-7846492414281.943,0.0,-7846492414282.277,-68337657318009.16,-7846492414285.15,0.0,-7846492414280.442,0.0,0.0,0.0,-7846492414278.98
"Random Forest (100 estimators, 20 depth)",244,62,3.6131058695376166,1.9008171583657425,0.899398442899291,26.29537320466829,5.127901442565789,0.3819284908967536,8.064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",244,62,5.492422677037825,2.343591832431114,0.8470716625760094,26.4932716293576,5.14716151187794,0.3772768977421391,8.064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",244,62,12.73870834267117,3.569132715754791,0.6453096197570003,24.006678524850287,4.8996610622419885,0.435724151586618,8.064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),244,62,18.273381224483167,4.27473756205959,0.4912048882439405,28.59624776528976,5.347545957286366,0.3278465426820729,8.064516129032258,9.84514859431576,-5.215154064525412,-3.775739826331519,-5.637894419809655,-0.0690433999899822,2.670224640796698,-8.576561031002205,9.38154460085443,0.0,-1.711479279401023,0.0,-1.0403886488624785,0.0,0.0,0.0,1.8564014968272289,0.0,-0.0276504574700823,0.0,-2.705121633122048,0.0,-1.0875514053704116,7.108734946228456,-1.9408958684103603,-5.420266388518212,-1.585518322867031,0.0,0.0,0.0,-3.1891729887456366,0.0,2.58836571593176,0.0,0.3647208206050492,0.0,0.9540728894787268,0.0,-1.1248418632667818,-1.5993495015962595,1.4934664157993682,0.0,0.8812594563547885,0.0,-1.345166454659468,0.0,0.2414965479685702,-2.594604312759292,0.690150869546791,0.0,-0.8760766827707419,0.0,0.0,0.0,-0.3854431509794131,0.0,1.9730393755796864,0.0,0.0,0.0,0.0,0.0,1.1371090292804988,0.0,0.0,0.0,0.0,0.0,-0.3310752537737882,0.0,0.0,0.0,0.5979221606198536,0.0,0.0,0.0,-0.8847579052610918,0.0,0.693889567466648,0.0,0.8922153179458566,2.505485256646563,-1.6698748208524972,0.0,2.721816274520187,0.0,0.0,0.0,2.819088797888009
Ridge (lambda=0.1),244,62,17.64711133144744,4.200846501771689,0.5086424416065136,29.49870727034472,5.431271238885489,0.3066342745065119,8.064516129032258,11.387100322690856,-6.41544214336481,-3.591878903362143,-1.6789845241750576,-0.1043387178310128,2.8854682554354847,-18.218641934041564,11.873202697443068,0.0,-1.8226394983728529,0.0,-0.8621653619996331,0.0,0.0,0.0,2.272060559189012,0.0,0.1552958584634565,0.0,-3.179801896849178,0.0,-1.3254204113292314,9.552473187767651,-2.139379498427344,-7.242258674550595,-2.650781480855678,0.0,0.0,0.0,-3.454270491658628,0.0,2.940753715689214,0.0,0.438286574394001,0.0,1.2162106856014985,0.0,-0.8808124881188082,-1.2251637720062107,1.7040426665868251,0.0,1.1341412163216915,0.0,-1.3268674115109698,0.0,0.138682256604124,-3.1037438631676912,0.778136246640288,0.0,-1.0840192588652653,0.0,0.0,0.0,-0.6543386697679543,0.0,1.956146061003152,0.0,0.0,0.0,0.0,0.0,1.1036896112419496,0.0,0.0,0.0,0.0,0.0,-0.2420641022785996,0.0,0.0,0.0,0.6358724450987452,0.0,0.0,0.0,-1.0854071913581231,0.0,1.0282944831624552,0.0,0.8088364733131687,2.018693121976208,-2.059063775475191,0.0,2.6926794028581096,0.0,0.0,0.0,3.763903280701976
Lasso (lambda=0.1),244,62,24.981111887304248,4.998110831834789,0.3044381081777008,29.317102239321,5.41452696357872,0.3109028922101633,8.064516129032258,5.633078476830562,-2.0182443848591047,-0.7814945482806546,-0.0,0.0,1.5391021751853315,-2.65014767578818,3.8693638583348138,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.460047205111863,-0.0,-1.8256345657387347,-0.0,0.0,0.0,0.0,-0.1362999844476088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.765711092608218,-0.0,0.0,1.2223274889414817,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),244,62,34.369777895293495,5.862574340278637,0.0430246723120396,40.540960357154844,6.36717836699702,0.0470866356065599,8.064516129032258,7.79032258064516,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096774193548397,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",244,62,12.830461729175392,3.581963390261742,0.6427548832270217,24.92166874701198,4.992160729284663,0.4142173494954504,8.064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),244,62,17.778706659782674,4.216480363974517,0.5049783654859327,28.84732382111496,5.370970472932704,0.3219450118113863,8.064516129032258,10.13926338624616,-6.4324628854862285,-2.599333080998808,-0.0,-0.0414987767048034,2.7363264389168536,-19.224944630730526,11.427414971078676,0.0,-1.7310608784894344,0.0,-0.897148939760624,0.0,0.0,0.0,1.644555252896615,0.0,0.0,0.0,-3.076389191524613,0.0,-0.9526536901185398,10.361207189015666,-2.024870691263103,-6.095787589138082,-1.5941188809923768,0.0,0.0,0.0,-3.326599897199748,0.0,2.510612488503322,0.0,0.0225281388063738,0.0,0.7642508457966297,0.0,-0.7955098577071975,-0.0,1.123505261460252,0.0,0.7565937208993768,0.0,-1.308578122418531,0.0,-0.0,-1.1588808058831812,0.3813630296686137,0.0,-0.863515151494746,0.0,0.0,0.0,-0.5349696895253809,0.0,1.556380861903584,0.0,0.0,0.0,0.0,0.0,0.5710640633230119,0.0,0.0,0.0,0.0,0.0,-0.1802293523654883,0.0,0.0,0.0,0.1707570731382644,0.0,0.0,0.0,-0.8213019047520265,0.0,0.610689730242743,0.0,0.4456288341113621,3.163837085358772,-1.2263379791374245,0.0,2.4173138363239635,0.0,0.0,0.0,3.127027175376044
