,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2017-10-19,22-087,LAL,,LAC,L (-16),0,18:42,4,8,0.5,0,2,0.0,0,2,0.0,2,2,4,1,2,0,0,2,8,7.1,-17
1,2,2,2017-10-20,22-088,LAL,@,PHO,W (+2),0,28:24,6,7,0.857,1,2,0.5,2,3,0.667,0,3,3,2,0,0,0,0,15,14.4,-18
2,3,3,2017-10-22,22-090,LAL,,NOP,L (-7),0,30:26,7,13,0.538,2,6,0.333,4,4,1.0,1,5,6,2,1,0,2,3,20,15.1,2
3,4,4,2017-10-25,22-093,LAL,,WAS,W (+3),0,33:47,6,15,0.4,1,6,0.167,2,2,1.0,0,3,3,0,0,0,3,1,15,4.4,4
4,5,5,2017-10-27,22-095,LAL,,TOR,L (-9),0,32:00,7,14,0.5,1,5,0.2,0,0,,2,8,10,1,0,0,4,2,15,7.7,3
5,6,6,2017-10-28,22-096,LAL,@,UTA,L (-15),0,22:16,4,10,0.4,1,3,0.333,0,0,,1,2,3,3,1,0,0,1,9,7.6,-4
6,7,7,2017-10-31,22-099,LAL,,DET,W (+20),0,19:59,6,8,0.75,4,4,1.0,0,0,,2,4,6,3,0,0,0,1,16,17.1,8
7,8,8,2017-11-02,22-101,LAL,@,POR,L (-3),0,28:34,10,17,0.588,1,5,0.2,1,2,0.5,1,2,3,0,0,1,2,3,22,12.5,-11
8,9,9,2017-11-03,22-102,LAL,,BRK,W (+12),1,39:00,8,11,0.727,1,3,0.333,4,4,1.0,0,13,13,1,1,0,1,2,21,20.3,13
9,10,10,2017-11-05,22-104,LAL,,MEM,W (+5),1,37:51,5,9,0.556,1,3,0.333,2,2,1.0,1,11,12,1,0,0,1,0,13,12.4,4
10,11,11,2017-11-08,22-107,LAL,@,BOS,L (-11),1,34:08,4,10,0.4,0,2,0.0,2,2,1.0,2,4,6,1,0,0,3,5,10,2.9,0
