model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,443,111,25.561026936914125,5.055791425376855,0.3458078245816741,29.489084304050284,5.430385281363587,0.1280322553536886,7.765765765765765,396286419695.5038,5.381138629963541,0.587583358965122,-3.7452149077068695,0.8164422472089234,5.2153941187485175,11.108707287124387,-6.940588847440346,9483637678553.842,3937907649617.158,577681478165.5507,3937907649616.016,741295074302.5066,81738934619.1719,-4334194069311.2334,3937907649617.999,93788156456.39876,3937907649615.05,-29620194051.718163,3937907649616.217,-4334194069302.434,3937907649616.8486,-933023760.0475352,3937907649616.659,-4334194069309.726,3937907649616.9946,1131333723.5748792,3937907649613.935,-129059760.29194932,3937907649616.23,-31095549.484018624,3937907649621.025,-4474877.359521563,3937907649617.726,-162935.91565743514,3937907649616.773,-4114.667741529644,3937907649617.911,-160.6797161102295,3937907649612.461,-4334194069307.506,3937907649620.329,0.0078125,3937907649617.012,-0.0009765625,3937907649615.656,-4334194069316.664,3937907649618.831,0.0,3937907649619.0127,0.0,0.0,0.0,3937907649614.58,-4334194069310.423,3937907649616.788,0.0,0.0,0.0,3937907649616.437,0.0,3937907649619.336,0.0,0.0,0.0,0.0,-4334194069303.906,3937907649616.2334,0.0,0.0,0.0,3937907649618.101,0.0,3937907649619.62,0.0,3937907649616.781,0.0,3937907649616.404,-4334194069308.159,3937907649618.371,0.0,3937907649617.619,0.0,3937907649615.035,0.0,0.0,0.0,3937907649618.117
"Random Forest (100 estimators, 20 depth)",443,111,4.135816239337112,2.033670631969964,0.8941506290251958,29.483399121508626,5.429861795801863,0.1282003614823035,7.765765765765765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",443,111,9.212206431667171,3.03516168130582,0.7642288245770066,28.197190134823742,5.3101026482379545,0.1662324935654755,7.765765765765765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",443,111,21.35525860813077,4.621175024615576,0.4534475035000064,26.748543273071743,5.171899387369377,0.209067778778362,7.765765765765765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),443,111,25.67635986920517,5.067184609741901,0.3428560690806502,28.844425397426,5.370700643065669,0.1470942841057354,7.765765765765765,3.523016372907676,3.4057904886453176,1.8392093733072588,2.881775822786653,0.8431578359564423,5.030897746400423,3.9885141002660136,-5.247600441831953,0.0,0.1788960065614864,0.0,-1.082562600224863,0.0,0.0,-2.4956581654464687,0.8748047007554837,0.0,-1.7634698657167394,0.0,-0.7832710388300733,5.881306952546641,-0.1155306768821389,0.0,-0.3414413637260037,-1.2794763752878466,-0.0528568131535352,0.0,-2.7340011559413195,0.0,-0.8375796658608459,0.0,3.646029333212874,0.0,0.6751842795848411,0.0,-0.3458589540985954,0.0,0.7206501863774362,0.0,-4.140292199289862,1.1268121620513418,2.8015944654642504,0.0,-0.0018186570396464,0.0,-1.3132532072310708,-5.972413739025315,1.6209821171714596,0.0,1.6672243911685602,0.0,0.0,0.0,-2.242785193861091,-1.5777011367479894,-0.1205429823598719,0.0,0.0,0.0,-0.7052963749107626,0.0,2.0337827301130256,0.0,0.0,0.0,0.0,3.753224898868536,-0.7026879963431876,0.0,0.0,0.0,1.1965902127224763,0.0,1.9884847037380289,0.0,-0.3208675632465076,0.0,-0.7284617203714555,0.5639054030413013,1.1695722188252349,0.0,0.5075336337677467,0.0,-1.7644900123259015,0.0,0.0,0.0,1.015739061950984
Ridge (lambda=0.1),443,111,25.56918581661333,5.05659824552172,0.3455990115604848,29.37814575631559,5.420161045238009,0.1313126161226147,7.765765765765765,3.5575592215098,5.031074279639524,0.8403557842610057,0.034243228015225,0.8235018839272814,5.168417514843642,7.305913627482644,-6.471753071432733,0.0,0.0966873980511082,0.0,-1.0760815173092972,0.0,0.0,-2.477840957091432,0.9124305300026914,0.0,-1.976838119659596,0.0,-0.837544275273129,6.266985753260406,-0.2127946415282827,0.0,-0.3792671585105327,-0.996484201780626,-0.0688943214185531,0.0,-3.054496571687927,0.0,-0.8405111151786968,0.0,3.877116639133024,0.0,0.677164464694169,0.0,-0.3234688088894984,0.0,0.8143525771959621,0.0,-4.54762264335456,1.2738068773761484,3.2180510921795995,0.0,-0.0466336486221751,0.0,-1.416401433227188,-7.760165916412998,1.7408923655383253,0.0,1.919425569180632,0.0,0.0,0.0,-2.473315488458244,-1.6428607667369055,-0.2288963357761618,0.0,0.0,0.0,-0.6601494324704722,0.0,2.2540925176556867,0.0,0.0,0.0,0.0,4.711549267705139,-0.8030026135273908,0.0,0.0,0.0,1.084793234094531,0.0,2.4645289518136817,0.0,-0.2866347232854212,0.0,-0.6741263493238715,0.6250099436823228,1.2694462103612572,0.0,0.5423689981409977,0.0,-2.002288019148849,0.0,0.0,0.0,1.0376166686135344
Lasso (lambda=0.1),443,111,30.083523857613343,5.484844925575685,0.2300620016076274,28.33268283209724,5.322845369921733,0.1622260869765335,7.765765765765765,4.322079461627505,0.0,0.8189934895802002,0.0,0.6047358320233632,4.8417782171718535,4.09554276800528,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.348783587352006,0.0,0.0,-0.0,0.0,-0.0,3.877400283963737,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.2322968732635733,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4724033107982726,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),443,111,39.07265769507106,6.250812562785022,0.0,34.786614669844646,5.898017859403669,-0.0286113202022539,7.765765765765765,8.749435665914222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",443,111,20.05009652922793,4.477733414265294,0.4868509665837958,27.4117664294487,5.2356247410837895,0.1894568205708943,7.765765765765765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),443,111,25.73455639073808,5.072923850279844,0.3413666254398546,28.152734528447777,5.305915051001833,0.1675470089444156,7.765765765765765,3.615977985167376,4.313152650829482,0.9946290865948876,0.0,0.8239650426539898,5.180287972872486,7.048493254917687,-5.664203784794802,0.0,0.0,0.0,-0.6922181864105784,0.0,0.0,-2.5148126664095773,0.5825465957217371,0.0,-1.53623022781456,0.0,-0.5339753914264739,5.89032327701911,-0.0,0.0,-0.0,-0.654528134689081,0.0,0.0,-2.1187553754744632,0.0,-0.5150874062036422,0.0,3.7457687535886177,0.0,0.4633346899298406,0.0,-0.0,0.0,0.5838599707962461,0.0,-4.015987135055798,1.0146959478154332,2.643688216422021,0.0,0.0,0.0,-1.0003141061754055,-6.4923981709082925,1.5751204773341725,0.0,1.6632586889837755,0.0,0.0,0.0,-1.9318786109714925,-1.6097723031910058,-0.0,0.0,0.0,0.0,-0.0,0.0,2.018533088061742,0.0,0.0,0.0,0.0,3.697127058434088,-0.3355351252209136,0.0,0.0,0.0,1.0104803250766383,0.0,1.662045390120898,0.0,-0.0,0.0,-0.4641859340402721,0.3315096269797787,0.7887449322977095,0.0,0.4086615371392821,0.0,-1.4546082177831958,0.0,0.0,0.0,0.7995522402970948
