model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,272,68,11.904500119826372,3.4502898602619423,0.3098662058694708,21.07015587301815,4.590223945846014,-0.0167113731707757,4.338235294117647,-35017296862779.137,5.330811795084899,-6.043730054278399,-12.824597824153775,0.2038062086612018,1.0623075627582423,4.333219472137426,1.8764408088636784,-10641990217394.389,-1210018701775.741,2839959991962.231,-1210018701776.0105,-4015217109661.055,-2444181732654.2334,2220192202282.231,-1210018701774.9087,792223362574.4308,-1210018701776.2993,-579502583963.2595,-1210018701775.4043,39154686953.74954,-1210018701776.5557,-85866028115.44997,-1210018701776.812,-3993036048.2603583,-1210018701777.011,8349137734.460321,-1210018701768.9238,340431762.4170158,-1210018701776.4062,36227315564561.93,-1210018701773.8394,36208.787723355,-1210018701773.7073,-859.5840435028076,-1210018701776.6147,9.13872528076172,-1210018701775.2646,0.04296875,-1210018701773.3677,0.0,-1210018701777.0408,0.0,-1210018701775.0977,0.0,-1210018701775.873,0.0,-1210018701777.5176,0.0,-1210018701770.5283,0.0,0.0,36227315564560.71,-1210018701773.7598,0.0,-1210018701776.3137,0.0,0.0,36227315564557.305,0.0,36227315564563.78,-1210018701775.475,0.0,0.0,0.0,0.0,36227315564558.62,-1210018701775.582,0.0,0.0,0.0,-1210018701775.3672,0.0,-1210018701776.9453,0.0,-1210018701775.4258,0.0,-1210018701774.376,0.0,-1210018701772.98,0.0,-1210018701775.8086,0.0,-1210018701775.462,0.0,0.0,0.0,-1210018701774.8977
"Random Forest (100 estimators, 20 depth)",272,68,2.3020370983583014,1.517246551605342,0.8665451231947722,21.04484783916975,4.58746638561742,-0.015490168828419,4.338235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",272,68,3.768392314876443,1.941234739766534,0.7815368255818927,20.37778869577952,4.5141764138965055,0.016697852074212,4.338235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",272,68,8.313824590611826,2.8833703526622845,0.5180266915282858,21.26545982616134,4.611448777354178,-0.0261354966363345,4.338235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),272,68,12.09638300206826,3.4779854804280395,0.2987422728846873,20.680979312083643,4.5476344743265855,0.0020678061603227,4.338235294117647,5.295144738439851,2.873073288134426,-3.112837663792781,-4.560781547490339,0.1857069992936255,0.954353674444724,-2.555038866257456,2.994100745711301,0.0,-0.4823356508454708,0.0,-0.6509420353954338,0.0,0.0,0.0,0.2752106435602839,0.0,-0.9619035810581462,0.0,-0.2652732103879198,0.0,-1.2867348010844684,0.0,-1.373387576952429,0.0,-1.4796116142634923,0.0,3.121874158176826,0.0,-0.9530419791662046,0.1058348815571007,1.3129823634922129,0.0,1.3589283201909728,0.0,-1.4073927824483043,0.0,0.1625034047161672,0.0,1.5787369565141152,0.0,-1.603334689702529,0.0,0.1624116621669175,0.0,-0.6235690575467585,0.0,-2.032848925033336,0.0,4.234438687887163,0.0,0.0,0.361276786951276,1.4358427492257573,0.0,-0.9369854726811134,0.0,0.0,-2.497614580873285,0.0,3.1969626528331445,-0.0640605124224192,0.0,0.0,0.0,0.0,-1.1664597404685162,-0.241154719973345,0.0,0.0,0.0,-0.1482948856663312,0.0,-1.513507047179227,0.0,-0.0243558048860245,0.0,0.805842143061146,0.0,1.9761313690995417,0.0,-0.5594324314838921,0.0,-0.0804497275112819,0.0,0.0,0.0,0.2637140475972135
Ridge (lambda=0.1),272,68,11.922009542337891,3.452826312216977,0.3088511406362164,21.066439825734857,4.589819149567318,-0.0165320604234502,4.338235294117647,5.902254780752487,4.833023255716153,-5.508817794339385,-8.514254510618985,0.2048064607224965,1.022669599213909,0.1759505787264436,2.703353579218156,0.0,-0.569485845142881,0.0,-0.8200904514854286,0.0,0.0,0.0,0.234675444692347,0.0,-1.070442742516596,0.0,-0.253562425188604,0.0,-1.4107773084496955,0.0,-1.6029940942354606,0.0,-1.7633138530748824,0.0,5.654109803534941,0.0,-1.2123811117594678,0.7936538335076504,1.3491442974371437,0.0,1.4443064991399863,0.0,-1.4555482230572665,0.0,-0.0319426422870556,0.0,1.7609943342608314,0.0,-1.837741485776519,0.0,0.0965559180204912,0.0,-0.7362480631255729,0.0,-2.321616465644625,0.0,4.598362914049212,0.0,0.0,0.3541572349237288,1.4453332328971404,0.0,-1.110381813775318,0.0,0.0,-2.9591665636551934,0.0,3.4088043548113296,-0.2399135831052921,0.0,0.0,0.0,0.0,-1.597448859591034,-0.3693791308469885,0.0,0.0,0.0,-0.2327698238328945,0.0,-1.820948032167864,0.0,-0.1662209618817225,0.0,0.7884540559835713,0.0,2.259657655165785,0.0,-0.6338419512506736,0.0,-0.2448368640692058,0.0,0.0,0.0,0.272842717495612
Lasso (lambda=0.1),272,68,15.278997463576609,3.908835819470627,0.114238112989943,20.286704959080684,4.504076482374681,0.0210929724316835,4.338235294117647,3.090774325656605,0.7205584838370835,0.0,-0.0,-0.0,0.7476031405472052,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.7634774846149257,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.4749163081436882,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),272,68,17.24955395761246,4.153258233918577,0.0,20.83576178633218,4.564620661821985,-0.005401009110167,4.338235294117647,4.672794117647059,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",272,68,8.387859254832355,2.8961801143631165,0.5137347159559056,21.164268799412216,4.600463976536738,-0.0212526629079703,4.338235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),272,68,12.105192611730809,3.4792517315840783,0.2982315576694304,20.846428641433228,4.565788939650324,-0.0059157235224647,4.338235294117647,5.367276860813546,3.218953572123492,-3.69057551873374,-7.313598018563759,0.1128051352601333,0.9817082133795992,-0.0,2.671453056956311,0.0,-0.0096078222498502,0.0,-0.0986001579343674,0.0,0.0,0.0,0.3505505719868428,0.0,-0.4399808361496281,0.0,0.0,0.0,-0.8351992217745909,0.0,-0.9105530461901828,0.0,-1.0411705983826096,0.0,3.773495838210902,0.0,-0.4666691757241542,0.0,1.4674423225918225,0.0,1.4507982244282214,0.0,-0.8687083949654576,0.0,0.2192151679085876,0.0,1.8207029287824608,0.0,-1.2724370078254483,0.0,0.2520661587630236,0.0,-0.0,0.0,-1.5948362420492497,0.0,4.736923748384068,0.0,0.0,0.0,1.5308466094194455,0.0,-0.4642852238984148,0.0,0.0,-2.792548948713716,0.0,3.064499397795527,0.0,0.0,0.0,0.0,0.0,-1.1361906660298071,0.0,0.0,0.0,0.0,0.0,0.0,-0.9583143888870278,0.0,0.0,0.0,0.8805652206925748,0.0,1.8895022326079896,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.2855479148222426
