model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,1168,293,58.29278015763792,7.634970868159087,0.049975736208882,61.58416143944646,7.84755767353426,-0.0199738695782347,26.832764505119453,43953321673881.17,10.270166040556498,-6.1111167021306505,-9.342395196759584,-1.1704002191463792,12.505333762465025,8.52089880402966,-3.6227691633912302,-2322530607358.4253,-966805856347.0498,665687187770.7719,-966805856349.9784,151640381518.59677,220658422538.7211,127102623896.6175,-966805856350.256,-142601912663.78976,-966805856347.4542,153615264736.74765,-966805856346.354,37130287824.83043,-966805856349.5764,-257896179761.98264,-966805856347.0444,35431616525.79393,-966805856350.2976,8505622794.564693,-966805856346.6444,7878925963.662369,-966805856348.9802,181589263.95888025,-966805856350.4167,-5405606.265536116,-966805856349.2446,18361.70028321817,-966805856347.8464,2087.579301953316,-966805856348.17,-65.66090202331543,-966805856346.1992,-0.009765625,-966805856348.4042,0.0,-966805856346.4926,0.0,-966805856348.4512,0.0,-966805856348.128,0.0,-966805856349.721,0.0,0.0,0.0,-966805856346.4684,-42986515817518.13,-966805856348.5912,0.0,0.0,0.0,-966805856351.0316,0.0,-966805856348.8564,0.0,0.0,0.0,-966805856345.613,0.0,-966805856346.2588,0.0,-966805856347.1156,0.0,-966805856348.5948,0.0,-966805856347.6316,-42986515817518.34,-966805856347.298,-42986515817518.48,-966805856346.61,0.0,-966805856345.984,0.0,-966805856345.9952,0.0,-966805856347.432,0.0,0.0,0.0,-966805856348.7384
"Random Forest (100 estimators, 20 depth)",1168,293,13.194406206802972,3.6324105228901336,0.7849646901574907,62.216049726971534,7.887715114465756,-0.030439377700836,26.832764505119453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",1168,293,32.550987182191754,5.705347244663707,0.4695015823604712,55.62545094825452,7.458247176666547,0.0787159372704545,26.832764505119453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",1168,293,50.42339520579434,7.100943261693783,0.1782267241553633,56.05401614264348,7.486923008996651,0.0716179223024783,26.832764505119453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),1168,293,58.36930445875274,7.639980658270853,0.0487285844581483,61.15430948193435,7.820122088684699,-0.0128545428844628,26.832764505119453,21.5312952964604,5.937590679523071,-1.9181180287404056,-1.2877285534763097,-1.179806103000095,5.686986146859336,0.3139135673824694,-2.273440036336876,0.0,0.9414325949048286,0.0,-1.983072323736905,0.0,0.0,0.0,-2.1401522217974147,0.0,0.4624835058913329,0.0,1.6136349547107462,0.0,-1.519204615419342,0.0,0.9312353415041248,0.0,-2.1919615143762154,0.0,1.2084210337171093,0.0,-0.9935123798802644,0.0,-2.2395450011950016,0.0,-1.2777196952675145,0.0,0.1340613256626543,0.0,-0.2124928322130573,0.0,1.7332347430739032,0.0,-0.4169722853852488,0.0,1.438918243667945,0.0,-0.4119209781846966,0.0,-0.1726403190246766,0.0,-1.7220435880342255,0.0,0.0,0.0,1.4162530190469638,0.2970063879094616,-0.5287734016625778,0.0,0.0,0.0,-2.852043173527213,0.0,-0.8397527690700037,0.0,0.0,0.0,2.059693703689906,0.0,1.7370109336402555,0.0,0.6281490892614244,0.0,-0.5784008707218546,0.0,0.3643092556164038,-0.1159179360533467,0.6293618195069745,-0.1810884518560739,1.31371005028324,0.0,1.8443471253678967,0.0,1.7999976150670414,0.0,0.5278609856060497,0.0,0.0,0.0,-0.7039073707225414
Ridge (lambda=0.1),1168,293,58.29764148611911,7.635289220855953,0.0498965089015054,61.47143629518573,7.840372203867986,-0.0181068846440739,26.832764505119453,16.159700027910645,9.290314987913955,-5.066361903406468,-5.016677481089085,-1.1652545846735824,11.180581229338628,4.048735145876916,-3.259314134050565,0.0,0.9236843802874564,0.0,-2.006717303805466,0.0,0.0,0.0,-2.256908912827453,0.0,0.4785859210234942,0.0,1.6119370767762788,0.0,-1.6050520453782742,0.0,0.9240313606232216,0.0,-2.3026803013113404,0.0,1.2932299009771997,0.0,-1.0142790702972848,0.0,-2.413338541562523,0.0,-1.2766910811816434,0.0,0.1188782864097636,0.0,-0.206639826666346,0.0,1.7751219887291538,0.0,-0.4344426058433425,0.0,1.4642981879202732,0.0,-0.4664108163849196,0.0,-0.1674152530116997,0.0,-1.7508139480730722,0.0,0.0,0.0,1.4954247146906192,0.2211407084833589,-0.5834083577862148,0.0,0.0,0.0,-3.0607318245887694,0.0,-0.8771582904823159,0.0,0.0,0.0,2.373222885677679,0.0,1.7232431865605593,0.0,0.8077493678357833,0.0,-0.618434381076206,0.0,0.3540758099103391,-0.0427566499719431,0.6658357226997341,-0.1783840585125626,1.3633622433343124,0.0,1.9370937644477,0.0,1.9406619761412167,0.0,0.5432161118165477,0.0,0.0,0.0,-0.752530325582748
Lasso (lambda=0.1),1168,293,60.45598338032715,7.775344582738899,0.0147210178113649,60.56827202934145,7.782562047895375,-0.0031484289378325,26.832764505119453,26.799670638567097,1.7473423554015044,0.0,-0.0,-0.7769578483234306,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),1168,293,61.35925405212048,7.833214796756213,0.0,60.52030144369513,7.779479509819094,-0.0023539268658068,26.832764505119453,27.2097602739726,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",1168,293,49.93773463476065,7.066663614094041,0.1861417579760345,55.02645523594919,7.417981884309856,0.0886366694889417,26.832764505119453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),1168,293,58.67693792550485,7.660087331454182,0.0437149402816595,60.73734959434367,7.79341706790697,-0.0059487382089709,26.832764505119453,26.78315407170783,2.790241973866006,-0.0,-0.4793004378798708,-1.155543338012722,0.0,-0.0,-0.0,0.0,0.6256243322949467,0.0,-1.7635320633828486,0.0,0.0,0.0,-1.8386040163269648,0.0,0.1796051721985349,0.0,1.442569881689192,0.0,-1.1243278969124042,0.0,0.6186420384582876,0.0,-1.851948863169712,0.0,0.7692972164618004,0.0,-0.7808818789335217,0.0,-1.734206269279774,0.0,-1.0018167851789497,0.0,0.0,0.0,-0.0,0.0,1.3866130497745963,0.0,-0.2284915489322624,0.0,1.2156393662425773,0.0,-0.0135576064132078,0.0,-0.0,0.0,-1.5172765891286664,0.0,0.0,0.0,0.9662388330061888,0.2260271490207809,-0.0375307233884265,0.0,0.0,0.0,-2.119543153767884,0.0,-0.611079817790648,0.0,0.0,0.0,0.1802501312622141,0.0,1.3994600261695744,0.0,0.0,0.0,-0.2541455909518275,0.0,0.0,-0.0596101251211973,0.3053333287961315,-0.0,0.703350311670888,0.0,1.2579015236074356,0.0,1.4569758502552963,0.0,0.2256680491939891,0.0,0.0,0.0,-0.3597448400485897
