Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-11-20,23-086,PHI,,TOR,L (-10),0,0:58,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,+5
2,2,2013-11-22,23-088,PHI,,MIL,W (+8),0,4:52,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,1.0,-4
3,3,2013-11-23,23-089,PHI,@,IND,L (-8),0,10:10,2,6,.333,0,0,,0,0,,2,1,3,0,1,0,0,1,4,2.9,-2
4,4,2013-11-27,23-093,PHI,@,ORL,L (-11),0,8:12,0,4,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-1.8,0
5,5,2013-11-29,23-095,PHI,,NOP,L (-16),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
6,6,2013-12-01,23-097,PHI,@,DET,L (-15),0,3:06,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+2
8,7,2013-12-06,23-102,PHI,@,CHA,L (-17),0,13:16,2,8,.250,0,3,.000,0,0,,0,1,1,0,1,0,0,0,4,0.5,-12
9,8,2013-12-07,23-103,PHI,,DEN,L (-11),0,15:17,3,6,.500,0,1,.000,0,0,,1,1,2,4,0,0,0,1,6,6.4,+1
10,9,2013-12-09,23-105,PHI,,LAC,L (-11),0,11:31,1,6,.167,0,2,.000,2,2,1.000,1,0,1,4,1,0,1,4,4,2.1,-3
11,10,2013-12-11,23-107,PHI,@,MIN,L (-7),0,19:17,2,3,.667,0,1,.000,0,0,,1,0,1,6,1,2,5,5,4,3.0,0
12,11,2013-12-13,23-109,PHI,@,TOR,L (-8),0,10:41,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,3,0,0,-3.0,-3
13,12,2013-12-14,23-110,PHI,,POR,L (-34),0,23:46,3,9,.333,0,3,.000,2,2,1.000,0,0,0,5,3,1,2,1,8,7.7,-17
14,13,2013-12-16,23-112,PHI,@,BRK,L (-36),0,19:29,3,6,.500,0,3,.000,0,0,,0,0,0,1,2,0,0,1,6,5.3,+16
22,14,2014-01-06,23-133,PHI,,MIN,L (-31),0,15:35,1,7,.143,1,3,.333,1,2,.500,0,4,4,4,0,0,2,2,4,0.3,-6
23,15,2014-01-07,23-134,PHI,@,CLE,L (-18),0,11:20,1,3,.333,0,1,.000,1,2,.500,0,3,3,1,1,0,2,0,3,1.5,+17
28,16,2014-01-18,23-145,PHI,@,CHI,L (-25),0,4:16,1,4,.250,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,0,4,3.0,+5
29,17,2014-01-20,23-147,PHI,@,WAS,L (-8),0,4:28,1,2,.500,0,0,,1,2,.500,1,0,1,3,1,0,0,1,3,5.0,+8
30,18,2014-01-22,23-149,PHI,@,NYK,W (+4),0,3:01,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-1
33,19,2014-01-27,23-154,PHI,,PHO,L (-11),0,0:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
39,20,2014-02-07,23-165,PHI,,LAL,L (-14),0,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
40,21,2014-02-09,23-167,PHI,@,LAC,L (-45),0,12:00,1,6,.167,1,4,.250,0,0,,1,1,2,4,1,0,0,0,3,4.0,+4
41,22,2014-02-10,23-168,PHI,@,GSW,L (-43),0,3:31,1,2,.500,0,1,.000,0,0,,0,3,3,1,0,0,0,1,2,2.2,-3
43,23,2014-02-18,23-176,PHI,,CLE,L (-29),0,2:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
44,24,2014-02-21,23-179,PHI,,DAL,L (-12),0,15:38,2,5,.400,0,3,.000,0,1,.000,0,0,0,1,0,0,0,2,4,0.8,+5
47,25,2014-03-01,23-187,PHI,,WAS,L (-19),0,0:54,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
49,26,2014-03-04,23-190,PHI,@,OKC,L (-33),0,7:54,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,0,0,-1.5,-7
1,1,2015-01-28,24-155,MIN,,BOS,W (+12),0,24:05,3,6,.500,2,3,.667,3,4,.750,0,1,1,3,0,0,1,2,11,8.2,+9
2,2,2015-01-30,24-157,MIN,@,PHI,L (-9),0,23:29,2,4,.500,0,0,,0,0,,0,2,2,3,2,0,3,3,4,2.5,-15
3,3,2015-01-31,24-158,MIN,,CLE,L (-16),1,47:55,0,5,.000,0,1,.000,1,2,.500,1,5,6,9,0,0,3,3,1,1.4,-16
4,4,2015-02-02,24-160,MIN,@,DAL,L (-6),0,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-6
7,5,2015-02-08,24-166,MIN,@,DET,W (+11),0,1:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4
11,6,2015-02-23,24-181,MIN,@,HOU,L (-11),0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
12,7,2015-02-25,24-183,MIN,,WAS,W (+20),0,1:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
17,8,2015-03-07,24-193,MIN,,POR,W (+8),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
18,9,2015-03-09,24-195,MIN,@,LAC,L (-13),0,3:03,1,1,1.000,0,0,,0,2,.000,0,1,1,1,1,0,0,0,2,2.9,+6
19,10,2015-03-11,24-197,MIN,@,PHO,L (-9),0,1:15,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+5
20,11,2015-03-13,24-199,MIN,@,OKC,L (-14),0,1:52,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2,2.3,+4
21,12,2015-03-15,24-201,MIN,@,SAS,L (-26),0,16:12,3,6,.500,0,2,.000,0,0,,0,0,0,7,2,0,1,1,6,8.5,-1
22,13,2015-03-16,24-202,MIN,,BRK,L (-16),0,17:30,0,5,.000,0,0,,0,0,,3,2,5,5,0,1,1,1,0,2.0,+7
23,14,2015-03-18,24-204,MIN,@,TOR,L (-5),0,19:44,4,5,.800,0,0,,0,0,,1,1,2,5,3,0,0,2,8,12.8,+3
24,15,2015-03-19,24-205,MIN,@,NYK,W (+3),0,25:38,1,2,.500,0,1,.000,0,0,,0,3,3,3,1,0,1,1,2,3.6,+2
25,16,2015-03-22,24-208,MIN,,CHO,L (-11),0,17:10,4,5,.800,1,1,1.000,0,0,,0,1,1,4,1,0,0,1,9,10.8,-4
26,17,2015-03-23,24-209,MIN,@,UTA,W (+2),1,44:39,4,5,.800,0,0,,2,3,.667,1,6,7,6,2,0,3,5,10,11.4,-2
27,18,2015-03-25,24-211,MIN,,LAL,L (-2),1,34:55,4,9,.444,0,2,.000,0,0,,1,8,9,1,3,0,1,5,8,7.1,-8
28,19,2015-03-27,24-213,MIN,@,HOU,L (-10),1,36:43,3,11,.273,0,2,.000,0,0,,0,2,2,5,3,0,2,2,6,3.8,-11
29,20,2015-03-29,24-215,MIN,@,NOP,L (-22),1,36:00,3,6,.500,0,1,.000,2,2,1.000,0,3,3,8,0,0,4,2,8,6.7,-23
30,21,2015-03-30,24-216,MIN,,UTA,L (-20),1,30:22,3,7,.429,1,1,1.000,0,0,,1,0,1,6,1,2,1,1,7,9.2,-16
31,22,2015-04-01,24-218,MIN,,TOR,L (-14),1,24:28,3,5,.600,1,2,.500,0,0,,0,1,1,5,1,1,1,2,7,8.4,-17
32,23,2015-04-03,24-220,MIN,,ORL,L (-13),0,9:25,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,2,0,0,-2.1,-5
33,24,2015-04-07,24-224,MIN,@,SAC,L (-5),0,11:39,0,2,.000,0,0,,0,0,,0,2,2,4,0,0,0,1,0,1.6,-9
34,25,2015-04-08,24-225,MIN,@,POR,L (-25),0,18:18,0,2,.000,0,1,.000,0,0,,1,3,4,3,1,1,0,2,0,3.2,-5
35,26,2015-04-10,24-227,MIN,@,LAL,L (-8),0,30:22,4,11,.364,0,4,.000,2,2,1.000,1,3,4,4,3,0,1,4,10,8.7,+14
36,27,2015-04-11,24-228,MIN,@,GSW,L (-9),0,23:33,2,8,.250,0,3,.000,1,2,.500,1,5,6,3,2,0,1,2,5,4.3,+3
37,28,2015-04-13,24-230,MIN,,NOP,L (-12),0,24:35,1,3,.333,0,1,.000,0,0,,1,1,2,4,0,1,2,3,2,1.6,-1
38,29,2015-04-15,24-232,MIN,,OKC,L (-25),0,20:02,6,10,.600,1,3,.333,0,0,,1,2,3,1,2,0,1,3,13,10.2,-4
2,1,2016-01-12,25-139,PHO,@,IND,L (-19),0,20:02,2,5,.400,1,3,.333,2,2,1.000,0,2,2,5,1,0,5,1,7,4.0,-4
3,2,2016-01-15,25-142,PHO,@,BOS,L (-14),0,4:57,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-6
4,3,2016-01-17,25-144,PHO,@,MIN,L (-30),0,9:17,2,5,.400,0,0,,0,0,,0,0,0,1,0,0,2,1,4,-0.4,-8
5,4,2016-01-19,25-146,PHO,,IND,L (-3),0,5:04,1,4,.250,0,1,.000,1,1,1.000,0,0,0,0,1,0,0,1,3,1.2,-6
6,5,2016-01-21,25-148,PHO,,SAS,L (-28),0,9:12,0,4,.000,0,2,.000,0,0,,0,4,4,2,0,0,1,0,0,-1.2,-1
7,6,2016-01-23,25-150,PHO,,ATL,W (+3),0,6:37,1,3,.333,0,1,.000,0,1,.000,0,0,0,3,1,0,0,0,2,3.0,-2
8,7,2016-01-26,25-153,PHO,@,PHI,L (-10),0,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-0.7,-5
9,8,2016-01-27,25-154,PHO,@,CLE,L (-22),0,2:20,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+2
15,1,2017-11-17,27-083,TOR,,NYK,W (+23),0,17:39,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,0,0,2.3,+5
16,2,2017-11-19,27-085,TOR,,WAS,W (+9),0,8:09,0,1,.000,0,1,.000,0,0,,0,1,1,0,2,0,0,1,0,1.2,+6
18,3,2017-11-24,27-090,TOR,@,IND,L (-3),0,1:54,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-5
19,4,2017-11-25,27-091,TOR,@,ATL,W (+34),0,18:19,1,4,.250,0,1,.000,0,0,,0,3,3,2,0,0,0,2,2,1.1,+7
22,5,2017-12-05,27-101,TOR,,PHO,W (+13),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
25,6,2017-12-11,27-107,TOR,@,LAC,L (-5),0,2:02,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
26,7,2017-12-13,27-109,TOR,@,PHO,W (+6),0,2:13,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
27,8,2017-12-15,27-111,TOR,,BRK,W (+33),0,4:01,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,1.3,0
39,9,2018-01-09,27-136,TOR,,MIA,L (-1),0,5:39,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1
40,10,2018-01-11,27-138,TOR,,CLE,W (+34),0,19:03,3,8,.375,0,2,.000,0,0,,0,0,0,5,0,0,0,0,6,5.1,+19
41,11,2018-01-13,27-140,TOR,,GSW,L (-2),0,4:40,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,-1
50,12,2018-02-01,27-159,TOR,@,WAS,L (-3),0,10:50,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-1.5,-9
71,13,2018-03-20,27-206,TOR,@,ORL,W (+7),0,18:53,2,4,.500,1,1,1.000,2,2,1.000,0,0,0,0,1,0,1,0,7,5.0,+23
81,14,2018-04-09,27-226,TOR,@,DET,W (+10),0,24:42,5,9,.556,1,4,.250,0,0,,1,4,5,1,1,0,1,2,11,8.5,+4
1,1,2018-10-17,28-052,TOR,,CLE,W (+12),0,0:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
3,2,2018-10-20,28-055,TOR,@,WAS,W (+4),0,9:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-5
4,3,2018-10-22,28-057,TOR,,CHO,W (+21),0,3:53,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,3.1,0
5,4,2018-10-24,28-059,TOR,,MIN,W (+7),0,12:06,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,2,0,2,-0.7,+1
6,5,2018-10-26,28-061,TOR,,DAL,W (+9),0,15:22,4,8,.500,1,2,.500,0,0,,0,1,1,1,2,0,1,2,9,6.2,+5
7,6,2018-10-29,28-064,TOR,@,MIL,L (-15),0,19:07,2,9,.222,1,5,.200,0,0,,1,3,4,2,1,2,1,3,5,2.7,-7
8,7,2018-10-30,28-065,TOR,,PHI,W (+17),0,3:33,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+3
11,8,2018-11-05,28-071,TOR,@,UTA,W (+13),0,4:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-9
13,9,2018-11-10,28-076,TOR,,NYK,W (+16),0,2:23,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,-2
14,10,2018-11-12,28-078,TOR,,NOP,L (-16),0,6:42,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,0,0,-1.1,+1
