Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,1,2019-12-06,20-231,OKC,,MIN,W (+12),0,7:21,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,-5.0
22,2,2019-12-08,20-233,OKC,@,POR,W (+12),0,19:51,1,4,0.25,0,3,0.0,0,2,0.0,0,3,3,0,0,0,0,6,2,-2.7,7.0
23,3,2019-12-09,20-234,OKC,@,UTA,W (+14),0,29:00,3,6,0.5,0,3,0.0,3,3,1.0,0,2,2,0,0,0,2,4,9,3.0,0.0
24,4,2019-12-11,20-236,OKC,@,SAC,L (-1),0,12:45,1,4,0.25,0,2,0.0,0,0,,0,0,0,1,1,0,0,2,2,0.5,-11.0
25,5,2019-12-14,20-239,OKC,@,DEN,L (-8),0,12:27,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,0.3,0.0
31,6,2019-12-27,20-252,OKC,@,CHO,W (+2),0,16:48,2,3,0.667,1,2,0.5,2,4,0.5,1,1,2,1,0,0,0,3,7,5.4,12.0
32,7,2019-12-29,20-254,OKC,@,TOR,W (+1),0,16:52,1,6,0.167,0,3,0.0,1,1,1.0,0,1,1,0,0,0,1,3,3,-2.7,-2.0
43,8,2020-01-18,20-274,OKC,,POR,W (+13),0,19:31,2,4,0.5,1,3,0.333,2,3,0.667,0,0,0,2,2,0,1,4,7,5.4,5.0
44,9,2020-01-20,20-276,OKC,@,HOU,W (+5),1,32:13,3,10,0.3,1,4,0.25,1,1,1.0,2,0,2,2,0,0,2,5,8,1.0,2.0
45,10,2020-01-22,20-278,OKC,@,ORL,W (+6),1,25:53,2,4,0.5,0,0,,2,2,1.0,0,0,0,2,2,0,1,4,6,4.8,-4.0
46,11,2020-01-24,20-280,OKC,,ATL,W (+29),1,16:09,2,3,0.667,1,1,1.0,0,0,,0,0,0,2,1,0,1,2,5,4.3,-1.0
47,12,2020-01-25,20-281,OKC,@,MIN,W (+9),1,30:08,3,5,0.6,2,4,0.5,2,2,1.0,0,2,2,1,2,0,0,1,10,10.6,9.0
48,13,2020-01-27,20-283,OKC,,DAL,L (-10),1,25:37,2,6,0.333,1,3,0.333,0,0,,0,1,1,0,0,0,0,3,5,0.7,2.0
49,14,2020-01-29,20-285,OKC,@,SAC,W (+20),1,26:31,8,12,0.667,5,6,0.833,2,2,1.0,1,1,2,0,1,1,2,3,23,17.3,6.0
50,15,2020-01-31,20-287,OKC,@,PHO,W (+4),1,26:49,3,8,0.375,1,3,0.333,1,2,0.5,1,1,2,0,3,0,0,5,8,5.2,-4.0
51,16,2020-02-05,20-292,OKC,,CLE,W (+6),1,16:49,2,7,0.286,0,3,0.0,0,0,,1,1,2,0,1,0,2,0,4,-0.1,4.0
52,17,2020-02-07,20-294,OKC,,DET,W (+7),1,25:12,1,4,0.25,0,1,0.0,0,0,,3,0,3,0,0,0,0,3,2,0.5,9.0
53,18,2020-02-09,20-296,OKC,,BOS,L (-1),1,11:43,1,4,0.25,1,2,0.5,0,0,,0,1,1,0,0,0,0,4,3,-0.7,-2.0
54,19,2020-02-11,20-298,OKC,,SAS,L (-8),1,21:00,2,5,0.4,0,3,0.0,0,0,,1,1,2,0,0,0,0,1,4,1.9,-2.0
55,20,2020-02-13,20-300,OKC,@,NOP,W (+5),1,23:26,2,5,0.4,1,3,0.333,2,2,1.0,1,2,3,0,1,0,0,1,7,6.2,11.0
56,21,2020-02-21,20-308,OKC,,DEN,W (+12),1,22:09,4,9,0.444,1,4,0.25,2,2,1.0,1,0,1,2,3,0,0,2,11,10.6,6.0
57,22,2020-02-23,20-310,OKC,,SAS,W (+28),1,24:04,6,6,1.0,2,2,1.0,1,2,0.5,0,2,2,2,3,0,1,3,15,15.6,36.0
58,23,2020-02-25,20-312,OKC,@,CHI,W (+2),1,24:21,0,2,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,0,-0.9,-3.0
59,24,2020-02-27,20-314,OKC,,SAC,W (+4),1,23:48,2,5,0.4,1,4,0.25,1,1,1.0,0,0,0,0,1,0,0,2,6,3.5,-10.0
