model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,295,74,58.244110353114245,7.631782907886875,0.2655880774545291,91.2912301759462,9.554644429592669,0.0855848245043322,27.5945945945946,11983725034745.72,6.447478487462117,-10.82200484822344,11.65944460800752,1.7963317431311148,-50786165057478.25,-0.9379488340341824,5.61059727796386,55095813381513.086,-11983725034720.49,-7837037825446.379,-11983725034719.402,1191109557904.151,5927668196308.627,-3155792201628.902,-11983725034720.045,311629832310.25555,153654267562.4767,-28908700868.597485,-11983725034721.67,3809902227.786124,-11983725034724.137,-61838893.4761824,-11983725034725.168,-2909591.694834059,-11983725034726.928,-740136.7864641105,42169.06186950579,3131.6517480164766,-11983725034724.305,-159.02587461471558,-11983725034721.217,0.330810546875,-11983725034724.61,0.0,-11983725034720.754,0.0,-11983725034727.506,0.0,-11983725034720.943,0.0,-11983725034724.26,0.0,-11983725034723.816,0.0,-11983725034724.41,0.0,-11983725034727.992,0.0,-11983725034724.725,0.0,0.0,0.0,-11983725034722.947,0.0,-11983725034726.152,0.0,0.0,0.0,0.0,0.0,-11983725034722.385,0.0,0.0,0.0,0.0,0.0,-11983725034722.389,0.0,0.0,0.0,-11983725034721.195,0.0,0.0,0.0,-11983725034730.37,0.0,-11983725034719.922,0.0,-11983725034723.527,0.0,-11983725034728.242,0.0,-11983725034723.674,0.0,0.0,0.0,-11983725034719.94
"Random Forest (100 estimators, 20 depth)",295,74,11.252657957304695,3.3544981677301147,0.8581129299757797,93.60235514957836,9.67483101400631,0.0624355280792185,27.5945945945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",295,74,21.04253757521296,4.5872145769751125,0.7346703317785133,89.94891360044363,9.484140108646836,0.0990300880262859,27.5945945945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",295,74,41.62241537761047,6.451543643005949,0.4751744354384727,78.53648021162451,8.862081031655292,0.2133422980814782,27.5945945945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),295,74,58.476112120034536,7.646967511375639,0.2626627196347446,87.54712478844998,9.356662053769494,0.1230875153803692,27.5945945945946,22.01543739350995,0.1427699035427314,-3.516959404047697,7.711700041177563,1.7894141336704823,0.0,3.7568413401654106,3.696033468062063,0.0,2.8669938647090087,0.0,3.647201372896219,0.0,0.0,0.0,3.309192699641353,0.0,0.0,0.0,1.5025766364891044,0.0,-0.4947113730477171,0.0,-1.496414321855184,0.0,-3.2307955394297254,0.0,0.0,0.0,-0.7216718422700695,0.0,2.087123070481361,0.0,-0.9612357205490688,0.0,2.4135606999719483,0.0,-3.4912139551252683,0.0,2.4147498972529,0.0,-0.70848119927617,0.0,-0.1998570629041685,0.0,-0.7920186941294758,0.0,-3.757180692278008,0.0,-1.0485593526199517,0.0,0.0,0.0,0.6189867260610666,0.0,-2.509724100053271,0.0,0.0,0.0,0.0,0.0,1.1316464207031154,0.0,0.0,0.0,0.0,0.0,1.0808846502281424,0.0,0.0,0.0,2.205277544557009,0.0,0.0,0.0,-5.980679738070974,0.0,3.100940237675313,0.0,-0.0053509122042616,0.0,-4.045748471065954,0.0,-0.0843359414322836,0.0,0.0,0.0,3.148845095644997
Ridge (lambda=0.1),295,74,58.25925092419575,7.632774785371028,0.2653971668912294,90.48817480489608,9.512527256460087,0.09362859844227,27.5945945945946,22.06984141192382,4.1389514292820095,-8.374407265070923,10.449637356913238,1.801277608105549,0.0,0.5764464068628481,5.278216818790195,0.0,3.070421162523545,0.0,4.154073814717486,0.0,0.0,0.0,3.4806749182650885,0.0,0.0,0.0,1.8008165091524906,0.0,-0.55686222808598,0.0,-1.600684725711787,0.0,-3.375413003159442,0.0,0.0,0.0,-0.7537372528502754,0.0,2.291019230519009,0.0,-1.0263408886062269,0.0,2.7371800280246665,0.0,-3.922328089050749,0.0,2.577516748152432,0.0,-0.7295278546884159,0.0,-0.252959348425107,0.0,-0.8410299674388428,0.0,-4.372590682294888,0.0,-1.1588307656270216,0.0,0.0,0.0,0.6428700032626409,0.0,-2.602116885454368,0.0,0.0,0.0,0.0,0.0,1.1990121923406087,0.0,0.0,0.0,0.0,0.0,1.1537789578421909,0.0,0.0,0.0,2.3489708476134585,0.0,0.0,0.0,-6.744088851580491,0.0,3.586050499487037,0.0,0.0275983533160527,0.0,-4.562060244120408,0.0,-0.0878110970142687,0.0,0.0,0.0,3.5163986188919574
Lasso (lambda=0.1),295,74,63.08299924222832,7.942480673078677,0.2045735358898441,81.6592263610941,9.03654947206588,0.1820634286567563,27.5945945945946,22.551063678948267,-0.0,-0.0,10.59991221006698,1.3351874013942433,0.0,0.0,0.0,0.0,0.6950015112141079,0.0,0.0,0.0,0.0,0.0,1.4278273269585202,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-1.4209529969165846,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6506200929363319,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.1576155456243966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.588268071357489,0.0,0.0,0.0,-0.0,0.0,-0.8789459735030053,0.0,-0.0,0.0,0.0,0.0,0.6522039703186822
Lasso (lambda=1.0),295,74,76.65865184311066,8.755492667069664,0.03339535038786,97.41649295614256,9.869979379722258,0.024231360110048,27.5945945945946,27.85888337192782,-0.0,-0.0,1.250770568330928,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",295,74,41.88253133221189,6.471671448104569,0.4718945800651926,84.69313269545223,9.202887193454684,0.1516744199006832,27.5945945945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),295,74,58.44023607614383,7.644621382131612,0.2631150880237088,88.85306683103302,9.426190472881023,0.1100065960001154,27.5945945945946,21.823756343694235,0.0,-3.279821316324344,11.153275103104646,1.773859618721851,0.0,0.0,4.38919627513969,0.0,2.9542145138481466,0.0,3.766246563954327,0.0,0.0,0.0,3.366567558027189,0.0,0.0,0.0,1.4583463338546456,0.0,-0.1119237069760243,0.0,-1.2288841935632164,0.0,-3.1638262804953534,0.0,0.0,0.0,-0.3833699590267584,0.0,2.0283125055114337,0.0,-0.6877854991692891,0.0,2.364821928850811,0.0,-3.343307966617314,0.0,2.4482143542634147,0.0,-0.0,0.0,-0.0,0.0,-0.6174149944159976,0.0,-3.810321375085659,0.0,-0.70339184161168,0.0,0.0,0.0,0.446574603240692,0.0,-2.414064634790299,0.0,0.0,0.0,0.0,0.0,0.996826152632356,0.0,0.0,0.0,0.0,0.0,0.9829774077893872,0.0,0.0,0.0,2.145344337334463,0.0,0.0,0.0,-6.428920692063216,0.0,3.112165818529471,0.0,0.0,0.0,-3.990388355097115,0.0,-0.0,0.0,0.0,0.0,3.2604156811041007
