model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,278,70,26.383811017592176,5.1365174016635216,0.3161912921565361,27.130967494419643,5.208739530291339,0.0237505821682509,8.257142857142858,-128248399657566.12,-3.029012241406302,12.98672193314443,7.203714063772811,1.2003716779334592,5.156692298874066,-11.759326906733856,-6.084157831311448,10741200672102.762,2824171003241.629,8573090170882.805,2824171003237.74,132597319174.93642,-3689570582952.0186,4852902526475.843,2824171003239.3013,-1685277916974.6392,2824171003239.541,-236548755298.3026,2824171003238.132,95985586271.10304,2824171003239.749,-4052541106.74262,2824171003235.636,75621084.45625342,2824171003243.8306,-3410571.050756456,2824171003236.944,849064.3838112056,2824171003238.875,-37972.43459379673,-1428.7497050762177,-1410.6373176574707,2824171003241.1284,-19.95849609375,2824171003243.84,-0.015625,2824171003240.955,0.0,2824171003237.0605,125424228654336.2,2824171003235.3936,0.0,2824171003236.924,125424228654334.4,2824171003240.703,0.0,2824171003239.707,0.0,2824171003238.996,0.0,0.0,0.0,2824171003235.3955,0.0,2824171003238.101,0.0,0.0,0.0,2824171003238.7417,0.0,2824171003238.0366,0.0,0.0,0.0,2824171003237.528,0.0,0.0,0.0,2824171003239.8857,0.0,2824171003238.388,0.0,2824171003238.579,125424228654337.84,2824171003239.432,0.0,2824171003236.543,0.0,0.0,0.0,2824171003240.472,0.0,2824171003239.116,0.0,0.0,125424228654334.4,2824171003238.668
"Random Forest (100 estimators, 20 depth)",278,70,5.056505122378074,2.2486674103517563,0.8689468238067769,24.45714108977744,4.945416169522787,0.1199624651927695,8.257142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",278,70,8.34651548427472,2.8890336592491823,0.7836771964258018,24.24932436284885,4.924360299861176,0.1274403024177581,8.257142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",278,70,18.651934327173,4.31878852540536,0.5165840483567374,21.84711558365671,4.6740898133921975,0.2138786103284141,8.257142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),278,70,26.712325916013405,5.168396841963029,0.3076769290098716,25.12969826114151,5.012953047968982,0.0957619442516053,8.257142857142858,7.887476330143079,-0.4179408872345805,5.65742993647646,-0.3175089236901431,1.254966573258505,5.059484652189227,-4.236898881620283,-3.1150714876705745,0.0,2.5646109999361664,0.0,-0.9337539466950332,0.0,0.0,0.0,0.7354288506398372,0.0,0.5325724298746543,0.0,-0.7595435294416829,0.0,0.8694303700190388,0.0,-2.8817719601833973,0.0,4.444918565526086,0.0,-1.5142097831344776,0.0,-0.1922416405803473,0.0,0.0,0.0,2.0567873690982434,0.0,4.25001854102621,0.0,1.8259388910879208,0.0,-1.534680722086447,0.9914751637672692,-2.8412133540381914,0.0,-1.579989243679941,-0.7141436000973325,1.6305688528861295,0.0,0.679288107327771,0.0,-0.1695764287390767,0.0,0.0,0.0,-3.759550009916056,0.0,-0.5859085859583889,0.0,0.0,0.0,-0.4020327472167996,0.0,-0.9550591957382212,0.0,0.0,0.0,-1.242678977953448,0.0,0.0,0.0,0.9853235188534196,0.0,-0.3129667644996994,0.0,-0.3399132204956123,0.2391566021279094,0.4777684467198567,0.0,-2.1707899860504765,0.0,0.0,0.0,1.1801744745551783,0.0,0.2256553555070365,0.0,0.0,-0.5164881657981394,-0.2826046766499129
Ridge (lambda=0.1),278,70,26.402335763087205,5.138320325075813,0.3157111726517519,26.68766042327822,5.166010106772752,0.0397020321197326,8.257142857142858,8.404598856063696,-1.7494838045957428,10.945350055605967,4.588313576413476,1.2394537819540492,5.148040795808503,-9.10287805309989,-5.950289841588353,0.0,2.7504921184655906,0.0,-1.1226608501368205,0.0,0.0,0.0,0.5028721384783217,0.0,0.625643279699948,0.0,-0.7708315480570636,0.0,0.8945487138186701,0.0,-3.229266592772971,0.0,4.893161149432517,0.0,-1.8653626342869,0.0,-0.0862260214059097,0.0,0.0,0.0,2.1919709662678173,0.0,4.78845242288364,0.0,2.076620290025383,0.0,-1.7955752792391828,0.6004040300487881,-3.390173197052316,0.0,-1.937131857610138,-1.1393587325058616,1.807283274497726,0.0,0.7798397246876517,0.0,0.0120440155328014,0.0,0.0,0.0,-3.721715612552705,0.0,-0.7233781714777999,0.0,0.0,0.0,-0.2369822962003478,0.0,-0.8889763211245716,0.0,0.0,0.0,-1.3770265957813157,0.0,0.0,0.0,1.00256430169266,0.0,-0.5124566924351416,0.0,-0.3272869655991468,1.6728540099094824,0.5250070905088254,0.0,-2.364711754285304,0.0,0.0,0.0,1.4866735902854118,0.0,0.2385723683774906,0.0,0.0,-1.1338993074544084,-0.2259830546335135
Lasso (lambda=0.1),278,70,30.48682159630314,5.5214872630753336,0.2098505379635333,23.140586835740145,4.8104663844309465,0.1673358338097262,8.257142857142858,7.46647792847731,0.0,1.1751743794946263,-0.0,0.9518097975766918,4.553870324166388,-3.1811808252245823,0.0,0.0,0.4898887391461993,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1268045372982348,0.0,1.6746631478495924,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.1646172414238949,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.8767428466516797,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),278,70,38.583613684591896,6.211570951425403,0.0,27.80384777481201,5.27293540400525,-0.0004615651552315,8.257142857142858,8.143884892086332,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",278,70,18.277486639340825,4.275217730050813,0.5262888855161896,20.222263299680275,4.496917088370685,0.2723454193952432,8.257142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),278,70,26.679731383929145,5.1652426258530335,0.3085217055606299,25.49428305111083,5.049186375160936,0.0826431459989788,8.257142857142858,7.339410330396918,-0.0,6.994201689913329,0.0,1.2133167692774656,5.0846980184572494,-4.650942123611536,-4.683921029634555,0.0,2.738551635182585,0.0,-0.5454118256988869,0.0,0.0,0.0,0.6692446248762938,0.0,0.506308188916062,0.0,-0.1916159557741854,0.0,0.9095010402074852,0.0,-2.7443773222779755,0.0,4.808998515635333,0.0,-1.2183436756990231,0.0,-0.0,0.0,0.0,0.0,2.1731764217427854,0.0,4.594721947206835,0.0,1.9227411340061653,0.0,-1.1513445014929804,1.5456713156226505,-2.65528590540614,0.0,-1.1629746693114429,-0.0415170623727766,1.6746819779177138,0.0,0.490060008516372,0.0,0.0,0.0,0.0,0.0,-3.629315755111577,0.0,-0.2398378331325528,0.0,0.0,0.0,-0.0,0.0,-0.5443403362759036,0.0,0.0,0.0,-0.8946484370265454,0.0,0.0,0.0,0.8378238337039478,0.0,-0.0,0.0,-0.0,0.7459366171954279,0.375350646226662,0.0,-1.820544225011643,0.0,0.0,0.0,1.1336633418390734,0.0,0.2271877321154274,0.0,0.0,-0.048715500348718,-0.0
