Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,22-227,TOR,,NOP,L (-14),0,1:16,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,2
4,2,2020-12-31,22-235,TOR,,NYK,W (+17),0,2:48,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
6,3,2021-01-04,22-239,TOR,,BOS,L (-12),0,15:45,0,6,0.0,0,4,0.0,0,0,,0,0,0,1,1,0,0,1,0,-2.9,-3
7,4,2021-01-06,22-241,TOR,@,PHO,L (-8),0,3:47,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-1
8,5,2021-01-08,22-243,TOR,@,SAC,W (+21),0,16:48,5,6,0.833,2,3,0.667,0,0,,0,5,5,2,0,0,1,3,12,10.5,6
9,6,2021-01-10,22-245,TOR,@,GSW,L (-1),0,12:34,0,3,0.0,0,1,0.0,0,0,,0,1,1,3,0,0,0,1,0,-0.1,-5
11,7,2021-01-14,22-249,TOR,,CHO,W (+3),0,6:28,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,1,0,0,1,3,3.3,-7
12,8,2021-01-16,22-251,TOR,,CHO,W (+3),0,18:12,2,7,0.286,1,3,0.333,0,0,,0,1,1,3,1,0,1,1,5,2.9,11
13,9,2021-01-18,22-253,TOR,,DAL,W (+23),0,2:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,5
15,10,2021-01-22,22-257,TOR,,MIA,W (+20),0,14:08,1,5,0.2,1,4,0.25,0,0,,0,1,1,3,0,0,1,2,3,0.5,0
16,11,2021-01-24,22-259,TOR,@,IND,W (+5),0,7:17,1,3,0.333,0,2,0.0,0,2,0.0,0,0,0,2,1,0,0,1,2,1.5,-7
20,12,2021-01-31,22-266,TOR,,ORL,W (+13),0,2:02,1,1,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,4,2.7,-8
21,13,2021-02-02,22-268,TOR,@,ORL,W (+15),0,2:37,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3
29,14,2021-02-18,22-284,TOR,@,MIL,W (+14),0,4:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-7
30,15,2021-02-19,22-285,TOR,@,MIN,W (+5),0,14:57,1,6,0.167,0,3,0.0,2,2,1.0,0,2,2,0,0,0,0,1,4,0.4,-15
41,16,2021-03-19,22-313,TOR,,UTA,L (-3),0,17:39,1,4,0.25,1,3,0.333,0,0,,0,1,1,2,1,0,0,1,3,2.9,-9
