model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,147,37,14.957954666241497,3.867551507897664,0.5036250796518098,23.87254539695946,4.885953888132742,0.4279247540884067,6.0,186681931065570.25,3.836419468444427,-9.147429873477476,17.485505242784612,0.0400849864591963,9.368389109481427,-14.778577542445095,10.21470108344313,-78220179047468.47,-11497102835586.932,55899267531893.85,-11497102835590.342,-6937303304723.176,-4839479220447.434,1993615354602.0305,-11497102835592.545,-1148083297625.3738,-11497102835592.771,323780932717.3217,-11497102835591.48,16366207906.173594,-11497102835587.863,3156929052.851581,-11497102835594.473,453734037.674928,-11497102835593.162,-9228398.690859511,-3639694.034130511,-175184828229978.06,-11497102835590.73,5855.9463176727295,-11497102835588.922,-22.0166015625,-11497102835592.242,0.140625,-11497102835593.531,0.0,-11497102835593.64,0.0,-11497102835592.717,0.0,-11497102835588.79,0.0,-11497102835591.531,0.0,-11497102835585.266,0.0,-11497102835589.855,0.0,-11497102835590.775,0.0,0.0,0.0,-11497102835592.79,0.0,-11497102835594.79,0.0,0.0,0.0,0.0,-175184828229978.94,-11497102835592.148,0.0,0.0,0.0,0.0,0.0,-11497102835595.0,0.0,0.0,0.0,-11497102835592.46,0.0,0.0,0.0,-11497102835591.633,0.0,-11497102835590.615,0.0,-11497102835591.28,0.0,-11497102835594.305,0.0,-11497102835592.148,0.0,0.0,0.0,-11497102835593.246
"Random Forest (100 estimators, 20 depth)",147,37,3.294953007247091,1.815200541881555,0.8906580429599426,20.82126202992324,4.5630321092364925,0.5010448865886271,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",147,37,4.770660378012986,2.184184144712388,0.841687167932868,20.28773444582343,4.504190764812635,0.5138301978656303,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",147,37,9.588170857122224,3.096477168835938,0.6818196303114773,21.415164243138463,4.627652130739568,0.4868127739662414,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),147,37,16.028400654479135,4.003548507821422,0.4681026734134969,25.02477325692127,5.002476712281754,0.4003130760970939,6.0,0.861419586282242,0.436086866430673,-1.2275165448076153,5.148880881239345,-0.0619956431631683,8.96641865562393,-2.708212849553039,2.71576067825702,0.0,3.929282918756258,0.0,0.7068340979515558,0.0,0.0,0.0,0.109621867678132,0.0,-0.9117213017450057,0.0,-0.228425710817147,0.0,2.342663986614648,0.0,-2.586563772782757,0.0,-1.4740229471262034,0.0,0.0,1.205865354201129,0.2405388930042956,0.0,2.672704549798762,0.0,-0.2929433616975566,0.0,-1.3281005288458645,0.0,-1.0347775077877197,0.0,-0.954924373027237,0.0,1.9758367646371144,0.0,0.1078874011278296,0.0,4.214102365633454,0.0,1.7066172643792332,0.0,0.6021128027675618,0.0,0.0,0.0,-0.7328643054446519,0.0,-1.3383076289720663,0.0,0.0,0.0,0.0,-1.2058653542011106,-0.3433424983994626,0.0,0.0,0.0,0.0,0.0,-2.6537538580102784,0.0,0.0,0.0,-1.2953953555778634,0.0,0.0,0.0,-0.2615166248002818,0.0,0.9121651822508672,0.0,-0.3920294358042189,0.0,-1.4435298010499091,0.0,-0.7666488889960542,0.0,0.0,0.0,-1.4815001937155767
Ridge (lambda=0.1),147,37,15.06318311588943,3.8811316797925617,0.5001331073549395,24.097093475033567,4.908879044653022,0.4225437444454391,6.0,0.1314344148946293,2.1328615838678804,-6.197411027814762,13.449610653912725,0.0341851363541398,9.44279096532164,-10.638849742828128,7.987380868113049,0.0,4.62751665044172,0.0,1.1313543897650675,0.0,0.0,0.0,-0.5958780352199954,0.0,-1.175849267759641,0.0,-0.0004880236511351,0.0,3.4591955659461378,0.0,-2.983778638464869,0.0,-1.5874516483399863,0.0,0.0,0.7952290462570704,0.7116087331864199,0.0,2.7240607127608745,0.0,-0.5739842558799056,0.0,-1.7618209395283368,0.0,-1.7258397072328924,0.0,-1.104874013116209,0.0,2.603482649795949,0.0,0.0311720580595167,0.0,5.963469448606246,0.0,1.7824884045117932,0.0,0.7252018343782711,0.0,0.0,0.0,-1.062326595441793,0.0,-2.6677338252971263,0.0,0.0,0.0,0.0,-0.7952290462567482,-0.4645750396334771,0.0,0.0,0.0,0.0,0.0,-3.2788817502160628,0.0,0.0,0.0,-1.0759987497390848,0.0,0.0,0.0,-0.094653224595333,0.0,0.9838664249281835,0.0,0.0923655789427363,0.0,-2.397729603085149,0.0,-0.6840259925953112,0.0,0.0,0.0,-1.599893141529522
Lasso (lambda=0.1),147,37,19.94234900601768,4.465685726293072,0.3382195547257169,25.85034886618092,5.084323835691519,0.3805292046316748,6.0,3.595048993462952,0.0,0.0,0.4975616559056585,-0.0,8.89099908549667,-0.0,0.0,0.0,1.3968954300540712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.1327696534533254,-0.0,0.0,1.1351768826535906,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0004872888491335,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),147,37,30.134388449257266,5.489479797690967,0.0,42.64976304917996,6.530678605564659,-0.0220474305826803,6.0,5.040816326530612,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",147,37,10.113213967086503,3.180127979671024,0.664396243377696,24.122833567296382,4.911500134103264,0.4219269158096074,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),147,37,15.299775742327132,3.911492776719284,0.4922818570521137,24.151524700361243,4.91442007772649,0.4212393692270945,6.0,-0.4542136564785579,0.0,-2.5167253752601053,11.800227596045987,-0.0,9.438101919691348,-10.01129488065208,6.185475955014709,0.0,4.88633268168589,0.0,1.3590833170703744,0.0,0.0,0.0,-0.0,0.0,-0.1600039439536061,0.0,0.2403827008713629,0.0,3.313395876089931,0.0,-2.370031689325114,0.0,-0.6665863486711182,0.0,0.0,1.5307347638382065,0.0,0.0,3.0664204787769367,0.0,-0.0,0.0,-1.1351367950667457,0.0,-0.7903947440026449,0.0,-0.185660937808391,0.0,2.7902428064552534,0.0,0.2902016087928072,0.0,5.908351842671578,0.0,2.1210511353075785,0.0,0.9899089028641056,0.0,0.0,0.0,-0.0,0.0,-1.5057144350036282,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5012770378432685,0.0,0.0,0.0,-0.2567527835358629,0.0,0.0,0.0,0.0,0.0,1.186384614763364,0.0,0.3529161927196643,0.0,-1.460885519018272,0.0,-0.0,0.0,0.0,0.0,-0.7752409487808934
