Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-26,23-320,MIL,,CHO,L (-11),0,21:25,3,9,.333,0,3,.000,2,2,1.000,0,6,6,5,0,0,0,2,8,7.4,0
2,2,2016-10-29,23-323,MIL,,BRK,W (+2),0,12:50,0,5,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,1,1,2,-1.6,-11
3,3,2016-10-30,23-324,MIL,@,DET,L (-15),0,17:03,3,7,.429,0,1,.000,0,1,.000,0,2,2,1,1,0,0,0,6,4.2,-9
4,4,2016-11-01,23-326,MIL,@,NOP,W (+4),0,23:44,6,10,.600,1,2,.500,1,1,1.000,1,1,2,4,4,0,3,1,14,13.8,+9
5,5,2016-11-03,23-328,MIL,,IND,W (+18),0,24:13,3,5,.600,2,3,.667,4,4,1.000,0,2,2,4,3,1,0,1,12,16.4,+17
6,6,2016-11-05,23-330,MIL,,SAC,W (+26),0,26:58,1,6,.167,0,2,.000,1,1,1.000,1,4,5,6,0,0,3,1,3,1.9,+3
7,7,2016-11-06,23-331,MIL,@,DAL,L (-11),0,19:51,2,7,.286,0,2,.000,3,4,.750,0,1,1,0,2,0,1,3,7,2.6,+10
8,8,2016-11-10,23-335,MIL,,NOP,L (-6),0,22:23,4,6,.667,0,0,,2,2,1.000,0,3,3,3,1,0,2,0,10,9.4,-1
9,9,2016-11-12,23-337,MIL,,MEM,W (+10),0,22:21,5,9,.556,2,3,.667,0,0,,1,0,1,3,0,0,2,2,12,7.7,0
10,10,2016-11-16,23-341,MIL,@,ATL,L (-7),0,21:08,2,6,.333,0,2,.000,0,0,,0,2,2,3,0,0,1,3,4,1.1,-4
11,11,2016-11-17,23-342,MIL,@,MIA,L (-23),0,16:31,0,7,.000,0,1,.000,0,0,,1,3,4,1,0,0,1,2,0,-4.4,-4
12,12,2016-11-19,23-344,MIL,,GSW,L (-3),0,14:22,2,6,.333,1,2,.500,0,0,,0,4,4,1,0,0,1,0,5,2.5,-3
13,13,2016-11-21,23-346,MIL,,ORL,W (+4),0,21:29,1,6,.167,0,3,.000,3,3,1.000,1,1,2,3,1,0,2,1,5,2.9,+6
14,14,2016-11-25,23-350,MIL,,TOR,L (-6),0,18:39,3,5,.600,2,2,1.000,0,0,,0,0,0,1,0,0,0,0,8,6.4,-1
15,15,2016-11-27,23-352,MIL,@,ORL,W (+8),0,20:18,5,10,.500,2,3,.667,0,0,,2,1,3,2,1,0,0,3,12,9.9,+2
16,16,2016-11-29,23-354,MIL,,CLE,W (+17),0,22:43,4,5,.800,2,2,1.000,0,0,,0,1,1,3,1,0,2,4,10,7.9,0
17,17,2016-12-01,23-356,MIL,@,BRK,W (+18),0,26:25,4,7,.571,3,4,.750,2,2,1.000,1,3,4,4,0,0,3,1,13,10.7,+13
18,18,2016-12-03,23-358,MIL,,BRK,W (+9),0,20:43,2,8,.250,0,2,.000,1,1,1.000,0,2,2,4,0,0,0,0,5,3.6,-4
19,19,2016-12-05,23-360,MIL,,SAS,L (-1),0,16:24,1,6,.167,0,2,.000,0,0,,0,0,0,5,0,0,0,1,2,1.3,-6
20,20,2016-12-07,23-362,MIL,,POR,W (+8),0,24:06,4,6,.667,3,3,1.000,2,2,1.000,0,1,1,3,2,1,1,4,13,12.9,+7
