model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,424,107,10.735346922985588,3.276483926862085,0.195799678718411,14.609734325033894,3.822268217306825,0.0222887053582355,4.196261682242991,6.655943991594269,0.6707357503255015,0.6707357503255071,-11.536521819912243,0.5942366053670414,1.958453989351959,4.22082319639098,-1.65099410225919,-3.552713678800501e-15,-0.7337475458021521,8.881784197001252e-16,-0.3799556139423723,4.218847493575595e-15,0.8840824260455449,-1.3322676295501878e-15,0.3554505658913545,-8.881784197001252e-16,0.9828014914868116,-8.881784197001252e-16,0.458150605421177,-8.881784197001252e-16,-4.440892098500626e-16,1.5256857642846304,-0.1403499200011109,-2.220446049250313e-16,0.0,0.0,0.6167870456678956,2.775557561562892e-17,5.551115123125783e-17,-1.1102230246251563e-16,0.0,-5.377642775528102e-17,1.4435484659195754,0.0,0.0,-2.697742906176458,0.2270883287044235,0.0,-0.0563806785615849,0.0,0.7401223591590722,0.0,-1.347386160604343,0.0,0.0592608986221845,0.0,-1.4658862594422994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4787399173663823,0.0,2.2044311465581807,0.0,0.0,0.0,-0.2563965265789349,0.0,0.3546935619663294,0.0,0.8872542693007311,0.0,0.0,0.0,0.0,0.0,-1.1103884352563445,0.0,0.0,0.0,-2.198425017609044,0.0,-0.6062003516519101,0.0,0.0,0.0,-0.4786495984190329,1.1720571418918426,1.2959488219578976,0.0,-1.6973668421856538,0.0,-0.517226954012799
"Random Forest (100 estimators, 20 depth)",424,107,1.9379998204135431,1.392120619922549,0.8548216383316665,17.52707606610222,4.186535090752521,-0.1729453698901353,4.196261682242991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",424,107,4.3610789070503895,2.088319637184497,0.6733052892147329,16.0980868750598,4.0122421256773375,-0.0773146868866008,4.196261682242991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",424,107,8.538709003810341,2.9221069459912554,0.360352993391242,15.566165190036436,3.945397976128192,-0.0417174728824361,4.196261682242991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),424,107,10.80307099023632,3.2868025481060346,0.1907263711641929,14.594987905697293,3.820338716095379,0.0232755638746299,4.196261682242991,5.9828517457794685,0.1800881671849175,0.1800881671849201,-4.969613171107374,0.5954427119035471,1.8372228046503072,-1.5547571422675035,0.1215979699410785,0.0,-0.6069249603957527,0.0,-0.359446638123465,0.0,0.8376365031352423,0.0,0.2650967920033835,0.0,0.8810687731244147,0.0,0.3274785803006159,0.0,0.0,1.0743458589116883,0.0212512422353536,0.0,0.0,0.0,0.5872505233585296,0.0,0.0,0.0,0.0,0.0,1.3659495345446209,0.0,0.0,-2.1977929515147663,0.1256275834798995,0.0,-0.0023376149699404,0.0,0.6474445684021056,0.0,-1.2170163150203197,0.0,0.0235935092771855,0.0,-1.34567665242363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5220040301732896,0.0,1.3606095161015357,0.0,0.0,0.0,-0.2815336993580793,0.0,0.3119306923123773,0.0,0.8944285692462314,0.0,0.0,0.0,0.0,0.0,-0.9333428052686128,0.0,0.0,0.0,-1.904525630870979,0.0,-0.5628836073100445,0.0,0.0,0.0,-0.3992434303404101,1.1234470926030462,1.2500818848356838,0.0,-1.373347150148852,0.0,-0.4351737983005338
Ridge (lambda=0.1),424,107,10.741593808834477,3.277437079309758,0.1953317154897679,14.632579727132583,3.825255511352488,0.0207598474635201,4.196261682242991,6.493474448785441,0.5033481940807325,0.5033481940806472,-9.395144242279253,0.5986858618964291,1.9481407363684344,2.148420921335109,-1.0340346993175171,0.0,-0.700121900216323,0.0,-0.3820587043267346,0.0,0.8736500886617983,0.0,0.3290827885703812,0.0,0.9648027810885412,0.0,0.4197286945571113,0.0,0.0,1.4404820309352042,-0.0930261860704324,0.0,0.0,0.0,0.6093108864156965,0.0,0.0,0.0,0.0,0.0,1.4238680918327342,0.0,0.0,-2.6005145969672507,0.1911200611108676,0.0,-0.0432958550918512,0.0,0.7168465036440422,0.0,-1.3294410469622018,0.0,0.0436996290658341,0.0,-1.4475359535121253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4959533999018856,0.0,2.0329842832392724,0.0,0.0,0.0,-0.2660240825061405,0.0,0.4243836176197926,0.0,0.8950247545761869,0.0,0.0,0.0,0.0,0.0,-1.070833000440483,0.0,0.0,0.0,-2.166204144626678,0.0,-0.6004775835255811,0.0,0.0,0.0,-0.4561292257284464,1.1600325660325856,1.2890708501148638,0.0,-1.6536490713594028,0.0,-0.5007296760343646
Lasso (lambda=0.1),424,107,12.137815042740458,3.483936716236456,0.0907387691283199,13.877550201284745,3.725258407316832,0.0712878638385022,4.196261682242991,4.526292584864818,0.0,0.0,-1.4835324568625714,0.1199528615102362,0.7090963587479303,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.9654476408782896,0.0,0.0,-0.0,0.0,-0.0
Lasso (lambda=1.0),424,107,13.349095541117835,3.6536414083921582,0.0,14.998175663255289,3.8727478181848207,-0.0037065300947498,4.196261682242991,4.431603773584905,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",424,107,8.517327799267655,2.9184461275253404,0.3619546902610283,15.392317908610352,3.9233044628999103,-0.0300832811297635,4.196261682242991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),424,107,10.865019952517397,3.2962129713532464,0.186085685052519,14.299801987564384,3.7815078986515926,0.0430299686952032,4.196261682242991,7.233305792830138,0.0719378893365216,0.0,-6.359818948083516,0.557054880581526,1.7469986172892655,-0.0,0.0,0.0,-0.4632139366237272,0.0,-0.2004468377246258,0.0,0.6217042885515828,0.0,0.0,0.0,0.7163114144699342,0.0,0.0186786530024817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534538319663896,0.0,0.0,0.0,0.0,0.0,1.2714432341201694,0.0,0.0,-3.2247158600537884,0.0,0.0,-0.0,0.0,0.4422564086250904,0.0,-0.9736248877065282,0.0,-0.0,0.0,-1.1696313708950108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189041326062428,0.0,0.0,0.0,0.0,0.0,-0.0909809134760275,0.0,0.0,0.0,0.7278825465143112,0.0,0.0,0.0,0.0,0.0,-0.7843627463463484,0.0,0.0,0.0,-1.4376302194388852,0.0,-0.3648413057828207,0.0,0.0,0.0,-0.1823058254774241,0.0,1.0764584973981182,0.0,-0.8968311489818375,0.0,-0.2842170440400719
