model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,309,78,25.99076137110639,5.098113511006438,0.4024103018515061,24.79554161658654,4.979512186608899,0.359185451970314,7.8076923076923075,-65608798039092.2,2.2509640495265626,3.0571230726524314,19.066971525596934,0.0382724244222139,6.774355544044557,-20.02276236641912,1.7128605989337284,72367684042311.19,-6758886003212.897,199138077008953.84,-6758886003216.392,28529944463140.78,-2750896906215.8696,-9033072110032.646,-6758886003213.532,1013843887999.5292,-6758886003211.33,1344041133106.94,-6758886003213.09,-139882588156.87637,-6758886003208.858,-90452570958.4558,-6758886003211.952,72367684042307.66,-6758886003209.964,72367684042308.16,-6758886003211.414,-16140788649.262983,-6758886003213.424,97180484.4903555,73312124.82246122,3989115.618536744,-6758886003211.109,-1442877.6932839751,-6758886003212.457,72367684042311.56,-6758886003213.8125,-401.5689811706543,-6758886003212.848,1.865234375,-6758886003214.383,0.0,-6758886003212.098,0.0,-6758886003212.434,0.0,-6758886003212.4,0.0,-6758886003212.227,0.0,-6758886003213.801,0.0,0.0,0.0,-6758886003215.65,0.0,0.0,0.0,-6758886003211.055,0.0,-6758886003214.188,0.0,-6758886003214.629,0.0,-6758886003212.684,0.0,0.0,72367684042306.97,0.0,0.0,-6758886003215.85,0.0,-6758886003210.961,0.0,-6758886003211.582,0.0,-6758886003210.594,0.0,0.0,0.0,-6758886003212.016,0.0,-6758886003213.797,0.0,0.0,0.0,-6758886003212.188
"Random Forest (100 estimators, 20 depth)",309,78,4.606195970993116,2.1462050160674577,0.8940925500174599,24.1172837732072,4.9109351220727,0.3767143085717755,7.8076923076923075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",309,78,7.622979432325763,2.760974362851956,0.8247294908790196,23.255634230834684,4.82240958762678,0.3989827296691424,7.8076923076923075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",309,78,17.19809010524893,4.147058006014496,0.6045748207225832,23.140501970664207,4.810457563544679,0.401958201163398,7.8076923076923075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),309,78,26.349651459111907,5.1331911574684135,0.3941585613081096,25.23622341935469,5.02356680251738,0.3477964968657044,7.8076923076923075,5.9901374600131385,1.5866669832051612,2.985927069477224,1.924100622274699,0.0194847297239182,6.520480939607573,-4.316774895185066,0.1869350973097727,0.6550605992816108,-0.4473855038896076,0.0,-3.60165273364688,0.0,0.0,0.0,-0.9127109180898748,0.0,1.3656798034910158,0.0,-0.33672902698671,0.0,3.482953203043847,0.0,0.5799085372547089,-2.119665857305585,2.5639206701089186,-0.3198747349678595,1.1284833012092372,0.0,-0.6461181706895724,0.0,0.0,0.0,1.5781479707523365,0.0,0.1706922262072336,2.695850677032582,-1.0813712067838075,0.0,-0.147073093783168,0.0,-1.537910069876798,0.0,0.5752745333358182,0.0,0.2269771080754964,0.0,0.0739405850519465,0.0,0.2704314384497355,0.0,-0.6258239909853427,0.0,0.0,0.0,-2.6860567246826577,0.0,0.0,0.0,0.7622264073257717,0.0,-1.302381644694391,0.0,-1.933668471632741,0.0,0.1187665596419174,0.0,0.0,-0.9113706840402908,0.0,0.0,-2.5434643874663,0.0,1.4084229983199417,0.0,1.1178477616609022,0.0,1.9991146798305253,0.0,0.0,0.0,0.7414630139216143,0.0,-1.0259297912493668,0.0,0.0,0.0,0.6640249367764297
Ridge (lambda=0.1),309,78,26.0428424964138,5.103218836814055,0.4012128323542762,25.07755677803275,5.007749672061569,0.3518970683965998,7.8076923076923075,5.275019946534028,2.0354545586651525,3.2946512707726234,11.584333280963962,-0.0158390716391951,6.711221712313736,-13.746876279547278,0.8995217230024568,1.1953421704126723,-0.3728949746992142,0.0,-3.786236914254738,0.0,0.0,0.0,-0.8920503515708783,0.0,1.3744001780450232,0.0,-0.3661597509335612,0.0,3.84397834463829,0.0,0.679485911073096,-1.8746726853031728,2.784156902294236,-0.4851509782815846,1.2667812840325292,0.0,-0.7144553093649408,0.0,0.0,0.0,1.6135491402395146,0.0,0.195279772868353,2.589202562779359,-1.1987254154606275,0.0,-0.1659924134364298,0.0,-1.680213120638241,0.0,0.6179051996112485,0.0,0.2430396253763709,0.0,0.1907347333071704,0.0,0.3686800053854452,0.0,-1.1151885197509188,0.0,0.0,0.0,-2.9263840928925875,0.0,0.0,0.0,1.2896934910918123,0.0,-1.4411287204647936,0.0,-2.0907574659642387,0.0,0.0476821542337703,0.0,0.0,-1.4247210696063566,0.0,0.0,-3.0119670490621413,0.0,1.741584294585695,0.0,1.134252718113685,0.0,2.136398951747244,0.0,0.0,0.0,0.7473047022787471,0.0,-1.0947211385388094,0.0,0.0,0.0,0.5819678281100826
Lasso (lambda=0.1),309,78,29.17784270806249,5.401651849949466,0.3291316876958018,22.86820907937594,4.782071630514953,0.4089953229476571,7.8076923076923075,4.861005347564444,0.0,2.4788571982966414,-0.0,0.0,5.96324467995066,-0.0,0.0,1.8204216851633328,-0.0,0.0,-0.8331247260790399,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.396658520130259,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2344235281297333,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8546300506975559,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),309,78,38.57769845802398,6.211094787396501,0.1130065469177595,32.865822279703735,5.732872079481953,0.150617583779496,7.8076923076923075,7.94642857142857,0.0,0.0,-0.0,0.0,2.041806722689078,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",309,78,16.932656841533184,4.114930964370263,0.610677765598942,22.36618689259191,4.729290315955652,0.421969555400385,7.8076923076923075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),309,78,26.45106932906161,5.143060307741065,0.3918267221817083,24.834475176179023,4.983420028070986,0.3581792553007983,7.8076923076923075,6.966150635474609,0.512945923756892,4.341007827615808,0.4213972088396939,0.0,6.428421621934987,-4.312837963587962,0.0,0.0,-0.3804297529819881,0.0,-3.764162196954139,0.0,0.0,0.0,-0.8541529417654884,0.0,1.1047452053213536,0.0,-0.1703377440354828,0.0,3.426273149866467,0.0,0.2453739000572066,-2.417204745897052,2.372302959181701,0.0,0.7458770100685146,0.0,-0.6034599419091827,0.0,0.0,0.0,1.3683757254618651,0.0,0.0,2.8028488235916447,-0.8138562970609766,0.0,-0.0440502747426268,0.0,-1.51770770814518,0.0,0.1765135466375708,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.7588904603657385,0.0,0.0,0.0,0.0,0.0,-1.2381716292644829,0.0,-1.4794824963241406,0.0,0.0,0.0,0.0,-0.0991190686612225,0.0,0.0,-2.546737277381116,0.0,0.7168586568354576,0.0,0.8542020613916176,0.0,1.7750268901238548,0.0,0.0,0.0,0.3171619008544054,0.0,-0.9576496072962732,0.0,0.0,0.0,0.4017873248747765
