Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2003-10-29,21-344,BOS,,MIA,W (+23),0,20:34,1,9,.111,0,2,.000,2,2,1.000,1,1,2,4,0,0,1,2,4,0.1,+7
2,2,2003-10-31,21-346,BOS,@,MEM,W (+2),0,14:54,1,5,.200,0,1,.000,1,4,.250,1,3,4,2,2,0,0,2,3,2.9,-2
3,3,2003-11-01,21-347,BOS,@,NOH,L (-7),0,9:31,1,1,1.000,0,0,,0,0,,0,1,1,0,1,1,2,0,2,1.7,-6
4,4,2003-11-05,21-351,BOS,@,DET,L (-8),0,12:57,2,3,.667,1,1,1.000,6,7,.857,0,0,0,0,0,0,1,3,11,7.1,-4
5,5,2003-11-07,21-353,BOS,,NJN,L (-7),0,28:26,4,9,.444,0,0,,3,4,.750,1,0,1,3,1,1,0,3,11,9.2,-11
6,6,2003-11-09,21-355,BOS,,SAC,W (+9),0,19:12,3,5,.600,1,2,.500,0,0,,0,0,0,3,1,0,4,3,7,2.6,0
7,7,2003-11-11,21-357,BOS,@,IND,W (+2),0,13:02,0,4,.000,0,1,.000,0,0,,0,1,1,1,2,0,0,1,0,-0.2,-4
8,8,2003-11-12,21-358,BOS,,CHI,L (-7),0,15:05,0,4,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,1,0,-1.2,-2
9,9,2003-11-14,21-360,BOS,,CLE,W (+9),0,4:31,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,0,0,1,1,1,5,4.3,+3
10,10,2003-11-17,21-363,BOS,@,NYK,L (-3),0,20:09,2,5,.400,0,0,,0,0,,0,2,2,6,1,1,0,1,4,7.4,+9
11,11,2003-11-19,22-000,BOS,,NOH,L (-8),0,22:40,2,8,.250,0,2,.000,1,4,.250,1,3,4,2,1,0,2,3,5,-0.2,-3
12,12,2003-11-21,22-002,BOS,@,PHI,L (-2),0,16:24,1,3,.333,0,1,.000,1,2,.500,1,1,2,1,2,0,3,5,3,-0.4,-4
13,13,2003-11-24,22-005,BOS,,NYK,L (-6),0,20:45,2,9,.222,0,3,.000,0,0,,1,0,1,1,0,1,1,1,4,-0.8,-9
14,14,2003-11-26,22-007,BOS,@,ORL,W (+2),0,17:21,2,4,.500,0,2,.000,0,0,,0,2,2,3,2,1,6,1,4,1.0,0
15,15,2003-11-28,22-009,BOS,,MIL,W (+10),0,20:54,4,8,.500,1,2,.500,2,2,1.000,0,4,4,4,1,0,3,1,11,8.6,-9
16,16,2003-11-29,22-010,BOS,@,MIL,L (-6),0,16:43,2,7,.286,0,1,.000,0,0,,0,2,2,4,0,0,1,1,4,1.9,+3
17,17,2003-12-01,22-012,BOS,,MEM,L (-7),0,17:22,2,10,.200,0,1,.000,0,2,.000,2,1,3,2,1,0,0,1,4,0.7,-15
18,18,2003-12-03,22-014,BOS,@,TOR,L (-10),0,17:57,5,6,.833,0,0,,1,1,1.000,0,3,3,3,0,0,3,1,11,8.4,+4
19,19,2003-12-05,22-016,BOS,,PHO,L (-4),0,14:14,1,5,.200,0,0,,0,0,,0,2,2,3,2,0,3,4,2,-1.0,-4
20,20,2003-12-07,22-018,BOS,@,DEN,W (+5),0,14:50,2,6,.333,0,0,,0,0,,0,3,3,1,0,0,2,1,4,-0.2,+2
22,21,2003-12-10,22-021,BOS,,SEA,W (+14),0,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,1,0,-3.4,-14
23,22,2003-12-12,22-023,BOS,,TOR,W (+3),0,4:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
24,23,2003-12-13,22-024,BOS,@,CLE,W (+7),0,3:46,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,2,0,1.2,-1
25,24,2003-12-15,22-026,BOS,,MIN,L (-21),0,21:19,1,7,.143,1,3,.333,2,2,1.000,0,1,1,2,3,0,2,3,5,2.0,-2
26,25,2003-12-17,22-028,BOS,,DAL,W (+2),0,5:48,1,5,.200,0,0,,0,0,,0,1,1,0,1,0,0,0,2,0.2,0
27,26,2003-12-19,22-030,BOS,,UTA,L (-3),0,20:51,5,9,.556,0,0,,2,4,.500,2,2,4,2,2,1,3,3,12,8.8,+11
