,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1987-11-06,24-356,BOS,,MIL,W (+17),0,9:00,2,2,1.0,0,0,,0,0,,1,2,3,3,0,0,1,1,4,5.4,
1,2,2,1987-11-07,24-357,BOS,@,WSB,W (+1),0,9:00,0,0,,0,0,,2,4,0.5,0,2,2,0,0,0,1,1,2,0.4,
2,3,3,1987-11-09,24-359,BOS,@,NYK,W (+9),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,4,4,1987-11-11,24-361,BOS,,IND,W (+14),0,11:00,1,2,0.5,0,0,,0,0,,1,0,1,1,0,0,0,0,2,2.4,
4,5,5,1987-11-13,24-363,BOS,,CLE,W (+14),0,15:00,4,8,0.5,0,0,,0,0,,3,1,4,3,0,1,0,4,8,7.6,
5,6,6,1987-11-15,25-000,BOS,@,IND,W (+5),0,24:00,3,3,1.0,0,0,,1,1,1.0,1,2,3,0,0,0,1,4,7,4.8,
6,7,7,1987-11-17,25-002,BOS,@,CLE,L (-21),0,21:00,2,9,0.222,0,0,,0,0,,2,6,8,2,0,0,2,5,4,-0.9,
7,8,8,1987-11-18,25-003,BOS,,NYK,W (+2),0,34:00,0,3,0.0,0,0,,0,0,,2,10,12,0,1,2,0,6,0,2.3,
8,9,9,1987-11-20,25-005,BOS,@,PHI,L (-31),0,38:00,4,7,0.571,0,0,,6,10,0.6,3,7,10,2,0,0,4,5,14,8.7,
9,10,10,1987-11-21,25-006,BOS,@,NJN,W (+10),0,20:00,2,3,0.667,0,0,,2,4,0.5,2,2,4,0,0,0,1,4,6,3.3,
10,11,11,1987-11-23,25-008,BOS,,CHI,L (-5),0,22:00,1,1,1.0,0,0,,0,2,0.0,1,2,3,2,0,2,2,5,2,1.0,
11,12,12,1987-11-25,25-010,BOS,,ATL,W (+15),0,11:00,1,1,1.0,0,0,,1,2,0.5,0,2,2,0,2,0,0,2,3,4.1,
12,13,13,1987-11-27,25-012,BOS,,SEA,W (+5),0,9:00,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,3,4,3.2,
13,14,14,1987-11-28,25-013,BOS,@,MIL,L (-15),0,17:00,0,3,0.0,0,0,,1,2,0.5,2,3,5,0,1,0,2,1,1,-0.6,
14,15,15,1987-12-04,25-019,BOS,@,DET,L (-23),0,7:00,1,1,1.0,0,0,,0,2,0.0,2,1,3,0,0,0,2,3,2,-0.6,
15,16,16,1987-12-09,25-024,BOS,,DEN,L (-5),0,3:00,0,1,0.0,0,0,,0,2,0.0,0,1,1,0,0,0,0,0,0,-1.2,
16,17,17,1987-12-11,25-026,BOS,,LAL,L (-1),0,6:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,5,0,-2.4,
17,18,18,1987-12-15,25-030,BOS,@,WSB,W (+20),0,30:00,4,7,0.571,0,0,,0,1,0.0,4,2,6,3,1,0,4,4,8,5.2,
18,19,19,1987-12-16,25-031,BOS,,UTA,W (+10),0,7:00,1,2,0.5,0,0,,0,0,,2,0,2,0,0,0,3,2,2,-1.4,
19,20,20,1987-12-20,25-035,BOS,,PHI,W (+37),0,26:00,7,9,0.778,0,0,,5,6,0.833,2,5,7,4,0,2,1,4,19,19.6,
20,21,21,1987-12-22,25-037,BOS,@,PHI,W (+3),0,16:00,2,4,0.5,0,0,,6,7,0.857,2,1,3,0,2,0,0,3,10,10.1,
21,22,22,1987-12-26,25-041,BOS,@,LAC,W (+9),0,11:00,1,2,0.5,0,0,,1,2,0.5,1,3,4,2,0,2,2,3,3,2.8,
22,23,23,1987-12-27,25-042,BOS,@,SAC,W (+12),0,9:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,2,3,2,-1.5,
23,24,24,1987-12-30,25-045,BOS,@,SEA,L (-6),0,12:00,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,0,0,0.7,
24,25,25,1988-01-02,25-048,BOS,@,GSW,W (+5),0,7:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
25,26,26,1988-01-04,25-050,BOS,@,UTA,W (+8),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
26,27,27,1988-01-06,25-052,BOS,,NYK,W (+9),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
27,28,28,1988-01-08,25-054,BOS,,WSB,W (+16),0,9:00,2,3,0.667,0,0,,2,2,1.0,1,0,1,1,0,0,0,3,6,4.9,
28,29,29,1988-01-09,25-055,BOS,@,NYK,L (-8),0,8:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,
29,30,30,1988-01-12,25-058,BOS,@,CHI,W (+7),0,7:00,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,1,0,1.0,
30,31,31,1988-01-13,25-059,BOS,,DET,W (+38),0,14:00,3,6,0.5,0,0,,0,1,0.0,3,3,6,1,0,0,1,3,6,4.1,
31,32,32,1988-01-15,25-061,BOS,,SAC,W (+36),0,30:00,2,2,1.0,0,0,,0,0,,0,4,4,1,1,1,0,3,4,5.8,
32,33,33,1988-01-16,25-062,BOS,@,NJN,W (+7),0,9:00,0,1,0.0,0,0,,0,0,,1,2,3,1,0,0,0,2,0,0.5,
33,34,34,1988-01-18,25-064,BOS,,GSW,W (+20),0,18:00,3,5,0.6,0,0,,2,2,1.0,1,2,3,0,1,0,0,0,8,8.0,
34,35,35,1988-01-20,25-066,BOS,,PHO,W (+16),0,15:00,5,8,0.625,0,0,,3,4,0.75,3,0,3,0,0,2,0,1,13,12.1,
35,36,36,1988-01-22,25-068,BOS,,ATL,W (+18),0,11:00,1,2,0.5,0,0,,0,0,,1,3,4,0,0,0,0,0,2,2.6,
36,37,37,1988-01-23,25-069,BOS,@,CLE,L (-19),0,7:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.2,
37,38,38,1988-01-26,25-072,BOS,@,ATL,W (+5),0,2:00,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,
38,39,39,1988-01-27,25-073,BOS,,WSB,W (+6),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.1,
39,40,40,1988-01-29,25-075,BOS,@,DET,L (-17),0,8:00,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,2,2,1.6,
40,41,41,1988-01-31,25-077,BOS,,PHI,W (+15),0,8:00,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,1,1,2,0.6,
41,42,42,1988-02-03,25-080,BOS,,IND,W (+15),0,19:00,2,3,0.667,0,0,,0,0,,3,2,5,0,0,1,1,3,4,3.9,
42,43,43,1988-02-04,25-081,BOS,@,MIL,L (-10),0,11:00,1,2,0.5,0,0,,1,1,1.0,0,4,4,0,0,1,0,3,3,2.7,
43,44,44,1988-02-09,25-086,BOS,@,HOU,L (-9),0,16:00,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,0,3,0,-1.6,
