model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,91,23,4.713772955967843,2.1711225105847536,0.6486141271031101,11.8280191634689,3.439188736238373,0.3032269334660302,2.739130434782609,7.00625045365811,9.8930466690785,-16.19214561960496,-16.21676992812818,0.6189441046685698,8.432322558563857,3.717249576132151,5.753906878105907,-2.6645352591003763e-14,-2.386587252510802,-1.2434497875801752e-14,-1.952581688142054,-2.6645352591003763e-14,8.270752756938407,-9.547918011776346e-15,-0.9185260203378548,-1.1102230246251563e-15,0.2092885610741497,-8.881784197001252e-16,0.6430294149797675,-1.7763568394002505e-15,3.108624468950439e-15,0.0,2.8635573874784384,8.881784197001252e-16,-1.2484551742631096,2.2454934405588074,2.204380238535916,-4.440892098500626e-16,-0.9272140691504356,8.326672684688674e-17,0.0,-2.220446049250313e-16,0.0340095023777644,0.0,-1.1581757560186303,-8.156182278075272,-4.725532118860305,0.0,-0.0624528258097889,0.0,-0.1247504311436898,0.0,-0.0879557469695899,0.8405053256075399,1.0481526743685396,0.0,5.788305145695034,0.0,-0.4858554705755485,0.0,-2.470476698073784,0.0,0.0,0.0,3.638716904520374,0.0,0.0,0.0,0.0,0.0,3.5982855698404768,0.0,-1.8315718447318567,0.0,-2.558603254182842,0.0,0.0,0.0,0.0,0.0,-1.268956584669555,0.0,0.0,0.0,-3.570107730823721,5.070183511908979,-1.78582826464698,0.0,0.0,0.0,1.4518194988299369,0.0,-3.321367846076912,0.0,0.0,0.0,1.134701122348628
"Random Forest (100 estimators, 20 depth)",91,23,1.6343833259187528,1.2784300238647217,0.8781657035689436,6.9482954876584095,2.6359619662769056,0.5906850430989645,2.739130434782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",91,23,2.164059675115997,1.4710743268495976,0.8386812421716515,7.9940623611604575,2.827377293740695,0.5290802907512382,2.739130434782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",91,23,4.47454657841156,2.1153124068117126,0.6664471390624898,8.35992610145933,2.891353679759592,0.5075277385665942,2.739130434782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),91,23,6.109931971975587,2.4718276582269216,0.5445381439945823,11.530471604255457,3.395654812294008,0.3207550691925239,2.739130434782609,3.088262562057879,-0.8411587346880794,-1.809652638787439,-2.0255219053748834,0.3284459594032736,5.994721825062033,0.0385017600030065,2.775428918715943,0.0,-0.908781276983472,0.0,-0.9400709636172456,0.0,4.505710930099856,0.0,-0.3886855135811652,0.0,0.898939155604795,0.0,0.6151814224399029,0.0,0.0,0.0,1.1057009557683526,0.0,-1.0163069677317085,0.2949932621620504,1.3672031531808078,0.0,-0.1222686842251047,0.0,0.0,0.0,-0.7441419244844732,0.0,0.0961205918712368,-1.204379876145241,-2.925762295253836,0.0,-0.3010501307614747,0.0,0.5638274984107302,0.0,-0.7631811720166691,1.1445597718925062,0.938733704531148,0.0,3.495557301682397,0.0,-0.1244390763319042,0.0,-0.9252926899766442,0.0,0.0,0.0,2.0172588848065467,0.0,0.0,0.0,0.0,0.0,1.9023934440608827,0.0,-1.403694072541483,0.0,-1.7287451038985704,0.0,0.0,0.0,0.0,0.0,-0.7005302311828154,0.0,0.0,0.0,-2.322164444289928,-0.2351731579092621,-0.5740032651035595,0.0,0.0,0.0,0.6376607956704545,0.0,-2.046148489001019,0.0,0.0,0.0,-0.2090215371460417
Ridge (lambda=0.1),91,23,4.856657335802173,2.2037825064652306,0.6379628816993933,11.470053600319511,3.3867467576303243,0.3243142144132492,2.739130434782609,3.564941654581036,-1.5294364057155978,-6.300061379196754,-7.217292167073282,0.5702276474772652,8.090925331616807,0.9582511891076664,8.326725361822517,0.0,-2.055696972615588,0.0,-1.662422077106107,0.0,7.603698353684384,0.0,-0.8306029402428217,0.0,0.5336701052512254,0.0,0.6471253078481198,0.0,0.0,0.0,2.3549286785583634,0.0,-1.1201973662179858,-0.5650085607044215,2.301529050770556,0.0,-0.4360144661397677,0.0,0.0,0.0,-0.2583862711438642,0.0,-1.1346592636236643,-3.626859449866539,-4.266858849871848,0.0,-0.3125621053537444,0.0,0.1653603067612333,0.0,-0.5124293456201511,1.86173904608074,0.8335757329648393,0.0,5.377841201423499,0.0,-0.2858938295807001,0.0,-2.3008168006251672,0.0,0.0,0.0,3.365877968257984,0.0,0.0,0.0,0.0,0.0,3.291501412078177,0.0,-1.728408061999339,0.0,-2.2037689532379687,0.0,0.0,0.0,0.0,0.0,-1.0384542836240125,0.0,0.0,0.0,-3.453051290982282,2.330128964490803,-1.4090905130655955,0.0,0.0,0.0,1.2561671221091784,0.0,-3.194599867633312,0.0,0.0,0.0,0.4726380189762184
Lasso (lambda=0.1),91,23,9.697686587140462,3.114110882280922,0.2770907512232629,11.005236841245631,3.317414179936782,0.351695958906577,2.739130434782609,3.1344198101381995,0.0,0.0,-0.0,0.0,5.136137029494923,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.3156195202208183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.362583369143264,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0063321602355794,0.0,0.0,0.8322521830490052,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.7899753656937554,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),91,23,13.414804975244534,3.6626226908111263,0.0,17.54601681166421,4.188796582750732,-0.0336127943619559,2.739130434782609,3.4945054945054945,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",91,23,4.455311885616057,2.110760973112791,0.6678809797207028,7.246263206284724,2.691888408958426,0.5731321563335614,2.739130434782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),91,23,5.094375639435235,2.2570723602568075,0.6202422883645111,10.78549762683131,3.2841281380042573,0.3646405072835453,2.739130434782609,3.586587060907675,-0.0,-6.533114630010851,-5.070436362192943,0.3865716068438333,7.628347538867486,0.0,6.667086066802083,0.0,-0.7723848131993969,0.0,-0.828641974116653,0.0,7.73149388995378,0.0,-0.0,0.0,0.4254369188319642,0.0,1.0339806468637582,0.0,0.0,0.0,2.3670548848334243,0.0,-0.2692858750299305,-0.7330031833084348,2.3198611742728388,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.1017439441713368,-3.6447601752618826,-3.5171569414239263,0.0,0.0,0.0,0.6042325008991645,0.0,-0.0,1.2366637957334974,0.9960101181821478,0.0,5.52016961213709,0.0,0.0,0.0,-1.1979221530854582,0.0,0.0,0.0,3.3421265811912924,0.0,0.0,0.0,0.0,0.0,3.3904949745524786,0.0,-1.0293398284765656,0.0,-1.5103093378874513,0.0,0.0,0.0,0.0,0.0,-0.2393260663420754,0.0,0.0,0.0,-2.660637808704632,0.9726801047973632,-0.4816177469117523,0.0,0.0,0.0,1.3719665921813369,0.0,-2.32374471039061,0.0,0.0,0.0,0.3237723034742739
