Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2000-10-31,9037,LAL,A,POR,W (+10),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2,2,2000-11-01,9038,LAL,H,UTA,L (-5),0,3:26,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-2
3,3,2000-11-04,9041,LAL,A,VAN,W (+9),0,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
6,4,2000-11-08,9045,LAL,A,SAS,L (-10),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
7,5,2000-11-12,9049,LAL,H,HOU,W (+6),0,4:17,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-0.8,+1
8,6,2000-11-14,9051,LAL,H,DEN,W (+16),0,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0
10,7,2000-11-18,9055,LAL,A,DEN,L (-1),0,11:23,2,8,.250,0,0,,0,0,,4,2,6,0,0,0,0,2,4,1.8,+3
11,8,2000-11-19,9056,LAL,H,CHI,W (+8),0,6:28,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,0.6,+1
12,9,2000-11-22,9059,LAL,H,GSW,W (+20),0,8:43,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,4,2,-0.2,-5
13,10,2000-11-24,9061,LAL,H,MIN,W (+7),0,4:08,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,-7
14,11,2000-11-27,9064,LAL,A,LAC,W (+15),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
15,12,2000-11-28,9065,LAL,H,IND,W (+17),0,4:57,0,3,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-1.8,-11
16,13,2000-11-30,9067,LAL,A,SEA,L (-33),0,4:53,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,0,0,-0.4,-10
17,14,2000-12-01,9068,LAL,H,SAS,W (+9),0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
19,15,2000-12-05,9072,LAL,H,PHI,W (+11),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
20,16,2000-12-06,9073,LAL,A,GSW,L (-3),0,11:51,2,3,.667,0,0,,0,0,,2,1,3,1,0,0,0,2,4,4.3,-1
22,17,2000-12-10,9077,LAL,H,DET,W (+24),0,9:58,1,1,1.000,0,0,,0,0,,1,3,4,1,0,0,1,2,2,2.2,+4
23,18,2000-12-12,9079,LAL,H,MIL,L (-4),0,6:13,1,1,1.000,0,0,,1,2,.500,2,1,3,1,0,0,1,1,3,3.3,+1
25,19,2000-12-15,9082,LAL,H,VAN,W (+22),0,14:23,4,9,.444,1,1,1.000,0,0,,4,3,7,1,0,0,0,2,9,7.9,+3
