,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,1,2008-10-31,21-088,PHI,,NYK,W (+29),0,5:51,3,4,0.75,0,0,,0,0,,1,2,3,0,0,0,1,1,6,4.3,-1
1,4,2,2008-11-03,21-091,PHI,,SAC,W (+34),0,22:29,2,8,0.25,0,0,,0,0,,1,1,2,2,2,3,0,0,4,5.7,20
2,5,3,2008-11-05,21-093,PHI,@,MIA,L (-23),0,16:54,3,6,0.5,0,0,,0,0,,5,5,10,1,0,0,3,3,6,4.5,-10
3,6,4,2008-11-06,21-094,PHI,@,ORL,L (-10),0,4:38,1,1,1.0,0,0,,0,0,,1,0,1,1,0,1,0,1,2,3.4,-2
4,7,5,2008-11-11,21-099,PHI,,UTA,L (-13),0,10:25,1,3,0.333,0,0,,2,2,1.0,0,0,0,0,0,1,0,2,4,2.2,-20
5,8,6,2008-11-12,21-100,PHI,@,TOR,W (+10),0,20:00,5,9,0.556,0,0,,2,2,1.0,4,3,7,1,0,1,0,5,12,10.8,-2
6,9,7,2008-11-14,21-102,PHI,@,IND,W (+2),0,1:20,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-2
7,10,8,2008-11-15,21-103,PHI,,OKC,W (+25),0,16:43,4,8,0.5,0,0,,1,3,0.333,4,4,8,0,0,0,2,2,9,5.4,6
8,11,9,2008-11-19,21-107,PHI,@,MIN,L (-6),0,11:43,3,6,0.5,0,0,,2,2,1.0,0,0,0,1,2,1,0,4,8,6.8,1
9,12,10,2008-11-21,21-109,PHI,,LAC,W (+1),0,15:28,4,8,0.5,0,0,,0,0,,5,1,6,1,0,1,2,3,8,6.0,-10
10,13,11,2008-11-23,21-111,PHI,,GSW,W (+8),0,12:26,2,6,0.333,0,1,0.0,0,0,,1,2,3,0,1,1,0,0,4,3.6,-3
11,14,12,2008-11-24,21-112,PHI,@,CHA,L (-9),0,7:46,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,0,1,2,2.3,4
