Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-12-26,22-334,NJN,@,WAS,W (+6),0,8:08,3,7,0.429,0,1,0.0,0,0,,2,0,2,0,0,0,0,3,6,2.5,-17
2,2,2011-12-27,22-335,NJN,,ATL,L (-36),0,27:44,5,12,0.417,0,4,0.0,7,8,0.875,2,1,3,1,1,1,0,0,17,14.3,-15
3,3,2011-12-29,22-337,NJN,@,ORL,L (-16),0,20:40,7,15,0.467,2,2,1.0,1,2,0.5,2,0,2,3,1,0,1,1,17,12.0,8
4,4,2011-12-30,22-338,NJN,@,ATL,L (-7),0,28:33,8,13,0.615,1,2,0.5,4,4,1.0,3,2,5,1,0,1,3,4,21,14.6,-2
5,5,2012-01-01,22-340,NJN,@,CLE,L (-16),0,11:44,0,3,0.0,0,1,0.0,0,0,,2,1,3,0,0,0,0,0,0,-0.4,-8
6,6,2012-01-02,22-341,NJN,,IND,L (-14),0,31:56,8,17,0.471,2,5,0.4,3,4,0.75,4,3,7,0,2,0,1,2,21,15.8,-14
7,7,2012-01-04,22-343,NJN,@,BOS,L (-19),1,34:29,7,16,0.438,1,3,0.333,2,4,0.5,1,1,2,0,2,0,1,2,17,9.0,-16
9,8,2012-01-07,22-346,NJN,,MIA,L (-11),0,24:02,3,7,0.429,2,3,0.667,4,5,0.8,0,2,2,0,3,0,2,1,12,9.1,-1
10,9,2012-01-09,22-348,NJN,,ATL,L (-5),1,40:51,7,14,0.5,3,6,0.5,2,2,1.0,3,7,10,2,0,0,1,4,19,15.0,-8
11,10,2012-01-11,22-350,NJN,@,DEN,L (-8),1,30:16,4,11,0.364,1,4,0.25,1,2,0.5,1,1,2,3,0,0,4,2,10,1.8,-7
12,11,2012-01-13,22-352,NJN,@,PHO,W (+7),1,35:41,8,15,0.533,2,4,0.5,2,3,0.667,1,4,5,1,3,1,2,3,20,15.4,5
13,12,2012-01-14,22-353,NJN,@,UTA,L (-13),1,29:09,3,6,0.5,1,3,0.333,4,6,0.667,0,3,3,3,2,0,2,4,11,8.6,-2
14,13,2012-01-16,22-355,NJN,@,LAC,L (-10),1,41:52,7,14,0.5,2,5,0.4,3,4,0.75,0,8,8,3,1,1,1,2,19,16.0,4
15,14,2012-01-18,22-357,NJN,,GSW,W (+7),1,40:47,8,15,0.533,2,4,0.5,4,4,1.0,3,5,8,6,0,0,1,3,22,20.3,5
16,15,2012-01-21,22-360,NJN,,OKC,L (-10),1,34:19,6,17,0.353,0,4,0.0,2,3,0.667,3,2,5,1,2,1,2,4,14,6.6,-15
17,16,2012-01-22,22-361,NJN,,CHA,W (+10),1,36:26,9,17,0.529,0,1,0.0,2,2,1.0,2,4,6,1,0,1,0,3,20,14.5,0
21,17,2012-01-29,23-003,NJN,,TOR,L (-21),0,21:57,3,10,0.3,0,2,0.0,0,0,,1,0,1,2,1,0,2,3,6,0.1,-10
28,18,2012-02-10,23-015,NJN,@,DET,L (-17),0,17:17,2,7,0.286,1,1,1.0,2,3,0.667,2,0,2,1,2,1,2,0,7,5.3,-9
29,19,2012-02-11,23-016,NJN,,SAS,L (-14),1,23:33,2,10,0.2,1,3,0.333,2,3,0.667,1,4,5,2,0,0,6,2,7,-3.1,-19
30,20,2012-02-15,23-020,NJN,,MEM,L (-5),1,29:52,5,9,0.556,2,3,0.667,0,0,,2,1,3,3,2,1,6,2,12,7.4,-12
31,21,2012-02-16,23-021,NJN,@,IND,L (-5),1,36:23,6,16,0.375,1,6,0.167,1,1,1.0,1,4,5,4,0,0,4,4,14,4.3,2
32,22,2012-02-18,23-023,NJN,@,CHI,W (+12),1,41:38,7,19,0.368,2,6,0.333,3,4,0.75,2,3,5,3,1,1,1,4,19,11.6,17
33,23,2012-02-19,23-024,NJN,,MIL,L (-7),1,35:58,3,14,0.214,0,5,0.0,6,8,0.75,1,4,5,4,1,0,1,4,12,5.7,-5
34,24,2012-02-20,23-025,NJN,@,NYK,W (+8),1,37:57,7,15,0.467,2,5,0.4,2,2,1.0,0,3,3,4,1,0,3,3,18,10.8,7
35,25,2012-02-22,23-027,NJN,,ORL,L (-17),1,39:55,10,15,0.667,4,7,0.571,0,0,,1,4,5,2,2,0,1,2,24,21.0,-12
36,26,2012-02-28,23-033,NJN,@,DAL,W (+1),1,33:40,2,4,0.5,0,1,0.0,2,2,1.0,1,1,2,3,2,1,2,3,6,6.6,-3
37,27,2012-03-02,23-036,NJN,@,BOS,L (-13),1,29:34,4,5,0.8,1,1,1.0,2,2,1.0,1,2,3,2,1,0,5,3,11,6.6,-17
38,28,2012-03-04,23-038,NJN,@,CHA,W (+3),1,27:43,1,6,0.167,0,0,,1,4,0.25,1,0,1,3,0,1,2,1,3,-0.9,0
39,29,2012-03-06,23-040,NJN,@,MIA,L (-30),1,28:20,5,11,0.455,2,4,0.5,0,0,,1,1,2,2,1,0,2,1,12,7.3,-26
