model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,185,47,35.041553394214525,5.919590644142087,0.3506276802755644,59.281912296376326,7.6994748065291,-0.6278465587188338,11.5531914893617,69884333425453.96,20.979076795803,-17.051786731335824,8.117708110719825,-0.7684872642718403,6.328178984444308,-1.5807931366441723,-12.6348913390093,-104724397548555.72,38311795287155.28,-48057681003133.766,38311795287157.13,-26515402709527.547,9233899658704.893,-2054558692126.439,38311795287151.21,1206253058677.751,38311795287151.43,-847495834733.2068,38311795287151.48,94422999452.43411,38311795287150.375,497203877572.2183,38311795287145.61,60607745201.814224,38311795287155.1,-3698446523.112308,-1747467106.769982,-119462020.1435367,38311795287153.77,16640108.733434744,38311795287152.93,-1162513.3408989685,38311795287159.22,158486.8455785811,38311795287151.47,-3798.1743659973145,38311795287153.45,-10.175048828125,38311795287154.17,0.0,38311795287149.98,0.0,38311795287153.484,0.0,38311795287150.97,0.0,38311795287152.48,0.0,38311795287153.625,0.0,0.0,0.0,38311795287152.24,0.0,38311795287151.016,0.0,0.0,0.0,0.0,0.0,38311795287147.17,0.0,0.0,0.0,0.0,0.0,38311795287156.45,0.0,0.0,0.0,38311795287147.04,0.0,0.0,-108196128712598.95,38311795287150.14,-108196128712603.48,38311795287153.46,0.0,38311795287153.84,-108196128712605.72,38311795287152.59,0.0,38311795287147.11,0.0,0.0,0.0,38311795287150.11
"Random Forest (100 estimators, 20 depth)",185,47,7.654438732083764,2.766665634312134,0.8581518182221208,43.09669597601523,6.5648073830094384,-0.1834100068495343,11.5531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",185,47,12.445954844773278,3.527882487381528,0.7693578684194299,44.25671440516548,6.652572014278799,-0.215263432874357,11.5531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",185,47,26.20086018623625,5.118677581781866,0.5144589291888833,38.63542738376993,6.215740292496939,-0.0609061866438078,11.5531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),185,47,35.91554593962595,5.992958029189421,0.3344312930820279,48.49154246004818,6.963586896136802,-0.3315493286707409,11.5531914893617,6.670630677154415,1.925387793984848,-1.2854585431446794,3.184846161574879,-0.8099137633409143,6.20192171716714,-0.8489555443426343,-5.853695974021059,0.0,2.642660014951895,0.0,4.277741159410791,0.0,0.0,0.0,-1.176925053958069,0.0,-0.6399247215828391,0.0,-0.2366414076739039,0.0,-1.6758133428976612,0.0,-4.633323616539704,0.0,1.825910109045686,0.0,0.0,0.0,1.143483361444063,0.0,0.5203375784299074,0.0,5.97328492035459,0.0,-1.2600873233742274,0.0,0.7831840765444215,0.0,1.888239777452055,0.0,-1.875569936384737,0.0,0.9504706175345562,0.0,-0.962609255296114,0.0,0.0147033388945669,0.0,1.0896934205808186,0.0,0.0,0.0,0.3332223724337292,0.0,-0.6266239650559393,0.0,0.0,0.0,0.0,0.0,-4.174369362322928,0.0,0.0,0.0,0.0,0.0,3.315695150544708,0.0,0.0,0.0,-4.008358260564558,0.0,0.0,2.829571861697536,-1.854298801980756,-0.5964589249061111,1.028434118210547,0.0,1.3421759302828984,-2.233112936790799,0.868147576820281,0.0,-3.6714240180177335,0.0,0.0,0.0,-1.201414457286016
Ridge (lambda=0.1),185,47,35.164761542628874,5.929988325673911,0.3483444492713708,56.34327627766142,7.506215842730704,-0.5471533363666814,11.5531914893617,5.24154984209216,12.198615010646211,-8.872818179139813,6.064313569588832,-0.7819820936541377,6.319908239891945,-2.556666719643069,-10.160622611260212,0.0,3.216322795456556,0.0,4.814162435744166,0.0,0.0,0.0,-1.0986620864768244,0.0,-0.6683583581633935,0.0,-0.4970323580311724,0.0,-1.80229596397544,0.0,-6.44736527397757,0.0,2.861200975887131,0.0,0.0,0.0,1.47193399497245,0.0,0.6788486702654926,0.0,7.043337677380127,0.0,-0.960493322546344,0.0,1.121009925357122,0.0,2.199473616888417,0.0,-2.154713563117684,0.0,1.167001791603196,0.0,-1.1557299263950591,0.0,0.2226754204058371,0.0,1.2644244908472857,0.0,0.0,0.0,0.2111995425974448,0.0,-0.9425060558506404,0.0,0.0,0.0,0.0,0.0,-4.868458797574421,0.0,0.0,0.0,0.0,0.0,4.191151516313611,0.0,0.0,0.0,-4.817370215293818,0.0,0.0,3.5325903244496546,-2.0733102482977133,-0.2182216256969776,1.252259163453398,0.0,1.623693937531942,-3.314368698745324,0.6696825562929637,0.0,-4.721177509742325,0.0,0.0,0.0,-1.8009048315514669
Lasso (lambda=0.1),185,47,40.7713027808972,6.385241011966361,0.2444468666337783,37.86516504324846,6.153467725051335,-0.0397552343253342,11.5531914893617,8.257804519592241,0.0,0.0,0.0,-0.5771533895867912,6.107495909311019,0.0,-3.709977233391689,0.0,0.0,0.0,2.299980316192745,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.962366256416725,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.757689216441237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.423545409315213,0.0,0.0,1.888973329174423,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),185,47,49.6389726372335,7.045493072683664,0.0801157001361684,35.68306784854472,5.97353060162453,0.0201638754265561,11.5531914893617,9.556521739130435,-0.0,-0.0,0.0,-0.0,1.7863354037267083,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",185,47,25.337179450507843,5.03360501534515,0.5304642231480792,41.05321322007509,6.40727814442881,-0.1272971683259063,11.5531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),185,47,35.567598416391576,5.963857679085876,0.3408792803548292,52.88874109566586,7.272464581946472,-0.4522938254273161,11.5531914893617,6.9217070659246405,6.141142264976806,-3.05442100828792,1.7061996385817904,-0.7957273717157527,6.3644814924368935,-0.0,-9.119514309356225,0.0,2.7651043089436578,0.0,4.551910401353238,0.0,0.0,0.0,-1.0845808973865627,0.0,-0.3757488746061622,0.0,-0.2306099848786693,0.0,-1.6129413354626063,0.0,-6.083323208167848,0.0,1.5237496707390528,0.0,0.0,0.0,0.9693352333421852,0.0,0.1280282518220732,0.0,6.827970760535402,0.0,-1.1966915173765806,0.0,0.6647046911227233,0.0,1.632988236207854,0.0,-1.9938889623358549,0.0,0.788276666157086,0.0,-0.9528582648939508,0.0,-0.0,0.0,0.848446200008091,0.0,0.0,0.0,0.0,0.0,-0.5490976943772058,0.0,0.0,0.0,0.0,0.0,-4.801178973162042,0.0,0.0,0.0,0.0,0.0,3.603336752031525,0.0,0.0,0.0,-4.5649751429184064,0.0,0.0,3.1748346998028296,-1.8711722836017213,0.0,0.9424185664457556,0.0,1.2239237911638596,-2.9504313465154404,0.5359845901607824,0.0,-4.264882869639123,0.0,0.0,0.0,-1.0609419083940486
"Random Forest (100 estimators, 5 depth)",185,47,24.67239993747993,4.967131962962121,0.5427835803872902,39.80228598635313,6.308905292232015,-0.0929474398211724,11.5531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
