model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,364,92,19.711067960366098,4.4397148512450775,0.1707388781268968,17.424644825634793,4.174283750014461,-0.1116971733414708,5.0,4.983823500310424,0.0029745706217109,5.28110793478217,3.905290530638738,0.7714975714021346,4.214362697153524,-4.02334115836201,-7.439396023196973,4.884981308350689e-15,-0.655309180017715,1.3322676295501878e-15,1.1682615634272988,-4.440892098500626e-16,3.996802888650564e-15,3.774758283725532e-15,0.513212119355148,3.927413949611491e-15,-0.5032414685450045,-1.9984014443252818e-15,0.4001314724227908,4.440892098500626e-16,-0.7301763882618966,-1.054711873393899e-15,0.4000615033690418,4.440892098500626e-16,0.5431298672755509,2.220446049250313e-16,-1.1102230246251563e-16,4.440892098500626e-16,-1.3175333436417964,0.0,1.3070959802706366,-2.220446049250313e-16,0.0983738801841327,-8.881784197001252e-16,0.4712738678060313,2.220446049250313e-16,-2.027313388716861,0.3646480604934914,4.470853818146981,-1.1102230246251563e-16,1.330490829754182,3.136920271728933,-1.3161475779190983,0.0,0.869846287475781,0.0,-0.5987888936651432,0.0,0.6546523883246631,0.0,0.0,0.0,0.5756011040771942,0.0,-2.287615029145718,0.0,0.0,0.0,0.9917184702192748,0.0,0.5898825338261429,0.0,0.0,0.0,0.0,0.0,0.7869906135756535,0.0,0.0,0.0,-1.879367407912714,0.0,-0.3906315852804731,-3.501568332222414,-1.4802218516428185,0.0,-0.1150747363868516,0.0,0.0717810584599935,0.0,-2.1652771193642124,0.0,-0.7224341217118977,0.0,0.0,0.0,0.945774734241682
"Random Forest (100 estimators, 20 depth)",364,92,3.182005643181564,1.7838177157942916,0.8661303601216805,15.94698894888502,3.99336812088305,-0.0174223185141622,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",364,92,5.739031106750946,2.39562749749433,0.7585541593373648,15.135321898556237,3.890414103737061,0.0343622644471748,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",364,92,12.149816313032014,3.4856586627253123,0.488847061632782,14.494241340527694,3.807130328807735,0.0752633818803413,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),364,92,19.78823643450216,4.448397063494013,0.1674923358510559,16.801632591449582,4.098979457310024,-0.0719488199815265,5.0,3.906997887204617,-2.0133836344765106,4.281654140402596,0.5690216732420236,0.7885669971683527,4.151550126798279,-0.1248955101678327,-3.1438406060697,0.0,-0.3747746501645004,0.0,1.046000643145843,0.0,0.0,0.0,0.53333742638675,0.0,-0.5068510777089003,0.0,0.4359489498585359,0.0,-0.646670192482228,0.0,0.5439676900292751,0.0,0.5507007389402704,0.0,0.0,0.0,-1.1208165833937305,0.0,1.2629081444247667,0.0,0.2389645117515335,0.0,0.5335155974546508,0.0,-1.6414493914093145,1.174895265704368,2.1193192754641728,0.0,1.390294423218767,1.4510454680702136,-1.1740437405068171,0.0,0.9188734689845496,0.0,-0.4239472042316378,0.0,0.6412121417712678,0.0,0.0,0.0,0.4593911335550768,0.0,-2.1511847293479014,0.0,0.0,0.0,0.559016413225343,0.0,0.6183131927493809,0.0,0.0,0.0,0.0,0.0,0.8385903479541359,0.0,0.0,0.0,-1.6895891827238452,0.0,-0.3789788550576232,-2.625940733773437,-1.2121124354903452,0.0,0.0216028070307566,0.0,0.1618558912685506,0.0,-1.8673152734772744,0.0,-0.6035075204327075,0.0,0.0,0.0,0.9174280392132936
Ridge (lambda=0.1),364,92,19.716452598430447,4.440321226941858,0.1705123418980583,17.238809105889253,4.151964487551556,-0.0998408028722686,5.0,4.665201227069994,-0.8533007309899878,5.195906143310362,1.926661421839157,0.7699706391424346,4.231515451515944,-1.8227193600271208,-6.194220347222722,0.0,-0.5903454387427365,0.0,1.1553719559932016,0.0,0.0,0.0,0.5227521042932645,0.0,-0.5071711427384771,0.0,0.4020998987426532,0.0,-0.7184305662104534,0.0,0.4306432410095441,0.0,0.5387436357567755,0.0,0.0,0.0,-1.293683584639312,0.0,1.2900063779119744,0.0,0.1343575499938089,0.0,0.493279655781298,0.0,-1.9230549644591,0.6307080201595605,3.958597676434592,0.0,1.3803086061590226,2.653961902198083,-1.290881190656907,0.0,0.8875760075234276,0.0,-0.5604553222685246,0.0,0.6474359154155183,0.0,0.0,0.0,0.5432297310460654,0.0,-2.2705571163769385,0.0,0.0,0.0,0.905527409420202,0.0,0.6006249056893562,0.0,0.0,0.0,0.0,0.0,0.822940829883342,0.0,0.0,0.0,-1.862345576792344,0.0,-0.4009233730834279,-3.284669922344696,-1.453626102538477,0.0,-0.06800773840943,0.0,0.0766142210591396,0.0,-2.10539252307602,0.0,-0.6917433059204166,0.0,0.0,0.0,0.9465082238003458
Lasso (lambda=0.1),364,92,21.96346719418729,4.686519731547846,0.0759785577170436,16.07261675964566,4.009066819054736,-0.0254374076889047,5.0,4.633227260678988,-0.0,0.0,-0.0,0.4652569522861712,2.66597569024732,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.4221023489809851,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3459142801755633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.587886320804431,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),364,92,23.76943454896752,4.875390707314391,0.0,16.203929043961292,4.025410419318916,-0.0338151678532863,5.0,5.728021978021978,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",364,92,12.54672996129123,3.5421363555474867,0.4721485723421961,14.718347979756691,3.836449918838599,0.060965316132028,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),364,92,19.90236330223333,4.461206485047887,0.162690923032587,16.324915749922717,4.040410344250039,-0.0415341532544313,5.0,5.412810825550909,-1.9804015615221644,4.244625888118272,0.2971697569852464,0.7744146556284739,4.175852092132602,0.0,-2.978058210617553,0.0,-0.4777446808257989,0.0,0.3766681518662576,0.0,0.0,0.0,0.0,0.0,-0.6336563808186519,0.0,0.0,0.0,-0.8209584772536858,0.0,0.028169472367975,0.0,0.0149592590863365,0.0,0.0,0.0,-1.210630645132696,0.0,0.6374515798922397,0.0,-0.0,0.0,0.0,0.0,-1.7908739314716562,0.0,0.1880656605807945,0.0,0.7978234941996817,0.0,-1.3031231808462658,0.0,0.3539619086814318,0.0,-0.4783437221859114,0.0,0.0338181025016292,0.0,0.0,0.0,0.0,0.0,-2.4140326759050925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3207728354664584,0.0,0.0,0.0,-1.8671758287795184,0.0,-0.0,-3.681456916734176,-1.052066176266811,0.0,-0.0,0.0,-0.0,0.0,-2.0366519526707214,0.0,-0.7376381619913233,0.0,0.0,0.0,0.414566055253747
