Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1984-10-27,22-273,LAC,@,UTA,W (+9),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
2,2,1984-11-01,22-278,LAC,,NYK,W (+2),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
3,3,1984-11-03,22-280,LAC,,POR,L (-19),0,11:00,0,1,.000,0,0,,1,2,.500,1,2,3,0,0,0,0,2,1,0.4,
4,4,1984-11-05,22-282,LAC,,DEN,W (+3),0,8:00,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,3,2,1.8,
5,5,1984-11-07,22-284,LAC,@,BOS,L (-27),0,15:00,2,6,.333,0,0,,0,0,,2,3,5,0,0,0,1,2,4,1.1,
6,6,1984-11-08,22-285,LAC,@,WSB,L (-5),0,6:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,
7,7,1984-11-10,22-287,LAC,@,HOU,L (-25),0,7:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.1,
8,8,1984-11-13,22-290,LAC,,NJN,L (-9),0,6:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
9,9,1984-11-15,22-292,LAC,,MIL,L (-13),0,2:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,2,1,1,-1.8,
10,10,1984-11-17,22-294,LAC,,KCK,W (+8),0,3:00,1,2,.500,0,0,,1,1,1.000,1,0,1,0,0,0,0,1,3,2.3,
11,11,1984-11-18,22-295,LAC,@,POR,L (-8),0,14:00,2,2,1.000,0,0,,1,2,.500,3,2,5,1,0,0,1,2,5,5.6,
12,12,1984-11-21,22-298,LAC,,DEN,L (-6),0,8:00,1,1,1.000,0,0,,4,4,1.000,0,1,1,0,0,0,0,1,6,5.6,
13,13,1984-11-24,22-301,LAC,,LAL,L (-5),0,14:00,1,4,.250,0,0,,4,4,1.000,1,3,4,0,2,0,1,1,6,5.8,
14,14,1984-11-25,22-302,LAC,,PHO,W (+5),0,11:00,2,4,.500,0,0,,2,3,.667,1,1,2,1,1,0,0,1,6,5.9,
15,15,1984-11-27,22-304,LAC,@,DEN,L (-29),0,16:00,5,8,.625,0,0,,1,1,1.000,5,1,6,1,3,3,3,3,11,12.8,
16,16,1984-11-28,22-305,LAC,,SEA,W (+16),0,11:00,1,3,.333,0,0,,1,2,.500,3,1,4,1,0,1,2,1,3,2.3,
17,17,1984-11-30,22-307,LAC,,CHI,L (-4),0,14:00,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,1,2,2,-0.1,
18,18,1984-12-01,22-308,LAC,@,SAS,L (-32),0,11:00,3,5,.600,0,0,,0,0,,2,1,3,0,0,0,0,1,6,5.0,
19,19,1984-12-04,22-311,LAC,@,HOU,W (+16),0,6:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,2,2.3,
20,20,1984-12-05,22-312,LAC,@,DAL,W (+4),0,16:00,3,4,.750,0,0,,0,0,,4,1,5,0,0,1,0,0,6,8.2,
21,21,1984-12-07,22-314,LAC,@,ATL,L (-12),0,31:00,4,6,.667,0,0,,3,4,.750,3,6,9,0,1,2,1,3,11,12.1,
22,22,1984-12-09,22-316,LAC,,SAS,W (+3),1,37:00,4,8,.500,0,0,,5,7,.714,6,4,10,1,0,1,3,3,13,10.8,
23,23,1984-12-11,22-318,LAC,@,GSW,W (+12),1,30:00,6,13,.462,0,0,,5,5,1.000,6,5,11,0,1,0,1,2,17,15.2,
24,24,1984-12-13,22-320,LAC,,POR,W (+6),1,31:00,4,8,.500,0,0,,3,4,.750,1,5,6,0,0,1,1,2,11,7.7,
25,25,1984-12-15,22-322,LAC,,WSB,W (+6),1,35:00,3,9,.333,0,0,,2,2,1.000,3,5,8,1,2,2,0,2,8,9.8,
26,26,1984-12-16,22-323,LAC,,GSW,W (+18),1,31:00,3,7,.429,0,0,,2,3,.667,3,2,5,1,1,0,1,0,8,7.3,
27,27,1984-12-19,22-326,LAC,,SEA,W (+5),1,23:00,3,4,.750,0,0,,0,0,,2,1,3,0,0,0,2,3,6,2.9,
28,28,1984-12-23,22-330,LAC,@,SEA,L (-10),1,26:00,3,6,.500,0,0,,2,4,.500,4,9,13,1,0,0,3,4,8,5.8,
29,29,1984-12-26,22-333,LAC,@,DAL,L (-6),1,29:00,6,11,.545,0,0,,1,2,.500,4,5,9,0,0,1,0,4,13,10.7,
30,30,1984-12-27,22-334,LAC,,BOS,L (-15),1,31:00,6,10,.600,0,0,,1,1,1.000,1,7,8,1,0,1,3,2,13,8.8,
31,31,1984-12-29,22-336,LAC,@,LAL,L (-6),1,16:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-2.1,
32,32,1984-12-30,22-337,LAC,,PHO,L (-8),1,22:00,3,6,.500,0,0,,4,4,1.000,1,8,9,1,0,1,0,2,10,10.7,
33,33,1985-01-03,22-341,LAC,@,MIL,L (-24),1,8:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-1.5,
34,34,1985-01-04,22-342,LAC,@,KCK,L (-20),1,24:00,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,5,4,1.7,
35,35,1985-01-05,22-343,LAC,@,DEN,W (+12),1,25:00,5,7,.714,0,0,,0,0,,0,8,8,0,0,0,0,1,10,9.1,
36,36,1985-01-07,22-345,LAC,,UTA,W (+10),1,29:00,2,2,1.000,0,0,,1,1,1.000,1,8,9,1,0,1,3,1,5,5.5,
37,37,1985-01-11,22-349,LAC,@,PHO,W (+14),1,28:00,1,4,.250,0,0,,0,0,,1,2,3,1,1,1,1,1,2,1.9,
38,38,1985-01-12,22-350,LAC,@,GSW,W (+2),1,21:00,2,3,.667,0,0,,0,0,,3,3,6,0,1,0,0,2,4,5.9,
39,39,1985-01-15,22-353,LAC,@,SEA,L (-18),1,26:00,4,8,.500,0,0,,0,0,,1,7,8,0,0,0,1,2,8,5.0,
40,40,1985-01-22,22-360,LAC,@,LAL,L (-9),0,20:00,4,5,.800,0,0,,2,2,1.000,1,5,6,0,0,1,0,4,10,9.4,
41,41,1985-01-31,23-003,LAC,@,NJN,L (-23),0,23:00,4,6,.667,0,0,,0,0,,2,0,2,1,0,0,0,2,8,6.7,
42,42,1985-02-02,23-005,LAC,,LAL,L (-9),0,8:00,0,2,.000,0,0,,2,2,1.000,0,1,1,1,1,0,2,1,2,0.2,
43,43,1985-02-04,23-007,LAC,,IND,W (+19),0,34:00,4,7,.571,0,0,,6,10,.600,1,6,7,2,1,2,2,1,14,13.0,
44,44,1985-02-07,23-010,LAC,@,SAS,L (-12),0,28:00,8,13,.615,0,0,,3,7,.429,2,6,8,1,1,0,1,4,19,13.8,
