model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,324,81,27.225018211661023,5.217759884439013,0.2565590769730366,25.428563273626605,5.042674218470454,0.2312022319788759,8.617283950617283,9.171749181373729,0.7575129399210756,0.7575129399210752,-6.390148396084712,0.1557224303409796,3.5003570912019786,-0.2020552185353832,-1.412325573272566,2.220446049250313e-15,-0.0040466746922158,4.107825191113079e-15,-1.3699681773927712,-0.512222354060934,-1.2554687707215062,-2.220446049250313e-16,0.5759615042564803,8.604228440844963e-16,-1.2534635264219194,0.0,-1.1520059698630498,1.1102230246251563e-16,-4.440892098500626e-16,1.52655665885959e-16,0.0078481595337226,-2.220446049250313e-16,-4.440892098500626e-16,0.5122223540609352,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,4.21070207078615,0.0,0.0,0.0,-0.6547097070296224,0.0,0.3484949595481495,0.0,-0.1404931889336421,0.0,-0.0288583503445704,0.0,-3.0867844373631272,0.0,-1.3509141609217046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6244910682178784,0.0,-1.5052460176804296,0.0,0.0,0.0,0.1961922775365423,0.0,0.0,0.0,-1.8580724937187585,0.0,0.0,0.0,0.0,0.0,4.145222383987862,0.0,0.0,0.0,0.0,0.0,-0.5911609038382962,0.0,0.0,0.0,0.4197363198281825,0.0,-0.4297801835323208,0.0,0.9650190522996224,0.0,1.1873047664593546
"Random Forest (100 estimators, 20 depth)",324,81,4.41793294689254,2.101887948224772,0.8793583121827916,27.23836173309576,5.21903839160968,0.1764854553668436,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",324,81,8.053069725757341,2.837793108342704,0.7800926506799106,26.608612193547984,5.158353632075643,0.1955250698038416,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",324,81,17.333964714114668,4.163407824620916,0.5266567454027062,25.36528394226777,5.036395927870223,0.2331153958563254,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),324,81,27.259476796405814,5.221060888019389,0.2556181070956353,25.222637600780143,5.022214412067664,0.2374281125352817,8.617283950617283,9.03527209931424,0.7042025899778654,0.7042025899778694,-3.892272711524267,0.1257187848338503,3.453482616351013,-2.8077105095419386,-0.9908211620955482,0.0,0.0136587521850641,0.0,-1.32545744931893,-0.5609697916921138,-1.2292100686057374,0.0,0.5130444312529153,0.0,-1.0918311406143697,0.0,-1.123866885810318,0.0,0.0,0.0,0.0391563959554416,0.0,0.0,0.5609697916921372,0.0,0.0,0.0,0.0,0.0,0.0,3.801706226723516,0.0,0.0,0.0,-0.6304173834980538,0.0,0.2662070413508517,0.0,-0.1446875642576473,0.0,-0.0167775338451455,0.0,-2.1410711947738927,0.0,-1.289799268813863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096810643518168,0.0,-1.280196672631103,0.0,0.0,0.0,0.1408558891112183,0.0,0.0,0.0,-1.6143597864283143,0.0,0.0,0.0,0.0,0.0,3.542179659517033,0.0,0.0,0.0,0.0,0.0,-0.5519053453349098,0.0,0.0,0.0,0.4177609027971749,0.0,-0.3844262072299572,0.0,0.8766405063652525,0.0,1.115986052385325
Ridge (lambda=0.1),324,81,27.22670490754324,5.217921512206104,0.2565130179131752,25.40676448620828,5.040512323782998,0.2318612884474793,8.617283950617283,9.127202744323432,0.7687569307803717,0.7687569307803983,-5.269890137659398,0.1510695764218911,3.488386653439954,-1.412351198275466,-1.280227335431954,0.0,0.0005449743203449,0.0,-1.3703698337458474,-0.5258431439173017,-1.260868942582859,0.0,0.5978119411682078,0.0,-1.231224409749437,0.0,-1.1526192423284762,0.0,0.0,0.0,0.01768853270433,0.0,0.0,0.525843143917485,0.0,0.0,0.0,0.0,0.0,0.0,4.169740147531088,0.0,0.0,0.0,-0.6514769450711125,0.0,0.3230968244699352,0.0,-0.1523059286560051,0.0,-0.0258901586567739,0.0,-2.982198178237463,0.0,-1.3453665367137633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.554143108830881,0.0,-1.4811844651511286,0.0,0.0,0.0,0.1717147504413755,0.0,0.0,0.0,-1.8225805923927807,0.0,0.0,0.0,0.0,0.0,4.070431995943583,0.0,0.0,0.0,0.0,0.0,-0.5853858089767354,0.0,0.0,0.0,0.4272778249910224,0.0,-0.4264297359383275,0.0,0.9621452649105656,0.0,1.1933054128866782
Lasso (lambda=0.1),324,81,28.94555453167702,5.380107297413038,0.2095759271396882,25.648693829670737,5.0644539517771054,0.2245468862427091,8.617283950617283,9.154868505053246,0.0,0.0,-5.82840643131248,0.0,3.191598602792806,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9710545991411822,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),324,81,36.48045164092065,6.039904936414202,0.0038184573647022,33.16266116237868,5.75870307989383,-0.002627620323333,8.617283950617283,8.130653266331658,0.0,0.0,-0.0,0.0,0.0693467336683417,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",324,81,17.48744122965621,4.181798803105694,0.5224657207543446,25.14704187137338,5.014682629177382,0.2397136458316172,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),324,81,27.33365329809021,5.228159647341521,0.253592549336576,25.131960001908062,5.013178632555204,0.2401696254895221,8.617283950617283,9.46656183288971,0.2491371116062331,5.195109516197501e-16,-6.699963676918061,0.109756899212411,3.5046165015286075,-0.0,-0.2856549894560184,0.0,0.0,0.0,-1.1351076961655684,-0.6405197318073644,-1.0073187850246117,0.0,0.0,0.0,-0.611488857430607,0.0,-0.9555308703340416,0.0,0.0,0.0,0.0,0.0,0.0,0.1001203942761387,0.0,0.0,0.0,0.0,0.0,0.0,4.035428932260066,0.0,0.0,0.0,-0.4332845941596154,0.0,0.058895860826428,0.0,0.0,0.0,0.0,0.0,-1.225874008976226,0.0,-1.057879434998476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04817462427937,0.0,-0.7838550409552177,0.0,0.0,0.0,0.1203278448187345,0.0,0.0,0.0,-1.2107729219382488,0.0,0.0,0.0,0.0,0.0,3.755274123144249,0.0,0.0,0.0,0.0,0.0,-0.3199027850188224,0.0,0.0,0.0,0.3639163895307259,0.0,-0.0,0.0,0.6660054166214007,0.0,0.9884613460087744
"Random Forest (100 estimators, 5 depth)",324,81,17.396970324362574,4.170967552542524,0.52493623419223,25.63224190495416,5.062829436684012,0.225044287643868,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=2.0),324,81,27.31618775952892,5.22648904710695,0.2540694855137431,25.1034791310194,5.010337227275167,0.2410307055959711,8.617283950617283,8.968942625882496,0.6389025850028324,0.6389025850028326,-3.6485556753111097,0.1066334155350979,3.4222311824240035,-2.938543297649302,-0.8639566420655639,0.0,0.0279953700445234,0.0,-1.264963503399397,-0.5860308666294626,-1.176638766494629,0.0,0.4199904130580201,0.0,-0.9688865972886744,0.0,-1.07874171194564,0.0,0.0,0.0,0.0557382602464581,0.0,0.0,0.5860308666294715,0.0,0.0,0.0,0.0,0.0,0.0,3.463464900126094,0.0,0.0,0.0,-0.6002202776051427,0.0,0.2417469069602741,0.0,-0.1136365586824415,0.0,-0.0025459317882507,0.0,-1.6270855925855223,0.0,-1.2255273968202658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586066846796815,0.0,-1.1035475424162953,0.0,0.0,0.0,0.1387491377011594,0.0,0.0,0.0,-1.4348954806092675,0.0,0.0,0.0,0.0,0.0,3.10770469418094,0.0,0.0,0.0,0.0,0.0,-0.5121708098579121,0.0,0.0,0.0,0.4029947119024519,0.0,-0.3393811609008203,0.0,0.7978265844490898,0.0,1.033423667045436
Lasso (lambda=0.05),324,81,28.13309634351356,5.304064134558853,0.2317619422465705,25.03927803337032,5.003926261783872,0.2429717378141899,8.617283950617283,9.365496305124235,0.0,0.0,-6.46985928461372,0.0,3.3635610209875813,-0.0,-0.0,0.0,0.0,0.0,-0.5076850760403947,-0.0,-0.3686693887154106,0.0,0.0,0.0,-0.0,0.0,-0.2848913779924427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7612239399642595,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2984616937828744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.7611993593726567,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (500 estimators, 5 depth)",324,81,17.3283488060254,4.162733333523227,0.526810100521188,25.43840807110213,5.043650272481442,0.2309045880166762,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (rbf kernel),324,81,17.831402067209936,4.222724483933321,0.5130730892942656,29.296420248666493,5.412616765360956,0.1142628761278242,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (poly kernel),324,81,17.26410697575288,4.155009864699828,0.5285643695256542,33.16780558481619,5.759149727591408,-0.0027831548867749,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (linear kernel),324,81,27.78576210423906,5.271220172240869,0.2412466920982529,26.269754615708308,5.125402873502561,0.20576996436264594,8.617283950617283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
