model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,186,47,7.581730558603714,2.753494245246159,0.483801385846906,8.071230957219186,2.840991192738757,-0.9097417721183784,1.8297872340425527,0.7929338350637902,6.415578785114121,-2.638934035596624,22.233454654920124,-0.977503023731186,5.449373973420905,-19.713668250803465,2.8843736249982284,7.633893517322576e-13,0.2742782424280721,-4.729550084903167e-13,0.5700194212656227,-1.2434497875801753e-13,-2.3092638912203256e-14,7.371880883511043e-14,-1.957671910229104,-1.2434497875801753e-13,0.544194284335697,2.886579864025407e-15,0.5243748482629265,-3.552713678800501e-15,-1.178143089477782,-8.881784197001252e-16,-0.068219943946179,0.0998133819769437,2.364729157449348,-2.220446049250313e-16,-0.3900000323282983,4.440892098500626e-16,0.0080697392168793,2.7755575615628914e-16,1.1102230246251563e-16,1.211587673270594,-0.0946251520230656,-2.978658862046304,-0.1040819786871911,-2.7755575615628914e-16,-2.018636950827789,0.0,0.0902524637772157,1.1102230246251563e-16,-0.182840179672682,-5.551115123125783e-17,-0.5248151524111337,4.440892098500626e-16,-0.2611206617845241,3.9932192185922135,-1.3024081234071048,0.0,-0.5842613143984428,0.0,0.0,0.5359931605237388,0.0,0.0,2.798964826213348,0.0,0.0,0.0,2.9161598378902283,0.0,-1.1515887839989671,0.0,0.0,-0.8057859577924368,-0.1852604242080051,0.0,0.0,0.0,-2.2075390651887754,0.0,1.1679914593499707,0.0,2.2517939257459783,0.0,2.452014516807729,-0.97998952496048,-2.9199006044743587,0.0,0.0,0.0,-0.6850442596649983,-1.246341705411833,-0.6237217705061615,0.0,0.0,0.1701626158494108,0.4770366744908519
"Random Forest (100 estimators, 20 depth)",186,47,1.483628597440178,1.2180429374370092,0.8989878339784261,4.331927713690975,2.081328353165587,-0.0249816109193834,1.8297872340425527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",186,47,2.457503213965115,1.5676425657544244,0.8326820316918264,4.977295999763122,2.230985432440813,-0.177682825993652,1.8297872340425527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",186,47,4.966014953654916,2.2284557329359083,0.6618911715305924,3.983431387506411,1.995853548611824,0.0574764422663172,1.8297872340425527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),186,47,8.013543947565424,2.830820366530774,0.4544015712225472,7.390406457204395,2.718530201635508,-0.7486512279310742,1.8297872340425527,1.6932267860310346,1.1329028327780415,0.6379455154995707,1.7580372650583131,-1.009110957930377,5.377208963508905,-1.5488872234270683,1.6390432105917894,0.0,0.072521683511101,0.0,-0.1009783427816312,0.0,0.0,0.0,-1.4297803058834415,0.0,0.5085473324264164,0.0,0.5703024333879132,0.0,-0.9476708850705314,0.0,-0.0907143522634465,-1.5619131606580063,2.198676478921251,0.0,-0.2347007990625794,0.0,0.1326996532460362,0.0,0.0,1.6888726490811772,0.0114703209880573,-0.8827515869563064,-0.1706191869371801,0.0,-1.629498039398204,0.0,0.0989466369208398,0.0,-0.4706537511792262,0.0,-0.5195673322591853,0.0,-0.5247380806236311,1.7898527693078747,-1.0825349696194526,0.0,-0.1212011822267724,0.0,0.0,1.6584616108637014,0.0,0.0,2.0912346084352618,0.0,0.0,0.0,1.8303696668399352,0.0,-1.3600916336000923,0.0,0.0,0.335086517696723,0.1059227102409271,0.0,0.0,0.0,-1.3461430790999742,0.0,1.1569874094653565,0.0,1.0920620783459338,0.0,2.101116638709506,-1.1633814581061586,-1.8755113321692285,0.0,0.0,0.0,-0.2762539636032887,-1.244285962353043,-0.2312186640553309,0.0,0.0,-0.6199413788760518,0.4410182483947686
Ridge (lambda=0.1),186,47,7.697247952231145,2.774391456199205,0.4759364375952974,7.877943078762569,2.806767371686256,-0.8640077400371162,1.8297872340425527,2.393368480566455,3.358774009265649,-1.3099762910176995,8.253020278176516,-1.0303362629504929,5.67207553519295,-9.85919778766798,2.9943368977226714,0.0,0.1521115399356223,0.0,0.1099900339343282,0.0,0.0,0.0,-1.7740296064772627,0.0,0.5839949117163189,0.0,0.6017045825377714,0.0,-1.060354485952424,0.0,-0.145487953032802,-2.112853646045228,2.45192420951331,0.0,-0.2746440398452192,0.0,0.0989508999615737,0.0,0.0,2.4909236239852697,-0.0327160013829993,-1.1057203227831818,-0.1137953322787734,0.0,-1.870297416888032,0.0,0.1090675771225583,0.0,-0.3629274395141291,0.0,-0.600004609309052,0.0,-0.4719630208748598,1.396876365536412,-1.2372060572132142,0.0,-0.2921470633149295,0.0,0.0,3.001315560585917,0.0,0.0,2.547000095591204,0.0,0.0,0.0,2.5520983628794607,0.0,-1.3629972617641408,0.0,0.0,0.1935598403690747,-0.0523826193930259,0.0,0.0,0.0,-1.8796407189368496,0.0,1.238562740785886,0.0,1.886389084166476,0.0,2.377492789651241,-1.0407903441877782,-2.669986837446657,0.0,0.0,0.0,-0.5022691198104539,-1.6278015035911482,-0.4186061113833709,0.0,0.0,-1.1955095738704384,0.412168867023349
Lasso (lambda=0.1),186,47,10.227818663461155,3.198096099785176,0.3036437025717633,5.149450496329207,2.2692400702281827,-0.2184164681224527,1.8297872340425527,1.9564733305927395,0.0,0.0,0.0,-0.6306836895550341,6.153183190259778,0.0,0.928089898563812,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0162558571074332,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.9195896787894008,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.3405240239327776,-0.3414203621491604,-0.0,0.0,0.0,0.0,-0.0,-0.0258807770407392,-0.0,0.0,0.0,-0.0,0.0
Lasso (lambda=1.0),186,47,14.687622846571855,3.83244345640896,0.0,5.01004359131421,2.2383126661202204,-0.1854312653398766,1.8297872340425527,2.71505376344086,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
"Random Forest (50 estimators, 5 depth)",186,47,4.635827920378161,2.1530972853956603,0.6843718027890279,4.653685795375828,2.1572403193376086,-0.101113102183505,1.8297872340425527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),186,47,8.11062836112487,2.8479164947597866,0.4477916238829675,7.036083604199241,2.6525617060116136,-0.6648145545925583,1.8297872340425527,0.8216002207622346,1.0584554147804366,0.0,0.0501207685765471,-0.99830107372164,6.103998620265648,-0.0,2.037559664987478,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.2540190372798652,0.0,0.4151078937157219,0.0,0.3685373895186208,0.0,-0.7631310565978728,0.0,-0.0,-0.7407012745633237,2.375158093166897,0.0,-0.0,0.0,0.0,0.0,0.0,2.560824000071489,0.0,-0.0,-0.0,0.0,-1.57208664272126,0.0,0.0,0.0,-0.0,0.0,-0.3900446585533928,0.0,-0.3139851863631217,1.9613699384467893,-0.8584226706494755,0.0,-0.0,0.0,0.0,2.6101483449925773,0.0,0.0,2.0378763785147216,0.0,0.0,0.0,1.71861448376092,0.0,-1.1762503438253735,0.0,0.0,1.145666819471207,0.0,0.0,0.0,0.0,-1.038690754852278,0.0,1.0224383083319686,0.0,0.802457328793313,0.0,2.2518307212166966,-0.2765631292211118,-1.5570348640121592,0.0,0.0,0.0,-0.0,-0.3385795070541957,-0.0,0.0,0.0,-0.0,0.2999432446901877
