model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,654,164,47.523191026226826,6.89370662461254,0.2475466591746106,52.56606944014386,7.250246164106696,0.0303916218407459,11.865853658536585,-47836384225767.88,-1.5502903888924604,9.671039586772016,-20.18176630991196,0.0702161134318135,5.601677441505744,23.315804410172426,-8.932356664638633,23399316212254.887,102537995307.14882,603046074779.8801,102537995303.9389,3253213219919.5728,-4085302579688.437,47733846230475.26,102537995307.5389,-1819724729416.886,102537995308.1845,-2476083904354.701,102537995306.62865,-61848559844.75394,102537995306.58716,47733846230468.99,102537995305.87984,47733846230469.484,102537995307.8568,52379664170.73101,102537995305.29877,-6650165871.157049,102537995305.68983,261539978.6013745,102537995306.77956,9937071.466413615,102537995305.50052,755769.6072719856,102537995306.5039,-915877.1491100416,102537995308.23242,47733846230469.79,102537995311.3672,-72.06729125976562,102537995306.32812,47733846230471.54,102537995307.4414,0.0,102537995305.73631,0.0,102537995308.55272,0.0,102537995304.76562,0.0,0.0,0.0,102537995302.65623,0.0,102537995307.03516,0.0,0.0,0.0,102537995303.0957,0.0,102537995306.50404,0.0,0.0,0.0,102537995306.44434,0.0,102537995303.9756,0.0,102537995308.26369,0.0,102537995306.92188,0.0,102537995304.07324,0.0,102537995309.26952,47733846230471.17,102537995305.70654,47733846230477.0,102537995299.64844,0.0,102537995304.45508,0.0,102537995308.0747,0.0,0.0,0.0,102537995304.21094
"Random Forest (100 estimators, 20 depth)",654,164,7.954936394460123,2.820449679476683,0.8740463690083093,53.60382007019137,7.321462973353848,0.0112497739519693,11.865853658536585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",654,164,19.934648670384952,4.464823475836973,0.6843668813835857,49.83461459861962,7.059363611446829,0.0807747211881548,11.865853658536585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",654,164,37.57862595740481,6.130140777943424,0.4050028620832288,45.71814169701276,6.761519185583427,0.156705196043393,11.865853658536585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),654,164,47.73822288854839,6.909285266114607,0.244141975278311,51.846799632054285,7.200472181187445,0.0436589260068828,11.865853658536585,9.95393906531472,-1.66621761941968,6.584428617475196,-1.3214438006243827,0.0256554630480134,5.735364163385735,2.993548868174513,-4.526582695087121,0.0,0.9565648814295036,0.0,-2.1350543489132923,0.0,0.0,2.829089744762224,1.266591419662954,0.0,2.039526236096979,0.0,0.3706841541277597,0.0,0.4648840016129765,-3.373254203999389,-0.1823952372701889,-1.950641062068453,1.4670877180166524,0.0,-0.8663029973952995,0.0,-0.3700627182957225,0.0,0.704365490946209,0.0,-0.5644067466478655,0.0,0.2116934708873663,0.0,1.8636451473439803,-1.5619949990597926,4.756012091715661,0.0,-0.1310022683322562,-0.3921301971215208,1.149980570465288,0.0,-0.4718212755563573,0.0,2.258346710224861,0.0,-1.4752018057162797,0.0,0.0,0.0,-3.0101710097715206,0.0,0.8190688248881139,0.0,0.0,0.0,-2.8222377826970724,0.0,0.1884053680269503,0.0,0.0,0.0,0.1538181879028568,0.0,-1.9983158751118448,0.0,1.3507252214437024,0.0,0.5948702153995677,0.0,-1.8807516092008425,0.0,2.8843850653312426,-0.5531666602753414,-0.428127118559064,5.0020973777621816,-5.386289640474318,0.0,-1.708980279636012,0.0,1.7692787857794423,0.0,0.0,0.0,-1.83881284772482
Ridge (lambda=0.1),654,164,47.55956803637528,6.896344541594139,0.2469706876915437,52.36220462627894,7.236173341364823,0.0341520139271352,11.865853658536585,10.08010145633208,-1.8940702438675536,9.351529613446466,-10.41896309991848,0.0550558179629225,5.596638281239381,13.016945450386109,-7.507029291966277,0.0,0.957675744145396,0.0,-2.218148199150915,0.0,0.0,3.2383609478240145,1.3439379454416551,0.0,2.050909400783672,0.0,0.3982304564953063,0.0,0.4530729432163329,-2.9895695563517446,-0.2239824728943019,-2.297838388086595,1.6016143370423523,0.0,-0.8611253598391255,0.0,-0.4463206511273868,0.0,0.6504225981629446,0.0,-0.6192044342189459,0.0,0.2912222023387908,0.0,1.9979334346784368,-2.0273777588356947,5.148165825392064,0.0,0.0309592677772043,-0.3300950076119985,1.2375104690433034,0.0,-0.4646162581306994,0.0,2.354705252598208,0.0,-1.4466741945353467,0.0,0.0,0.0,-3.425136562853639,0.0,0.878803419294495,0.0,0.0,0.0,-3.0558809544272694,0.0,0.2793113442355986,0.0,0.0,0.0,0.254928241651206,0.0,-2.2245969301331474,0.0,1.921774999091783,0.0,0.7151364971033577,0.0,-2.0178977087217835,0.0,3.051154375240896,-0.69374338831751,-0.4444251975202712,5.100263151384513,-6.370753369743822,0.0,-1.7214636641816603,0.0,1.8792214296937308,0.0,0.0,0.0,-1.956464225956062
Lasso (lambda=0.1),654,164,51.928566057010414,7.206147795945515,0.1777946267895696,47.87834946965516,6.919418289831535,0.1168590447669721,11.865853658536585,10.201873770457103,-0.0,0.0,0.0,-0.0,5.495379529354038,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.2612348257042605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.279294827848277,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0138745161934171,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,2.012608859334635,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),654,164,59.07751865757109,7.686190126296063,0.0646024536308781,52.962517443027416,7.27753512138742,0.0230789330817338,11.865853658536585,12.382978723404255,-0.0,0.0,0.0,-0.0,1.7053267658558868,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",654,164,36.966070283354966,6.079972885083861,0.414701696555981,45.02452933860853,6.7100319923684815,0.1694992352604463,11.865853658536585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),654,164,47.93658509626609,6.923625141229564,0.2410012285677562,51.07966708045839,7.147004063274232,0.0578090832681754,11.865853658536585,9.74671995035986,-0.3804621306911014,5.111787023747799,0.0,0.0,5.851335597257735,1.054876668506365,-4.398695301401904,0.0,0.5612781754275076,0.0,-2.1166506666407905,0.0,0.0,3.3866209545489365,0.7735592682020781,0.0,1.6903386279549215,0.0,0.0,0.0,0.0158689381330255,-3.032262747056194,-0.0,-1.0253854446105743,1.0500819770554355,0.0,-0.7541630575615205,0.0,-0.2253074660228853,0.0,0.0,0.0,-0.520389631853994,0.0,0.0,0.0,1.506638583087684,-0.5865357011908618,4.465419079705011,0.0,-0.0100734529713622,0.0,0.4687987106421416,0.0,-0.3893572830352411,0.0,1.935055795365639,0.0,-1.4457598878289786,0.0,0.0,0.0,-2.74662778793842,0.0,0.3037005962263598,0.0,0.0,0.0,-2.623992378380722,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4262566647758603,0.0,0.0,0.0,0.1060074662119451,0.0,-1.7918372976050043,0.0,2.578886900137873,0.0,-0.2701335978028981,5.6418249594105125,-5.188425742901512,0.0,-1.702799185891747,0.0,1.3964521468956177,0.0,0.0,0.0,-1.7372500107185809
