model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,364,92,17.393531212439903,4.170555264283151,0.3586599685411258,2.5315813241570164e+25,5031482211194.845,-1.0783312361689003e+24,5.8478260869565215,-46426094237620.42,30.25356075896803,-27.62697361013789,-2.276282545745545,0.2358742975322503,4.496496171931344,-5.503939780677738,-2.297068506554943,-8960288216310.979,-1834187757471.8115,10867271087496.512,-1834187757473.4224,-2200443217756.643,-1834187757477.9243,453741014179.2171,-1834187757473.7888,-860762193443.203,-1834187757472.316,-39756437631.43591,-1834187757470.752,-187565440040.5679,-1834187757469.204,242578789679.1675,-1834187757473.7727,42810937385.321686,-1834187757473.461,-7641902277.169937,-1834187757473.792,-70177006.68216683,-1834187757471.692,-313497.576239808,-72834.44984416105,228.3124139308929,-1834187757468.736,7.697265625,-1834187757471.837,48260281995101.58,-1834187757474.087,-0.00390625,-1834187757473.833,0.0,-1834187757473.151,0.0,-1834187757475.3127,0.0,-1834187757472.9668,0.0,-1834187757470.9536,48260281995104.72,-1834187757470.473,0.0,-1834187757471.569,0.0,0.0,0.0,-1834187757473.2087,0.0,0.0,0.0,-1834187757473.1191,48260281995094.52,-1834187757470.683,0.0,-1834187757471.7808,0.0,-1834187757471.9912,0.0,0.0,0.0,0.0,0.0,-1834187757474.096,0.0,0.0,0.0,-1834187757470.627,0.0,-1834187757471.962,0.0,0.0,0.0,-1834187757470.444,48260281995099.84,-1834187757472.7493,0.0,0.0,0.0,-1834187757472.5093
"Random Forest (100 estimators, 20 depth)",364,92,3.2297772986369857,1.797158117316611,0.880910583997369,16.37455926903381,4.046549056793184,0.3025229499914338,5.8478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",364,92,6.373544492288617,2.524587984659797,0.7649925610122547,16.15175255915325,4.018924303735173,0.3120134385094053,5.8478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",364,92,13.389434425199427,3.659157611418157,0.5063003486415479,15.820134339017676,3.9774532478732767,0.3261387712349497,5.8478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),364,92,17.857128046066478,4.225769521172029,0.3415660728720476,19.06893130994848,4.366798748505417,0.1877557289721405,5.8478260869565215,6.135308577215851,4.660741424072552,-0.9381986611724912,-1.4176151578983285,0.1673199030197803,4.659655877967531,-2.94472533124817,-2.301992637779267,0.0,0.5893772562524032,0.0,-0.8509294327940324,0.0,-3.347266230921055,0.0,-1.110368959380149,0.0,-0.0384078927370541,0.0,1.368115934588116,0.0,1.3920847390303963,0.0,-0.9769654192149853,0.0,-1.0225547982943803,0.0,-1.4485780410950444,0.0,0.2632181405715132,0.0,0.0,0.0,3.562867780163856,0.0,0.3715785927882225,1.5340903761944682,-1.6784574597541535,0.0,-1.1951778153303128,0.0,-0.7231098724845927,0.0,-2.8200956775941104,0.0,-0.5574290495279308,0.0,1.3549497717727097,2.8178349345844484,2.133057586558269,0.0,0.6895808248331938,0.0,0.0,0.0,-0.9056705661926386,0.0,0.0,0.0,0.5739713275739368,-4.880237032081427,1.6851578745700242,0.0,0.7457670988282867,0.0,0.174514686451734,0.0,0.0,0.0,0.0,0.0,-1.5911273316757597,0.0,0.0,0.0,1.508688493028315,0.0,0.3404248830544356,0.0,0.0,0.0,1.9223625766403645,0.5283117213029995,-0.1645590052654217,0.0,0.0,0.0,-0.2450200144433628
Ridge (lambda=0.1),364,92,17.50495013905954,4.183891745619088,0.354551693054648,19.57357909072302,4.424203780424565,0.1662601736020713,5.8478260869565215,7.227691017082771,16.245578343704473,-12.55220528324152,-1.6372945809123276,0.1950826118621235,4.61592625846661,-5.319890330547751,-2.5552368840271127,0.0,0.6204370246859631,0.0,-0.9653522413916252,0.0,-5.0124683722311705,0.0,-1.281468878861395,0.0,0.0372227816060293,0.0,1.605231042324475,0.0,2.8942482990578164,0.0,-1.211747085728531,0.0,-1.1283979498899277,0.0,-1.4351974681308697,0.0,0.4781395774811687,0.0,0.0,0.0,3.73743266535895,0.0,0.4731288175641733,2.058149226874023,-1.717215595496083,0.0,-1.3323982577411282,0.0,-0.7249915203076709,0.0,-3.000308455672162,0.0,-0.5766562956244001,0.0,1.4820732219885673,3.761001271201698,2.1898055049006864,0.0,0.7745233926568523,0.0,0.0,0.0,-0.8943281294640256,0.0,0.0,0.0,0.3238265277388527,-5.731168257928288,1.737064794242878,0.0,0.6937954639484702,0.0,0.2723469815702005,0.0,0.0,0.0,0.0,0.0,-1.705886841060949,0.0,0.0,0.0,1.68803473514285,0.0,0.4203503006953294,0.0,0.0,0.0,2.002805016449084,-0.0879822401427465,-0.2459601382686026,0.0,0.0,0.0,-0.1980889175348777
Lasso (lambda=0.1),364,92,20.609672375154133,4.539787701551046,0.2400733486490064,17.921299965525915,4.233355638914112,0.236639275176584,5.8478260869565215,5.377498624209694,0.4862477966957536,0.0,-0.0,0.0,4.15626253987545,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0816895065345655,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.5222851874073653,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3.812069202654023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),364,92,27.12060741456346,5.207744945229505,0.0,23.83352540913458,4.88195917733184,-0.015192941718074,5.8478260869565215,6.445054945054945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",364,92,12.836207613484625,3.582765358418637,0.5266991104855665,15.679615383969924,3.9597494092391656,0.3321241992777271,5.8478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),364,92,18.02178951608292,4.245207829551212,0.3354946207286854,18.967619590771267,4.355183072015604,0.1920711183430561,5.8478260869565215,6.333578565411777,3.2832975912199185,-0.0,-0.0,0.1187308488872968,4.6738024202430735,-3.316867616714656,-1.8165836664260315,0.0,0.3453636023125715,0.0,-0.6413420152228613,0.0,-3.167759991151445,0.0,-0.8226573212164733,0.0,-0.0,0.0,1.1787027269967798,0.0,0.0,0.0,-0.7103415324068706,0.0,-0.745135271912287,0.0,-1.3104487496990385,0.0,0.0,0.0,0.0,0.0,3.5840127917387328,0.0,0.1069067141159386,0.0725137638272257,-1.544229448771375,0.0,-1.016754700927563,0.0,-0.5042776110625979,0.0,-2.723644935968282,0.0,-0.2164635318008584,0.0,1.2241605713978922,1.808818214474908,2.008443539350525,0.0,0.4530268930891276,0.0,0.0,0.0,-0.6515028302261188,0.0,0.0,0.0,0.0,-5.3064654154280175,1.5747817786505751,0.0,0.4991700651896072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3774153292001323,0.0,0.0,0.0,1.3402039814578242,0.0,0.1223294202259119,0.0,0.0,0.0,1.831160750112448,-0.018582294155378,-0.0,0.0,0.0,0.0,-0.0
