,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1987-11-06,22-301,WSB,@,ATL,L (-17),1,33:00,5,12,0.417,0,0,,0,0,,1,2,3,6,4,0,2,2,10,10.3,
1,2,2,1987-11-07,22-302,WSB,,BOS,L (-1),1,28:00,4,7,0.571,0,0,,2,2,1.0,0,1,1,7,3,0,2,2,10,12.1,
2,3,3,1987-11-10,22-305,WSB,@,MIL,L (-15),1,32:00,3,4,0.75,1,1,1.0,0,0,,3,2,5,11,2,0,1,3,7,15.6,
3,4,4,1987-11-13,22-308,WSB,,NYK,W (+7),1,36:00,2,6,0.333,0,0,,4,5,0.8,2,0,2,5,1,0,4,2,8,5.3,
4,5,5,1987-11-15,22-310,WSB,@,NJN,W (+4),1,8:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,
5,6,6,1987-11-17,22-312,WSB,@,CHI,L (-4),1,22:00,0,3,0.0,0,0,,0,0,,0,1,1,6,4,0,1,3,0,4.2,
6,7,7,1987-11-18,22-313,WSB,,CHI,L (-2),1,20:00,0,2,0.0,0,0,,0,2,0.0,0,0,0,6,2,0,3,1,0,0.6,
7,8,8,1987-11-20,22-315,WSB,@,POR,L (-19),1,17:00,1,3,0.333,0,0,,0,0,,0,1,1,4,1,0,3,1,2,1.0,
8,9,9,1987-11-21,22-316,WSB,@,SEA,L (-21),1,26:00,2,7,0.286,0,0,,2,3,0.667,1,1,2,4,1,0,1,1,6,4.9,
9,10,10,1987-11-24,22-319,WSB,@,UTA,L (-17),1,24:00,2,7,0.286,0,0,,0,0,,0,1,1,2,4,0,0,2,4,4.8,
10,11,11,1987-11-25,22-320,WSB,@,LAC,W (+5),1,12:00,2,2,1.0,0,0,,0,0,,0,0,0,2,1,0,1,0,4,4.8,
11,12,12,1987-11-28,22-323,WSB,,DET,W (+22),1,10:00,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,4,3,0,-6.6,
12,13,13,1987-12-03,22-328,WSB,,ATL,L (-8),0,24:00,7,10,0.7,0,0,,2,2,1.0,0,1,1,7,1,0,1,3,16,15.8,
13,14,14,1987-12-05,22-330,WSB,,SEA,L (-16),0,15:00,0,3,0.0,0,0,,1,2,0.5,0,1,1,4,2,0,2,0,1,1.6,
14,15,15,1987-12-08,22-333,WSB,@,NYK,L (-24),0,21:00,2,4,0.5,0,1,0.0,1,2,0.5,0,3,3,5,1,0,0,2,5,7.2,
15,16,16,1987-12-09,22-334,WSB,,LAL,W (+8),0,41:00,2,7,0.286,0,0,,2,2,1.0,3,0,3,9,2,0,3,3,6,8.1,
16,17,17,1987-12-11,22-336,WSB,@,DET,L (-6),0,16:00,3,6,0.5,0,0,,1,1,1.0,0,1,1,4,0,0,2,1,7,4.7,
17,18,18,1987-12-12,22-337,WSB,@,NJN,W (+15),0,27:00,2,4,0.5,0,0,,2,2,1.0,0,5,5,8,2,0,0,2,6,12.3,
18,19,19,1987-12-15,22-340,WSB,,BOS,L (-20),0,14:00,1,3,0.333,0,0,,0,0,,0,1,1,2,1,0,0,3,2,1.8,
19,20,20,1987-12-17,22-342,WSB,,IND,W (+4),0,13:00,1,5,0.2,0,1,0.0,0,0,,0,1,1,6,0,0,0,1,2,3.0,
20,21,21,1987-12-19,22-344,WSB,,CHI,W (+13),0,23:00,3,3,1.0,0,0,,0,0,,0,1,1,9,5,0,0,1,6,16.3,
21,22,22,1987-12-22,22-347,WSB,,CLE,L (-4),0,14:00,0,2,0.0,0,0,,0,0,,1,1,2,6,1,0,4,1,0,0.4,
22,23,23,1987-12-26,22-351,WSB,@,MIL,L (-5),0,7:00,0,4,0.0,0,0,,0,0,,1,0,1,3,0,0,2,1,0,-2.4,
23,24,24,1987-12-30,22-355,WSB,,POR,L (-5),0,28:00,4,10,0.4,0,0,,0,0,,0,0,0,8,2,0,2,3,8,7.0,
24,25,25,1988-01-01,22-357,WSB,,DEN,L (-15),0,25:00,5,10,0.5,0,1,0.0,1,2,0.5,1,2,3,10,0,0,3,3,11,9.7,
25,26,26,1988-01-02,22-358,WSB,,HOU,L (-11),0,38:00,5,14,0.357,0,0,,3,3,1.0,1,1,2,14,4,0,2,2,13,17.2,
26,27,27,1988-01-05,22-361,WSB,,NJN,W (+4),1,36:00,2,5,0.4,0,0,,1,2,0.5,0,4,4,12,3,0,5,0,5,9.5,
27,28,28,1988-01-08,22-364,WSB,@,BOS,L (-16),1,10:00,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.9,
