model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,636,160,15.727799033107882,3.965828921311141,0.1097097247127849,12.175019153395374,3.48927200908662,-0.0556136636419479,5.4375,4.28332838501073,2.949135288477728,1.0922261976241896,3.8688053651063488,0.449342439301806,1.809920300900457,-3.274654848680941,-2.17138946693482,-2.5757174171303632e-14,1.802131510639449,2.2926105458509483e-14,-1.0868541525680175,-1.376676550535194e-14,2.490420448026801,3.552713678800501e-15,-0.2593188794773258,1.6653345369377348e-15,-1.3095367982449515,0.0,-1.6723080192595563,1.249000902703301e-16,-2.220446049250313e-16,-4.440892098500626e-16,-0.7420093928638103,-1.6653345369377348e-16,-0.5342217153227871,-3.3306690738754696e-16,-0.5247444458532156,1.1102230246251563e-16,0.1187818809846794,-1.6653345369377348e-16,2.220446049250313e-16,1.3877787807814454e-16,-0.7553888397088621,0.0,2.70663932288324,0.0,0.0402322225136581,0.0,0.5751317090975134,0.0,-0.2785003242833788,0.0,0.8973539121626428,0.0,-0.377869258453958,0.0,-0.1076863733236994,0.0,-0.1730857652441609,0.0,1.451837697840085,0.0,0.0,0.0,-0.599537656058426,0.0,0.0,0.0,0.0,0.0,0.0350311806988672,0.0,-0.49642552166774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353291874955256,0.0,0.0,0.0,-1.1204513825954805,0.0,-0.3492626875160034,0.0,0.0,0.0,-1.0654338968689323,0.0,0.4365490222466002,0.0,0.0,0.0,0.5452343272614083
"Random Forest (100 estimators, 20 depth)",636,160,2.8451520960325225,1.6867578652647577,0.8389468712387116,11.53124442797701,3.3957686063654293,0.0002036938419988,5.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",636,160,6.252500172834828,2.500499984570052,0.6460699880263853,11.367548983276857,3.3715795976480902,0.0143966200234114,5.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",636,160,12.213149668737495,3.49473170196762,0.3086605215506962,10.292508695957933,3.208193992881031,0.1076061010075084,5.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),636,160,15.740905676001589,3.967481024025394,0.1089678080157717,12.04779370169972,3.470993186639772,-0.0445828041844909,5.4375,4.290704931801695,1.7161757612460076,1.7159363470908209,0.8073701976245545,0.4657513712027201,1.7594007032521175,-0.2476568065307913,-1.8376856463332425,0.0,1.8079344725925104,0.0,-0.9519694271127194,0.0,2.3678981249765734,0.0,-0.1793883041505789,0.0,-1.2220932597092362,0.0,-1.478662869454141,0.0,0.0,0.0,-0.6638088690870841,0.0,-0.4346042532406756,0.0,-0.4624193199734982,0.0,0.1288658972988245,0.0,0.0,0.0,-0.6656566884257736,0.0,1.314577730513885,0.0,0.0770502165553842,0.0,0.6141175561930451,0.0,-0.1953901454515071,0.0,0.8705665262045782,0.0,-0.2955049169274096,0.0,-0.0747020386226277,0.0,-0.151424235107547,0.0,1.2093638578399075,0.0,0.0,0.0,-0.5212041565643186,0.0,0.0,0.0,0.0,0.0,0.0761288551496834,0.0,-0.421577402952913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187210708509525,0.0,0.0,0.0,-1.0289593243694275,0.0,-0.2861241673448586,0.0,0.0,0.0,-0.9434908780253148,0.0,0.5041707610323227,0.0,0.0,0.0,0.5875851873116861
Ridge (lambda=0.1),636,160,15.72896570802095,3.965976009511524,0.1096436837284526,12.134567261318145,3.4834705770708245,-0.0521063533487247,5.4375,4.276557432980399,2.3021832876088046,1.6286681849288118,2.498719676134423,0.4553863806868711,1.801325677201297,-1.8632598952894144,-2.162951567036936,0.0,1.801528013880603,0.0,-1.0693545253475352,0.0,2.474746025404798,0.0,-0.2429962729216486,0.0,-1.298704816327202,0.0,-1.6366935050222773,0.0,0.0,0.0,-0.7318955568854035,0.0,-0.5192624571131241,0.0,-0.5269740119367536,0.0,0.1349979034634015,0.0,0.0,0.0,-0.7422225088861358,0.0,2.4853607601521923,0.0,0.0396902110059764,0.0,0.5816050565779194,0.0,-0.2654941496207825,0.0,0.8962088522471628,0.0,-0.3673103738154145,0.0,-0.1123882980650096,0.0,-0.1745922326645878,0.0,1.4527834276222544,0.0,0.0,0.0,-0.5858723812967765,0.0,0.0,0.0,0.0,0.0,0.0408552128914574,0.0,-0.4967807559099533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3676987598903322,0.0,0.0,0.0,-1.1222038962006304,0.0,-0.3411888572695289,0.0,0.0,0.0,-1.0467368024508894,0.0,0.451339392720577,0.0,0.0,0.0,0.5538577858746011
Lasso (lambda=0.1),636,160,16.712025728031737,4.088034457784295,0.0539964330230682,11.277960481333055,3.358267482100414,0.0221642338206116,5.4375,5.207523548384799,0.0,0.3046542949526431,-0.0,0.1200888695169482,1.3943905652342912,-0.0,0.0,0.0,0.3068655960420114,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),636,160,17.665922530754322,4.20308488264921,0.0,11.93859790949725,3.455227620504509,-0.03511517470409,5.4375,6.073899371069182,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",636,160,12.063158412056104,3.47320578314273,0.317150950308112,10.325407986709696,3.213317286965247,0.1047536257543579,5.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),636,160,15.85956744623208,3.982407242640069,0.1022508211149227,11.96393126421621,3.4588916236586846,-0.0373116587547754,5.4375,4.3925596657115005,0.0,1.8923051508426867,0.0,0.4522158704205956,1.5908517702210443,0.0,-0.5377982300782039,0.0,1.9100659374689395,0.0,-0.3539803990265935,0.0,2.300371457221636,0.0,0.0,0.0,-0.8831324823579377,0.0,-0.9374393603198606,0.0,0.0,0.0,-0.2796229063160266,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.2493095374225445,0.0,0.0,0.0,0.0,0.0,0.6687106905191239,0.0,0.0,0.0,0.5915085013215574,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.1119110030211255,0.0,0.0,0.0,-0.1546618313341481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5113556913407904,0.0,0.0,0.0,-0.4608451089138133,0.0,-0.0,0.0,0.0,0.0,-0.4337776311114155,0.0,0.577734801666817,0.0,0.0,0.0,0.6049157126834227
