,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,24-297,MIN,,SAC,L (-1),0,11:52,3,3,1.0,0,0,,0,0,,0,1,1,0,0,0,1,4,6,2.8,-2
1,2,2,2010-10-29,24-299,MIN,,MIL,W (+11),0,6:58,1,3,0.333,0,0,,0,0,,1,0,1,0,0,1,0,4,2,0.1,3
2,3,3,2010-10-30,24-300,MIN,@,MEM,L (-20),0,13:44,3,5,0.6,0,0,,1,2,0.5,3,2,5,1,0,0,3,4,7,3.1,-5
3,4,4,2010-11-02,24-303,MIN,@,MIA,L (-32),0,27:12,4,10,0.4,0,0,,4,4,1.0,4,4,8,0,1,0,3,2,12,7.8,-13
4,5,5,2010-11-03,24-304,MIN,@,ORL,L (-42),0,13:51,1,3,0.333,0,0,,2,4,0.5,1,0,1,0,0,0,1,6,4,-1.2,-26
5,6,6,2010-11-05,24-306,MIN,,ATL,L (-10),0,13:21,2,6,0.333,0,0,,0,0,,1,0,1,0,0,0,1,3,4,-0.9,0
6,7,7,2010-11-07,24-308,MIN,@,HOU,L (-26),0,21:49,3,9,0.333,0,0,,6,7,0.857,7,4,11,1,0,0,2,3,12,10.1,-12
7,8,8,2010-11-09,24-310,MIN,@,LAL,L (-5),0,1:26,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,0
8,9,9,2010-11-10,24-311,MIN,@,SAC,W (+9),0,16:26,2,4,0.5,0,0,,0,0,,1,3,4,1,0,1,0,4,4,3.4,14
9,10,10,2010-11-12,24-313,MIN,,NYK,W (+9),0,7:04,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,4,2.3,-1
10,20,11,2010-12-04,24-335,MIN,,CLE,W (+34),0,11:47,3,5,0.6,0,0,,1,2,0.5,1,6,7,1,0,0,2,3,7,4.3,0
11,21,12,2010-12-06,24-337,MIN,@,NYK,L (-7),0,8:55,0,3,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,2,1,-2.3,-13
12,22,13,2010-12-08,24-339,MIN,,OKC,L (-8),0,24:56,6,10,0.6,0,0,,3,4,0.75,3,0,3,1,1,3,1,4,15,13.3,-7
13,23,14,2010-12-10,24-341,MIN,,DET,W (+10),0,10:36,2,3,0.667,0,0,,2,2,1.0,1,0,1,0,0,2,1,2,6,5.0,8
14,24,15,2010-12-11,24-342,MIN,@,CHI,L (-31),0,23:59,2,5,0.4,0,0,,1,2,0.5,3,1,4,0,0,4,6,4,5,-0.5,-22
15,25,16,2010-12-14,24-345,MIN,@,GSW,L (-9),0,6:28,1,2,0.5,0,0,,0,1,0.0,2,1,3,0,0,0,2,2,2,-0.5,0
16,26,17,2010-12-15,24-346,MIN,@,PHO,L (-6),0,5:09,1,1,1.0,0,0,,1,2,0.5,0,0,0,1,1,0,0,0,3,4.0,5
17,27,18,2010-12-17,24-348,MIN,@,POR,L (-5),0,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
18,32,19,2010-12-27,24-358,MIN,,NOH,W (+15),0,12:46,0,2,0.0,0,0,,0,0,,0,5,5,0,1,2,0,3,0,1.3,11
19,33,20,2010-12-29,24-360,MIN,,DEN,L (-6),0,19:38,2,5,0.4,0,0,,0,0,,2,4,6,2,0,3,2,3,4,4.2,1
20,34,21,2011-01-01,24-363,MIN,,NJN,W (+15),0,20:12,2,5,0.4,0,0,,4,4,1.0,3,2,5,0,1,0,1,5,8,6.0,4
21,35,22,2011-01-03,25-000,MIN,@,BOS,L (-3),0,21:11,1,6,0.167,0,0,,2,2,1.0,1,0,1,0,0,0,0,3,4,-0.3,-9
22,36,23,2011-01-05,25-002,MIN,,CHA,L (-3),0,3:52,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-6
23,38,24,2011-01-09,25-006,MIN,@,SAS,L (-3),0,9:30,1,2,0.5,0,0,,3,4,0.75,2,1,3,0,0,0,0,2,5,4.5,-3
24,39,25,2011-01-11,25-008,MIN,,SAS,L (-11),0,8:21,2,3,0.667,0,0,,1,1,1.0,1,2,3,1,1,0,3,2,5,2.9,3
25,40,26,2011-01-13,25-010,MIN,,WAS,W (+12),0,10:06,1,2,0.5,0,0,,0,0,,2,0,2,0,1,0,3,3,2,-0.8,-6
26,41,27,2011-01-15,25-012,MIN,,ORL,L (-9),0,17:51,3,6,0.5,0,0,,2,2,1.0,3,3,6,0,0,0,2,6,8,3.6,-6
27,42,28,2011-01-17,25-014,MIN,@,POR,L (-11),0,10:13,3,3,1.0,0,0,,3,6,0.5,1,0,1,1,0,0,1,3,9,6.1,4
28,44,29,2011-01-24,25-021,MIN,,HOU,L (-4),0,17:38,3,4,0.75,0,0,,2,2,1.0,0,4,4,0,0,1,1,2,8,6.5,-10
29,45,30,2011-01-26,25-023,MIN,,OKC,L (-1),0,14:09,1,5,0.2,0,0,,2,2,1.0,1,3,4,0,0,1,1,0,4,2.2,-8
30,46,31,2011-01-28,25-025,MIN,@,UTA,L (-8),0,6:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
31,47,32,2011-01-29,25-026,MIN,,TOR,W (+16),0,21:23,3,5,0.6,0,0,,0,0,,1,2,3,0,1,3,2,3,6,4.9,-4
32,48,33,2011-02-02,25-030,MIN,,MEM,L (-18),0,14:20,3,5,0.6,0,0,,0,0,,1,1,2,0,0,1,1,4,6,2.8,-9
33,49,34,2011-02-04,25-032,MIN,@,TOR,L (-11),0,3:51,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-3
34,50,35,2011-02-05,25-033,MIN,,DEN,L (-13),0,9:31,0,2,0.0,0,0,,1,2,0.5,2,1,3,0,0,1,1,4,1,-1.0,-1
35,51,36,2011-02-07,25-035,MIN,@,NOH,W (+12),0,13:07,4,4,1.0,0,0,,4,4,1.0,1,2,3,1,1,1,2,4,12,10.9,-2
36,52,37,2011-02-08,25-036,MIN,@,HOU,W (+4),1,19:07,2,6,0.333,0,0,,2,2,1.0,4,3,7,1,0,0,0,3,6,5.8,-7
37,53,38,2011-02-11,25-039,MIN,@,IND,L (-11),1,22:44,6,9,0.667,0,0,,3,3,1.0,4,2,6,0,0,0,1,5,15,11.5,-15
38,54,39,2011-02-12,25-040,MIN,,PHI,L (-20),1,28:31,2,2,1.0,0,0,,2,2,1.0,2,7,9,2,0,3,3,3,6,8.2,-10
39,55,40,2011-02-14,25-042,MIN,,POR,L (-14),0,9:55,2,4,0.5,0,0,,0,0,,1,1,2,1,0,0,0,3,4,2.5,6
40,56,41,2011-02-16,25-044,MIN,,LAC,L (-8),0,7:08,0,2,0.0,0,0,,4,4,1.0,2,3,5,0,0,1,0,1,4,5.2,6
41,57,42,2011-02-22,25-050,MIN,@,MIL,L (-6),0,14:14,2,3,0.667,0,0,,1,4,0.25,1,1,2,1,0,0,0,2,5,3.4,-1
42,58,43,2011-02-23,25-051,MIN,,MEM,L (-9),0,16:41,1,4,0.25,0,0,,0,0,,5,2,7,1,1,0,2,3,2,2.2,2
43,59,44,2011-02-25,25-053,MIN,,NOH,L (-14),0,13:45,1,4,0.25,0,0,,0,0,,1,2,3,1,1,0,1,1,2,1.2,-7
44,60,45,2011-02-27,25-055,MIN,,GSW,W (+3),0,8:42,4,5,0.8,0,0,,3,3,1.0,2,0,2,0,0,0,1,3,11,8.3,-16
45,61,46,2011-03-01,25-057,MIN,,LAL,L (-11),0,8:25,0,0,,0,0,,0,0,,0,1,1,0,0,1,3,4,0,-3.6,6
46,62,47,2011-03-02,25-058,MIN,@,DET,W (+11),1,12:25,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,2,3,2,-2.6,0
47,63,48,2011-03-04,25-060,MIN,@,PHI,L (-11),1,13:46,6,8,0.75,0,0,,4,4,1.0,0,1,1,0,0,1,2,4,16,10.2,6
48,64,49,2011-03-05,25-061,MIN,@,WAS,L (-7),1,26:22,6,7,0.857,0,0,,1,2,0.5,4,4,8,1,0,0,3,4,13,10.2,-3
49,65,50,2011-03-07,25-063,MIN,,DAL,L (-3),0,13:29,2,4,0.5,0,0,,2,4,0.5,0,2,2,1,0,0,2,2,6,1.7,3
50,66,51,2011-03-09,25-065,MIN,,IND,W (+26),0,4:35,3,3,1.0,0,0,,0,0,,0,0,0,0,0,0,0,4,6,3.5,-3
51,67,52,2011-03-11,25-067,MIN,,UTA,W (+21),0,15:03,2,5,0.4,0,0,,5,6,0.833,0,2,2,1,1,0,1,2,9,6.4,10
52,68,53,2011-03-13,25-069,MIN,@,GSW,L (-23),0,4:43,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-2
53,69,54,2011-03-16,25-072,MIN,@,UTA,L (-15),0,5:16,0,3,0.0,0,0,,0,0,,1,0,1,0,0,0,1,3,0,-3.6,-16
54,70,55,2011-03-18,25-074,MIN,@,LAL,L (-8),0,15:50,4,8,0.5,0,0,,1,2,0.5,1,1,2,1,1,0,1,3,9,5.1,-1
55,71,56,2011-03-20,25-076,MIN,,SAC,L (-32),0,19:51,1,3,0.333,0,0,,0,0,,1,2,3,0,0,1,3,4,2,-2.3,-13
56,72,57,2011-03-24,25-080,MIN,@,DAL,L (-8),0,17:47,1,2,0.5,0,0,,0,2,0.0,0,2,2,0,0,0,0,2,2,0.0,-1
57,73,58,2011-03-25,25-081,MIN,@,OKC,L (-8),0,13:15,1,4,0.25,0,0,,1,2,0.5,2,2,4,1,0,1,2,3,3,0.4,-6
58,76,59,2011-04-01,25-088,MIN,,MIA,L (-19),0,3:23,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-11
59,77,60,2011-04-02,25-089,MIN,@,MEM,L (-17),1,29:58,6,9,0.667,0,0,,2,2,1.0,2,4,6,0,2,2,4,5,14,10.1,-1
60,78,61,2011-04-05,25-092,MIN,@,NJN,L (-2),1,17:55,5,7,0.714,0,0,,2,2,1.0,1,2,3,0,0,0,5,3,12,4.2,-4
61,79,62,2011-04-06,25-093,MIN,,PHO,L (-10),0,19:00,3,4,0.75,0,0,,2,2,1.0,0,2,2,0,1,0,1,2,8,6.2,-1
62,80,63,2011-04-09,25-096,MIN,@,DEN,L (-24),1,18:46,2,3,0.667,0,0,,0,0,,1,2,3,2,0,1,4,5,4,0.1,-1
63,81,64,2011-04-11,25-098,MIN,@,PHO,L (-8),1,13:17,4,6,0.667,0,0,,2,2,1.0,2,1,3,0,1,0,1,2,10,8.3,-2
64,82,65,2011-04-13,25-100,MIN,,HOU,L (-19),1,11:58,3,7,0.429,0,0,,4,5,0.8,2,0,2,1,1,0,2,3,10,5.8,-12
65,7,1,2012-01-06,26-003,MIN,,CLE,L (-11),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2
66,8,2,2012-01-08,26-005,MIN,@,WAS,W (+21),0,2:15,0,1,0.0,0,0,,0,0,,2,0,2,0,0,0,1,0,0,-0.3,0
67,12,3,2012-01-14,26-011,MIN,@,ATL,L (-2),0,17:00,3,4,0.75,0,0,,1,1,1.0,3,0,3,1,0,0,3,3,7,4.0,7
68,13,4,2012-01-16,26-013,MIN,,SAC,W (+13),0,16:23,2,5,0.4,0,0,,1,2,0.5,3,0,3,0,2,0,1,4,5,3.4,6
69,14,5,2012-01-18,26-015,MIN,,DET,W (+8),0,23:39,4,6,0.667,0,0,,3,4,0.75,1,0,1,0,2,1,4,4,11,5.8,15
70,15,6,2012-01-20,26-017,MIN,@,LAC,W (+3),0,11:29,4,4,1.0,0,0,,0,0,,1,1,2,0,1,0,0,3,8,7.6,9
71,16,7,2012-01-21,26-018,MIN,@,UTA,L (-10),0,17:20,4,8,0.5,0,0,,0,0,,1,1,2,0,0,2,2,3,8,3.2,-9
72,17,8,2012-01-23,26-020,MIN,,HOU,L (-15),0,9:33,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,2
73,18,9,2012-01-25,26-022,MIN,@,DAL,W (+15),0,20:00,4,5,0.8,0,0,,5,5,1.0,4,2,6,0,1,1,4,1,13,11.8,14
74,19,10,2012-01-27,26-024,MIN,,SAS,W (+8),1,33:23,7,13,0.538,0,0,,0,2,0.0,6,4,10,2,1,0,1,5,14,11.7,11
75,20,11,2012-01-29,26-026,MIN,,LAL,L (-5),1,19:30,5,8,0.625,0,0,,3,3,1.0,7,2,9,0,0,1,2,4,13,12.0,-16
76,21,12,2012-01-30,26-027,MIN,@,HOU,W (+12),1,18:49,4,6,0.667,0,0,,0,0,,4,3,7,0,0,0,2,3,8,5.9,14
77,22,13,2012-02-01,26-029,MIN,,IND,L (-10),0,29:31,5,11,0.455,0,0,,3,6,0.5,5,7,12,0,0,0,2,3,13,8.5,2
78,23,14,2012-02-03,26-031,MIN,@,NJN,W (+3),0,33:48,11,14,0.786,0,0,,5,6,0.833,7,4,11,1,1,0,3,4,27,24.4,11
79,24,15,2012-02-04,26-032,MIN,,HOU,W (+9),1,29:31,4,7,0.571,0,0,,3,4,0.75,4,5,9,0,0,1,1,1,11,10.9,10
80,25,16,2012-02-07,26-035,MIN,,SAC,W (+2),1,36:33,9,12,0.75,0,0,,5,5,1.0,3,7,10,0,3,2,4,5,23,20.8,2
81,26,17,2012-02-08,26-036,MIN,@,MEM,L (-5),1,28:28,5,8,0.625,0,0,,0,2,0.0,3,6,9,0,1,0,1,0,10,9.5,-11
82,27,18,2012-02-10,26-038,MIN,,DAL,L (-7),1,27:36,6,14,0.429,0,0,,0,0,,3,4,7,0,1,1,3,2,12,5.8,-23
83,28,19,2012-02-11,26-039,MIN,,NYK,L (-2),1,29:41,9,10,0.9,0,0,,3,3,1.0,6,7,13,2,1,1,4,4,21,21.4,-1
84,29,20,2012-02-13,26-041,MIN,@,ORL,L (-13),1,32:33,6,13,0.462,0,0,,4,6,0.667,7,6,13,0,1,1,1,1,16,15.5,-2
85,30,21,2012-02-15,26-043,MIN,,CHA,W (+12),1,43:31,10,17,0.588,0,0,,1,2,0.5,5,6,11,2,0,3,4,2,21,16.7,11
86,31,22,2012-02-17,26-045,MIN,@,HOU,W (+13),1,42:22,13,20,0.65,0,0,,4,5,0.8,9,3,12,1,3,3,6,2,30,27.0,18
87,32,23,2012-02-19,26-047,MIN,,PHI,W (+1),1,37:04,4,7,0.571,0,0,,9,10,0.9,5,4,9,1,0,2,3,2,17,16.3,-1
88,33,24,2012-02-20,26-048,MIN,@,DEN,L (-2),1,15:06,3,10,0.3,0,0,,1,1,1.0,6,1,7,1,0,1,0,1,7,6.7,4
89,34,25,2012-02-22,26-050,MIN,,UTA,W (+2),1,32:29,3,11,0.273,0,0,,9,10,0.9,8,4,12,0,0,0,1,2,15,13.1,-12
90,35,26,2012-02-28,26-056,MIN,@,LAC,W (+12),1,22:18,4,7,0.571,0,0,,4,4,1.0,3,1,4,1,0,0,0,1,12,11.4,-5
91,36,27,2012-02-29,26-057,MIN,@,LAL,L (-19),1,26:03,5,11,0.455,0,0,,0,0,,4,3,7,1,2,0,3,0,10,7.7,-24
92,37,28,2012-03-01,26-058,MIN,@,PHO,L (-9),1,37:17,6,12,0.5,0,0,,2,2,1.0,6,3,9,0,0,1,2,3,14,10.6,-4
93,38,29,2012-03-03,26-060,MIN,@,POR,W (+12),1,30:19,3,6,0.5,0,0,,3,5,0.6,1,3,4,1,0,1,4,3,9,3.0,15
94,41,30,2012-03-09,26-066,MIN,,LAL,L (-3),1,40:01,8,14,0.571,0,0,,9,10,0.9,6,7,13,2,1,0,0,4,25,25.1,3
95,42,31,2012-03-10,26-067,MIN,,NOH,L (-6),1,34:49,9,13,0.692,0,0,,3,4,0.75,6,5,11,0,0,1,4,3,21,16.3,7
96,43,32,2012-03-12,26-069,MIN,@,PHO,W (+3),1,36:07,11,17,0.647,0,0,,2,4,0.5,5,3,8,1,2,0,3,3,24,18.6,4
97,44,33,2012-03-15,26-072,MIN,@,UTA,L (-6),1,36:32,7,12,0.583,0,0,,6,8,0.75,4,5,9,2,0,0,1,3,20,17.1,2
98,45,34,2012-03-16,26-073,MIN,@,LAL,L (-5),1,39:27,6,18,0.333,0,0,,8,12,0.667,7,5,12,0,1,1,3,2,20,12.5,-5
99,47,35,2012-03-19,26-076,MIN,@,GSW,W (+4),1,11:19,2,5,0.4,0,0,,2,2,1.0,0,2,2,1,1,1,1,0,6,5.3,-1
100,55,36,2012-04-02,26-090,MIN,@,SAC,L (-8),0,19:18,7,8,0.875,0,0,,3,4,0.75,2,2,4,2,0,0,1,4,17,14.6,1
101,56,37,2012-04-04,26-092,MIN,,GSW,L (-3),1,22:34,4,5,0.8,0,0,,2,3,0.667,1,2,3,0,1,0,1,0,10,9.0,-10
102,57,38,2012-04-07,26-095,MIN,@,NOH,L (-9),1,25:50,4,9,0.444,0,0,,3,3,1.0,3,3,6,0,0,1,0,2,11,9.2,-4
103,58,39,2012-04-09,26-097,MIN,,PHO,L (-24),1,29:38,3,6,0.5,0,0,,5,6,0.833,1,1,2,0,2,0,2,1,11,8.2,-13
104,59,40,2012-04-11,26-099,MIN,@,DEN,L (-6),1,18:36,5,6,0.833,0,0,,2,2,1.0,1,1,2,2,0,0,1,2,12,10.4,-9
105,60,41,2012-04-12,26-100,MIN,,LAC,L (-13),1,32:38,6,12,0.5,0,0,,5,8,0.625,3,3,6,1,0,0,0,0,17,13.5,-14
