Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2011-12-28,21-065,PHI,@,PHO,W (+20),0,20:07,3,6,0.5,0,0,,0,0,,3,3,6,2,1,0,2,2,6,5.6,-3
3,2,2011-12-30,21-067,PHI,@,UTA,L (-3),0,9:02,0,1,0.0,0,0,,0,0,,0,2,2,0,1,0,0,1,0,0.5,-3
4,3,2011-12-31,21-068,PHI,@,GSW,W (+28),0,7:26,2,2,1.0,1,1,1.0,0,0,,0,2,2,2,1,1,0,2,5,7.3,5
6,4,2012-01-06,21-074,PHI,,DET,W (+23),0,2:47,3,3,1.0,0,0,,0,0,,1,1,2,0,0,0,1,1,6,4.7,3
7,5,2012-01-07,21-075,PHI,,TOR,W (+35),0,19:42,4,7,0.571,0,0,,1,2,0.5,6,4,10,2,1,2,0,3,9,13.3,17
8,6,2012-01-09,21-077,PHI,,IND,W (+10),0,17:11,5,8,0.625,1,1,1.0,0,0,,2,6,8,1,0,0,0,4,11,9.7,15
9,7,2012-01-10,21-078,PHI,,SAC,W (+27),0,19:26,2,3,0.667,0,0,,0,0,,1,4,5,1,1,0,2,5,4,2.3,22
10,8,2012-01-11,21-079,PHI,@,NYK,L (-6),0,11:40,0,2,0.0,0,0,,0,0,,2,3,5,0,0,1,1,2,0,-0.2,-19
11,9,2012-01-13,21-081,PHI,,WAS,W (+31),0,16:36,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,0,2,2,1.2,7
12,10,2012-01-14,21-082,PHI,@,WAS,W (+13),0,10:06,1,4,0.25,0,0,,0,2,0.0,2,2,4,1,0,1,0,1,2,1.8,12
14,11,2012-01-18,21-086,PHI,,DEN,L (-4),1,11:48,1,2,0.5,0,0,,0,0,,0,3,3,0,0,2,0,4,2,1.7,2
15,12,2012-01-20,21-088,PHI,,ATL,W (+14),1,29:04,4,11,0.364,0,2,0.0,0,0,,2,5,7,1,1,1,1,1,8,5.8,11
16,13,2012-01-21,21-089,PHI,@,MIA,L (-21),1,24:25,6,9,0.667,0,0,,1,3,0.333,4,5,9,1,0,0,0,1,13,12.9,-7
23,14,2012-02-03,21-102,PHI,,MIA,L (-20),0,4:37,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-3
24,15,2012-02-04,21-103,PHI,@,ATL,W (+11),0,20:36,7,10,0.7,1,1,1.0,0,0,,0,3,3,0,0,0,0,2,15,10.9,3
25,16,2012-02-06,21-105,PHI,,LAL,W (+5),0,24:55,4,10,0.4,0,1,0.0,0,0,,1,5,6,1,0,2,0,0,8,6.9,9
26,17,2012-02-08,21-107,PHI,,SAS,L (-10),1,14:41,0,4,0.0,0,0,,0,0,,2,4,6,0,0,0,4,3,0,-5.4,-9
27,18,2012-02-10,21-109,PHI,,LAC,L (-1),1,11:30,1,2,0.5,0,0,,0,0,,2,2,4,0,0,2,1,2,2,2.6,-3
28,19,2012-02-11,21-110,PHI,@,CLE,W (+15),0,23:46,5,8,0.625,0,0,,0,0,,0,4,4,1,1,0,0,2,10,8.5,14
29,20,2012-02-13,21-112,PHI,@,CHA,W (+9),0,26:46,4,8,0.5,0,0,,0,0,,2,8,10,1,0,2,0,4,8,8.3,9
30,21,2012-02-15,21-114,PHI,@,ORL,L (-16),0,22:09,5,10,0.5,0,0,,0,0,,2,3,5,0,2,0,1,3,10,7.1,-3
31,22,2012-02-17,21-116,PHI,,DAL,L (-7),0,19:16,7,8,0.875,0,0,,2,2,1.0,3,4,7,0,1,1,2,3,16,15.0,8
32,23,2012-02-19,21-118,PHI,@,MIN,L (-1),0,15:37,4,8,0.5,0,0,,0,0,,1,3,4,0,2,2,0,4,8,7.4,-3
33,24,2012-02-21,21-120,PHI,@,MEM,L (-13),0,13:35,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,0,4,2,-1.0,-12
34,25,2012-02-22,21-121,PHI,@,HOU,L (-6),0,27:51,8,12,0.667,0,0,,2,2,1.0,5,3,8,1,1,3,3,1,18,17.6,3
35,26,2012-02-28,21-127,PHI,@,DET,W (+29),0,23:37,3,8,0.375,0,1,0.0,0,0,,2,3,5,0,0,2,0,2,6,4.5,16
36,27,2012-02-29,21-128,PHI,,OKC,L (-4),0,13:18,1,3,0.333,0,0,,0,0,,2,2,4,2,0,0,1,4,2,1.1,-3
37,28,2012-03-02,21-130,PHI,,GSW,W (+22),0,14:51,2,7,0.286,0,0,,0,0,,2,1,3,1,0,1,1,4,4,0.4,9
38,29,2012-03-04,21-132,PHI,,CHI,L (-5),0,21:59,7,13,0.538,0,0,,0,0,,3,5,8,1,0,0,0,1,14,11.6,2
39,30,2012-03-05,21-133,PHI,@,MIL,L (-4),1,17:16,3,8,0.375,0,0,,0,0,,2,1,3,0,0,1,0,3,6,2.8,-21
40,31,2012-03-07,21-135,PHI,,BOS,W (+32),0,29:40,7,15,0.467,0,1,0.0,0,0,,5,7,12,0,1,1,1,3,14,11.4,22
41,32,2012-03-09,21-137,PHI,,UTA,W (+13),0,17:59,2,5,0.4,0,0,,2,4,0.5,2,3,5,1,1,1,0,1,6,6.8,15
42,33,2012-03-11,21-139,PHI,@,NYK,W (+12),1,20:14,0,2,0.0,0,0,,0,0,,0,3,3,0,0,1,1,1,0,-1.2,-2
43,34,2012-03-14,21-142,PHI,@,IND,L (-17),0,10:15,0,3,0.0,0,0,,0,0,,1,2,3,0,0,1,2,2,0,-2.9,-4
44,35,2012-03-16,21-144,PHI,,MIA,L (-6),1,14:57,4,9,0.444,0,0,,1,1,1.0,1,3,4,1,0,0,2,1,9,4.2,-3
45,36,2012-03-17,21-145,PHI,@,CHI,L (-9),0,14:59,0,4,0.0,0,0,,2,2,1.0,0,4,4,0,0,0,0,2,2,-0.4,-2
46,37,2012-03-19,21-147,PHI,@,CHA,W (+25),0,11:05,0,3,0.0,0,0,,0,0,,1,2,3,2,1,0,1,3,0,-0.6,1
49,38,2012-03-25,21-153,PHI,@,SAS,L (-17),0,12:44,0,2,0.0,0,0,,2,6,0.333,1,2,3,0,0,0,0,1,2,-0.1,8
50,39,2012-03-27,21-155,PHI,,CLE,W (+18),0,1:27,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
51,40,2012-03-30,21-158,PHI,@,WAS,L (-21),0,9:28,1,4,0.25,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-0.1,-19
54,41,2012-04-04,21-163,PHI,,TOR,L (-21),0,3:05,0,2,0.0,0,0,,0,0,,2,0,2,0,0,0,0,0,0,0.0,-7
56,42,2012-04-08,21-167,PHI,@,BOS,L (-24),0,28:37,6,10,0.6,0,0,,2,4,0.5,2,11,13,1,1,2,0,4,14,14.8,-4
57,43,2012-04-10,21-169,PHI,@,NJN,W (+19),1,15:44,2,5,0.4,0,0,,0,0,,2,6,8,0,0,1,1,4,4,2.6,-7
58,44,2012-04-11,21-170,PHI,@,TOR,W (+18),1,19:56,5,9,0.556,0,0,,2,2,1.0,1,4,5,3,0,0,0,2,12,10.9,-4
59,45,2012-04-13,21-172,PHI,,NJN,L (-6),1,11:22,1,4,0.25,0,0,,0,0,,2,3,5,0,0,1,2,1,2,0.2,-3
61,46,2012-04-17,21-176,PHI,,IND,L (-5),1,11:29,1,5,0.2,0,0,,0,2,0.0,1,1,2,0,0,0,0,5,2,-2.9,-8
62,47,2012-04-18,21-177,PHI,@,CLE,W (+16),1,7:58,0,0,,0,0,,0,0,,0,3,3,0,0,0,3,3,0,-3.3,-11
63,48,2012-04-21,21-180,PHI,@,IND,W (+3),1,12:05,2,8,0.25,0,0,,0,0,,3,2,5,2,0,0,0,3,4,2.1,4
64,49,2012-04-23,21-182,PHI,@,NJN,W (+18),1,2:20,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,1,0,1.0,-3
65,50,2012-04-25,21-184,PHI,@,MIL,W (+5),0,14:02,2,7,0.286,0,0,,0,0,,4,2,6,1,1,0,0,0,4,5.0,-9
66,51,2012-04-26,21-185,PHI,@,DET,L (-22),0,26:30,4,10,0.4,0,0,,1,2,0.5,7,5,12,0,2,0,0,2,9,10.8,-15
1,1,2012-11-02,22-009,ORL,,DEN,W (+13),1,16:04,3,6,0.5,0,0,,0,0,,1,3,4,0,1,2,1,4,6,4.4,-5
2,2,2012-11-04,22-011,ORL,,PHO,W (+21),1,36:42,9,16,0.563,0,0,,0,0,,6,7,13,3,1,0,2,3,18,16.6,26
3,3,2012-11-06,22-013,ORL,@,CHI,L (-6),1,41:32,5,13,0.385,0,0,,6,7,0.857,3,7,10,0,1,2,2,3,16,11.9,1
4,4,2012-11-07,22-014,ORL,@,MIN,L (-15),1,17:58,1,4,0.25,0,0,,0,0,,1,3,4,0,0,0,0,2,2,0.4,-15
5,5,2012-11-09,22-016,ORL,,BRK,L (-39),1,31:36,5,10,0.5,0,0,,0,0,,1,4,5,3,0,1,2,4,10,6.1,-35
6,6,2012-11-11,22-018,ORL,@,BRK,L (-8),1,39:45,6,15,0.4,0,0,,2,2,1.0,4,9,13,3,0,1,1,4,14,11.6,1
7,7,2012-11-13,22-020,ORL,,NYK,L (-10),1,36:25,6,10,0.6,0,0,,0,0,,1,9,10,2,2,0,4,1,12,9.8,-8
8,8,2012-11-16,22-023,ORL,@,DET,W (+4),1,27:53,5,12,0.417,0,0,,1,2,0.5,4,9,13,3,0,2,3,2,11,9.4,1
9,9,2012-11-18,22-025,ORL,@,TOR,L (-11),1,32:59,5,11,0.455,0,0,,2,4,0.5,0,6,6,1,0,1,0,3,12,7.5,-19
10,10,2012-11-19,22-026,ORL,@,ATL,L (-9),1,25:41,2,4,0.5,0,0,,1,2,0.5,3,10,13,2,1,1,1,1,5,9.4,-19
