model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,289,73,9.250570805427524,3.0414751035357046,0.4548624385162985,13.461063541778149,3.66893220730203,0.0654523617846252,4.602739726027397,-23955327368266.96,0.4810229866866881,3.691905085770575,7.473122438847154,-0.4724392917626459,2.518081413006738,-2.1223842947064706,-5.529504397796442,33448603474921.504,1345053634320.8252,17184658890537.09,1345053634320.313,-1795057990668.9548,-742638487289.8593,215827740705.746,1345053634322.7793,-1517326603221.0588,1345053634318.2393,22610273733941.457,1345053634323.2417,-103176478144.15572,1345053634320.5537,388128417004.33167,1345053634321.223,22610273733946.207,1345053634320.9382,-3593935454.722753,-2462509099.033389,153170520.39901927,1345053634321.5046,22610273733944.035,1345053634321.0107,22610273733945.81,1345053634320.9568,-1995.945069253445,1345053634321.0996,-15.044708251953123,1345053634320.0269,22610273733947.023,1345053634325.627,0.0,1345053634322.604,0.0,1345053634322.6746,0.0,1345053634322.0413,0.0,1345053634321.9258,0.0,1345053634320.6836,0.0,0.0,0.0,1345053634320.3477,0.0,1345053634320.9473,0.0,0.0,0.0,0.0,22610273733949.13,1345053634321.5098,0.0,0.0,0.0,0.0,0.0,1345053634321.62,0.0,0.0,0.0,1345053634320.538,0.0,0.0,0.0,1345053634320.875,0.0,1345053634321.7446,22610273733949.973,1345053634321.5254,22610273733950.79,1345053634321.8008,0.0,1345053634322.4414,0.0,0.0,0.0,1345053634321.455
"Random Forest (100 estimators, 20 depth)",289,73,1.6763278276502236,1.2947307935050527,0.901213743083146,13.420846623564666,3.663447368745,0.0682444610727728,4.602739726027397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",289,73,3.048500830132101,1.745995655817076,0.8203513768313404,14.152191349375066,3.761939838617181,0.017470130790019,4.602739726027397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",289,73,6.38719416531978,2.527289885493902,0.6236016646710666,13.512357930497354,3.675915930825589,0.0618911981601867,4.602739726027397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),289,73,9.356269157030932,3.058801915298036,0.4486336183863968,13.511713727416456,3.6758283049425007,0.0619359225956606,4.602739726027397,3.0612816162673195,0.8980674564704225,0.998140270651389,0.9797303621652556,-0.4611096535004856,2.502162752179895,0.3066652406568497,-2.355319073876772,0.0,-0.5951924610142344,0.0,-1.077260726870946,0.0,0.0,0.0,1.0167861050528055,0.0,-2.843755557274533,-2.844019347848535,1.5869213965123086,0.0,-0.7760702540225801,0.0,-0.1818659363103179,0.1621333478832827,-0.3285616390463262,0.0,0.0,0.0,0.0498908487486673,-1.7557426252637032,-0.3248001466848694,-1.0265153334921715,-0.5581151012645978,0.0,-0.2285179711666966,0.0,-1.2134778267897215,-0.6235994000807978,3.267598249723987,0.0,0.9632881486777852,0.0,1.2335824894223972,0.0,0.6581792064242438,0.0,0.5948121446797008,0.0,-0.5281620518975763,0.0,0.0,0.0,-1.0819688470871371,0.0,-0.5017365812192306,0.0,0.0,0.0,0.0,2.820947275883948,0.1720149414683671,0.0,0.0,0.0,0.0,0.0,0.2401274258222988,0.0,0.0,0.0,-0.8681022424784572,0.0,0.0,0.0,-0.5676338472609471,0.0,0.3146933697722787,0.1003335821780899,0.2081368947628935,3.1664625007398537,0.2673325027934877,0.0,0.9927461408870758,0.0,0.0,0.0,0.1091113256397451
Ridge (lambda=0.1),289,73,9.25947546885046,3.042938623904606,0.4543376853301099,13.474698687817275,3.670789926952682,0.0645057282970079,4.602739726027397,1.8268464449469064,0.8714800587810974,2.621473422521551,4.393183391747408,-0.4759022706953298,2.531879228586184,-0.1837531050215181,-4.885605920307693,0.0,-0.6066085780619774,0.0,-1.1501079670550705,0.0,0.0,0.0,1.284021048797594,0.0,-3.1675123673153456,-4.569241515743749,1.7758288137973828,0.0,-0.8805361010398614,0.0,-0.1987526041265477,-0.346246452326526,-0.4775600098019196,0.0,0.0,0.0,0.0495640051277914,-2.536987540726822,-0.4201242414434028,-0.9779530358459804,-0.5135234556820338,0.0,-0.3107930696962053,0.0,-1.3813970432029896,-0.0232454839193513,4.0284839590885575,0.0,1.135250049783002,0.0,1.2684484205391229,0.0,0.6488987138409241,0.0,0.5258438234538645,0.0,-0.6951400030049528,0.0,0.0,0.0,-1.1122782986015936,0.0,-0.5253861286581435,0.0,0.0,0.0,0.0,2.5015054280769884,0.1103888276285769,0.0,0.0,0.0,0.0,0.0,0.2314118355654702,0.0,0.0,0.0,-0.8895332477666649,0.0,0.0,0.0,-0.5600389630753434,0.0,0.315687154281728,2.1650814477346265,0.1038120761009909,3.787087152748998,0.3256015173530446,0.0,1.035290965024291,0.0,0.0,0.0,0.0507608681474559
Lasso (lambda=0.1),289,73,11.145457371305543,3.338481297132806,0.3431964815134182,13.393491254426806,3.6597119086653263,0.0701436346069407,4.602739726027397,3.036821016715308,0.0,0.0,-0.0,-0.0378024525088246,2.0860089809287854,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.6327221320928372,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.1105549158535018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.4819266558830777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,2.0254368477761884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),289,73,16.96924126866297,4.119373892797663,0.0,14.408063561407657,3.7957955110105255,-0.0002940503757444,4.602739726027397,4.6678200692041525,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",289,73,6.624204141641822,2.57375292940908,0.6096346302839883,12.878615275131176,3.588678764549869,0.1058894082548526,4.602739726027397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),289,73,9.486948874664929,3.0800891017412027,0.4409326425109861,13.48273713511796,3.671884684343717,0.0639476511498006,4.602739726027397,2.695666389285323,0.8210851173450527,0.1207015689192351,0.0,-0.4029714209507528,2.472110085457922,0.0,-1.023004580929385,0.0,-0.3589079624125945,0.0,-0.859811829858449,0.0,0.0,0.0,0.7322453628629396,0.0,-2.7569689174557075,-1.389148753905466,1.4475252671784724,0.0,-0.5358505270795881,0.0,-0.0,1.03991416061539,-0.0,0.0,0.0,0.0,0.0,-0.5892914927321411,-0.0,-0.0714525665957652,-0.3093580085069191,0.0,-0.0,0.0,-0.9302652018112408,-0.0,3.489459566467552,0.0,0.7119436961052731,0.0,1.117258022390927,0.0,0.5802934477348181,0.0,0.5292252357788333,0.0,-0.1443660019196379,0.0,0.0,0.0,-0.8745114531604559,0.0,-0.2242374184325605,0.0,0.0,0.0,0.0,3.85609460473446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5848309192149842,0.0,0.0,0.0,-0.3024969356122367,0.0,0.1796921224480208,0.0,0.0745045711147342,3.875023729112424,0.0,0.0,0.8875853626940668,0.0,0.0,0.0,0.0
