model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,288,72,16.954274641142952,4.117556877705875,0.3074967075946031,20.892322540283203,4.57081202198069,0.0445853912418124,6.277777777777778,-17221381652452.676,-6.3732727961335724,8.55310778759259,-9.319216459409333,-0.6630969524728343,4.132359500629,7.900471184482728,-3.0670228984018912,12020728240801.973,1915777410239.8665,605234901124.3306,1915777410240.868,-197723787050.18777,2010628901040.321,673503281861.4617,1915777410237.125,-327951357598.1866,1915777410240.1963,-302566095159.69684,1915777410240.8984,-124056060058.35857,1915777410240.577,6415506426.619068,1915777410239.1423,-157991594.4866949,1915777410239.492,-38667514.71276879,1915777410244.257,-3794970.496696543,1915777410239.0413,-75141.26368835941,1915777410240.4167,-9420.23824415356,1915777410239.3928,-13.807607173919678,1915777410241.424,-0.4153900146484375,1915777410240.9863,0.0,1915777410238.674,0.0,1915777410239.21,0.0,1915777410239.9888,0.0,1915777410242.2656,0.0,1915777410240.9963,0.0,1915777410240.1577,0.0,0.0,15305604242220.186,1915777410239.148,0.0,1915777410241.1484,0.0,0.0,0.0,1915777410244.1355,0.0,1915777410239.628,0.0,0.0,0.0,0.0,15305604242225.482,1915777410236.484,0.0,0.0,0.0,1915777410239.195,0.0,1915777410240.8704,15305604242219.46,1915777410237.3647,0.0,1915777410240.5813,0.0,1915777410233.8389,0.0,1915777410240.3767,0.0,1915777410241.3665,0.0,0.0,0.0,1915777410237.8936
"Random Forest (100 estimators, 20 depth)",288,72,3.2356542288492305,1.7987924362886427,0.8678385685031889,19.959933397611547,4.467654126900554,0.0872239349574959,6.277777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",288,72,5.470030927067124,2.3388097244254658,0.7765746688235808,17.84726521256563,4.224602373308716,0.1838371307168292,6.277777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",288,72,11.72589271347268,3.4243090855634923,0.5210518006611182,18.22375975374624,4.26892957938477,0.1666198785866224,6.277777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),288,72,17.157027551020576,4.142104241930734,0.2992151938992721,20.58249436843948,4.536793401560123,0.0587539625441931,6.277777777777778,8.034095176358074,0.0705241902066649,1.1868777996523243,-2.842417629840641,-0.6437669339527222,3.874835867071353,0.6634776061732501,-0.7798061735575817,0.0,0.183233340932308,0.0,0.8486902019244676,0.0,0.0,0.0,-2.3673130274495464,0.0,0.3201876952389076,0.0,0.8301234968166736,0.0,0.3915550524169208,0.0,-0.8676957211370013,0.0,-0.4366782062720675,0.0,3.078891229721959,0.0,-0.7513559894782613,0.0,0.6221496906771342,0.0,-0.6566870596667825,0.0,1.202268966151161,0.0,0.8960392105979681,0.0,-1.2292916406453815,0.0,-0.7234476676900932,0.0,0.0906287458520102,0.0,2.266695919274232,0.0,0.9575832559551974,0.0,0.0054782064797541,0.0,0.0,-1.7604281752296778,-0.6772754224372999,0.0,1.2404273764685263,0.0,0.0,0.0,3.0647997093372363,0.0,-0.2800611682156341,0.0,0.0,0.0,0.0,3.292065127783908,-2.044553516486849,0.0,0.0,0.0,-0.7493166251397142,0.0,0.7584437122372724,-1.5316369525543632,-1.629291625079629,0.0,0.3868534396960802,0.0,-4.398948505630639,0.0,0.2043208145724802,0.0,1.3761983269087308,0.0,0.0,0.0,-1.9126522159300845
Ridge (lambda=0.1),288,72,16.977401291047403,4.120364218251513,0.306552091470344,20.83855146764636,4.564926228061781,0.0470443647822975,6.277777777777778,8.629903304466731,-2.9255401063119115,4.888285120463731,-7.0779328681741385,-0.6670861179871415,4.061036827384149,5.268944796667852,-2.343512785489516,0.0,0.0736726983605637,0.0,0.945498458032552,0.0,0.0,0.0,-2.692114282429262,0.0,0.320474331412718,0.0,0.9618814651787204,0.0,0.5814383716621431,0.0,-0.8464013725421164,0.0,-0.4390958595386136,0.0,4.1441627686438105,0.0,-0.8238640083062245,0.0,0.5706328945605418,0.0,-0.584354860886983,0.0,1.4240472971102676,0.0,1.039902823344233,0.0,-1.2568303521809043,0.0,-0.7102304706084382,0.0,0.0945178742602862,0.0,2.3699188820089696,0.0,1.086252605066953,0.0,0.1613691573173223,0.0,0.0,-1.542351320305533,-0.7764493720879847,0.0,1.2822759228271097,0.0,0.0,0.0,4.038504947891284,0.0,-0.2839603187418166,0.0,0.0,0.0,0.0,3.5325245861926287,-3.120428954656768,0.0,0.0,0.0,-0.7295140301961175,0.0,0.9214485657181042,-1.9901732658900968,-2.3258509187549707,0.0,0.5758916162457445,0.0,-5.814798236600004,0.0,0.3764543403094041,0.0,1.462223849349198,0.0,0.0,0.0,-2.026675831769672
Lasso (lambda=0.1),288,72,19.852308656669475,4.4555929635312825,0.1891254920909443,19.02011313754816,4.36120546839382,0.130202306765617,6.277777777777778,5.997087387565999,0.0,0.0,-0.0,-0.0209069114103032,2.88226569563142,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0602497279679757,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.186043532913541,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),288,72,24.482590663580247,4.947988547236164,0.0,22.59688464506173,4.7536180583910745,-0.0333649435426959,6.277777777777778,7.131944444444445,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",288,72,11.733898251288126,3.4254778135740604,0.5207248116620595,17.938317430162595,4.235365088178656,0.1796732748944699,6.277777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),288,72,17.250624156769657,4.15338707042453,0.2953922077196145,20.154350678178748,4.489359718064342,0.0783331517671256,6.277777777777778,6.518136924132426,0.0,0.5469749045200981,-2.1222894864907715,-0.5890862637332736,3.898832832610321,0.0,-0.0,0.0,0.0,0.0,0.5448129008350977,0.0,0.0,0.0,-2.4384555156021834,0.0,0.0,0.0,0.5005583630805736,0.0,0.0,0.0,-0.8107889244557703,0.0,-0.1497826816975445,0.0,2.8921204263332307,0.0,-0.7083158269990416,0.0,0.2600431451648182,0.0,-0.4998265582665651,0.0,0.892506819058492,0.0,0.5935036670978874,0.0,-1.200895753476011,0.0,-0.7166449941467214,0.0,-0.0,0.0,2.1083658139216794,0.0,0.5727134111336444,0.0,-0.0,0.0,0.0,-0.7410385917418026,-0.4946526509142756,0.0,0.9433281565285716,0.0,0.0,0.0,2.9889729222506287,0.0,-0.0113989654572128,0.0,0.0,0.0,0.0,4.686090004187951,-1.7176476328537609,0.0,0.0,0.0,-0.7034445048040668,0.0,0.3869983583351748,-0.0,-1.243843195775728,0.0,0.0,0.0,-5.027898183959101,0.0,0.0,0.0,1.0335214623894182,0.0,0.0,0.0,-1.9769997915069435
