model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,176,45,15.81821719082919,3.977212238594917,0.3976671853813989,30.02290717230903,5.479316305188909,-0.4196802499515639,8.088888888888889,65804200064005.96,9.666055586435538,-1.6982104609651731,11.685034298229242,0.5514262000166043,3.2983676047322774,-6.067801366074806,-4.064002998322034,-96942830380538.36,-65804200064004.22,-39385483594463.375,-65804200064002.71,9499690405244.328,-11195082985259.168,12417644239376.35,-65804200064006.71,-433469616687.7085,-65804200064005.03,633945102204.2212,-65804200064006.38,246959233786.4013,-65804200064004.66,9672382977.51911,-65804200064001.46,-360879355.393971,-65804200064000.87,-11167466.031924196,822375.4015472755,-106198.51268157364,-65804200064004.72,-312.513563156128,-65804200064003.125,2.951416015625,-65804200064005.45,0.0,-65804200064004.58,0.0,-65804200064004.52,0.0,-65804200064004.66,0.0,-65804200064006.66,0.0,-65804200064004.42,0.0,-65804200064004.83,0.0,0.0,0.0,-65804200064004.32,0.0,0.0,0.0,-65804200064006.2,0.0,-65804200064006.56,0.0,0.0,0.0,0.0,0.0,-65804200064005.625,0.0,0.0,0.0,0.0,0.0,-65804200064001.59,0.0,0.0,0.0,-65804200064002.47,0.0,0.0,0.0,-65804200064006.66,0.0,-65804200064001.68,0.0,-65804200064005.36,0.0,-65804200064002.84,0.0,-65804200064004.11,0.0,0.0,0.0,-65804200063995.73
"Random Forest (100 estimators, 20 depth)",176,45,3.675577595207156,1.917179593884505,0.8600397901001293,21.858239897813224,4.675279659850651,-0.0336011533969684,8.088888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",176,45,6.790663415684776,2.605890138836397,0.7414222248340134,20.23695105043165,4.498549883065836,0.0430640323854829,8.088888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",176,45,12.775158440037025,3.574235364387329,0.5135420731960052,20.85470632143189,4.566695339239513,0.0138525055833275,8.088888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),176,45,16.299632998536655,4.037280396323329,0.3793356291155993,25.283355277277447,5.028255689329795,-0.1955631056530642,8.088888888888889,3.652417948141845,4.182450870273094,0.9817570793959876,5.823632243524098,0.6593707771532888,3.030232374848095,-0.7340309998737125,-2.4711190667023915,0.0,-0.1977545268071166,0.0,1.3379345043491655,0.0,0.0,0.0,-2.2420302154448946,0.0,-0.8698996715086801,0.0,-1.785624916326176,0.0,0.0197913375499455,0.0,0.4451405605759606,0.0,2.5284708737970214,0.0,0.0,0.0,-0.4270925747136587,0.0,1.129122744809538,0.0,-0.868027035512044,0.0,-0.6519045289141893,0.0,0.0208973552288166,0.0,-0.512432464241455,0.0,-2.0917672865883943,0.0,-0.3002182002974181,0.0,-0.7173251785930227,0.0,0.0,0.0,0.0196531110577203,0.0,0.0,0.0,-1.6525829629318052,0.0,-1.9791952230397647,0.0,0.0,0.0,0.0,0.0,-1.3526300454109594,0.0,0.0,0.0,0.0,0.0,1.8866754241786217,0.0,0.0,0.0,1.2269524812980848,0.0,0.0,0.0,-2.359675911346183,0.0,2.401883774471896,0.0,-0.9334721572216096,0.0,1.6127786365503607,0.0,-0.1877781402616716,0.0,0.0,0.0,6.5001102352919045
Ridge (lambda=0.1),176,45,15.838312303199295,3.979737717890376,0.3969019951296821,29.09828773653455,5.3942828750942,-0.3759581698692897,8.088888888888889,2.3877823899684536,8.483892796471325,-0.984127487493662,10.143681308849391,0.5416255250236924,3.267368555251545,-4.732294711958249,-3.903831349562674,0.0,-0.1468798398227056,0.0,1.3485166160518731,0.0,0.0,0.0,-2.6206435111239954,0.0,-0.9795875139475236,0.0,-2.221211656400453,0.0,-0.3934941727610071,0.0,2.034449105465177,0.0,3.0836294073353714,0.0,0.0,0.0,-0.5953473866516258,0.0,1.0346336957376907,0.0,-1.2253889167706775,0.0,-0.5812308473369465,0.0,-0.3203767614200057,0.0,-0.6415127297411626,0.0,-2.4925727365912613,0.0,-0.303566336833622,0.0,-0.7718816971030003,0.0,0.0,0.0,-0.1655839881015363,0.0,0.0,0.0,-2.0989119263072884,0.0,-2.4838215240209687,0.0,0.0,0.0,0.0,0.0,-1.582475365370862,0.0,0.0,0.0,0.0,0.0,2.4076562065531992,0.0,0.0,0.0,1.56085136371403,0.0,0.0,0.0,-2.531805509420072,0.0,2.437477508678925,0.0,-1.231496902835831,0.0,1.420630295337634,0.0,-0.0624690277577679,0.0,0.0,0.0,8.122414151445346
Lasso (lambda=0.1),176,45,19.42135268052665,4.406966380689402,0.2604654568440077,19.870092683136708,4.457588213724627,0.0604115056194696,8.088888888888889,4.391269041523358,0.0819180692710175,1.400458429412218,5.014971135273566,0.6802568545576837,2.133247594759925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8297598463026284,0.0,1.0931308076918516,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.9942793861698664
Lasso (lambda=1.0),176,45,26.2615896177686,5.124606289049784,0.0,21.15974876606979,4.59997269188305,-0.0005719048031787,8.088888888888889,8.198863636363637,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",176,45,12.595186994353533,3.5489698497385875,0.5203951025938038,19.2357665868076,4.385859845777975,0.0904066098849853,8.088888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),176,45,16.029572287913343,4.003694829518522,0.3896191159324288,27.26069724112834,5.221177763793179,-0.2890648214385598,8.088888888888889,2.3508966327323577,6.278414564538544,-0.0,8.72270692702686,0.5907516852094448,3.154783617447265,-3.304779441153425,-2.865059661696393,0.0,0.0,0.0,1.588472422838736,0.0,0.0,0.0,-1.8837489945833208,0.0,-0.0898256962316584,0.0,-1.448429581983142,0.0,0.0,0.0,0.3418756770441372,0.0,3.158962077935774,0.0,0.0,0.0,-0.0,0.0,1.136418473767755,0.0,-0.4326542364474425,0.0,-0.0923902487030067,0.0,0.0,0.0,-0.0,0.0,-1.8253365672108324,0.0,0.0,0.0,-0.125220765625902,0.0,0.0,0.0,0.0736537480362694,0.0,0.0,0.0,-1.2599402846015983,0.0,-1.4723564376438547,0.0,0.0,0.0,0.0,0.0,-0.9467895852684514,0.0,0.0,0.0,0.0,0.0,2.3805234766768173,0.0,0.0,0.0,1.5832387816637543,0.0,0.0,0.0,-2.003791946679577,0.0,2.7509281758946686,0.0,-0.506136882440093,0.0,1.6966618574049248,0.0,0.0,0.0,0.0,0.0,8.282072871709005
"Random Forest (100 estimators, 5 depth)",176,45,12.32658980729654,3.5109243522606035,0.5306228607366416,19.445459185770424,4.409700577791017,0.0804909664864302,8.088888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
