,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-02,23-271,BOS,,NYK,W (+14),0,10:43,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,1,2,2,0.9,-10
1,2,2,2005-11-04,23-273,BOS,,DET,L (-1),0,12:52,0,1,0.0,0,0,,0,0,,0,2,2,2,0,0,1,2,0,-0.5,-1
2,3,3,2005-11-05,23-274,BOS,@,CHA,L (-2),0,6:57,0,0,,0,0,,0,0,,1,0,1,1,1,1,1,1,0,1.7,-9
3,5,4,2005-11-11,23-280,BOS,,SAS,L (-21),0,9:00,1,1,1.0,0,0,,1,2,0.5,0,2,2,2,1,1,1,0,3,5.0,0
4,6,5,2005-11-13,23-282,BOS,,HOU,W (+20),0,3:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-1
5,7,6,2005-11-15,23-284,BOS,@,DET,L (-15),0,1:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
6,8,7,2005-11-16,23-285,BOS,,SEA,L (-13),0,10:59,0,1,0.0,0,0,,0,0,,0,1,1,2,0,0,2,2,0,-1.8,11
7,9,8,2005-11-18,23-287,BOS,,TOR,W (+7),0,7:00,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,2,1.6,0
8,10,9,2005-11-22,23-291,BOS,@,CLE,L (-22),0,11:34,1,3,0.333,0,0,,0,0,,1,5,6,2,1,1,5,2,2,-0.2,-6
9,11,10,2005-11-23,23-292,BOS,@,ATL,L (-3),1,25:29,3,4,0.75,0,0,,3,4,0.75,1,3,4,3,0,0,1,3,9,8.5,-7
10,12,11,2005-11-25,23-294,BOS,,CHA,W (+1),1,25:40,0,4,0.0,0,0,,0,0,,1,1,2,4,0,0,4,4,0,-4.6,8
11,13,12,2005-11-28,23-297,BOS,,ORL,L (-4),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
12,14,13,2005-11-30,23-299,BOS,,PHI,W (+7),0,10:59,1,1,1.0,0,0,,1,1,1.0,1,0,1,3,0,0,1,2,3,3.7,-2
13,15,14,2005-12-02,23-301,BOS,,CHI,L (-4),0,16:07,0,1,0.0,0,0,,2,2,1.0,0,2,2,2,0,0,2,2,2,0.5,-2
14,16,15,2005-12-04,23-303,BOS,@,NYK,W (+3),0,12:28,0,5,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,4,2,-2.8,-24
15,17,16,2005-12-06,23-305,BOS,@,HOU,L (-18),0,8:02,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-6
16,18,17,2005-12-07,23-306,BOS,@,NOK,W (+14),0,19:58,0,3,0.0,0,0,,1,2,0.5,1,2,3,2,1,0,1,4,1,-0.4,5
17,19,18,2005-12-09,23-308,BOS,@,SAS,L (-12),0,17:15,2,3,0.667,0,0,,0,0,,1,0,1,1,0,0,0,4,4,2.5,1
18,20,19,2005-12-10,23-309,BOS,@,DAL,L (-9),0,12:45,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,2,3,2,-0.5,4
19,21,20,2005-12-14,23-313,BOS,,IND,W (+14),0,16:59,3,5,0.6,0,0,,2,2,1.0,1,0,1,2,1,0,0,2,8,8.0,19
20,22,21,2005-12-16,23-315,BOS,,MIL,L (-4),0,5:57,0,2,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-0.1,-11
21,23,22,2005-12-17,23-316,BOS,@,CHI,L (-32),0,19:34,3,5,0.6,0,0,,0,0,,0,0,0,0,0,0,2,4,6,0.1,-17
22,24,23,2005-12-19,23-318,BOS,,GSW,W (+11),0,22:33,2,7,0.286,0,0,,0,0,,2,1,3,3,1,0,3,2,4,0.9,11
23,25,24,2005-12-21,23-320,BOS,,UTA,W (+12),0,12:54,1,2,0.5,0,0,,0,0,,0,1,1,0,1,0,0,2,2,1.5,5
24,26,25,2005-12-26,23-325,BOS,@,SEA,L (-7),0,4:34,0,0,,0,0,,0,2,0.0,0,2,2,1,0,0,0,1,0,0.1,3
25,27,26,2005-12-28,23-327,BOS,@,GSW,L (-2),0,10:19,1,1,1.0,0,0,,0,0,,0,0,0,0,2,0,1,0,2,2.7,-5
26,28,27,2005-12-30,23-329,BOS,@,SAC,L (-4),0,5:41,0,2,0.0,0,1,0.0,0,0,,1,0,1,2,2,0,2,2,0,-0.1,-1
27,29,28,2005-12-31,23-330,BOS,@,LAC,W (+19),0,2:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
28,30,29,2006-01-02,23-332,BOS,@,DEN,L (-10),0,6:35,0,0,,0,0,,0,0,,0,3,3,1,1,0,2,1,0,0.2,-6
29,31,30,2006-01-04,23-334,BOS,,CHA,W (+3),0,9:39,2,2,1.0,0,0,,2,2,1.0,0,2,2,1,0,0,0,2,6,5.9,4
30,32,31,2006-01-06,23-336,BOS,,ATL,L (-5),0,15:42,3,5,0.6,0,0,,0,0,,2,2,4,3,3,0,0,3,6,9.6,-3
31,33,32,2006-01-07,23-337,BOS,@,WAS,L (-1),0,20:28,1,3,0.333,0,1,0.0,0,0,,0,2,2,6,2,0,0,4,2,5.5,1
32,34,33,2006-01-09,23-339,BOS,,DAL,L (-2),0,9:16,0,0,,0,0,,0,0,,2,0,2,0,1,0,1,2,0,0.6,-6
33,35,34,2006-01-10,23-340,BOS,@,ATL,W (+4),0,5:09,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,-9
34,36,35,2006-01-13,23-343,BOS,@,PHI,L (-1),0,16:44,1,1,1.0,0,0,,1,2,0.5,1,2,3,0,0,0,2,4,3,0.0,17
35,37,36,2006-01-16,23-346,BOS,@,DET,L (-10),0,11:25,2,5,0.4,0,1,0.0,0,0,,0,1,1,0,0,0,1,2,4,-0.2,0
36,38,37,2006-01-18,23-348,BOS,,MIN,W (+7),0,13:32,0,0,,0,0,,1,2,0.5,1,1,2,2,0,0,0,1,1,2.6,-7
37,39,38,2006-01-20,23-350,BOS,,NJN,W (+3),0,14:09,1,2,0.5,0,0,,3,4,0.75,2,0,2,3,2,0,0,3,5,7.9,-1
38,40,39,2006-01-21,23-351,BOS,@,NJN,L (-20),0,15:35,2,8,0.25,0,1,0.0,0,0,,2,1,3,6,2,0,1,1,4,5.7,2
39,41,40,2006-01-23,23-353,BOS,,NOK,W (+13),0,14:26,0,2,0.0,0,0,,0,0,,0,0,0,0,1,0,2,4,0,-4.0,-1
40,42,41,2006-01-25,23-355,BOS,,WAS,L (-2),0,13:05,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-3
41,43,42,2006-01-27,23-357,BOS,,SAC,W (+10),0,13:32,1,3,0.333,0,0,,1,2,0.5,0,3,3,2,1,0,2,0,3,2.2,-2
