,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1996-11-01,22-275,HOU,,SAC,W (+11),0,17:39,4,6,0.667,0,0,,0,0,,3,3,6,1,1,0,2,2,8,7.3,-5
1,2,2,1996-11-02,22-276,HOU,@,PHO,W (+15),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2,4,3,1996-11-05,22-279,HOU,@,SAC,W (+22),0,5:21,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,1
3,10,4,1996-11-19,22-293,HOU,,MIN,W (+29),0,15:38,3,7,0.429,0,0,,2,2,1.0,1,2,3,0,0,1,2,2,8,3.5,5
4,11,5,1996-11-21,22-295,HOU,,PHO,W (+10),0,19:25,6,8,0.75,0,0,,0,0,,3,2,5,0,3,0,3,0,12,11.5,3
5,12,6,1996-11-23,22-297,HOU,@,GSW,W (+5),0,18:25,3,6,0.5,0,0,,0,2,0.0,2,0,2,1,2,0,1,3,6,4.1,-7
6,13,7,1996-11-24,22-298,HOU,@,LAL,W (+5),0,7:57,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,4,2,-0.9,-8
7,15,8,1996-11-29,22-303,HOU,@,BOS,W (+26),0,10:33,1,4,0.25,0,0,,1,4,0.25,1,1,2,0,0,1,1,1,3,-0.3,2
8,17,9,1996-12-02,22-306,HOU,@,TOR,L (-11),0,22:08,2,4,0.5,0,0,,1,2,0.5,0,2,2,0,0,1,2,4,5,0.3,13
9,19,10,1996-12-07,22-311,HOU,,PHI,W (+15),0,5:02,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,-2
10,21,11,1996-12-12,22-316,HOU,,DET,W (+19),0,4:46,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-1
11,23,12,1996-12-15,22-319,HOU,@,POR,W (+10),0,18:45,1,3,0.333,0,0,,0,2,0.0,1,8,9,1,1,0,1,5,2,1.3,6
12,24,13,1996-12-17,22-321,HOU,@,VAN,L (-1),0,16:12,2,4,0.5,0,0,,1,2,0.5,1,2,3,0,0,0,1,3,5,1.7,6
13,25,14,1996-12-19,22-323,HOU,,SAS,L (-14),0,3:48,1,2,0.5,0,1,0.0,2,2,1.0,1,1,2,0,0,0,0,1,4,3.6,5
14,26,15,1996-12-21,22-325,HOU,,MIA,L (-20),0,18:18,3,8,0.375,0,0,,0,0,,1,1,2,0,0,1,1,1,6,1.9,-8
15,27,16,1996-12-23,22-327,HOU,,MIL,L (-5),0,12:15,2,2,1.0,0,0,,0,0,,2,1,3,0,0,0,0,2,4,4.3,-2
16,29,17,1996-12-28,22-332,HOU,,GSW,W (+9),0,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
17,31,18,1997-01-02,22-337,HOU,,POR,L (-16),0,3:42,1,1,1.0,0,0,,0,1,0.0,2,1,3,1,0,0,1,1,2,2.3,-3
18,35,19,1997-01-10,22-345,HOU,@,PHI,W (+21),0,21:03,1,2,0.5,0,0,,2,2,1.0,2,6,8,0,1,1,4,4,4,2.3,-1
19,36,20,1997-01-11,22-346,HOU,@,CHI,L (-24),0,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
20,37,21,1997-01-14,22-349,HOU,,NYK,W (+20),0,4:54,0,1,0.0,0,0,,2,2,1.0,0,2,2,0,0,0,0,0,2,1.9,-1
