Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1984-10-27,22-083,KCK,,POR,L (-21),0,26:00,7,10,0.7,0,0,,7,11,0.636,3,6,9,0,0,0,2,3,21,15.9,
2,2,1984-10-30,22-086,KCK,,CHI,L (-5),0,24:00,3,7,0.429,0,0,,0,0,,0,2,2,3,0,0,0,1,6,4.6,
3,3,1984-11-01,22-088,KCK,,HOU,L (-3),0,17:00,5,11,0.455,0,1,0.0,8,10,0.8,1,4,5,0,3,0,3,1,18,13.0,
4,4,1984-11-03,22-090,KCK,,DEN,L (-14),0,30:00,10,13,0.769,0,0,,3,5,0.6,6,3,9,1,0,2,4,3,23,19.1,
5,5,1984-11-06,22-093,KCK,@,HOU,L (-14),1,27:00,4,8,0.5,0,0,,3,6,0.5,2,5,7,4,1,0,5,5,11,5.5,
6,6,1984-11-09,22-096,KCK,@,NJN,W (+2),0,12:00,1,1,1.0,0,0,,2,2,1.0,0,4,4,0,0,0,4,5,4,-1.1,
7,7,1984-11-10,22-097,KCK,@,NYK,L (-13),0,16:00,4,8,0.5,0,0,,2,5,0.4,3,8,11,1,0,0,1,3,10,7.8,
8,8,1984-11-16,22-103,KCK,@,LAL,L (-12),0,19:00,3,6,0.5,0,0,,1,2,0.5,2,1,3,2,0,0,1,2,7,4.9,
9,9,1984-11-17,22-104,KCK,@,LAC,L (-8),0,21:00,4,9,0.444,0,0,,4,5,0.8,5,3,8,3,1,0,2,2,12,11.6,
10,10,1984-11-20,22-107,KCK,,UTA,W (+7),0,13:00,0,0,,0,0,,0,2,0.0,1,2,3,0,0,0,2,2,0,-2.3,
11,11,1984-11-21,22-108,KCK,@,WSB,L (-5),0,6:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-2.8,
12,12,1984-11-23,22-110,KCK,@,IND,W (+17),0,20:00,3,6,0.5,0,0,,7,9,0.778,1,6,7,2,1,1,1,5,13,11.8,
